item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;param1_brand;param2_model
21;RNRJS06L;RNRJS06L;RNRJS06L;D4;D4_1:Jarovce-Rusovce;;3+313;L;SIEMENS;LOGO! 12/24 RCEo 
22;RNRJS12P;RNRJS12P;RNRJS12P;D4;D4_2:Rusovce-Ketelec;;6+852;P;SIEMENS;LOGO! 12/24 RCEo 
23;RNRJS15P;RNRJS15P;RNRJS15P;D4;D4_2:Rusovce-Ketelec;;8+153;P;SIEMENS;LOGO! 12/24 RCEo 
24;RNRSR02P;RNRSR02P;RNRSR02P;D4;D4_7:Ivanka sever-Cierna voda;;25+544;P;SIEMENS;LOGO! 12/24 RCEo 
25;RNRSR467L;RNRSR467L;RNRSR467L;D4;D4_7:Ivanka sever-Cierna voda;;25+688;L;SIEMENS;LOGO! 12/24 RCEo 
26;RNRSR04P;RNRSR04P;RNRSR04P;D4;D4_7:Ivanka sever-Cierna voda;;26+153;P;SIEMENS;LOGO! 12/24 RCEo 
27;RNRMP02;RNRMP02;RNRMP02;R7;R7_1:Prievoz-Ketelec;;0+383;-;SIEMENS;LOGO! 12/24 RCEo 
28;RNSPK03L;RNSPK03L;RNSPK03L;R7;R7_1:Prievoz-Ketelec;;0+832;L;SIEMENS;LOGO! 12/24 RCEo 
29;RNLPK05L;RNLPK05L;RNLPK05L;R7;R7_1:Prievoz-Ketelec;;0+800;L;SIEMENS;LOGO! 12/24 RCEo 
30;RNRPK05L;RNRPK05L;RNRPK05L;R7;R7_1:Prievoz-Ketelec;;1+408;L;SIEMENS;LOGO! 12/24 RCEo 
31;RNRPK10L;RNRPK10L;RNRPK10L;R7;R7_1:Prievoz-Ketelec;;4+247;L;SIEMENS;LOGO! 12/24 RCEo 
32;RNRPK12L;RNRPK12L;RNRPK12L;R7;R7_1:Prievoz-Ketelec;;5+032;L;SIEMENS;LOGO! 12/24 RCEo 
33;RNRJS10P;RNRJS10P;RNRJS10P;D4;D4_2:Rusovce-Ketelec;;5+148;P;SIEMENS;LOGO! 12/24 RCEo 
34;RNRJS11P;RNRJS11P;RNRJS11P;D4;D4_2:Rusovce-Ketelec;;6+438;P;SIEMENS;LOGO! 12/24 RCEo 
35;RNRJS13P;RNRJS13P;RNRJS13P;D4;D4_2:Rusovce-Ketelec;;7+558;P;SIEMENS;LOGO! 12/24 RCEo 
36;RKDJSRP1;RKDJSRP1;RKDJSRP1;D4;D4_3:Ketelec-Rovinca;;SERVICE AREA;P;SIEMENS;LOGO! 12/24 RCEo 
37;RKDJSRP2;RKDJSRP2;RKDJSRP2;D4;D4_3:Ketelec-Rovinca;;SERVICE AREA;P;SIEMENS;LOGO! 12/24 RCEo 
38;RKDJSRL1;RKDJSRL1;RKDJSRL1;D4;D4_3:Ketelec-Rovinca;;SERVICE AREA;L;SIEMENS;LOGO! 12/24 RCEo 
39;RKDJSRL2;RKDJSRL2;RKDJSRL2;D4;D4_3:Ketelec-Rovinca;;SERVICE AREA;L;SIEMENS;LOGO! 12/24 RCEo 
40;RNRLJSRP1;RNRLJSRP1;RNRLJSRP1;D4;D4_3:Ketelec-Rovinca;;SERVICE AREA;P;SIEMENS;LOGO! 12/24 RCEo 
41;RNRLJSRP2;RNRLJSRP2;RNRLJSRP2;D4;D4_3:Ketelec-Rovinca;;SERVICE AREA;P;SIEMENS;LOGO! 12/24 RCEo 
42;RNRLJSRL1;RNRLJSRL1;RNRLJSRL1;D4;D4_3:Ketelec-Rovinca;;SERVICE AREA;L;SIEMENS;LOGO! 12/24 RCEo 
43;RNRLJSRL2;RNRLJSRL2;RNRLJSRL2;D4;D4_3:Ketelec-Rovinca;;SERVICE AREA;L;SIEMENS;LOGO! 12/24 RCEo 
