device_name;session_uid;endpoint;url_publisher;time_polling_ms;num_polling_out_comm;PLC_name;PLC_ip;PLC_port(i);door_open_offset(i);power_fail_offset(i);battery_low_offset(i);read_permission;write_permission
KDDH10L;KDDH10L;'http:\/\/172.17.103.9/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH10LM;172.17.203.9;502;0;1;2;monitor;
KDDH11L;KDDH11L;'http:\/\/172.17.103.10/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH11L;172.17.203.10;502;0;1;2;monitor;
KDDH12L;KDDH12L;'http:\/\/172.17.104.1/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH12L;172.17.204.1;502;0;1;2;monitor;
KDDH28L;KDDH28L;'http:\/\/172.17.104.2/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH28L;172.17.204.2;502;0;1;2;monitor;
KDDH13L;KDDH13L;'http:\/\/172.17.104.3/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH13LM;172.17.204.3;502;0;1;2;monitor;
KDDH14L;KDDH14L;'http:\/\/172.17.104.4/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH14LM;172.17.204.4;502;0;1;2;monitor;
KDDH15L;KDDH15L;'http:\/\/172.17.104.5/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH15LM;172.17.204.5;502;0;1;2;monitor;
KDDH16L;KDDH16L;'http:\/\/172.17.104.6/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH16LM;172.17.204.6;502;0;1;2;monitor;
KDDH17L;KDDH17L;'http:\/\/172.17.104.7/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH17LM;172.17.204.7;502;0;1;2;monitor;
KDDH29L;KDDH29L;'http:\/\/172.17.104.8/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH29L;172.17.204.8;502;0;1;2;monitor;
KDDH18L;KDDH18L;'http:\/\/172.17.104.9/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH18LM;172.17.204.9;502;0;1;2;monitor;
KDDH19L;KDDH19L;'http:\/\/172.17.105.1/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH19LM;172.17.205.1;502;0;1;2;monitor;
KDDH20L;KDDH20L;'http:\/\/172.17.105.2/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH20LM;172.17.205.2;502;0;1;2;monitor;
KDDH21L;KDDH21L;'http:\/\/172.17.105.3/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH21L;172.17.205.3;502;0;1;2;monitor;
KDDH30P;KDDH30P;'http:\/\/172.17.105.4/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH30PI;172.17.205.4;502;0;1;2;monitor;
KDDH31P;KDDH31P;'http:\/\/172.17.105.5/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH31PI;172.17.205.5;502;0;1;2;monitor;
KDDH32P;KDDH32P;'http:\/\/172.17.105.6/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH32PI;172.17.205.6;502;0;1;2;monitor;
KDDH33P;KDDH33P;'http:\/\/172.17.105.7/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH33PI;172.17.205.7;502;0;1;2;monitor;
KDDH34L;KDDH34L;'http:\/\/172.17.106.1/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH34LI;172.17.206.1;502;0;1;2;monitor;
KDDH35L;KDDH35L;'http:\/\/172.17.106.2/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH35LI;172.17.206.2;502;0;1;2;monitor;
KDDH36L;KDDH36L;'http:\/\/172.17.106.3/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH36LI;172.17.206.3;502;0;1;2;monitor;
KDDH37L;KDDH37L;'http:\/\/172.17.106.4/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH37LI;172.17.206.4;502;0;1;2;monitor;
KDDH22L;KDDH22L;'http:\/\/172.17.106.5/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH22LM;172.17.206.5;502;0;1;2;monitor;
KDDH23L;KDDH23L;'http:\/\/172.17.106.6/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH23LM;172.17.206.6;502;0;1;2;monitor;
KDDH30L;KDDH30L;'http:\/\/172.17.107.1/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH30LM;172.17.207.1;502;0;1;2;monitor;
KDDH24L;KDDH24L;'http:\/\/172.17.107.2/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH24LM;172.17.207.2;502;0;1;2;monitor;
KDDH25P;KDDH25P;'http:\/\/172.17.107.3/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH25PI;172.17.207.3;502;0;1;2;monitor;
KDDH26L;KDDH26L;'http:\/\/172.17.107.4/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDDH26LI;172.17.207.4;502;0;1;2;monitor;
KDJS43P;KDJS43P;'http:\/\/172.17.113.6/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS43PM;172.17.213.6;502;0;1;2;monitor;
KDJS44P;KDJS44P;'http:\/\/172.17.114.1/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS44PM;172.17.214.1;502;0;1;2;monitor;
KDJS45P;KDJS45P;'http:\/\/172.17.114.2/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS45PM;172.17.214.2;502;0;1;2;monitor;
KDJS46P;KDJS46P;'http:\/\/172.17.114.3/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS46PM;172.17.214.3;502;0;1;2;monitor;
KDJS47P;KDJS47P;'http:\/\/172.17.114.4/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS47PM;172.17.214.4;502;0;1;2;monitor;
KDJS48P;KDJS48P;'http:\/\/172.17.114.5/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS48PI;172.17.214.5;502;0;1;2;monitor;
KDJS49P;KDJS49P;'http:\/\/172.17.114.6/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS49PI;172.17.214.6;502;0;1;2;monitor;
KDJS50P;KDJS50P;'http:\/\/172.17.114.7/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS50PM;172.17.214.7;502;0;1;2;monitor;
KDJS50.1P;KDJS50.1P;'http:\/\/172.17.115.5/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS50.1PM;172.17.215.5;502;0;1;2;monitor;
KDJS51P;KDJS51P;'http:\/\/172.17.115.1/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS51PM;172.17.215.1;502;0;1;2;monitor;
KDJS52P;KDJS52P;'http:\/\/172.17.115.2/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS52PM;172.17.215.2;502;0;1;2;monitor;
KDJS53P;KDJS53P;'http:\/\/172.17.115.3/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS53PM;172.17.215.3;502;0;1;2;monitor;
KDJS54P;KDJS54P;'http:\/\/172.17.115.4/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS54PM;172.17.215.4;502;0;1;2;monitor;
KDJS55P;KDJS55P;'http:\/\/172.17.116.1/';http:\/\/192.168.88.52:3000\/api\/v2\/generic\/;10000;2;PLCRKDJS55PM;172.17.216.1;502;0;1;2;monitor;
