device_name;session_uid;PLC_name;det_name;det_order;host;url_publisher;port(i);read_permission;write_permission;num_polling_out_comm;time_polling_ms
_RNRPK13L;_RNRPK13L;PLCRNRPK13L;DET01-ADPPK10P;1;10.191.20.35;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK13L;_RNRPK13L;PLCRNRPK13L;DET02-ADPPK10P;2;10.191.20.35;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK13L;_RNRPK13L;PLCRNRPK13L;DET03-ADPPK10P;3;10.191.20.35;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK14L;_RNRPK14L;PLCRNRPK14L;DET01-ADPPK11L;1;10.191.20.37;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK14L;_RNRPK14L;PLCRNRPK14L;DET02-ADPPK11L;2;10.191.20.37;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK14L;_RNRPK14L;PLCRNRPK14L;DET03-ADPPK11L;3;10.191.20.37;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK15L;_RNRPK15L;PLCRNRPK15L;DET01-ADPPK12P;1;10.191.20.39;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK15L;_RNRPK15L;PLCRNRPK15L;DET02-ADPPK12P;2;10.191.20.39;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK15L;_RNRPK15L;PLCRNRPK15L;DET03-ADPPK12P;3;10.191.20.39;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK15L;_RNRPK15L;PLCRNRPK15L;DET04-ADPPK12P;4;10.191.20.39;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK15L;_RNRPK15L;PLCRNRPK15L;DET05-ADPPK12P;5;10.191.20.39;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK03L;_RNRPK03L;PLCRNRPK03L;DET01-ADPPK03P;1;10.191.19.10;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK03L;_RNRPK03L;PLCRNRPK03L;DET02-ADPPK03P;2;10.191.19.10;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK03L;_RNRPK03L;PLCRNRPK03L;DET03-ADPPK02L;3;10.191.19.10;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK03L;_RNRPK03L;PLCRNRPK03L;DET04-ADPPK02L;4;10.191.19.10;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
_RNRPK03L;_RNRPK03L;PLCRNRPK03L;DET05-ADPPK02L;5;10.191.19.10;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;502;monitor;;2;60000
