device_name;session_uid;url_publisher;PLC_name;PLC_ip;port(i);read_permission;write_permission;door_open_offset(i);surge_protection_offset(i)
RNJS.7M;RNJS.7M;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDJS53PM;192.168.88.189;502;monitor;;5;4
RNJS.2N;RNJS.2N;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDJS55PM;192.168.88.189;502;monitor;;5;4
RNJS.4N;RNJS.4N;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDJS56PM;192.168.88.189;502;monitor;;5;4
RNJS.5N;RNJS.5N;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDJS56.1PM;192.168.88.189;502;monitor;;5;4
RNJS.3.1P;RNJS.3.1P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDJS63PI;192.168.88.189;502;monitor;;5;4
RNJS.4P;RNJS.4P;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDJS63PI;192.168.88.189;502;monitor;;7;6
RNJS.3A;RNJS.3A;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDJS01PI;192.168.88.189;502;monitor;;5;4
RNJS.1A;RNJS.1A;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDJS02LI;192.168.88.189;502;monitor;;5;4
RNJS.2A;RNJS.2A;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDJS03PI;192.168.88.189;502;monitor;;5;4
RNJS.2B;RNJS.2B;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDJS05LI;192.168.88.189;502;monitor;;5;4
RNJS.4B;RNJS.4B;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDJS07LM;192.168.88.189;502;monitor;;5;4
RNJS.4C;RNJS.4C;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRKDJS09LI;192.168.88.189;502;monitor;;5;4
RNJS.1D;RNJS.1D;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD02;192.168.88.189;502;monitor;;5;4
RNJS.3D;RNJS.3D;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;PLCRAIDJSKD08;192.168.88.189;502;monitor;;5;4
