device_name;session_uid;ip;url_publisher;port(i);time_polling_ms;num_polling_out_comm;readCommunity;writeCommunity;read_permission;write_permission
PDZDH05P;PDZDH05P;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZDH06P;PDZDH06P;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZDH08P;PDZDH08P;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZDH09L;PDZDH09L;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZDH11L;PDZDH11L;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZDH12L;PDZDH12L;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZJS01Pa;PDZJS01Pa;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZJS02Pa;PDZJS02Pa;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZJS03P;PDZJS03P;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZJS04P;PDZJS04P;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZJS07L;PDZJS07L;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZJS08L;PDZJS08L;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZJS09La;PDZJS09La;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
PDZJS10La;PDZJS10La;192.168.88.189;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;161;10000;2;public;private;monitor;
