device_name;session_uid;endpoint;url_publisher;time_polling_ms;num_polling_out_comm;analizador;ip;port(i);offset_live(i);read_permission;write_permission
KDJS09.1;KDJS09.1;'http:\/\/172.17.109.23/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;261;monitor;
KDJS10.1;KDJS10.1;'http:\/\/172.17.109.5/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;271;monitor;
KDJS23.1;KDJS23.1;'http:\/\/172.17.110.29/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;281;monitor;
KDJS28.1;KDJS28.1;'http:\/\/172.17.111.14/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;291;monitor;
KDJS29.1;KDJS29.1;'http:\/\/172.17.111.15/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;301;monitor;
KDJS30.1;KDJS30.1;'http:\/\/172.17.111.20/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;311;monitor;
KDJS31.1;KDJS31.1;'http:\/\/172.17.111.16/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL1;10.140.20.76;502;321;monitor;
KDJS32.1;KDJS32.1;'http:\/\/172.17.112.10/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;201;monitor;
KDJS39.1;KDJS39.1;'http:\/\/172.17.113.11/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;211;monitor;
KDJS40.1;KDJS40.1;'http:\/\/172.17.113.12/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;221;monitor;
KDJS44.1;KDJS44.1;'http:\/\/172.17.114.8/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL3;10.140.20.78;502;261;monitor;
KDJS45.1;KDJS45.1;'http:\/\/172.17.114.9/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL3;10.140.20.78;502;271;monitor;
KDJS46.1;KDJS46.1;'http:\/\/172.17.114.10/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL3;10.140.20.78;502;281;monitor;
KDJS59.1;KDJS59.1;'http:\/\/172.17.116.23/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;231;monitor;
KDJS62.1;KDJS62.1;'http:\/\/172.17.116.24/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;251;monitor;
KDJS63.1;KDJS63.1;'http:\/\/172.17.116.25/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;241;monitor;
KDKD04.1;KDKD04.1;'http:\/\/172.17.107.13/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL3;10.140.20.78;502;301;monitor;
KDKD05.1;KDKD05.1;'http:\/\/172.17.107.14/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL3;10.140.20.78;502;311;monitor;
KDKD09.1;KDKD09.1;'http:\/\/172.17.101.5/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL3;10.140.20.78;502;321;monitor;
KDKD10.1;KDKD10.1;'http:\/\/172.17.101.6/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL3;10.140.20.78;502;331;monitor;
KDKD11.1;KDKD11.1;'http:\/\/172.17.101.7/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL3;10.140.20.78;502;341;monitor;
KDKD13.1;KDKD13.1;'http:\/\/172.17.102.13/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;291;monitor;
KDPK12.1;KDPK12.1;'http:\/\/172.17.120.9/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL3;10.140.20.78;502;291;monitor;
KDSR02.2;KDSR02.2;'http:\/\/172.17.116.20/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;261;monitor;
KDSR10.1;KDSR10.1;'http:\/\/172.17.118.7/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;271;monitor;
KDSR12.1;KDSR12.1;'http:\/\/172.17.118.8/';http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;10000;2;AIDL2;10.140.20.77;502;281;monitor;
