item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_state
45;LQ-CT-ITS-HUM-2;LQ-CT-ITS-HUM-2;LQ-CT-ITS-HUM-2;AP7 - AUSOL I;LQ-TUNEL;173+900;CA;
46;LQ-CT-PCI-HUM-1;LQ-CT-PCI-HUM-1;LQ-CT-PCI-HUM-1;AP7 - AUSOL I;LQ-TUNEL;173+900;CA;
47;LQ-CT-PCI-HUM-2;LQ-CT-PCI-HUM-2;LQ-CT-PCI-HUM-2;AP7 - AUSOL I;LQ-TUNEL;173+900;CA;
48;NG-CT-CGBT-HUM-1;NG-CT-CGBT-HUM-1;NG-CT-CGBT-HUM-1;AP7 - AUSOL I;NG-TUNEL;173+900;MA;
49;NG-CT-CGBT-HUM-2;NG-CT-CGBT-HUM-2;NG-CT-CGBT-HUM-2;AP7 - AUSOL I;NG-TUNEL;173+900;MA;
50;NG-CT-ITS-HUM-1;NG-CT-ITS-HUM-1;NG-CT-ITS-HUM-1;AP7 - AUSOL I;NG-TUNEL;173+900;MA;
51;NG-CT-ITS-HUM-2;NG-CT-ITS-HUM-2;NG-CT-ITS-HUM-2;AP7 - AUSOL I;NG-TUNEL;173+900;MA;
52;NG-CT-PCI-HUM-1;NG-CT-PCI-HUM-1;NG-CT-PCI-HUM-1;AP7 - AUSOL I;NG-TUNEL;173+900;MA;
53;NG-CT-PCI-HUM-2;NG-CT-PCI-HUM-2;NG-CT-PCI-HUM-2;AP7 - AUSOL I;NG-TUNEL;173+900;MA;
54;COR-CT-CGBT-BC-HUM-1;COR-CT-CGBT-BC-HUM-1;COR-CT-CGBT-BC-HUM-1;AP7 - AUSOL I;COR-TUNEL;173+900;CA;
55;COR-CT-CGBT-BC-HUM-2;COR-CT-CGBT-BC-HUM-2;COR-CT-CGBT-BC-HUM-2;AP7 - AUSOL I;COR-TUNEL;173+900;CA;
56;COR-CT-CGBT-BM-HUM-1;COR-CT-CGBT-BM-HUM-1;COR-CT-CGBT-BM-HUM-1;AP7 - AUSOL I;COR-TUNEL;173+900;MA;
57;COR-CT-CGBT-BM-HUM-2;COR-CT-CGBT-BM-HUM-2;COR-CT-CGBT-BM-HUM-2;AP7 - AUSOL I;COR-TUNEL;173+900;MA;
58;COR-CT-IT-BC-HUM-1;COR-CT-IT-BC-HUM-1;COR-CT-IT-BC-HUM-1;AP7 - AUSOL I;COR-TUNEL;173+900;CA;
59;COR-CT-IT-BC-HUM-2;COR-CT-IT-BC-HUM-2;COR-CT-IT-BC-HUM-2;AP7 - AUSOL I;COR-TUNEL;173+900;CA;
60;COR-CT-IT-BM-HUM-1;COR-CT-IT-BM-HUM-1;COR-CT-IT-BM-HUM-1;AP7 - AUSOL I;COR-TUNEL;173+900;MA;
61;COR-CT-IT-BM-HUM-2;COR-CT-IT-BM-HUM-2;COR-CT-IT-BM-HUM-2;AP7 - AUSOL I;COR-TUNEL;173+900;MA;
62;COR-CT-PCI-HUM-1;COR-CT-PCI-HUM-1;COR-CT-PCI-HUM-1;AP7 - AUSOL I;COR-TUNEL;173+900;MA;
63;COR-CT-PCI-HUM-2;COR-CT-PCI-HUM-2;COR-CT-PCI-HUM-2;AP7 - AUSOL I;COR-TUNEL;173+900;MA;
