item;alias;description;sessionuid;road;stretchs;pk;sentido
14;CAS-SMF-RAV-4CA;CAS-SMF-RAV-4CA;CAS-SMF-RAV-4CA;AP7 - AUSOL II;CAS-TUNEL;146+776;CA
15;CAS-SMF-RAV-1MA;CAS-SMF-RAV-1MA;CAS-SMF-RAV-1MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
16;CAS-SMF-RAV-2MA;CAS-SMF-RAV-2MA;CAS-SMF-RAV-2MA;AP7 - AUSOL II;CAS-TUNEL;146+776;MA
17;CAS-SMF-RAV-3MA;CAS-SMF-RAV-3MA;CAS-SMF-RAV-3MA;AP7 - AUSOL II;CAS-TUNEL;147+016;MA
18;CAS-SMF-RAV-4MA;CAS-SMF-RAV-4MA;CAS-SMF-RAV-4MA;AP7 - AUSOL II;CAS-TUNEL;147+256;MA
19;COR-SMF-RAV-1CA;COR-SMF-RAV-1CA;COR-SMF-RAV-1CA;AP7 - AUSOL II;COR-TUNEL;199+793;CA
20;COR-SMF-RAV-2CA;COR-SMF-RAV-2CA;COR-SMF-RAV-2CA;AP7 - AUSOL II;COR-TUNEL;199+793;CA
21;COR-SMF-RAV-3CA;COR-SMF-RAV-3CA;COR-SMF-RAV-3CA;AP7 - AUSOL II;COR-TUNEL;199+793;CA
22;COR-SMF-RAV-1MA;COR-SMF-RAV-1MA;COR-SMF-RAV-1MA;AP7 - AUSOL II;COR-TUNEL;199+223;MA
23;COR-SMF-RAV-2MA;COR-SMF-RAV-2MA;COR-SMF-RAV-2MA;AP7 - AUSOL II;COR-TUNEL;199+223;MA
24;COR-SMF-RAV-3MA;COR-SMF-RAV-3MA;COR-SMF-RAV-3MA;AP7 - AUSOL II;COR-TUNEL;199+223;MA
25;EST-SMF-RAV-1CA;EST-SMF-RAV-1CA;EST-SMF-RAV-1CA;AP7 - AUSOL II;EST-TUNEL;153+780 ;CA
26;EST-SMF-RAV-1MA;EST-SMF-RAV-1MA;EST-SMF-RAV-1MA;AP7 - AUSOL II;EST-TUNEL;153+495;MA
27;STM2-SMF-RAV-1CA;STM2-SMF-RAV-1CA;STM2-SMF-RAV-1CA;AP7 - AUSOL II;STMII-TUNEL;151+018;CA
28;STM2-SMF-RAV-2CA;STM2-SMF-RAV-2CA;STM2-SMF-RAV-2CA;AP7 - AUSOL II;STMII-TUNEL;150+478;CA
29;STM2-SMF-RAV-1MA;STM2-SMF-RAV-1MA;STM2-SMF-RAV-1MA;AP7 - AUSOL II;STMII-TUNEL;150+133;MA
30;STM2-SMF-RAV-2MA;STM2-SMF-RAV-2MA;STM2-SMF-RAV-2MA;AP7 - AUSOL II;STMII-TUNEL;150+478;MA
31;NG-SMF-RAV-1CA;NG-SMF-RAV-1CA;NG-SMF-RAV-1CA;AP7 - AUSOL I;NG-TUNEL;177+712;CA
32;NG-SMF-RAV-2CA;NG-SMF-RAV-2CA;NG-SMF-RAV-2CA;AP7 - AUSOL I;NG-TUNEL;177+712;CA
33;NG-SMF-RAV-1MA;NG-SMF-RAV-1MA;NG-SMF-RAV-1MA;AP7 - AUSOL I;NG-TUNEL;177+175;MA
34;NG-SMF-RAV-2MA;NG-SMF-RAV-2MA;NG-SMF-RAV-2MA;AP7 - AUSOL I;NG-TUNEL;177+175;MA
35;NG-SMF-RAV-3MA;NG-SMF-RAV-3MA;NG-SMF-RAV-3MA;AP7 - AUSOL I;NG-TUNEL;177+175;MA
36;NG-SMF-RAV-4MA;NG-SMF-RAV-4MA;NG-SMF-RAV-4MA;AP7 - AUSOL I;NG-TUNEL;177+175;MA
37;NG-SMF-RAV-3CA;NG-SMF-RAV-3CA;NG-SMF-RAV-3CA;AP7 - AUSOL I;NG-TUNEL;177+712;CA
38;NG-SMF-RAV-4CA;NG-SMF-RAV-4CA;NG-SMF-RAV-4CA;AP7 - AUSOL I;NG-TUNEL;177+712;CA
