item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;param1_direction;param2_virtual;param3_los_type;param4_los_soften;param5_los_flatten;param6_los_threshold_speed;param7_los_threshold_occupancy;param8_imd_graphics;param9_vel_media_graphics;param60_cat_veh_length1;param61_cat_veh_length2;param62_cat_veh_length3;param80_cat_veh_speed1;param81_cat_veh_speed2;param82_cat_veh_speed3;param83_cat_veh_speed4;param10_pk
11;2;STMI-ETD-2-SEC-1MA-IN;STMI-ETD-2-SEC-1MA-IN;STMI-ETD-2-SEC-1MA-IN;AP7 - AUSOL I;STMI-TUNEL;195+550;MA;true;false;0;false;false;[8, 32, 72];[16, 28, 35];http://192.168.88.200:3030/d/TYXiORfMk/imd-veh-h?orgId=1&refresh=30s&fullscreen&panelId=2&from=now-1h&to=now;http://192.168.88.200:3030/d/FfFhOgfGk/velocidad-media-km-h?orgId=1&refresh=30s&from=now-1h&to=now&fullscreen&panelId=2;[1];[2];[3];[1];[2];[3];[4];195+550
12;2;STMI-ETD-2-SEC-2CA-OUT;STMI-ETD-2-SEC-2CA-OUT;STMI-ETD-2-SEC-2CA-OUT;AP7 - AUSOL I;STMI-TUNEL;195+548;CA;true;false;0;false;false;[8, 32, 72];[16, 28, 35];http://192.168.88.200:3030/d/TYXiORfMk/imd-veh-h?orgId=1&refresh=30s&fullscreen&panelId=2&from=now-1h&to=now;http://192.168.88.200:3030/d/FfFhOgfGk/velocidad-media-km-h?orgId=1&refresh=30s&from=now-1h&to=now&fullscreen&panelId=2;[1];[2];[3];[1];[2];[3];[4];195+548
13;2;CH-ETD-1-SEC-1CA-IN;CH-ETD-1-SEC-1CA-IN;CH-ETD-1-SEC-1CA-IN;AP7 - AUSOL I;STMI-TUNEL;199+743;CA;true;false;0;false;false;[8, 32, 72];[16, 28, 35];http://192.168.88.200:3030/d/TYXiORfMk/imd-veh-h?orgId=1&refresh=30s&fullscreen&panelId=2&from=now-1h&to=now;http://192.168.88.200:3030/d/FfFhOgfGk/velocidad-media-km-h?orgId=1&refresh=30s&from=now-1h&to=now&fullscreen&panelId=2;[1];[2];[3];[1];[2];[3];[4];199+743
14;2;CH-ETD-1-SEC-2MA-OUT;CH-ETD-1-SEC-2MA-OUT;CH-ETD-1-SEC-2MA-OUT;AP7 - AUSOL I;CH-TUNEL;199+743;MA;true;false;0;false;false;[8, 32, 72];[16, 28, 35];http://192.168.88.200:3030/d/TYXiORfMk/imd-veh-h?orgId=1&refresh=30s&fullscreen&panelId=2&from=now-1h&to=now;http://192.168.88.200:3030/d/FfFhOgfGk/velocidad-media-km-h?orgId=1&refresh=30s&from=now-1h&to=now&fullscreen&panelId=2;[1];[2];[3];[1];[2];[3];[4];199+743
15;2;CH-ETD-2-SEC-1MA-IN;CH-ETD-2-SEC-1MA-IN;CH-ETD-2-SEC-1MA-IN;AP7 - AUSOL I;CH-TUNEL;199+270;MA;true;false;0;false;false;[8, 32, 72];[16, 28, 35];http://192.168.88.200:3030/d/TYXiORfMk/imd-veh-h?orgId=1&refresh=30s&fullscreen&panelId=2&from=now-1h&to=now;http://192.168.88.200:3030/d/FfFhOgfGk/velocidad-media-km-h?orgId=1&refresh=30s&from=now-1h&to=now&fullscreen&panelId=2;[1];[2];[3];[1];[2];[3];[4];199+270
16;2;CH-ETD-2-SEC-2CA-OUT;CH-ETD-2-SEC-2CA-OUT;CH-ETD-2-SEC-2CA-OUT;AP7 - AUSOL I;CH-TUNEL;199+270;CA;true;false;0;false;false;[8, 32, 72];[16, 28, 35];http://192.168.88.200:3030/d/TYXiORfMk/imd-veh-h?orgId=1&refresh=30s&fullscreen&panelId=2&from=now-1h&to=now;http://192.168.88.200:3030/d/FfFhOgfGk/velocidad-media-km-h?orgId=1&refresh=30s&from=now-1h&to=now&fullscreen&panelId=2;[1];[2];[3];[1];[2];[3];[4];199+270
17;2;LQ-ETD-1-SEC-1CA-IN;LQ-ETD-1-SEC-1CA-IN;LQ-ETD-1-SEC-1CA-IN;AP7 - AUSOL I;LQ-TUNEL;173+440;MA;true;false;0;false;false;[8, 32, 72];[16, 28, 35];http://192.168.88.200:3030/d/TYXiORfMk/imd-veh-h?orgId=1&refresh=30s&fullscreen&panelId=2&from=now-1h&to=now;http://192.168.88.200:3030/d/FfFhOgfGk/velocidad-media-km-h?orgId=1&refresh=30s&from=now-1h&to=now&fullscreen&panelId=2;[1];[2];[3];[1];[2];[3];[4];173+440
18;2;LQ-ETD-1-SEC-2MA-OUT;LQ-ETD-1-SEC-2MA-OUT;LQ-ETD-1-SEC-2MA-OUT;AP7 - AUSOL I;LQ-TUNEL;173+440;MA;true;false;0;false;false;[8, 32, 72];[16, 28, 35];http://192.168.88.200:3030/d/TYXiORfMk/imd-veh-h?orgId=1&refresh=30s&fullscreen&panelId=2&from=now-1h&to=now;http://192.168.88.200:3030/d/FfFhOgfGk/velocidad-media-km-h?orgId=1&refresh=30s&from=now-1h&to=now&fullscreen&panelId=2;[1];[2];[3];[1];[2];[3];[4];173+440
19;2;LQ-ETD-2-SEC-1MA-IN;LQ-ETD-2-SEC-1MA-IN;LQ-ETD-2-SEC-1MA-IN;AP7 - AUSOL I;LQ-TUNEL;172+700;MA;true;false;0;false;false;[8, 32, 72];[16, 28, 35];http://192.168.88.200:3030/d/TYXiORfMk/imd-veh-h?orgId=1&refresh=30s&fullscreen&panelId=2&from=now-1h&to=now;http://192.168.88.200:3030/d/FfFhOgfGk/velocidad-media-km-h?orgId=1&refresh=30s&from=now-1h&to=now&fullscreen&panelId=2;[1];[2];[3];[1];[2];[3];[4];172+700
20;2;LQ-ETD-2-SEC-2CA-OUT;LQ-ETD-2-SEC-2CA-OUT;LQ-ETD-2-SEC-2CA-OUT;AP7 - AUSOL II;LQ-TUNEL;172+700;MA;true;false;0;false;false;[8, 32, 72];[16, 28, 35];http://192.168.88.200:3030/d/TYXiORfMk/imd-veh-h?orgId=1&refresh=30s&fullscreen&panelId=2&from=now-1h&to=now;http://192.168.88.200:3030/d/FfFhOgfGk/velocidad-media-km-h?orgId=1&refresh=30s&from=now-1h&to=now&fullscreen&panelId=2;[1];[2];[3];[1];[2];[3];[4];172+700
25;2;EST-ETD-1-SEC-1CA-IN;EST-ETD-1-SEC-1CA-IN;EST-ETD-1-SEC-1CA-IN;AP7 - AUSOL II;EST-TUNEL;153+700;CA;true;false;0;false;false;[8, 32, 72];[16, 28, 35];http://192.168.88.200:3030/d/TYXiORfMk/imd-veh-h?orgId=1&refresh=30s&fullscreen&panelId=2&from=now-1h&to=now;http://192.168.88.200:3030/d/FfFhOgfGk/velocidad-media-km-h?orgId=1&refresh=30s&from=now-1h&to=now&fullscreen&panelId=2;[1];[2];[3];[1];[2];[3];[4];153+700
26;2;EST-ETD-2-SEC-2CA-OUT;EST-ETD-2-SEC-2CA-OUT;EST-ETD-2-SEC-2CA-OUT;AP7 - AUSOL II;EST-TUNEL;153+650;CA;true;false;0;false;false;[8, 32, 72];[16, 28, 35];http://192.168.88.200:3030/d/TYXiORfMk/imd-veh-h?orgId=1&refresh=30s&fullscreen&panelId=2&from=now-1h&to=now;http://192.168.88.200:3030/d/FfFhOgfGk/velocidad-media-km-h?orgId=1&refresh=30s&from=now-1h&to=now&fullscreen&panelId=2;[1];[2];[3];[1];[2];[3];[4];153+650
27;2;EST-ETD-1-SEC-1MA-IN;EST-ETD-1-SEC-1MA-IN;EST-ETD-1-SEC-1MA-IN;AP7 - AUSOL II;EST-TUNEL;153+650;MA;true;false;0;false;false;[8, 32, 72];[16, 28, 35];http://192.168.88.200:3030/d/TYXiORfMk/imd-veh-h?orgId=1&refresh=30s&fullscreen&panelId=2&from=now-1h&to=now;http://192.168.88.200:3030/d/FfFhOgfGk/velocidad-media-km-h?orgId=1&refresh=30s&from=now-1h&to=now&fullscreen&panelId=2;[1];[2];[3];[1];[2];[3];[4];153+650
28;2;EST-ETD-2-SEC-2MA-OUT;EST-ETD-2-SEC-2MA-OUT;EST-ETD-2-SEC-2MA-OUT;AP7 - AUSOL II;EST-TUNEL;153+700;MA;true;false;0;false;false;[8, 32, 72];[16, 28, 35];http://192.168.88.200:3030/d/TYXiORfMk/imd-veh-h?orgId=1&refresh=30s&fullscreen&panelId=2&from=now-1h&to=now;http://192.168.88.200:3030/d/FfFhOgfGk/velocidad-media-km-h?orgId=1&refresh=30s&from=now-1h&to=now&fullscreen&panelId=2;[1];[2];[3];[1];[2];[3];[4];153+700
