device_name;session_uid;url_publisher;PLC_name;PLC_ip;port(i);read_permission;write_permission;door_open_offset(i);surge_protection_offset(i)
RNJS.4M;RNJS.4M;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRASDJS05P;10.191.15.18;502;monitor;;5;4
RNJS.3M;RNJS.3M;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRASDJS05P;10.191.15.18;502;monitor;;7;6
RNJS.6M;RNJS.6M;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRJS39P_2;10.191.15.30;502;monitor;;5;4
RNJS.8M;RNJS.8M;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCMDJS407P;10.191.15.26;502;monitor;;5;4
RNJS.1N;RNJS.1N;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRTUJS09P;10.191.16.1;502;monitor;;5;4
RNJS.3N;RNJS.3N;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRJS42P_2;10.191.16.36;502;monitor;;5;4
RNJS.6N;RNJS.6N;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRJS45P_2;10.191.16.37;502;monitor;;5;4
RNJS.2P;RNJS.2P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCMZJS496P;10.191.16.20;502;monitor;;5;4
RNJS.3P;RNJS.3P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCMDJS408P;10.191.16.23;502;monitor;;5;4
RN406.1;RN406.1;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRJS400;10.191.10.36;502;monitor;;5;4
RNJS.3B;RNJS.3B;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCMDJS401L;10.191.8.15;502;monitor;;5;4
RNJS.1C;RNJS.1C;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCMZJS499L;10.191.8.26;502;monitor;;5;4
RNJS.2C;RNJS.2C;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRJS08L_2;10.191.8.39;502;monitor;;5;4
RNJS.3C;RNJS.3C;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCTUJS02L;10.191.9.1;502;monitor;;5;4
RNJS.2D;RNJS.2D;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCMDJS402;10.191.9.2;502;monitor;;5;4
RNJS.7D;RNJS.7D;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCTUJS03P;10.191.10.1;502;monitor;;5;4
RNJS.1E;RNJS.1E;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRASDJS02P;10.191.10.14;502;monitor;;5;4
RNJS.2E;RNJS.2E;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRJS15P;10.191.10.32;502;monitor;;5;4
RNSR.2B;RNSR.2B;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRSR02P;10.191.17.4;502;monitor;;5;4
RNSR.3B;RNSR.3B;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRASDSR01P;10.191.17.10;502;monitor;;5;4
RNSR.1C;RNSR.1C;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRSR04P;10.191.17.13;502;monitor;;5;4
RNSR.2D;RNSR.2D;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRSR07L_2;10.191.17.56;502;monitor;;5;4
RNSR.1E;RNSR.1E;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRASDSR02P;10.191.17.26;502;monitor;;5;4
RNSR.3E;RNSR.3E;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCR3DSR01P;10.191.17.31;502;monitor;;5;4
RNSR.4F;RNSR.4F;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCSCSR03P_2;10.191.18.11;502;monitor;;5;4
RNPK.1A;RNPK.1A;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCTUPK01L;10.191.19.1;502;monitor;;5;4
RNPK.4A;RNPK.4A;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRPK21P;10.191.19.12;502;monitor;;5;4
RNPK.2B;RNPK.2B;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRPK05L;10.191.19.18;502;monitor;;5;4
RNPK.3B;RNPK.3B;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCMZPK01L;10.191.19.20;502;monitor;;5;4
RNPK.2C;RNPK.2C;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRPK08L_2;10.191.19.38;502;monitor;;5;4
RNPK.3C;RNPK.3C;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCTUPK02L;10.191.20.1;502;monitor;;5;4
RNPK.4C;RNPK.4C;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRASDPK02L;10.191.20.19;502;monitor;;5;4
RNPK.2D;RNPK.2D;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRPK11L_2;10.191.20.54;502;monitor;;5;4
RNPK.3D;RNPK.3D;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRPK12L;10.191.20.33;502;monitor;;5;4
RNPK.2E;RNPK.2E;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRPK15L_2;10.191.20.53;502;monitor;;5;4
RNKD.2C;RNKD.2C;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDKD05LM;172.17.207.9;502;monitor;;5;4
RNKD.4C;RNKD.4C;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDKD06LM;172.17.207.10;502;monitor;;5;4
RNKD.1D;RNKD.1D;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDKD08LM;172.17.201.1;502;monitor;;5;4
RNKD.2D;RNKD.2D;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDKD09LM;172.17.201.2;502;monitor;;5;4
RNKD.1E;RNKD.1E;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDKD10LM;172.17.201.3;502;monitor;;5;4
RNKD.3E;RNKD.3E;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDKD11LM;172.17.201.4;502;monitor;;5;4
RNKD.2E;RNKD.2E;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDKD11LM;172.17.201.4;502;monitor;;7;6
RNKD.2F;RNKD.2F;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDKD12LM;172.17.202.1;502;monitor;;5;4
RNKD.1G;RNKD.1G;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDKD14LM;172.17.202.4;502;monitor;;5;4
RNDH.1A;RNDH.1A;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDDH01LM;172.17.202.6;502;monitor;;5;4
RNDH.3A;RNDH.3A;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDDH03LM;172.17.203.1;502;monitor;;5;4
RNDH.1B;RNDH.1B;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDDH04LM;172.17.203.2;502;monitor;;5;4
RNDH.3B;RNDH.3B;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDDH05LM;172.17.203.4;502;monitor;;5;4
RNDH.1C;RNDH.1C;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDDH06LM;172.17.203.5;502;monitor;;5;4
RNDH.2C;RNDH.2C;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDDH07PI;172.17.203.6;502;monitor;;5;4
RNDH.3C;RNDH.3C;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDDH09LI;172.17.203.8;502;monitor;;5;4
RNDH.4C;RNDH.4C;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDDH10LM;172.17.203.9;502;monitor;;5;4
RNDH.3D;RNDH.3D;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDDH12L;172.17.204.1;502;monitor;;5;4
RNDH.1E;RNDH.1E;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDDH13LM;172.17.204.3;502;monitor;;5;4
RNDH.2E;RNDH.2E;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDDH14LM;172.17.204.4;502;monitor;;5;4
RNDH.3E;RNDH.3E;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDDH15LM;172.17.204.5;502;monitor;;5;4
RNDH.4E;RNDH.4E;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDDH16LM;172.17.204.6;502;monitor;;5;4
RNDH.5E;RNDH.5E;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDDH17LM;172.17.204.7;502;monitor;;5;4
RNDH.6E;RNDH.6E;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDDH18LM;172.17.204.9;502;monitor;;5;4
RNDH.2F;RNDH.2F;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDDH19LM;172.17.205.1;502;monitor;;5;4
RNDH.4F;RNDH.4F;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDDH21L;172.17.205.3;502;monitor;;5;4
RNDH.2K;RNDH.2K;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDDH23LM;172.17.206.6;502;monitor;;5;4
RNDH.5K;RNDH.5K;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDDH24LM;172.17.207.2;502;monitor;;5;4
RNDH.6K;RNDH.6K;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDDH25PI;172.17.207.3;502;monitor;;5;4
RNDH.7K;RNDH.7K;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDDH26LI;172.17.207.4;502;monitor;;5;4
RNJS.3F;RNJS.3F;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDJS26PM;172.17.211.3;502;monitor;;5;4
RNJS.2H;RNJS.2H;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDJS36LM;172.17.212.5;502;monitor;;5;4
RNJS.4H;RNJS.4H;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDJS37LM;172.17.212.6;502;monitor;;5;4
RNJS.3J;RNJS.3J;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDJS38PM;172.17.213.1;502;monitor;;5;4
RNJS.5K;RNJS.5K;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDJS44PM;172.17.214.1;502;monitor;;5;4
RNJS.2L;RNJS.2L;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDJS47PM;172.17.214.4;502;monitor;;5;4
RNJS.5M;RNJS.5M;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDJS52PM;172.17.215.2;502;monitor;;5;4
RNJS.7M;RNJS.7M;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDJS53PM;172.17.215.3;502;monitor;;5;4
RNJS.2N;RNJS.2N;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDJS55PM;172.17.216.1;502;monitor;;5;4
RNJS.4N;RNJS.4N;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDJS56PM;172.17.216.2;502;monitor;;5;4
RNJS.5N;RNJS.5N;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDJS56.1PM;172.17.216.13;502;monitor;;5;4
RNJS.3.1P;RNJS.3.1P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDJS63PI;172.17.216.9;502;monitor;;5;4
RNJS.4P;RNJS.4P;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDJS63PI;172.17.216.9;502;monitor;;7;6
RNJS.3A;RNJS.3A;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDJS01PI;172.17.210.21;502;monitor;;5;4
RNJS.1A;RNJS.1A;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDJS02LI;172.17.210.22;502;monitor;;5;4
RNJS.2A;RNJS.2A;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDJS03PI;172.17.210.23;502;monitor;;5;4
RNJS.2B;RNJS.2B;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDJS05LI;172.17.208.2;502;monitor;;5;4
RNJS.4B;RNJS.4B;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDJS07LM;172.17.208.4;502;monitor;;5;4
RNJS.4C;RNJS.4C;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDJS09LI;172.17.209.1;502;monitor;;5;4
RNJS.1D;RNJS.1D;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD02;10.191.9.29;502;monitor;;5;4
RNJS.3D;RNJS.3D;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD08;10.191.9.35;502;monitor;;5;4
RNJS.4D;RNJS.4D;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD11;10.191.9.38;502;monitor;;5;4
RNJS.5D;RNJS.5D;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD13;10.191.9.40;502;monitor;;5;4
RNJS.6D;RNJS.6D;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD15;10.191.9.42;502;monitor;;5;4
RNJS.8D;RNJS.8D;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD20;10.191.10.86;502;monitor;;5;4
RNJS.9D;RNJS.9D;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD23;10.191.10.89;502;monitor;;5;4
RNJS.10D;RNJS.10D;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD26;10.191.10.92;502;monitor;;5;4
RNJS.11D;RNJS.11D;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRAIDJSKD29;10.191.10.95;502;monitor;;5;4
RNJS.3E;RNJS.3E;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRSPS405JSPP;10.191.10.102;502;monitor;;5;4
RNSR.2C;RNSR.2C;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDSR05PI;172.17.217.3;502;monitor;;5;4
RNSR.1D;RNSR.1D;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDSR06PI;172.17.217.4;502;monitor;;5;4
RNSR.3D;RNSR.3D;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDSR07PM;172.17.217.5;502;monitor;;5;4
RNSR.2E;RNSR.2E;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDSR08PM;172.17.217.6;502;monitor;;5;4
RNSR.2F;RNSR.2F;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDSR12LI;172.17.218.3;502;monitor;;5;4
RNSR.3F;RNSR.3F;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDSR11LI;172.17.218.2;502;monitor;;5;4
RNSR.5F;RNSR.5F;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDSR13LI;172.17.218.4;502;monitor;;5;4
RNMP.1A;RNMP.1A;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRMP02;10.191.20.45;502;monitor;;5;4
RNMP.2A;RNMP.2A;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDMP02M;172.17.220.6;502;monitor;;5;4
RNPK.2A;RNPK.2A;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRNRSPK03L;10.191.19.4;502;monitor;;5;4
RNPK.3A;RNPK.3A;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDPK04LM;172.17.219.4;502;monitor;;5;4
RNPK.1C;RNPK.1C;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDPK08LM;172.17.219.9;502;monitor;;5;4
RNPK.1E;RNPK.1E;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDPK12LM;172.17.220.3;502;monitor;;5;4
RNPK.3E;RNPK.3E;http:\/\/10.120.50.248:3000\/api\/v2\/generic\/;PLCRKDPK13LM;172.17.220.4;502;monitor;;5;4
