alias;measure;offset;;;
RV-SEC-2-DET-4MA-OUT;vehvel11;246;;;
RV-SEC-2-DET-4MA-OUT;vehvel12;247;;;
RV-SEC-2-DET-4MA-OUT;vehvel13;248;;;
RV-SEC-2-DET-4MA-OUT;vehvel14;249;;;
RV-SEC-2-DET-4MA-OUT;vehvel15;250;;;
RV-SEC-2-DET-4MA-OUT;vehvel16;251;;;
RV-SEC-1-DET-1MA-IN;periodo_integracion;252;;;
RV-SEC-1-DET-1MA-IN;fallo_datos;253;;;
RV-SEC-1-DET-1MA-IN;numero_detector;254;;;
RV-SEC-1-DET-1MA-IN;intensidad_total;255;;;
RV-SEC-1-DET-1MA-IN;ocupacion_espira_cabeza;256;;;
RV-SEC-1-DET-1MA-IN;deteccion_congestion;257;;;
RV-SEC-1-DET-1MA-IN;deteccion_intensidad_inversa;258;;;
RV-SEC-1-DET-1MA-IN;sentido_circulacion;259;;;
RV-SEC-1-DET-1MA-IN;velocidad_media;260;;;
RV-SEC-1-DET-1MA-IN;longitud_media;261;;;
RV-SEC-1-DET-1MA-IN;distancia_media;262;;;
RV-SEC-1-DET-1MA-IN;vehlong1;263;;;
RV-SEC-1-DET-1MA-IN;vehlong2;264;;;
RV-SEC-1-DET-1MA-IN;vehlong3;265;;;
RV-SEC-1-DET-1MA-IN;vehlong4;266;;;
RV-SEC-1-DET-1MA-IN;vehlong5;267;;;
RV-SEC-1-DET-1MA-IN;vehlong6;268;;;
RV-SEC-1-DET-1MA-IN;vehlong7;269;;;
RV-SEC-1-DET-1MA-IN;vehlong8;270;;;
RV-SEC-1-DET-1MA-IN;vehlong9;271;;;
RV-SEC-1-DET-1MA-IN;vehlong10;272;;;
RV-SEC-1-DET-1MA-IN;vehlong11;273;;;
RV-SEC-1-DET-1MA-IN;vehlong12;274;;;
RV-SEC-1-DET-1MA-IN;vehlong13;275;;;
RV-SEC-1-DET-1MA-IN;vehlong14;276;;;
RV-SEC-1-DET-1MA-IN;vehlong15;277;;;
RV-SEC-1-DET-1MA-IN;vehlong16;278;;;
RV-SEC-1-DET-1MA-IN;vehvel1;279;;;
RV-SEC-1-DET-1MA-IN;vehvel2;280;;;
RV-SEC-1-DET-1MA-IN;vehvel3;281;;;
RV-SEC-1-DET-1MA-IN;vehvel4;282;;;
RV-SEC-1-DET-1MA-IN;vehvel5;283;;;
RV-SEC-1-DET-1MA-IN;vehvel6;284;;;
RV-SEC-1-DET-1MA-IN;vehvel7;285;;;
RV-SEC-1-DET-1MA-IN;vehvel8;286;;;
RV-SEC-1-DET-1MA-IN;vehvel9;287;;;
RV-SEC-1-DET-1MA-IN;vehvel10;288;;;
RV-SEC-1-DET-1MA-IN;vehvel11;289;;;
RV-SEC-1-DET-1MA-IN;vehvel12;290;;;
RV-SEC-1-DET-1MA-IN;vehvel13;291;;;
RV-SEC-1-DET-1MA-IN;vehvel14;292;;;
RV-SEC-1-DET-1MA-IN;vehvel15;293;;;
RV-SEC-1-DET-1MA-IN;vehvel16;294;;;
RV-SEC-1-DET-2MA-IN;periodo_integracion;295;;;
RV-SEC-1-DET-2MA-IN;fallo_datos;296;;;
RV-SEC-1-DET-2MA-IN;numero_detector;297;;;
RV-SEC-1-DET-2MA-IN;intensidad_total;298;;;
RV-SEC-1-DET-2MA-IN;ocupacion_espira_cabeza;299;;;
RV-SEC-1-DET-2MA-IN;deteccion_congestion;300;;;
RV-SEC-1-DET-2MA-IN;deteccion_intensidad_inversa;301;;;
RV-SEC-1-DET-2MA-IN;sentido_circulacion;302;;;
RV-SEC-1-DET-2MA-IN;velocidad_media;303;;;
RV-SEC-1-DET-2MA-IN;longitud_media;304;;;
RV-SEC-1-DET-2MA-IN;distancia_media;305;;;
RV-SEC-1-DET-2MA-IN;vehlong1;306;;;
RV-SEC-1-DET-2MA-IN;vehlong2;307;;;
RV-SEC-1-DET-2MA-IN;vehlong3;308;;;
RV-SEC-1-DET-2MA-IN;vehlong4;309;;;
RV-SEC-1-DET-2MA-IN;vehlong5;310;;;
RV-SEC-1-DET-2MA-IN;vehlong6;311;;;
RV-SEC-1-DET-2MA-IN;vehlong7;312;;;
RV-SEC-1-DET-2MA-IN;vehlong8;313;;;
RV-SEC-1-DET-2MA-IN;vehlong9;314;;;
RV-SEC-1-DET-2MA-IN;vehlong10;315;;;
RV-SEC-1-DET-2MA-IN;vehlong11;316;;;
RV-SEC-1-DET-2MA-IN;vehlong12;317;;;
RV-SEC-1-DET-2MA-IN;vehlong13;318;;;
RV-SEC-1-DET-2MA-IN;vehlong14;319;;;
RV-SEC-1-DET-2MA-IN;vehlong15;320;;;
RV-SEC-1-DET-2MA-IN;vehlong16;321;;;
RV-SEC-1-DET-2MA-IN;vehvel1;322;;;
RV-SEC-1-DET-2MA-IN;vehvel2;323;;;
RV-SEC-1-DET-2MA-IN;vehvel3;324;;;
RV-SEC-1-DET-2MA-IN;vehvel4;325;;;
RV-SEC-1-DET-2MA-IN;vehvel5;326;;;
RV-SEC-1-DET-2MA-IN;vehvel6;327;;;
RV-SEC-1-DET-2MA-IN;vehvel7;328;;;
RV-SEC-1-DET-2MA-IN;vehvel8;329;;;
RV-SEC-1-DET-2MA-IN;vehvel9;330;;;
RV-SEC-1-DET-2MA-IN;vehvel10;331;;;
RV-SEC-1-DET-2MA-IN;vehvel11;332;;;
RV-SEC-1-DET-2MA-IN;vehvel12;333;;;
RV-SEC-1-DET-2MA-IN;vehvel13;334;;;
RV-SEC-1-DET-2MA-IN;vehvel14;335;;;
RV-SEC-1-DET-2MA-IN;vehvel15;336;;;
RV-SEC-1-DET-2MA-IN;vehvel16;337;;;
RV-SEC-2-DET-3CA-OUT;periodo_integracion;338;;;
RV-SEC-2-DET-3CA-OUT;fallo_datos;339;;;
RV-SEC-2-DET-3CA-OUT;numero_detector;340;;;
RV-SEC-2-DET-3CA-OUT;intensidad_total;341;;;
RV-SEC-2-DET-3CA-OUT;ocupacion_espira_cabeza;342;;;
RV-SEC-2-DET-3CA-OUT;deteccion_congestion;343;;;
RV-SEC-2-DET-3CA-OUT;deteccion_intensidad_inversa;344;;;
RV-SEC-2-DET-3CA-OUT;sentido_circulacion;345;;;
RV-SEC-2-DET-3CA-OUT;velocidad_media;346;;;
RV-SEC-2-DET-3CA-OUT;longitud_media;347;;;
RV-SEC-2-DET-3CA-OUT;distancia_media;348;;;
RV-SEC-2-DET-3CA-OUT;vehlong1;349;;;
RV-SEC-2-DET-3CA-OUT;vehlong2;350;;;
RV-SEC-2-DET-3CA-OUT;vehlong3;351;;;
RV-SEC-2-DET-3CA-OUT;vehlong4;352;;;
RV-SEC-2-DET-3CA-OUT;vehlong5;353;;;
RV-SEC-2-DET-3CA-OUT;vehlong6;354;;;
RV-SEC-2-DET-3CA-OUT;vehlong7;355;;;
RV-SEC-2-DET-3CA-OUT;vehlong8;356;;;
RV-SEC-2-DET-3CA-OUT;vehlong9;357;;;
RV-SEC-2-DET-3CA-OUT;vehlong10;358;;;
RV-SEC-2-DET-3CA-OUT;vehlong11;359;;;
RV-SEC-2-DET-3CA-OUT;vehlong12;360;;;
RV-SEC-2-DET-3CA-OUT;vehlong13;361;;;
RV-SEC-2-DET-3CA-OUT;vehlong14;362;;;
RV-SEC-2-DET-3CA-OUT;vehlong15;363;;;
RV-SEC-2-DET-3CA-OUT;vehlong16;364;;;
RV-SEC-2-DET-3CA-OUT;vehvel1;365;;;
RV-SEC-2-DET-3CA-OUT;vehvel2;366;;;
RV-SEC-2-DET-3CA-OUT;vehvel3;367;;;
RV-SEC-2-DET-3CA-OUT;vehvel4;368;;;
RV-SEC-2-DET-3CA-OUT;vehvel5;369;;;
RV-SEC-2-DET-3CA-OUT;vehvel6;370;;;
RV-SEC-2-DET-3CA-OUT;vehvel7;371;;;
RV-SEC-2-DET-3CA-OUT;vehvel8;372;;;
RV-SEC-2-DET-3CA-OUT;vehvel9;373;;;
RV-SEC-2-DET-3CA-OUT;vehvel10;374;;;
RV-SEC-2-DET-3CA-OUT;vehvel11;375;;;
RV-SEC-2-DET-3CA-OUT;vehvel12;376;;;
RV-SEC-2-DET-3CA-OUT;vehvel13;377;;;
RV-SEC-2-DET-3CA-OUT;vehvel14;378;;;
