alias;command;offset;;;;
STM2-VENT-VF6-MA;fan_cmd;8177;;;;
RESERVED;RESERVED;8178;;;;
RESERVED;RESERVED;8179;;;;
RV-SMF-RAV-1CA;sem_cmd;8180;;;;
RV-SMF-RAV-1MA;sem_cmd;8181;;;;
MM-SMF-RAV-1CA;sem_cmd;8182;;;;
MM-SMF-RAV-1MA;sem_cmd;8183;;;;
STMI-SMF-RAV-1CA;sem_cmd;8184;;;;
STMI-SMF-RAV-1MA;sem_cmd;8185;;;;
LQ-SMF-RAV-1MA;sem_cmd;8186;;;;
LQ-SMF-RAV-1CA;sem_cmd;8187;;;;
CH-SMF-RAV-1MA;sem_cmd;8188;;;;
CH-SMF-RAV-1CA;sem_cmd;8189;;;;
CAS-SMF-RAV-1CA;sem_cmd;8190;;;;
CAS-SMF-RAV-2CA;sem_cmd;8191;;;;
CAS-SMF-RAV-3CA;sem_cmd;8192;;;;
CAS-SMF-RAV-4CA;sem_cmd;8193;;;;
CAS-SMF-RAV-1MA;sem_cmd;8194;;;;
CAS-SMF-RAV-2MA;sem_cmd;8195;;;;
CAS-SMF-RAV-3MA;sem_cmd;8196;;;;
CAS-SMF-RAV-4MA;sem_cmd;8197;;;;
COR-SMF-RAV-1MA;sem_cmd;8198;;;;
COR-SMF-RAV-2MA;sem_cmd;8199;;;;
COR-SMF-RAV-3MA;sem_cmd;8200;;;;
COR-SMF-RAV-1CA;sem_cmd;8201;;;;
COR-SMF-RAV-2CA;sem_cmd;8202;;;;
COR-SMF-RAV-3CA;sem_cmd;8203;;;;
EST-SMF-RAV-1MA;sem_cmd;8204;;;;
EST-SMF-RAV-1CA;sem_cmd;8205;;;;
STM2-SMF-RAV-1MA;sem_cmd;8206;;;;
STM2-SMF-RAV-1CA;sem_cmd;8207;;;;
STM2-SMF-RAV-2MA;sem_cmd;8208;;;;
STM2-SMF-RAV-2CA;sem_cmd;8209;;;;
NG-SMF-RAV-1MA;sem_cmd;8210;;;;
NG-SMF-RAV-2MA;sem_cmd;8211;;;;
NG-SMF-RAV-3MA;sem_cmd;8212;;;;
NG-SMF-RAV-4MA;sem_cmd;8213;;;;
NG-SMF-RAV-1CA;sem_cmd;8214;;;;
NG-SMF-RAV-2CA;sem_cmd;8215;;;;
NG-SMF-RAV-3CA;sem_cmd;8216;;;;
NG-SMF-RAV-4CA;sem_cmd;8217;;;;
