alias;alarm;offset;;;;
MM-VENT-VF2-MA;front_motor_bearing_sensor_alarm;308;;;;
MM-VENT-VF2-MA;back_motor_bearing_sensor_alarm;309;;;;
MM-VENT-VF3-MA;windings_temperature_alarm;310;;;;
MM-VENT-VF3-MA;windings_sensor_alarm;311;;;;
MM-VENT-VF3-MA;fan_switch;312;;;;
MM-VENT-VF3-MA;fan_gear;313;;;;
MM-VENT-VF3-MA;vibration_sensor_alarm;314;;;;
MM-VENT-VF3-MA;front_motor_bearing_sensor_alarm;315;;;;
MM-VENT-VF3-MA;back_motor_bearing_sensor_alarm;316;;;;
MM-VENT-VF4-MA;windings_temperature_alarm;317;;;;
MM-VENT-VF4-MA;windings_sensor_alarm;318;;;;
MM-VENT-VF4-MA;fan_switch;319;;;;
MM-VENT-VF4-MA;fan_gear;320;;;;
MM-VENT-VF4-MA;vibration_sensor_alarm;321;;;;
MM-VENT-VF4-MA;front_motor_bearing_sensor_alarm;322;;;;
MM-VENT-VF4-MA;back_motor_bearing_sensor_alarm;323;;;;
MM-VENT-VF5-MA;windings_temperature_alarm;324;;;;
MM-VENT-VF5-MA;windings_sensor_alarm;325;;;;
MM-VENT-VF5-MA;fan_switch;326;;;;
MM-VENT-VF5-MA;fan_gear;327;;;;
MM-VENT-VF5-MA;vibration_sensor_alarm;328;;;;
MM-VENT-VF5-MA;front_motor_bearing_sensor_alarm;329;;;;
MM-VENT-VF5-MA;back_motor_bearing_sensor_alarm;330;;;;
MM-VENT-VF6-MA;windings_temperature_alarm;331;;;;
MM-VENT-VF6-MA;windings_sensor_alarm;332;;;;
MM-VENT-VF6-MA;fan_switch;333;;;;
MM-VENT-VF6-MA;fan_gear;334;;;;
MM-VENT-VF6-MA;vibration_sensor_alarm;335;;;;
MM-VENT-VF6-MA;front_motor_bearing_sensor_alarm;336;;;;
MM-VENT-VF6-MA;back_motor_bearing_sensor_alarm;337;;;;
CAS-VENT-VF1-MA;windings_temperature_alarm;338;;;;
CAS-VENT-VF1-MA;windings_sensor_alarm;339;;;;
CAS-VENT-VF1-MA;fan_switch;340;;;;
CAS-VENT-VF1-MA;fan_gear;341;;;;
CAS-VENT-VF1-MA;vibration_sensor_alarm;342;;;;
CAS-VENT-VF1-MA;front_motor_bearing_sensor_alarm;343;;;;
CAS-VENT-VF1-MA;back_motor_bearing_sensor_alarm;344;;;;
CAS-VENT-VF2-MA;windings_temperature_alarm;345;;;;
CAS-VENT-VF2-MA;windings_sensor_alarm;346;;;;
CAS-VENT-VF2-MA;fan_switch;347;;;;
CAS-VENT-VF2-MA;fan_gear;348;;;;
CAS-VENT-VF2-MA;vibration_sensor_alarm;349;;;;
CAS-VENT-VF2-MA;front_motor_bearing_sensor_alarm;350;;;;
CAS-VENT-VF2-MA;back_motor_bearing_sensor_alarm;351;;;;
CAS-VENT-VF3-MA;windings_temperature_alarm;352;;;;
CAS-VENT-VF3-MA;windings_sensor_alarm;353;;;;
CAS-VENT-VF3-MA;fan_switch;354;;;;
CAS-VENT-VF3-MA;fan_gear;355;;;;
CAS-VENT-VF3-MA;vibration_sensor_alarm;356;;;;
CAS-VENT-VF3-MA;front_motor_bearing_sensor_alarm;357;;;;
CAS-VENT-VF3-MA;back_motor_bearing_sensor_alarm;358;;;;
CAS-VENT-VF4-MA;windings_temperature_alarm;359;;;;
CAS-VENT-VF4-MA;windings_sensor_alarm;360;;;;
CAS-VENT-VF4-MA;fan_switch;361;;;;
CAS-VENT-VF4-MA;fan_gear;362;;;;
CAS-VENT-VF4-MA;vibration_sensor_alarm;363;;;;
CAS-VENT-VF4-MA;front_motor_bearing_sensor_alarm;364;;;;
CAS-VENT-VF4-MA;back_motor_bearing_sensor_alarm;365;;;;
CAS-VENT-VF5-MA;windings_temperature_alarm;366;;;;
CAS-VENT-VF5-MA;windings_sensor_alarm;367;;;;
CAS-VENT-VF5-MA;fan_switch;368;;;;
CAS-VENT-VF5-MA;fan_gear;369;;;;
CAS-VENT-VF5-MA;vibration_sensor_alarm;370;;;;
CAS-VENT-VF5-MA;front_motor_bearing_sensor_alarm;371;;;;
CAS-VENT-VF5-MA;back_motor_bearing_sensor_alarm;372;;;;
CAS-VENT-VF6-MA;windings_temperature_alarm;373;;;;
CAS-VENT-VF6-MA;windings_sensor_alarm;374;;;;
CAS-VENT-VF6-MA;fan_switch;375;;;;
CAS-VENT-VF6-MA;fan_gear;376;;;;
CAS-VENT-VF6-MA;vibration_sensor_alarm;377;;;;
CAS-VENT-VF6-MA;front_motor_bearing_sensor_alarm;378;;;;
CAS-VENT-VF6-MA;back_motor_bearing_sensor_alarm;379;;;;
CAS-VENT-VF7-MA;windings_temperature_alarm;380;;;;
CAS-VENT-VF7-MA;windings_sensor_alarm;381;;;;
CAS-VENT-VF7-MA;fan_switch;382;;;;
CAS-VENT-VF7-MA;fan_gear;383;;;;
CAS-VENT-VF7-MA;vibration_sensor_alarm;384;;;;
CAS-VENT-VF7-MA;front_motor_bearing_sensor_alarm;385;;;;
CAS-VENT-VF7-MA;back_motor_bearing_sensor_alarm;386;;;;
CAS-VENT-VF8-MA;windings_temperature_alarm;387;;;;
CAS-VENT-VF8-MA;windings_sensor_alarm;388;;;;
CAS-VENT-VF8-MA;fan_switch;389;;;;
CAS-VENT-VF8-MA;fan_gear;390;;;;
CAS-VENT-VF8-MA;vibration_sensor_alarm;391;;;;
CAS-VENT-VF8-MA;front_motor_bearing_sensor_alarm;392;;;;
CAS-VENT-VF8-MA;back_motor_bearing_sensor_alarm;393;;;;
CAS-VENT-VF9-MA;windings_temperature_alarm;394;;;;
CAS-VENT-VF9-MA;windings_sensor_alarm;395;;;;
CAS-VENT-VF9-MA;fan_switch;396;;;;
CAS-VENT-VF9-MA;fan_gear;397;;;;
CAS-VENT-VF9-MA;vibration_sensor_alarm;398;;;;
CAS-VENT-VF9-MA;front_motor_bearing_sensor_alarm;399;;;;
CAS-VENT-VF9-MA;back_motor_bearing_sensor_alarm;400;;;;
CAS-VENT-VF10-MA;windings_temperature_alarm;401;;;;
CAS-VENT-VF10-MA;windings_sensor_alarm;402;;;;
CAS-VENT-VF10-MA;fan_switch;403;;;;
CAS-VENT-VF10-MA;fan_gear;404;;;;
CAS-VENT-VF10-MA;vibration_sensor_alarm;405;;;;
CAS-VENT-VF10-MA;front_motor_bearing_sensor_alarm;406;;;;
CAS-VENT-VF10-MA;back_motor_bearing_sensor_alarm;407;;;;
CAS-VENT-VF1-CA;windings_temperature_alarm;408;;;;
CAS-VENT-VF1-CA;windings_sensor_alarm;409;;;;
CAS-VENT-VF1-CA;fan_switch;410;;;;
CAS-VENT-VF1-CA;fan_gear;411;;;;
CAS-VENT-VF1-CA;vibration_sensor_alarm;412;;;;
CAS-VENT-VF1-CA;front_motor_bearing_sensor_alarm;413;;;;
CAS-VENT-VF1-CA;back_motor_bearing_sensor_alarm;414;;;;
CAS-VENT-VF2-CA;windings_temperature_alarm;415;;;;
CAS-VENT-VF2-CA;windings_sensor_alarm;416;;;;
CAS-VENT-VF2-CA;fan_switch;417;;;;
CAS-VENT-VF2-CA;fan_gear;418;;;;
CAS-VENT-VF2-CA;vibration_sensor_alarm;419;;;;
CAS-VENT-VF2-CA;front_motor_bearing_sensor_alarm;420;;;;
CAS-VENT-VF2-CA;back_motor_bearing_sensor_alarm;421;;;;
CAS-VENT-VF3-CA;windings_temperature_alarm;422;;;;
CAS-VENT-VF3-CA;windings_sensor_alarm;423;;;;
CAS-VENT-VF3-CA;fan_switch;424;;;;
CAS-VENT-VF3-CA;fan_gear;425;;;;
CAS-VENT-VF3-CA;vibration_sensor_alarm;426;;;;
CAS-VENT-VF3-CA;front_motor_bearing_sensor_alarm;427;;;;
CAS-VENT-VF3-CA;back_motor_bearing_sensor_alarm;428;;;;
CAS-VENT-VF4-CA;windings_temperature_alarm;429;;;;
CAS-VENT-VF4-CA;windings_sensor_alarm;430;;;;
CAS-VENT-VF4-CA;fan_switch;431;;;;
CAS-VENT-VF4-CA;fan_gear;432;;;;
CAS-VENT-VF4-CA;vibration_sensor_alarm;433;;;;
CAS-VENT-VF4-CA;front_motor_bearing_sensor_alarm;434;;;;
CAS-VENT-VF4-CA;back_motor_bearing_sensor_alarm;435;;;;
CAS-VENT-VF5-CA;windings_temperature_alarm;436;;;;
CAS-VENT-VF5-CA;windings_sensor_alarm;437;;;;
CAS-VENT-VF5-CA;fan_switch;438;;;;
CAS-VENT-VF5-CA;fan_gear;439;;;;
CAS-VENT-VF5-CA;vibration_sensor_alarm;440;;;;
CAS-VENT-VF5-CA;front_motor_bearing_sensor_alarm;441;;;;
CAS-VENT-VF5-CA;back_motor_bearing_sensor_alarm;442;;;;
CAS-VENT-VF6-CA;windings_temperature_alarm;443;;;;
CAS-VENT-VF6-CA;windings_sensor_alarm;444;;;;
CAS-VENT-VF6-CA;fan_switch;445;;;;
CAS-VENT-VF6-CA;fan_gear;446;;;;
CAS-VENT-VF6-CA;vibration_sensor_alarm;447;;;;
CAS-VENT-VF6-CA;front_motor_bearing_sensor_alarm;448;;;;
CAS-VENT-VF6-CA;back_motor_bearing_sensor_alarm;449;;;;
CAS-VENT-VF7-CA;windings_temperature_alarm;450;;;;
CAS-VENT-VF7-CA;windings_sensor_alarm;451;;;;
CAS-VENT-VF7-CA;fan_switch;452;;;;
CAS-VENT-VF7-CA;fan_gear;453;;;;
CAS-VENT-VF7-CA;vibration_sensor_alarm;454;;;;
CAS-VENT-VF7-CA;front_motor_bearing_sensor_alarm;455;;;;
CAS-VENT-VF7-CA;back_motor_bearing_sensor_alarm;456;;;;
CAS-VENT-VF8-CA;windings_temperature_alarm;457;;;;
CAS-VENT-VF8-CA;windings_sensor_alarm;458;;;;
