item;alias;description;sessionuid;road;stretchs;pk;param1_brand;param2_model;param3_stream_mjpeg;param7_PTZ;param12_PTZ
11;AS PTZ 3;AS PTZ 3;AS PTZ 3;UF 1;UF 1;0+110;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
12;PTZ 01;PTZ 01;PTZ 01;UF 1;UF 1;0+120;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
13;PTZ 02;PTZ 02;PTZ 02;UF 1;UF 1;0+130;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
14;PTZ 03;PTZ 03;PTZ 03;UF 1;UF 1;0+140;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
15;PTZ 04;PTZ 04;PTZ 04;UF 1;UF 1;0+150;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
16;PTZ 05;PTZ 05;PTZ 05;UF 1;UF 1;0+160;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
17;PTZ 07;PTZ 07;PTZ 07;UF 1;UF 1;0+170;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
18;PTZ 08;PTZ 08;PTZ 08;UF 1;UF 1;0+180;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
19;PTZ 09;PTZ 09;PTZ 09;UF 1;UF 1;0+190;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
20;PTZ 11;PTZ 11;PTZ 11;UF 1;UF 1;0+200;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
21;PTZ 12;PTZ 12;PTZ 12;UF 1;UF 1;0+210;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
22;PTZ 13;PTZ 13;PTZ 13;UF 1;UF 1;0+220;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
23;PTZ 15;PTZ 15;PTZ 15;UF 1;UF 1;0+230;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
24;PTZ 16;PTZ 16;PTZ 16;UF 1;UF 1;0+240;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
25;PTZ 17;PTZ 17;PTZ 17;UF 1;UF 1;0+250;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
26;PTZ 19;PTZ 19;PTZ 19;UF 1;UF 1;0+260;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
27;PTZ 22;PTZ 22;PTZ 22;UF 1;UF 1;0+270;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
28;PTZ 23;PTZ 23;PTZ 23;UF 1;UF 1;0+280;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
29;PTZ 24;PTZ 24;PTZ 24;UF 1;UF 1;0+290;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
30;PTZ 25;PTZ 25;PTZ 25;UF 1;UF 1;0+300;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
31;PTZ 26;PTZ 26;PTZ 26;UF 1;UF 1;0+310;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
32;PTZ 27;PTZ 27;PTZ 27;UF 1;UF 1;0+320;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
33;PTZ 30;PTZ 30;PTZ 30;UF 1;UF 1;0+330;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
34;PTZ 31;PTZ 31;PTZ 31;UF 1;UF 1;0+340;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
35;PTZ 32;PTZ 32;PTZ 32;UF 1;UF 1;0+350;Revenga;Revenga;http://109.206.96.58:8080/cam_1.cgi;PTZ;"[{""id"":1,""label"":""LBL_X0"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""1""},{""name"":""down"",""value"":""1""},{""name"":""left"",""value"":""1""},{""name"":""right"",""value"":""1""},{""name"":""tele"",""value"":""1""},{""name"":""wide"",""value"":""1""}]},{""id"":2,""label"":""LBL_X1"",""authType"":""base64"",""commands"":[{""name"":""up"",""value"":""2""},{""name"":""down"",""value"":""2""},{""name"":""left"",""value"":""2""},{""name"":""right"",""value"":""2""},{""name"":""tele"",""value"":""2""},{""name"":""wide"",""value"":""2""}]}]"
