device_name;session_uid;det_name;det_order;host;port(i);url_publisher;port_sim_publisher;ip
_RNRJS48P;_RNRJS48P;DET07-ADPJS58L;7;192.168.88.189;10028;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9048;192.168.88.189
_RNRJS48P;_RNRJS48P;DET01-ADPJS57P;1;192.168.88.189;10028;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9048;192.168.88.189
_RNRJS48P;_RNRJS48P;DET02-ADPJS57P;2;192.168.88.189;10028;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9048;192.168.88.189
_RNRJS48P;_RNRJS48P;DET03-ADPJS57P;3;192.168.88.189;10028;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9048;192.168.88.189
_RNRJS48P;_RNRJS48P;DET04-ADPJS57P;4;192.168.88.189;10028;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9048;192.168.88.189
_RNRJS49P;_RNRJS49P;DET01-ADPJS59L;1;192.168.88.189;10029;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9049;192.168.88.189
_RNRJS49P;_RNRJS49P;DET02-ADPJS59L;2;192.168.88.189;10029;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9049;192.168.88.189
_RNRJS49P;_RNRJS49P;DET03-ADPJS59L;3;192.168.88.189;10029;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9049;192.168.88.189
_SCJS06P;_SCJS06P;DET01-ADPJS60P;1;192.168.88.189;10030;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9050;192.168.88.189
_SCJS06P;_SCJS06P;DET02-ADPJS60P;2;192.168.88.189;10030;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9050;192.168.88.189
_SCJS06P;_SCJS06P;DET03-ADPJS60P;3;192.168.88.189;10030;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9050;192.168.88.189
_SCJS06P;_SCJS06P;DET04-ADPJS60P;4;192.168.88.189;10030;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9050;192.168.88.189
_SCJS07L;_SCJS07L;DET01-ADPJS61L;1;192.168.88.189;10031;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9051;192.168.88.189
_SCJS07L;_SCJS07L;DET02-ADPJS61L;2;192.168.88.189;10031;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9051;192.168.88.189
_SCJS08P;_SCJS08P;DET01-ADPJS62P;1;192.168.88.189;10032;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9052;192.168.88.189
_SCJS08P;_SCJS08P;DET02-ADPJS62P;2;192.168.88.189;10032;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9052;192.168.88.189
_SCJS08P;_SCJS08P;DET03-ADPJS62P;3;192.168.88.189;10032;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9052;192.168.88.189
_RNRKD01L;_RNRKD01L;DET01-ADPKD01L;1;192.168.88.189;10033;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9053;192.168.88.189
_RNRKD01L;_RNRKD01L;DET02-ADPKD01L;2;192.168.88.189;10033;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9053;192.168.88.189
_RNRKD01L;_RNRKD01L;DET03-ADPKD01L;3;192.168.88.189;10033;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9053;192.168.88.189
_RNRKD03L;_RNRKD03L;DET01-ADPKD02L;1;192.168.88.189;10034;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9054;192.168.88.189
_RNRKD03L;_RNRKD03L;DET02-ADPKD02L;2;192.168.88.189;10034;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9054;192.168.88.189
_RNRKD03L;_RNRKD03L;DET03-ADPKD02L;3;192.168.88.189;10034;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9054;192.168.88.189
_RNRKD08L;_RNRKD08L;DET01-ADPKD03L;1;192.168.88.189;10035;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9055;192.168.88.189
_RNRKD08L;_RNRKD08L;DET02-ADPKD03L;2;192.168.88.189;10035;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9055;192.168.88.189
_RNRKD09L;_RNRKD09L;DET01-ADPKD04L;1;192.168.88.189;10036;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9056;192.168.88.189
_RNRKD09L;_RNRKD09L;DET02-ADPKD04L;2;192.168.88.189;10036;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9056;192.168.88.189
_RNRKD10L;_RNRKD10L;DET01-ADPKD05L;1;192.168.88.189;10037;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9057;192.168.88.189
_RNRKD10L;_RNRKD10L;DET02-ADPKD05L;2;192.168.88.189;10037;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9057;192.168.88.189
_RNRKD11L;_RNRKD11L;DET01-ADPKD06L;1;192.168.88.189;10038;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9058;192.168.88.189
_RNRKD11L;_RNRKD11L;DET02-ADPKD06L;2;192.168.88.189;10038;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9058;192.168.88.189
_SCJS05P;_SCJS05P;DET01-ADPJS05P;1;192.168.88.189;10039;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9059;192.168.88.189
_SCJS05P;_SCJS05P;DET02-ADPJS05P;2;192.168.88.189;10039;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9059;192.168.88.189
_SCJS05P;_SCJS05P;DET03-ADPJS05P;3;192.168.88.189;10039;http:\/\/192.168.88.168:3000\/api\/v2\/generic\/;9059;192.168.88.189
