device_name;session_uid;host;port(i);url_publisher;offset(i)
S1TS-CLV-026;S1TS-CLV-026;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;34
S1TS-CLV-027;S1TS-CLV-027;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;35
S1TS-CLV-028;S1TS-CLV-028;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;36
S1TS-CLV-029;S1TS-CLV-029;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;37
S1TS-CLV-030;S1TS-CLV-030;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;38
S1TS-CLV-031;S1TS-CLV-031;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;39
S1TS-CLV-032;S1TS-CLV-032;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;40
S1TS-CLV-033;S1TS-CLV-033;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;41
S1TN-CLV-004;S1TN-CLV-004;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;42
S1TN-CLV-005;S1TN-CLV-005;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;43
S1TN-CLV-006;S1TN-CLV-006;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;44
S1TS-CLV-034;S1TS-CLV-034;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;45
S1TS-CLV-035;S1TS-CLV-035;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;46
S1TS-CLV-036;S1TS-CLV-036;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;47
S1TS-CLV-037;S1TS-CLV-037;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;48
S1TS-CLV-038;S1TS-CLV-038;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;49
S1TS-CLV-039;S1TS-CLV-039;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;50
SIGO-CLV-002;SIGO-CLV-002;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;51
S1TN-CLV-001;S1TN-CLV-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;52
S1TN-CLV-002;S1TN-CLV-002;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;53
S1TN-CLV-003;S1TN-CLV-003;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;54
INKO-CLV-001;INKO-CLV-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;55
SAPR-CLV-001;SAPR-CLV-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;56
SMPN-CLV-001;SMPN-CLV-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;57
ICNP-CLV-001;ICNP-CLV-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;58
SMPS-CLV-001;SMPS-CLV-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;59
SNKO-CLV-001;SNKO-CLV-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;60
SNKO-CLV-002;SNKO-CLV-002;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;61
SMPN-CLV-002;SMPN-CLV-002;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;62
SMPN-CLV-003;SMPN-CLV-003;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;63
ICNP-CLV-002;ICNP-CLV-002;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;64
SNKO-CLV-003;SNKO-CLV-003;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;65
INKP-CLV-001;INKP-CLV-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;66
INKP-CLV-002;INKP-CLV-002;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;67
ICNP-CLV-003;ICNP-CLV-003;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;68
INKP-CLV-003;INKP-CLV-003;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;69
INKP-CLV-004;INKP-CLV-004;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;70
INKP-CLV-005;INKP-CLV-005;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;71
IVIP-CLV-001;IVIP-CLV-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;72
S2TN-CLV-072;S2TN-CLV-072;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;73
S2TN-CLV-073;S2TN-CLV-073;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;74
S2TN-CLV-074;S2TN-CLV-074;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;75
S2TS-CLV-001;S2TS-CLV-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;76
S2TS-CLV-002;S2TS-CLV-002;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;77
S2TS-CLV-003;S2TS-CLV-003;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;78
S2TN-CLV-069;S2TN-CLV-069;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;79
S2TN-CLV-070;S2TN-CLV-070;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;80
S2TN-CLV-071;S2TN-CLV-071;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;81
S2TS-CLV-004;S2TS-CLV-004;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;82
S2TS-CLV-005;S2TS-CLV-005;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;83
S2TS-CLV-006;S2TS-CLV-006;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;84
S2TN-CLV-066;S2TN-CLV-066;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;85
S2TN-CLV-067;S2TN-CLV-067;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;86
S2TN-CLV-068;S2TN-CLV-068;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;87
S2TS-CLV-007;S2TS-CLV-007;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;88
S2TS-CLV-008;S2TS-CLV-008;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;89
S2TS-CLV-009;S2TS-CLV-009;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;90
S2TN-CLV-063;S2TN-CLV-063;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;91
S2TN-CLV-064;S2TN-CLV-064;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;92
S2TN-CLV-065;S2TN-CLV-065;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;93
S2TS-CLV-010;S2TS-CLV-010;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;94
S2TS-CLV-011;S2TS-CLV-011;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;95
S2TS-CLV-012;S2TS-CLV-012;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;96
S2TN-CLV-059;S2TN-CLV-059;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;97
S2TN-CLV-060;S2TN-CLV-060;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;98
S2TN-CLV-061;S2TN-CLV-061;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;99
S2TN-CLV-062;S2TN-CLV-062;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;100
S2TS-CLV-013;S2TS-CLV-013;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;101
S2TS-CLV-014;S2TS-CLV-014;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;102
S2TS-CLV-015;S2TS-CLV-015;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;103
S2TN-CLV-055;S2TN-CLV-055;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;104
S2TN-CLV-056;S2TN-CLV-056;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;105
S2TN-CLV-057;S2TN-CLV-057;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;106
S2TN-CLV-058;S2TN-CLV-058;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;107
S2TS-CLV-016;S2TS-CLV-016;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;108
S2TS-CLV-017;S2TS-CLV-017;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;109
S2TS-CLV-018;S2TS-CLV-018;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;110
S2TS-CLV-019;S2TS-CLV-019;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;111
S2TS-CLV-020;S2TS-CLV-020;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;112
S2TS-CLV-021;S2TS-CLV-021;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;113
S2TN-CLV-052;S2TN-CLV-052;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;114
S2TN-CLV-053;S2TN-CLV-053;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;115
S2TN-CLV-054;S2TN-CLV-054;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;116
S2TN-CLV-048;S2TN-CLV-048;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;117
S2TN-CLV-049;S2TN-CLV-049;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;118
S2TN-CLV-050;S2TN-CLV-050;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;119
S2TN-CLV-051;S2TN-CLV-051;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;120
S2TS-CLV-027;S2TS-CLV-027;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;121
S2TS-CLV-028;S2TS-CLV-028;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;122
S2TS-CLV-029;S2TS-CLV-029;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;123
S2TN-CLV-045;S2TN-CLV-045;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;124
S2TN-CLV-046;S2TN-CLV-046;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;125
S2TN-CLV-047;S2TN-CLV-047;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;126
S2TS-CLV-031;S2TS-CLV-031;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;127
S2TS-CLV-032;S2TS-CLV-032;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;128
S2TS-CLV-033;S2TS-CLV-033;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;129
S2TS-CLV-034;S2TS-CLV-034;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;130
S2TS-CLV-035;S2TS-CLV-035;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;131
S2TN-CLV-042;S2TN-CLV-042;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;132
S2TN-CLV-043;S2TN-CLV-043;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;133
S2TN-CLV-044;S2TN-CLV-044;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;134
S2TS-CLV-036;S2TS-CLV-036;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;135
S2TS-CLV-037;S2TS-CLV-037;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;136
S2TS-CLV-038;S2TS-CLV-038;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;137
S2TN-CLV-039;S2TN-CLV-039;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;138
S2TN-CLV-040;S2TN-CLV-040;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;139
S2TN-CLV-041;S2TN-CLV-041;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;140
S2TS-CLV-039;S2TS-CLV-039;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;141
S2TS-CLV-040;S2TS-CLV-040;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;142
S2TS-CLV-041;S2TS-CLV-041;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;143
S2TS-CLV-042;S2TS-CLV-042;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;144
S2TS-CLV-043;S2TS-CLV-043;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;145
S2TS-CLV-044;S2TS-CLV-044;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;146
S2TN-CLV-036;S2TN-CLV-036;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;147
S2TN-CLV-037;S2TN-CLV-037;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;148
S2TN-CLV-038;S2TN-CLV-038;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;149
S2TN-CLV-033;S2TN-CLV-033;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;150
S2TN-CLV-034;S2TN-CLV-034;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;151
S2TN-CLV-035;S2TN-CLV-035;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;152
S2TS-CLV-045;S2TS-CLV-045;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;153
S2TS-CLV-046;S2TS-CLV-046;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;154
S2TS-CLV-047;S2TS-CLV-047;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;155
S2TN-CLV-029;S2TN-CLV-029;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;156
S2TN-CLV-030;S2TN-CLV-030;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;157
S2TN-CLV-031;S2TN-CLV-031;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;158
S2TN-CLV-032;S2TN-CLV-032;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;159
ICCP-CLV-001;ICCP-CLV-001;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;160
S2TS-CLV-048;S2TS-CLV-048;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;161
S2TS-CLV-049;S2TS-CLV-049;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;162
S2TS-CLV-050;S2TS-CLV-050;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;163
S2TN-CLV-026;S2TN-CLV-026;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;164
S2TN-CLV-027;S2TN-CLV-027;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;165
S2TN-CLV-028;S2TN-CLV-028;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;166
S2TS-CLV-051;S2TS-CLV-051;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;167
S2TS-CLV-052;S2TS-CLV-052;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;168
S2TS-CLV-053;S2TS-CLV-053;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;169
S2TN-CLV-023;S2TN-CLV-023;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;170
S2TN-CLV-024;S2TN-CLV-024;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;171
S2TN-CLV-025;S2TN-CLV-025;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;172
S2TS-CLV-054;S2TS-CLV-054;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;173
S2TS-CLV-055;S2TS-CLV-055;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;174
S2TS-CLV-056;S2TS-CLV-056;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;175
S2TN-CLV-020;S2TN-CLV-020;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;176
S2TN-CLV-021;S2TN-CLV-021;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;177
S2TN-CLV-022;S2TN-CLV-022;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;178
S2TN-CLV-017;S2TN-CLV-017;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;179
S2TN-CLV-018;S2TN-CLV-018;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;180
S2TN-CLV-019;S2TN-CLV-019;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;181
S2TS-CLV-057;S2TS-CLV-057;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;182
S2TS-CLV-058;S2TS-CLV-058;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;183
S2TS-CLV-059;S2TS-CLV-059;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;184
S2TS-CLV-060;S2TS-CLV-060;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;185
S2TS-CLV-061;S2TS-CLV-061;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;186
S2TS-CLV-062;S2TS-CLV-062;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;187
S2TS-CLV-063;S2TS-CLV-063;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;188
S2TN-CLV-014;S2TN-CLV-014;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;189
S2TN-CLV-015;S2TN-CLV-015;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;190
S2TN-CLV-016;S2TN-CLV-016;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;191
S2TS-CLV-064;S2TS-CLV-064;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;192
S2TS-CLV-065;S2TS-CLV-065;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;193
S2TS-CLV-066;S2TS-CLV-066;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;194
S2TN-CLV-010;S2TN-CLV-010;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;195
S2TN-CLV-011;S2TN-CLV-011;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;196
S2TN-CLV-012;S2TN-CLV-012;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;197
S2TS-CLV-067;S2TS-CLV-067;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;198
S2TS-CLV-068;S2TS-CLV-068;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;199
S2TS-CLV-069;S2TS-CLV-069;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;200
S2TN-CLV-007;S2TN-CLV-007;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;201
S2TN-CLV-008;S2TN-CLV-008;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;202
S2TN-CLV-009;S2TN-CLV-009;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;203
S2TS-CLV-070;S2TS-CLV-070;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;204
S2TS-CLV-071;S2TS-CLV-071;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;205
S2TS-CLV-072;S2TS-CLV-072;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;206
S2TS-CLV-073;S2TS-CLV-073;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;207
S2TN-CLV-004;S2TN-CLV-004;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;208
S2TN-CLV-005;S2TN-CLV-005;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;209
S2TN-CLV-006;S2TN-CLV-006;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;210
S2TS-CLV-074;S2TS-CLV-074;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;211
S2TS-CLV-075;S2TS-CLV-075;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;212
S2TS-CLV-076;S2TS-CLV-076;192.168.88.199;2222;http:\/\/192.168.88.176:3000\/api\/v2\/generic\/;213
