location_id;alias
328; pk 42+668 dm 6368
329; pk 42+668 dm 6368
330; pk 42+668 dm 6368
331; pk 42+068 dm 5768
332; pk 42+068 dm 5768
333; pk 42+068 dm 5768
334; pk 41+87 dm 5570
335; pk 41+87 dm 5570
336; pk 41+87 dm 5570
337; pk 41+27 dm 4970
338; pk 41+27 dm 4970
339; pk 41+27 dm 4970
340; pk 40+47 dm 4170
341; pk 40+47 dm 4170
342; pk 40+47 dm 4170
343; pk 39+665 dm 3365
344; pk 39+665 dm 3365
345; pk 39+665 dm 3365
346; pk 35+610 dm 2250
347; pk 35+610 dm 2250
348; pk 39+97 dm 3670
349; pk 39+97 dm 3670
350; pk 39+97 dm 3670
351; pk 40+97 dm 4670
352; pk 40+97 dm 4670
353; pk 40+97 dm 4670
354; pk 41+67 dm 5370
355; pk 41+67 dm 5370
356; pk 41+67 dm 5370
357; pk 42+868 dm 6568
358; pk 42+868 dm 6568
359; pk 42+868 dm 6568
360; pk 43+968 dm 7668
361; pk 43+968 dm 7668
362; pk 43+935 dm 7635
363; pk 44+368 dm 8068
364; pk 44+368 dm 8068
365; pk 44+368 dm 8068
366; pk 37+05 dm 750
367; pk 37+09 dm 785
368; pk 38+6 dm 2300
369; pk 37+73 dm 1425
370; pk 39+1 dm 2800
371; pk 42+08 dm 5780
372; pk 42+6 dm 6300
373; pk 42+85 dm 6550
374; pk 43+23 dm 6930
375; pk 4+935 dm 7635
376; pk 4+08 dm 7780
377; pk 4+4 dm 8100
378; pk 3+68 dm 3380
379; pk 4+05 dm 3750
380; pk 4+48 dm 4180
381; pk 41 dm 4700
382; pk 4+28 dm 4980
383; pk 4+68 dm 5380
384; pk 4+88 dm 5580
385; pk 3+61 dm 2250
386; pk 36+92 dm 620
387; pk 1+07 dm 1070
388; pk 0+10 dm 95
389; pk 35+62 dm 2255
390; pk 36+93 dm 630
391; pk 36+93 dm 630
392; pk 0+3 dm 300
393; pk 3+02 dm 3020
394; pk 4+07 dm 4070
395; pk 5+03 dm 5030
396; pk 6+05 dm 6050
397; pk 7+1 dm 7100
398; pk 37+02 dm 720
399; pk 37+02 dm 720
400; pk 37+98 dm 1675
401; pk 37+98 dm 1675
402; pk 38+18 dm 1875
403; pk 38+18 dm 1875
404; pk 38+30 dm 1995
405; pk 38+30 dm 1995
406; pk 39+40 dm 3100
407; pk 39+40 dm 3100
408; pk 3+10 dm 3100
409; pk 0+12 dm 120
410; pk 0+14 dm 140
411; pk 0+17 dm 170
412; pk 0+19 dm 190
413; pk 0+19 dm 190
414; pk 0+26 dm 260
415; pk 36+65 dm 350
416; pk 36+8 dm 500
417; pk 36+8 dm 500
418; pk 36+9 dm 600
419; pk 36+95 dm 650
420; pk 0+71 dm 710
421; pk 0+76 dm 760
422; pk 0+81 dm 810
423; pk 0+86 dm 860
424; pk 0+91 dm 910
425; pk 0+96 dm 960
426; pk 1+03 dm 1030
427; pk 2+14 dm 2140
428; pk 3+18 dm 3180
429; pk 3+21 dm 3210
430; pk 3+255 dm 3255
431; pk 3+31 dm 3310
432; pk 39+94 dm 3640
433; pk 40+02 dm 3720
434; pk 40+02 dm 3720
435; pk 40+1 dm 3800
436; pk 40+1 dm 3800
437; pk 40+14 dm 3840
438; pk 40+22 dm 3920
439; pk 40+22 dm 3920
440; pk 40+3 dm 4000
441; pk 40+3 dm 4000
442; pk 4+13 dm 4130
443; pk 40+485 dm 4185
444; pk 40+485 dm 4185
445; pk 4+2 dm 4200
446; pk 40+685 dm 4385
447; pk 40+685 dm 4385
448; pk 40+96 dm 4660
449; pk 40+96 dm 4660
450; pk 41+22 dm 4920
451; pk 41+22 dm 4920
452; pk 41+1 dm 4800
453; pk 41+3 dm 5000
454; pk 41+3 dm 5000
455; pk 41+28 dm 4980
456; pk 41+28 dm 4980
457; pk 41+46 dm 5160
458; pk 41+46 dm 5160
459; pk 41+485 dm 5185
460; pk 41+485 dm 5185
461; pk 5+2 dm 5200
462; pk 5+25 dm 5250
463; pk 41+565 dm 5265
464; pk 41+565 dm 5265
465; pk 41+65 dm 5350
466; pk 41+65 dm 5350
467; pk 41+935 dm 5635
468; pk 42+2 dm 5900
469; pk 42+48 dm 6180
470; pk 42+48 dm 6180
471; pk 42+5 dm 6200
472; pk 42+5 dm 6200
473; pk 42+5 dm 6200
474; pk 42+5 dm 6200
475; pk 6+23 dm 6230
476; pk 6+28 dm 6280
477; pk 42+58 dm 6280
478; pk 6+33 dm 6330
479; pk 42+85 dm 6550
480; pk 43+525 dm 7225
481; pk 43+525 dm 7225
482; pk 43+54 dm 7240
483; pk 43+7 dm 7400
484; pk 43+7 dm 7400
485; pk 43+75 dm 7450
486; pk 43+75 dm 7450
487; pk 44+3 dm 8000
488; pk 44+3 dm 8000
489; pk 44+4 dm 8100
490; pk 44+4 dm 8100
491; pk 44+42 dm 8100
492; pk 44+42 dm 8100
493; pk 44+48 dm 8100
494; pk 44+48 dm 8100
495; pk 44+5 dm 8100
496; pk 44+5 dm 8100
497; pk 38+05 dm 1748
498; pk 38+05 dm 1748
499; pk 38+05 dm 1748
500; pk 38+05 dm 1748
501; pk 38+05 dm 1748
502; pk 38+05 dm 1748
503; pk 40+32 dm 4020
504; pk 40+32 dm 4020
505; pk 40+32 dm 4020
506; pk 40+32 dm 4020
507; pk 40+32 dm 4020
508; pk 40+32 dm 4020
509; pk 41+46 dm 5160
510; pk 41+46 dm 5160
511; pk 41+46 dm 5160
512; pk 41+46 dm 5160
513; pk 41+46 dm 5160
514; pk 41+46 dm 5160
515; pk 42+58 dm 6280
516; pk 42+58 dm 6280
517; pk 42+58 dm 6280
518; pk 42+58 dm 6280
519; pk 42+58 dm 6280
520; pk 42+58 dm 6280
521; pk 43+52 dm 7220
522; pk 43+52 dm 7220
523; pk 43+52 dm 7220
524; pk 43+52 dm 7220
525; pk 43+52 dm 7220
526; pk 43+52 dm 7220
527; pk 44+52 dm 8220
528; pk 44+52 dm 8220
529; pk 44+52 dm 8220
530; pk 44+52 dm 8220
531; pk 44+52 dm 8220
532; pk 1+070 dm 1070
533; pk 0+110 dm 110
534; pk 35+630 dm 2270
535; pk 36+940 dm 635
536; pk 37+070 dm 770
537; pk 37+730 dm 1425
538; pk 38+750 dm 2450
539; pk 37+050 dm 750
540; pk 37+150 dm 850
541; pk 37+250 dm 950
542; pk 37+350 dm 1050
543; pk 37+450 dm 1150
544; pk 37+550 dm 1250
545; pk 37+650 dm 1350
546; pk 0+200 dm 200
547; pk 36+920 dm 620
548; pk 37+050 dm 754
549; pk 37+300 dm 1003
550; pk 37+550 dm 1253
551; pk 37+750 dm 1450
552; pk 37+850 dm 1550
553; pk 37+950 dm 1650
554; pk 38+050 dm 1750
555; pk 38+150 dm 1850
556; pk 38+250 dm 1950
557; pk 0+300 dm 300
558; pk 0+350 dm 345
559; pk 0+580 dm 580
560; pk 0+400 dm 400
561; pk 0+500 dm 500
562; pk 0+600 dm 600
563; pk 0+700 dm 700
564; pk 37+800 dm 1495
565; pk 38+050 dm 1748
566; pk 38+330 dm 2030
567; pk 38+450 dm 2150
568; pk 38+550 dm 2250
569; pk 38+650 dm 2350
570; pk 38+750 dm 2450
571; pk 38+850 dm 2550
572; pk 38+950 dm 2650
573; pk 0+130 dm 125
574; pk 0+200 dm 195
575; pk 38+300 dm 1999
576; pk 38+550 dm 2248
577; pk 38+730 dm 2428
578; pk 39+290 dm 2990
579; pk 39+380 dm 3080
580; pk 39+470 dm 3170
581; pk 39+570 dm 3265
582; pk 39+670 dm 3365
583; pk 39+050 dm 2750
584; pk 39+150 dm 2850
585; pk 39+250 dm 2950
586; pk 39+350 dm 3050
587; pk 39+470 dm 3170
588; pk 39+570 dm 3270
589; pk 39+670 dm 3368
590; pk 0+300 dm 295
591; pk 1+200 dm 1200
592; pk 1+300 dm 1300
593; pk 39+110 dm 2810
594; pk 39+350 dm 3050
595; pk 39+360 dm 3055
596; pk 39+590 dm 3290
597; pk 39+590 dm 3290
598; pk 0+050 dm 50
599; pk 0+080 dm 80
600; pk 0+100 dm 100
601; pk 0+150 dm 150
602; pk 0+150 dm 150
603; pk 0+160 dm 160
604; pk 0+180 dm 180
605; pk 0+180 dm 180
606; pk 0+200 dm 200
607; pk 0+220 dm 220
608; pk 0+250 dm 250
609; pk 0+260 dm 260
610; pk 0+270 dm 270
611; pk 0+360 dm 360
612; pk 0+320 dm 320
613; pk 0+320 dm 320
614; pk 0+340 dm 340
615; pk 0+350 dm 350
616; pk 0+360 dm 360
617; pk 0+420 dm 420
618; pk 0+420 dm 420
619; pk 0+450 dm 450
620; pk 0+460 dm 460
621; pk 0+520 dm 520
622; pk 0+550 dm 550
623; pk 0+620 dm 620
624; pk 0+650 dm 650
625; pk 0+720 dm 720
626; pk 0+750 dm 750
627; pk 0+850 dm 850
628; pk 0+950 dm 950
629; pk 1+050 dm 1050
630; pk 2+070 dm 
631; pk 2+150 dm 2150
632; pk 3+100 dm 3100
633; pk 3+200 dm 3200
634; pk 3+300 dm 3300
635; pk 39+770 dm 3470
636; pk 39+770 dm 3470
637; pk 39+800 dm 3500
638; pk 39+800 dm 3500
639; pk 39+870 dm 3570
640; pk 39+870 dm 3570
641; pk 39+965 dm 3665
642; pk 39+965 dm 3665
643; pk 39+970 dm 3670
644; pk 39+970 dm 3670
645; pk 40+070 dm 3770
646; pk 40+070 dm 3770
647; pk 40+170 dm 3870
648; pk 40+170 dm 3870
649; pk 40+220 dm 3920
650; pk 40+220 dm 3920
651; pk 40+270 dm 3970
652; pk 4+060 dm 4060
653; pk 40+370 dm 4070
654; pk 40+370 dm 4070
655; pk 40+450 dm 4150
656; pk 40+450 dm 4150
657; pk 4+160 dm 4160
658; pk 40+470 dm 4170
659; pk 40+470 dm 4170
660; pk 40+570 dm 4270
661; pk 40+570 dm 4270
662; pk 40+670 dm 4370
663; pk 40+670 dm 4370
664; pk 40+700 dm 4400
665; pk 40+700 dm 4400
666; pk 40+770 dm 4470
667; pk 40+770 dm 4470
668; pk 40+870 dm 4570
669; pk 40+870 dm 4570
670; pk 40+950 dm 4650
671; pk 40+950 dm 4650
672; pk 40+970 dm 4670
673; pk 40+970 dm 4670
674; pk 41+040 dm 4740
675; pk 41+040 dm 4740
676; pk 41+070 dm 4770
677; pk 41+070 dm 4770
678; pk 41+170 dm 4870
679; pk 41+170 dm 4870
680; pk 41+270 dm 4970
681; pk 41+270 dm 4970
682; pk 41+280 dm 4980
683; pk 41+280 dm 4980
684; pk 5+070 dm 5070
685; pk 41+370 dm 5070
686; pk 41+370 dm 5070
687; pk 41+410 dm 5110
688; pk 41+410 dm 5110
689; pk 5+170 dm 5170
690; pk 41+470 dm 5170
691; pk 41+470 dm 5170
692; pk 5+270 dm 5270
693; pk 41+570 dm 5270
694; pk 41+570 dm 5270
695; pk 41+670 dm 5370
696; pk 41+670 dm 5370
697; pk 41+695 dm 5395
698; pk 41+695 dm 5395
699; pk 41+770 dm 5470
700; pk 41+770 dm 5470
701; pk 41+850 dm 5550
702; pk 41+850 dm 5550
703; pk 41+870 dm 5570
704; pk 41+870 dm 5570
705; pk 41+968 dm 5668
706; pk 41+968 dm 5668
707; pk 42+068 dm 5768
708; pk 42+068 dm 5768
709; pk 42+075 dm 5775
710; pk 42+075 dm 5775
711; pk 42+168 dm 5868
712; pk 42+168 dm 5868
713; pk 42+230 dm 5930
714; pk 42+230 dm 5930
715; pk 42+268 dm 5968
716; pk 42+268 dm 5968
717; pk 6+020 dm 6020
718; pk 42+368 dm 6068
719; pk 42+368 dm 6068
720; pk 6+120 dm 6120
721; pk 42+455 dm 6155
722; pk 42+455 dm 6155
723; pk 42+468 dm 6168
724; pk 42+468 dm 6168
725; pk 6+220 dm 6220
726; pk 42+568 dm 6268
727; pk 42+568 dm 6268
728; pk 42+580 dm 6280
729; pk 42+580 dm 6280
730; pk 6+320 dm 6320
731; pk 42+668 dm 6368
732; pk 42+668 dm 6368
733; pk 42+768 dm 6468
734; pk 42+768 dm 6468
735; pk 42+805 dm 6505
736; pk 42+805 dm 6505
737; pk 42+868 dm 6568
738; pk 42+868 dm 6568
739; pk 42+968 dm 6668
740; pk 42+968 dm 6668
741; pk 43+030 dm 6730
742; pk 43+030 dm 6730
743; pk 43+068 dm 6768
744; pk 43+068 dm 6768
745; pk 43+168 dm 6868
746; pk 43+168 dm 6868
747; pk 43+190 dm 6890
748; pk 43+190 dm 6890
749; pk 43+268 dm 6968
750; pk 43+268 dm 6968
751; pk 43+368 dm 7068
752; pk 43+368 dm 7068
753; pk 7+080 dm 7080
754; pk 43+415 dm 7115
755; pk 43+415 dm 7115
756; pk 7+155 dm 7155
757; pk 43+468 dm 7168
758; pk 43+468 dm 7168
759; pk 7+240 dm 7240
760; pk 43+568 dm 7268
761; pk 43+568 dm 7268
762; pk 43+570 dm 7270
763; pk 43+640 dm 7340
764; pk 43+668 dm 7368
765; pk 43+668 dm 7368
766; pk 43+710 dm 7410
767; pk 43+710 dm 7410
768; pk 43+768 dm 7468
769; pk 0+050 dm 7468
770; pk 43+868 dm 7568
771; pk 43+868 dm 7568
772; pk 43+935 dm 7635
773; pk 43+935 dm 7635
774; pk 43+968 dm 7668
775; pk 43+968 dm 7668
776; pk 44+022 dm 7722
777; pk 44+068 dm 7768
778; pk 44+068 dm 7768
779; pk 44+160 dm 7860
780; pk 44+168 dm 7868
781; pk 44+168 dm 7868
782; pk 44+268 dm 7968
783; pk 44+268 dm 7968
784; pk 44+270 dm 7970
785; pk 44+270 dm 7970
786; pk 8+020 dm 8020
787; pk 44+368 dm 8068
788; pk 44+368 dm 8068
789; pk 8+120 dm 8120
790; pk 44+468 dm 8168
791; pk 44+468 dm 8168
792; pk 44+495 dm 8195
793; pk 44+495 dm 8195
794; pk 8+220 dm 8220
795; pk 44+568 dm 8268
796; pk 44+568 dm 8268
797; pk 44+468 dm 8168
798; pk 0+550 dm 550
799; pk 0+180 dm 180
800; pk 0+250 dm 250
801; pk 43+415 dm 7115
802; pk 43+415 dm 7115
803; pk 36+99 dm 690
804; pk 38+08 dm 1780
805; pk 0+55 dm 550
806; pk 40+5 dm 4200
