item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;sentido;dm;param3_extension
91;3;ICNP-CAB-003;ICNP-CAB-003;ICNP-CAB-003;AVO;ICNP-ZON-004;Secc.02-47-04;0+520;;520;22403
92;3;INKP-CAB-002;INKP-CAB-002;INKP-CAB-002;AVO;INKP-ZON-002;Secc.02-29-04;0+550;;550;22302
94;3;ICNP-CAB-004;ICNP-CAB-004;ICNP-CAB-004;AVO;;Secc.02-47-04;0+620;;620;22404
95;3;INKP-CAB-003;INKP-CAB-003;INKP-CAB-003;AVO;INKP-ZON-003;Secc.02-29-04;0+650;;650;22303
96;3;ICNP-CAB-005;ICNP-CAB-005;ICNP-CAB-005;AVO;ICNP-ZON-002;Secc.02-47-04;0+720;;720;22405
97;3;INKP-CAB-004;INKP-CAB-004;INKP-CAB-004;AVO;INKP-ZON-005;Secc.02-29-04;0+750;;750;22304
98;3;INKP-CAB-005;INKP-CAB-005;INKP-CAB-005;AVO;INKP-ZON-006;Secc.02-29-04;0+850;;850;22305
99;3;INKP-CAB-006;INKP-CAB-006;INKP-CAB-006;AVO;INKP-ZON-006;Secc.02-29-04;0+950;;950;22306
100;3;INKP-CAB-007;INKP-CAB-007;INKP-CAB-007;AVO;INKP-ZON-008;Secc.02-29-04;1+050;;1050;22307
101;3;SVIP-CAB-001;SVIP-CAB-001;SVIP-CAB-001;AVO;SVIP-ZON-001;Secc.03-15-12;2+070;;;21201
102;3;SVIP-CAB-002;SVIP-CAB-002;SVIP-CAB-002;AVO;SVIP-ZON-001;Secc.03-15-12;2+150;;2150;21202
103;2;IVIP-SOS-001;IVIP-SOS-001;IVIP-SOS-001;AVO;IVIP_EXT;Secc.02-16-04;3+100;;3100;22211
104;3;IVIP-CAB-001;IVIP-CAB-001;IVIP-CAB-001;AVO;IVIP-ZON-003;Secc.02-16-04;3+200;;3200;22201
105;3;IVIP-CAB-002;IVIP-CAB-002;IVIP-CAB-002;AVO;IVIP-ZON-001;Secc.02-16-04;3+300;;3300;22202
106;3;S2TS-CAB-001;S2TS-CAB-001;S2TS-CAB-001;AVO;S2TS-ZON-002;Secc.01-10-03;39+770;;3470;22001
107;3;S2TN-CAB-048;S2TN-CAB-048;S2TN-CAB-048;AVO;S2TN-ZON-049;Secc.03-11-11;39+770;;3470;21048
108;3;2E03-CAB-001;2E03-CAB-001;2E03-CAB-001;AVO;S2TN-ZON-048;Secc.03-11-11;39+800;;3500;21103
109;3;2E03-CAB-002;2E03-CAB-002;2E03-CAB-002;AVO;S2TS-ZON-002;Secc.01-10-03;39+800;;3500;22103
110;3;S2TS-CAB-002;S2TS-CAB-002;S2TS-CAB-002;AVO;S2TS-ZON-002;Secc.01-10-03;39+870;;3570;22002
111;3;S2TN-CAB-047;S2TN-CAB-047;S2TN-CAB-047;AVO;S2TN-ZON-048;Secc.03-11-11;39+870;;3570;21047
112;3;2E04-CAB-001;2E04-CAB-001;2E04-CAB-001;AVO;S2TN-ZON-047;Secc.03-11-11;39+965;;3665;21104
113;3;2E04-CAB-002;2E04-CAB-002;2E04-CAB-002;AVO;S2TS-ZON-004;Secc.01-10-03;39+965;;3665;22104
114;3;S2TS-CAB-003;S2TS-CAB-003;S2TS-CAB-003;AVO;S2TS-ZON-004;Secc.01-10-03;39+970;;3670;22003
115;3;S2TN-CAB-046;S2TN-CAB-046;S2TN-CAB-046;AVO;S2TN-ZON-047;Secc.03-11-11;39+970;;3670;21046
116;3;S2TS-CAB-004;S2TS-CAB-004;S2TS-CAB-004;AVO;S2TS-ZON-004;Secc.01-10-03;40+070;;3770;22004
117;3;S2TN-CAB-045;S2TN-CAB-045;S2TN-CAB-045;AVO;S2TN-ZON-046;Secc.03-11-11;40+070;;3770;21045
118;3;S2TS-CAB-005;S2TS-CAB-005;S2TS-CAB-005;AVO;S2TS-ZON-005;Secc.01-10-03;40+170;;3870;22005
119;3;S2TN-CAB-044;S2TN-CAB-044;S2TN-CAB-044;AVO;S2TN-ZON-044;Secc.03-11-11;40+170;;3870;21044
120;3;2E05-CAB-001;2E05-CAB-001;2E05-CAB-001;AVO;S2TN-ZON-044;Secc.03-11-11;40+220;;3920;21105
121;3;2E05-CAB-002;2E05-CAB-002;2E05-CAB-002;AVO;S2TS-ZON-006;Secc.01-10-03;40+220;;3920;22105
122;3;S2TS-CAB-006;S2TS-CAB-006;S2TS-CAB-006;AVO;S2TS-ZON-006;Secc.01-10-03;40+270;;3970;22006
123;2;IPRO-SOS-001;IPRO-SOS-001;IPRO-SOS-001;AVO;IPRO_EXT;Secc.03-57-10;4+060;;4060;21611
124;3;S2TN-CAB-043;S2TN-CAB-043;S2TN-CAB-043;AVO;S2TN-ZON-042;Secc.03-11-11;40+370;;4070;21043
125;3;S2TS-CAB-007;S2TS-CAB-007;S2TS-CAB-007;AVO;S2TS-ZON-007;Secc.02-10-04;40+370;;4070;22007
126;3;2E06-CAB-001;2E06-CAB-001;2E06-CAB-001;AVO;S2TN-ZON-041;Secc.03-11-11;40+450;;4150;21106
127;3;2E06-CAB-002;2E06-CAB-002;2E06-CAB-002;AVO;S2TS-ZON-008;Secc.02-10-04;40+450;;4150;22106
128;3;IPRO-CAB-001;IPRO-CAB-001;IPRO-CAB-001;AVO;IPRO-ZON-001;Secc.03-57-10;4+160;;4160;21601
129;3;S2TN-CAB-042;S2TN-CAB-042;S2TN-CAB-042;AVO;S2TN-ZON-041;Secc.03-11-11;40+470;;4170;21042
130;3;S2TS-CAB-008;S2TS-CAB-008;S2TS-CAB-008;AVO;S2TS-ZON-009;Secc.02-10-04;40+470;;4170;22008
131;3;S2TN-CAB-041;S2TN-CAB-041;S2TN-CAB-041;AVO;S2TN-ZON-040;Secc.03-11-11;40+570;;4270;21041
132;3;S2TS-CAB-009;S2TS-CAB-009;S2TS-CAB-009;AVO;S2TS-ZON-010;Secc.02-10-04;40+570;;4270;22009
133;3;S2TS-CAB-010;S2TS-CAB-010;S2TS-CAB-010;AVO;S2TS-ZON-011;Secc.02-10-04;40+670;;4370;22010
134;3;S2TN-CAB-040;S2TN-CAB-040;S2TN-CAB-040;AVO;S2TN-ZON-039;Secc.03-11-11;40+670;;4370;21040
135;3;2E07-CAB-001;2E07-CAB-001;2E07-CAB-001;AVO;S2TN-ZON-039;Secc.03-11-11;40+700;;4400;21107
136;3;2E07-CAB-002;2E07-CAB-002;2E07-CAB-002;AVO;S2TS-ZON-011;Secc.02-10-04;40+700;;4400;22107
137;3;S2TN-CAB-039;S2TN-CAB-039;S2TN-CAB-039;AVO;INKO-ZON-002;Secc.03-11-11;40+770;;4470;21039
138;3;S2TS-CAB-011;S2TS-CAB-011;S2TS-CAB-011;AVO;S2TS-ZON-012;Secc.02-10-04;40+770;;4470;22011
139;3;S2TS-CAB-012;S2TS-CAB-012;S2TS-CAB-012;AVO;S2TS-ZON-013;Secc.02-10-04;40+870;;4570;22012
140;3;S2TN-CAB-038;S2TN-CAB-038;S2TN-CAB-038;AVO;S2TN-ZON-037;Secc.03-11-11;40+870;;4570;21038
141;3;2E08-CAB-001;2E08-CAB-001;2E08-CAB-001;AVO;S2TN-ZON-037;Secc.03-11-11;40+950;;4650;21108
142;3;2E08-CAB-002;2E08-CAB-002;2E08-CAB-002;AVO;S2TS-ZON-013;Secc.02-10-04;40+950;;4650;22108
143;3;S2TN-CAB-037;S2TN-CAB-037;S2TN-CAB-037;AVO;S2TN-ZON-036;Secc.03-11-11;40+970;;4670;21037
144;3;S2TS-CAB-013;S2TS-CAB-013;S2TS-CAB-013;AVO;S2TS-ZON-014;Secc.02-10-04;40+970;;4670;22013
145;3;2E09-CAB-001;2E09-CAB-001;2E09-CAB-001;AVO;S2TN-ZON-036;Secc.03-11-10;41+040;;4740;21109
146;3;2E09-CAB-002;2E09-CAB-002;2E09-CAB-002;AVO;S2TS-ZON-014;Secc.02-10-04;41+040;;4740;22109
147;3;S2TN-CAB-036;S2TN-CAB-036;S2TN-CAB-036;AVO;S2TN-ZON-035;Secc.03-11-11;41+070;;4770;21036
148;3;S2TS-CAB-014;S2TS-CAB-014;S2TS-CAB-014;AVO;S2TS-ZON-015;Secc.02-10-04;41+070;;4770;22014
149;3;S2TN-CAB-035;S2TN-CAB-035;S2TN-CAB-035;AVO;S2TN-ZON-034;Secc.03-11-11;41+170;;4870;21035
150;3;S2TS-CAB-015;S2TS-CAB-015;S2TS-CAB-015;AVO;S2TS-ZON-016;Secc.02-10-04;41+170;;4870;22015
151;3;S2TN-CAB-034;S2TN-CAB-034;S2TN-CAB-034;AVO;S2TN-ZON-034;Secc.03-11-11;41+270;;4970;21034
152;3;S2TS-CAB-016;S2TS-CAB-016;S2TS-CAB-016;AVO;S2TS-ZON-016;Secc.02-10-04;41+270;;4970;22016
153;3;2E10-CAB-001;2E10-CAB-001;2E10-CAB-001;AVO;S2TN-ZON-033;Secc.03-11-11;41+280;;4980;21110
154;3;2E10-CAB-002;2E10-CAB-002;2E10-CAB-002;AVO;S2TS-ZON-017;Secc.02-10-04;41+280;;4980;22110
155;2;ICCO-SOS-001;ICCO-SOS-001;ICCO-SOS-001;AVO;ICCO_EXT;Secc.03-258-09;5+070;;5070;21811
156;3;S2TN-CAB-033;S2TN-CAB-033;S2TN-CAB-033;AVO;IPRO-ZON-001;Secc.03-11-11;41+370;;5070;21033
157;3;S2TS-CAB-017;S2TS-CAB-017;S2TS-CAB-017;AVO;S2TS-ZON-017;Secc.02-10-04;41+370;;5070;22017
158;3;2E11-CAB-001;2E11-CAB-001;2E11-CAB-001;AVO;S2TN-ZON-032;Secc.03-11-11;41+410;;5110;21111
159;3;2E11-CAB-002;2E11-CAB-002;2E11-CAB-002;AVO;ICNP-ZON-004;Secc.02-47-04;41+410;;5110;22111
160;3;ICCO-CAB-001;ICCO-CAB-001;ICCO-CAB-001;AVO;ICCO-ZON-001;Secc.03-258-09;5+170;;5170;21801
161;3;S2TS-CAB-018;S2TS-CAB-018;S2TS-CAB-018;AVO;S2TS-ZON-019;Secc.02-10-05;41+470;;5170;22018
162;3;S2TN-CAB-032;S2TN-CAB-032;S2TN-CAB-032;AVO;S2TN-ZON-032;Secc.03-11-11;41+470;;5170;21032
163;3;ICCO-CAB-002;ICCO-CAB-002;ICCO-CAB-002;AVO;S2TN-ZON-018;Secc.03-258-09;5+270;;5270;21802
164;3;S2TN-CAB-031;S2TN-CAB-031;S2TN-CAB-031;AVO;S2TN-ZON-031;Secc.03-11-11;41+570;;5270;21031
165;3;S2TS-CAB-019;S2TS-CAB-019;S2TS-CAB-019;AVO;S2TS-ZON-019;Secc.02-10-05;41+570;;5270;22019
166;3;S2TN-CAB-030;S2TN-CAB-030;S2TN-CAB-030;AVO;S2TN-ZON-030;Secc.03-11-11;41+670;;5370;21030
167;3;S2TS-CAB-020;S2TS-CAB-020;S2TS-CAB-020;AVO;S2TS-ZON-020;Secc.02-10-05;41+670;;5370;22020
168;3;2E12-CAB-001;2E12-CAB-001;2E12-CAB-001;AVO;S2TN-ZON-029;Secc.03-11-11;41+695;;5395;21112
169;3;2E12-CAB-002;2E12-CAB-002;2E12-CAB-002;AVO;S2TS-ZON-021;Secc.02-10-05;41+695;;5395;22112
170;3;S2TN-CAB-029;S2TN-CAB-029;S2TN-CAB-029;AVO;S2TN-ZON-028;Secc.03-11-11;41+770;;5470;21029
171;3;S2TS-CAB-021;S2TS-CAB-021;S2TS-CAB-021;AVO;ICNP-ZON-001;Secc.02-10-05;41+770;;5470;22021
172;3;2E13-CAB-001;2E13-CAB-001;2E13-CAB-001;AVO;S2TN-ZON-028;Secc.03-11-11;41+850;;5550;21113
173;3;2E13-CAB-002;2E13-CAB-002;2E13-CAB-002;AVO;S2TS-ZON-022;Secc.02-10-05;41+850;;5550;22113
174;3;S2TN-CAB-028;S2TN-CAB-028;S2TN-CAB-028;AVO;S2TN-ZON-027;Secc.03-11-11;41+870;;5570;21028
175;3;S2TS-CAB-022;S2TS-CAB-022;S2TS-CAB-022;AVO;S2TS-ZON-023;Secc.02-10-05;41+870;;5570;22022
176;3;S2TN-CAB-027;S2TN-CAB-027;S2TN-CAB-027;AVO;S2TN-ZON-026;Secc.03-11-11;41+968;;5668;21027
177;3;S2TS-CAB-023;S2TS-CAB-023;S2TS-CAB-023;AVO;S2TS-ZON-023;Secc.02-10-05;41+968;;5668;22023
178;3;S2TS-CAB-024;S2TS-CAB-024;S2TS-CAB-024;AVO;S2TS-ZON-024;Secc.02-10-05;42+068;;5768;22024
179;3;S2TN-CAB-026;S2TN-CAB-026;S2TN-CAB-026;AVO;S2TN-ZON-025;Secc.03-11-11;42+068;;5768;21026
180;3;2E14-CAB-001;2E14-CAB-001;2E14-CAB-001;AVO;S2TN-ZON-026;Secc.03-11-11;42+075;;5775;21114
181;3;2E14-CAB-002;2E14-CAB-002;2E14-CAB-002;AVO;S2TS-ZON-025;Secc.02-10-05;42+075;;5775;22114
182;3;S2TN-CAB-025;S2TN-CAB-025;S2TN-CAB-025;AVO;S2TN-ZON-024;Secc.03-11-11;42+168;;5868;21025
183;3;S2TS-CAB-025;S2TS-CAB-025;S2TS-CAB-025;AVO;S2TS-ZON-026;Secc.02-10-05;42+168;;5868;22025
184;3;2E15-CAB-001;2E15-CAB-001;2E15-CAB-001;AVO;S2TN-ZON-024;Secc.03-11-11;42+230;;5930;21115
185;3;2E15-CAB-002;2E15-CAB-002;2E15-CAB-002;AVO;S2TS-ZON-026;Secc.02-10-05;42+230;;5930;22115
186;3;S2TN-CAB-024;S2TN-CAB-024;S2TN-CAB-024;AVO;S2TN-ZON-024;Secc.03-11-11;42+268;;5968;21024
187;3;S2TS-CAB-026;S2TS-CAB-026;S2TS-CAB-026;AVO;S2TS-ZON-027;Secc.02-10-05;42+268;;5968;22026
188;2;ICCP-SOS-001;ICCP-SOS-001;ICCP-SOS-001;AVO;ICCP_EXT;Secc.02-256-07;6+020;;6020;22611
189;3;S2TN-CAB-023;S2TN-CAB-023;S2TN-CAB-023;AVO;S2TN-ZON-023;Secc.03-11-11;42+368;;6068;21023
190;3;S2TS-CAB-027;S2TS-CAB-027;S2TS-CAB-027;AVO;S2TS-ZON-028;Secc.02-10-05;42+368;;6068;22027
191;3;ICCP-CAB-001;ICCP-CAB-001;ICCP-CAB-001;AVO;ICCP-ZON-003;Secc.02-256-07;6+120;;6120;22601
192;3;2E16-CAB-001;2E16-CAB-001;2E16-CAB-001;AVO;S2TN-ZON-022;Secc.03-11-11;42+455;;6155;21116
193;3;2E16-CAB-002;2E16-CAB-002;2E16-CAB-002;AVO;S2TS-ZON-029;Secc.02-10-05;42+455;;6155;22116
194;3;S2TS-CAB-028;S2TS-CAB-028;S2TS-CAB-028;AVO;S2TS-ZON-029;Secc.02-10-05;42+468;;6168;22028
195;3;S2TN-CAB-022;S2TN-CAB-022;S2TN-CAB-022;AVO;S2TN-ZON-022;Secc.03-11-11;42+468;;6168;21022
