alias;parent_alias;module_id;layer
SELECTOR_TREE_NODES_SINOPTICO_UNIFILAR_ILUMINACION_4_NORTE;SELECTOR_TREE_NODES_SINOPTICO_LT4;910;unifilar_ilum_4_norte.svg
SELECTOR_TREE_NODES_SINOPTICO_UNIFILAR_ILUMINACION_4_SUR;SELECTOR_TREE_NODES_SINOPTICO_LT4;911;unifilar_ilum_4_sur.svg
SELECTOR_TREE_NODES_SINOPTICO_UNIFILAR_CGBT_LT4;SELECTOR_TREE_NODES_SINOPTICO_LT4;912;unifilar_cgbt_lt4.svg
SELECTOR_TREE_NODES_SINOPTICO_EL_CORZO;;;
SELECTOR_TREE_NODES_SINOPTICO_EL_CORZO_TUNEL;SELECTOR_TREE_NODES_SINOPTICO_EL_CORZO;913;tunel_el_corzo.svg
SELECTOR_TREE_NODES_SINOPTICO_UNIFILARES_EL_CORZO;SELECTOR_TREE_NODES_SINOPTICO_EL_CORZO;;
SELECTOR_TREE_NODES_SINOPTICO_LT1;SELECTOR_TREE_NODES_SINOPTICO_UNIFILARES_EL_CORZO;;
SELECTOR_TREE_NODES_SINOPTICO_UNIFILAR_CGBT_LT1;SELECTOR_TREE_NODES_SINOPTICO_LT1;914;unifilar_cgbt_lt1.svg
SELECTOR_TREE_NODES_SINOPTICO_UNIFILAR_ILUM_NOR_LT1;SELECTOR_TREE_NODES_SINOPTICO_LT1;915;unifilar_ilum_1_norte.svg
SELECTOR_TREE_NODES_SINOPTICO_UNIFILAR_ILUM_SUR_LT1;SELECTOR_TREE_NODES_SINOPTICO_LT1;916;unifilar_ilum_1_sur.svg
SELECTOR_TREE_NODES_SINOPTICO_DESPEÑAPERROS_TUNNEL_COMUNICACIONES;SELECTOR_TREE_NODES_SINOPTICO_DESPEÑAPERROS;917;tunel_despeñaperros_comunicaciones.svg
SELECTOR_TREE_NODES_SINOPTICO_CENTROS_TRANSFORMACION;;918;centros_transformacion.svg
SELECTOR_TREE_NODES_SINOPTICO_LA_CANTERA_TUNNEL_COMUNICACIONES;SELECTOR_TREE_NODES_SINOPTICO_LA_CANTERA;919;tunel_la_cantera_comunicaciones.svg
SELECTOR_TREE_NODES_SINOPTICO_EL_CORZO_TUNNEL_COMUNICACIONES;SELECTOR_TREE_NODES_SINOPTICO_EL_CORZO;920;tunel_el_corzo_comunicaciones.svg
SELECTOR_TREE_NODES_SINOPTICO_UNIFILAR_SAI_NOR_DP1;SELECTOR_TREE_NODES_SINOPTICO_LT1;921;unifilar_sai_nor_dp1.svg
SELECTOR_TREE_NODES_SINOPTICO_UNIFILAR_SAI_SUR_DP1;SELECTOR_TREE_NODES_SINOPTICO_LT1;922;unifilar_sai_sur_dp1.svg
SELECTOR_TREE_NODES_SINOPTICO_UNIFILAR_VENT_DP1;SELECTOR_TREE_NODES_SINOPTICO_LT1;923;unifilar_vent_dp1.svg
SELECTOR_TREE_NODES_SINOPTICO_UNIFILAR_SAI_NOR_DP2;SELECTOR_TREE_NODES_SINOPTICO_LT2;924;unifilar_sai_nor_dp2.svg
SELECTOR_TREE_NODES_SINOPTICO_UNIFILAR_SAI_NOR_DP3;SELECTOR_TREE_NODES_SINOPTICO_LT3;925;unifilar_sai_nor_dp3.svg
SELECTOR_TREE_NODES_SINOPTICO_UNIFILAR_SAI_SUR_DP2;SELECTOR_TREE_NODES_SINOPTICO_LT2;926;unifilar_sai_sur_dp2.svg
SELECTOR_TREE_NODES_SINOPTICO_UNIFILAR_SAI_SUR_DP3;SELECTOR_TREE_NODES_SINOPTICO_LT3;927;unifilar_sai_sur_dp3.svg
SELECTOR_TREE_NODES_SINOPTICO_UNIFILAR_SAI_NOR_DP4;SELECTOR_TREE_NODES_SINOPTICO_LT4;928;unifilar_sai_nor_dp4.svg
SELECTOR_TREE_NODES_SINOPTICO_UNIFILAR_SAI_SUR_DP4;SELECTOR_TREE_NODES_SINOPTICO_LT4;929;unifilar_sai_sur_dp4.svg
