element_type;id;alias
57;132;INT-Q12-CGBT-DP3;
57;133;INT-VENT-3-01-CGBT-DP3;
57;134;INT-VENT-3-02-CGBT-DP3;
57;135;INT-VENT-3-03-CGBT-DP3;
57;136;INT-VENT-3-04-CGBT-DP3;
57;137;INT-VENT-3-05-CGBT-DP3;
57;138;INT-VENT-3-06-CGBT-DP3;
57;139;INT-VENT-3-07-CGBT-DP3;
57;140;INT-VENT-3-08-CGBT-DP3;
57;141;INT-VENT-3-09-CGBT-DP3;
57;142;INT-VENT-3-10-CGBT-DP3;
57;143;INT-MOD-2-CGBT-DP3;
57;144;INT-MOD-4-CGBT-DP3;
57;145;INT-MOD-11-CGBT-DP3;
57;146;INT-Q5-CGBT-DP3;
57;147;INT-Q4-CGBT-DP3;
57;148;INT-K03-RED-CGBT-DP3;
57;149;INT-Q24-CGBT-DP3;
57;150;INT-Q13-CGBT-DP3;
57;151;INT-VENT-2-01-CGBT-DP3;
57;152;INT-VENT-2-02-CGBT-DP3;
57;153;INT-VENT-2-03-CGBT-DP3;
57;154;INT-VENT-2-04-CGBT-DP3;
57;155;INT-VENT-2-05-CGBT-DP3;
57;156;INT-VENT-3-11-CGBT-DP3;
57;157;INT-VENT-3-12-CGBT-DP3;
57;158;INT-VENT-3-13-CGBT-DP3;
57;159;INT-VENT-3-14-CGBT-DP3;
57;160;INT-Q3-CGBT-DP3;
57;161;INT-Q6-CGBT-DP3;
57;162;INT-K02-GRU-CGBT-DP3;
57;163;INT-F1-GRU-CGBT-DP3;
57;164;INT-F6-CGBT-DP3;
57;165;INT-Q27-ILU-NOR-4;
57;166;INT-K02-ILU-NOR-4;
57;167;INT-MANI-ILU-NOR-4;
57;168;INT-SOL-IZQ-1-ILU-NOR-4;
57;169;INT-SOL-IZQ-2-ILU-NOR-4;
57;170;INT-SOL-IZQ-3-ILU-NOR-4;
57;171;INT-SOL-IZQ-4-ILU-NOR-4;
57;172;INT-NUB-IZQ-1-ILU-NOR-4;
57;173;INT-NUB-IZQ-2-ILU-NOR-4;
57;174;INT-NOC-IZQ-ILU-NOR-4;
57;175;INT-CREP-IZQ-1-ILU-NOR-4;
57;176;INT-CREP-IZQ-2-ILU-NOR-4;
57;177;INT-SOL-DER-1-ILU-NOR-4;
57;178;INT-SOL-DER-2-ILU-NOR-4;
57;179;INT-SOL-DER-3-ILU-NOR-4;
57;180;INT-SOL-DER-4-ILU-NOR-4;
57;181;INT-NUB-DER-1-ILU-NOR-4;
57;182;INT-NUB-DER-2-ILU-NOR-4;
57;183;INT-CREP-DER-1-ILU-NOR-4;
57;184;INT-CREP-DER-2-ILU-NOR-4;
57;185;INT-EXT-ENT-ILU-NOR-4;
57;186;INT-EXT-SAL-ILU-NOR-4;
57;187;INT-Q26-ILU-SUR-4;
57;188;INT-K01-ILU-SUR-4;
57;189;INT-MANI-ILU-SUR-4;
57;190;INT-SOL-IZQ-1-ILU-SUR-4;
57;191;INT-SOL-IZQ-2-ILU-SUR-4;
57;192;INT-SOL-IZQ-3-ILU-SUR-4;
57;193;INT-SOL-IZQ-4-ILU-SUR-4;
57;194;INT-NUB-IZQ-1-ILU-SUR-4;
57;195;INT-NUB-IZQ-2-ILU-SUR-4;
57;196;INT-NUB-IZQ-3-ILU-SUR-4;
57;197;INT-NOC-IZQ-ILU-SUR-4;
57;198;INT-CREP-IZQ-1-ILU-SUR-4;
57;199;INT-CREP-IZQ-2-ILU-SUR-4;
57;200;INT-CREP-IZQ-3-ILU-SUR-4;
57;201;INT-SOL-DER-1-ILU-SUR-4;
57;202;INT-SOL-DER-2-ILU-SUR-4;
57;203;INT-SOL-DER-3-ILU-SUR-4;
57;204;INT-SOL-DER-4-ILU-SUR-4;
57;205;INT-NUB-DER-1-ILU-SUR-4;
57;206;INT-NUB-DER-2-ILU-SUR-4;
57;207;INT-NUB-DER-3-ILU-SUR-4;
57;208;INT-CREP-DER-1-ILU-SUR-4;
57;209;INT-CREP-DER-2-ILU-SUR-4;
57;210;INT-CREP-DER-3-ILU-SUR-4;
57;211;INT-EXT-ENT-ILU-SUR-4;
57;212;INT-EXT-SAL-ILU-SUR-4;
57;213;INT-K01-CGBT-DP4;
57;214;INT-F1-CGBT-DP4;
57;215;INT-Q1-CGBT-DP4;
57;216;INT-Q2-CGBT-DP4;
57;217;INT-Q4-CGBT-DP4;
57;218;INT-Q5-CGBT-DP4;
57;219;INT-Q6-CGBT-DP4;
57;220;INT-Q7-CGBT-DP4;
57;221;INT-K02-CGBT-DP4;
57;222;INT-Q3-CGBT-DP4;
57;223;INT-Q8-CGBT-DP4;
57;224;INT-Q9-CGBT-DP4;
57;225;INT-F2-CGBT-DP4;
57;226;INT-Q1-GEN-CGBT-DP1;
57;227;INT-K01-GEN-CGBT-DP1;
57;228;INT-F1-CGBT-DP1;
57;229;INT-K01-RED-CGBT-DP1;
57;230;INT-PROT-CGBT-DP1;
57;231;INT-Q1-RED-CGBT-DP1;
57;232;INT-Q2-CGBT-DP1;
57;233;INT-Q4-CGBT-DP1;
57;234;INT-Q5-CGBT-DP1;
57;235;INT-Q6-CGBT-DP1;
57;236;INT-Q7-CGBT-DP1;
57;237;INT-K02-CGBT-DP1;
57;238;INT-Q3-CGBT-DP1;
57;239;INT-Q8-CGBT-DP1;
57;240;INT-Q9-CGBT-DP1;
57;241;INT-F4-CGBT-DP1;
57;242;INT-Q1-GEN-CGBT-DP1;
57;243;INT-Q1-ILU-NOR-1;
57;244;INT-K02-ILU-NOR-1;
57;245;INT-MANI-ILU-NOR-1;
57;246;INT-SOL-IZQ-1-ILU-NOR-1;
57;247;INT-SOL-IZQ-2-ILU-NOR-1;
57;248;INT-SOL-IZQ-3-ILU-NOR-1;
57;249;INT-SOL-IZQ-4-ILU-NOR-1;
57;250;INT-NUB-IZQ-1-ILU-NOR-1;
57;251;INT-NUB-IZQ-2-ILU-NOR-1;
57;252;INT-NUB-IZQ-3-ILU-NOR-1;
57;253;INT-NOC-IZQ-ILU-NOR-1;
57;254;INT-CREP-IZQ-1-ILU-NOR-1;
57;255;INT-CREP-IZQ-2-ILU-NOR-1;
57;256;INT-CREP-IZQ-3-ILU-NOR-1;
57;257;INT-SOL-DER-1-ILU-NOR-1;
57;258;INT-SOL-DER-2-ILU-NOR-1;
57;259;INT-SOL-DER-3-ILU-NOR-1;
57;260;INT-SOL-DER-4-ILU-NOR-1;
57;261;INT-NUB-DER-1-ILU-NOR-1;
57;262;INT-NUB-DER-2-ILU-NOR-1;
57;263;INT-NUB-DER-3-ILU-NOR-1;
57;264;INT-CREP-DER-1-ILU-NOR-1;
57;265;INT-CREP-DER-2-ILU-NOR-1;
57;266;INT-CREP-DER-3-ILU-NOR-1;
57;267;INT-EXT-ENT-ILU-NOR-1;
57;268;INT-EXT-SAL-ILU-NOR-1;
57;269;INT-Q1-ILU-SUR-1;
57;270;INT-K01-ILU-SUR-1;
57;271;INT-MANI-ILU-SUR-1;
57;272;INT-SOL-IZQ-1-ILU-SUR-1;
57;273;INT-SOL-IZQ-2-ILU-SUR-1;
57;274;INT-NUB-IZQ-ILU-SUR-1;
57;275;INT-NOC-IZQ-ILU-SUR-1;
57;276;INT-CREP-IZQ-1-ILU-SUR-1;
57;277;INT-SOL-DER-1-ILU-SUR-1;
57;278;INT-SOL-DER-2-ILU-SUR-1;
57;279;INT-NUB-DER-1-ILU-SUR-1;
57;280;INT-CREP-DER-1-ILU-SUR-1;
57;281;INT-EXT-ENT-ILU-SUR-1;
57;282;INT-EXT-SAL-ILU-SUR-1;
57;283;INT-L2-1-CGMT;
57;284;INT-L2-2-CGMT;
57;285;SEC-L2-2-CGMT;
57;286;INT-L2-3-CGMT;
57;287;INT-L3-1-CGMT;
57;288;INT-L3-2-CGMT;
57;289;SEC-L3-2-CGMT;
57;290;INT-L3-3-CGMT;
57;291;SEC-L3-3-CGMT;
57;292;INT-L3-4-CGMT;
57;293;INT-L1-1-CGMT;
57;294;INT-L1-2-CGMT;
57;295;INT-L1-3-CGMT;
57;296;SEC-L1-3-CGMT;
