item;alias;description;sessionuid;road;stretchs;secc;pk;param5_pk_ini;param6_pk_end;dm;;;;
29;S1TN-ZON-001;S1TN-ZON-001;S1TN-ZON-001;AVO;S1TN-ZON-001;Secc.01-11-12;39+57;39+57;39+67;3270;;;;
30;S1TN-ZON-002;S1TN-ZON-002;S1TN-ZON-002;AVO;S1TN-ZON-002;Secc.01-11-12;39+49;39+49;39+57;3190;;;;
31;S1TN-ZON-003;S1TN-ZON-003;S1TN-ZON-003;AVO;S1TN-ZON-003;Secc.01-11-12;39+41;39+41;39+49;3110;;;;
32;S1TN-ZON-004;S1TN-ZON-004;S1TN-ZON-004;AVO;S1TN-ZON-004;Secc.01-11-12;39+33;39+33;39+41;3030;;;;
33;S1TN-ZON-005;S1TN-ZON-005;S1TN-ZON-005;AVO;S1TN-ZON-005;Secc.01-11-12;39+25;39+25;39+33;2950;;;;
34;S1TS-ZON-001;S1TS-ZON-001;S1TS-ZON-001;AVO;S1TS-ZON-001;Secc.01-10-01;36+95;36+95;37+05;650;;;;
35;S1TS-ZON-002;S1TS-ZON-002;S1TS-ZON-002;AVO;S1TS-ZON-002;Secc.01-10-01;37+05;37+05;37+15;750;;;;
36;S1TS-ZON-003;S1TS-ZON-003;S1TS-ZON-003;AVO;S1TS-ZON-003;Secc.01-10-01;37+15;37+15;37+25;850;;;;
37;S1TS-ZON-004;S1TS-ZON-004;S1TS-ZON-004;AVO;S1TS-ZON-004;Secc.01-10-01;37+25;37+25;37+35;950;;;;
38;S1TS-ZON-005;S1TS-ZON-005;S1TS-ZON-005;AVO;S1TS-ZON-005;Secc.01-10-01;37+35;37+35;37+45;1050;;;;
39;S1TS-ZON-006;S1TS-ZON-006;S1TS-ZON-006;AVO;S1TS-ZON-006;Secc.01-10-01;37+45;37+45;37+55;1150;;;;
40;S1TS-ZON-007;S1TS-ZON-007;S1TS-ZON-007;AVO;S1TS-ZON-007;Secc.01-10-01;37+55;37+55;37+65;1250;;;;
41;S1TS-ZON-008;S1TS-ZON-008;S1TS-ZON-008;AVO;S1TS-ZON-008;Secc.01-10-01;37+65;37+65;37+75;1350;;;;
42;S1TS-ZON-009;S1TS-ZON-009;S1TS-ZON-009;AVO;S1TS-ZON-009;Secc.01-10-01;37+75;37+75;37+85;1450;;;;
43;S1TS-ZON-010;S1TS-ZON-010;S1TS-ZON-010;AVO;S1TS-ZON-010;Secc.01-10-01;37+85;37+85;37+95;1550;;;;
44;S1TS-ZON-011;S1TS-ZON-011;S1TS-ZON-011;AVO;S1TS-ZON-011;Secc.01-10-02;37+95;37+95;38+05;1650;;;;
45;S1TS-ZON-012;S1TS-ZON-012;S1TS-ZON-012;AVO;S1TS-ZON-012;Secc.01-10-02;38+05;38+05;38+15;1748;;;;
46;S1TS-ZON-013;S1TS-ZON-013;S1TS-ZON-013;AVO;S1TS-ZON-013;Secc.01-10-02;38+15;38+15;38+25;1850;;;;
47;S1TS-ZON-014;S1TS-ZON-014;S1TS-ZON-014;AVO;S1TS-ZON-014;Secc.01-10-02;38+25;38+25;38+35;1950;;;;
48;S1TS-ZON-015;S1TS-ZON-015;S1TS-ZON-015;AVO;S1TS-ZON-015;Secc.01-10-02;38+35;38+35;38+45;2050;;;;
49;S1TS-ZON-016;S1TS-ZON-016;S1TS-ZON-016;AVO;S1TS-ZON-016;Secc.01-10-02;38+45;38+45;38+55;2150;;;;
50;S1TS-ZON-017;S1TS-ZON-017;S1TS-ZON-017;AVO;S1TS-ZON-017;Secc.01-10-02;38+55;38+55;38+65;2250;;;;
51;S1TS-ZON-018;S1TS-ZON-018;S1TS-ZON-018;AVO;S1TS-ZON-018;Secc.01-10-03;38+65;38+65;38+75;2360;;;;
52;S1TS-ZON-019;S1TS-ZON-019;S1TS-ZON-019;AVO;S1TS-ZON-019;Secc.01-10-03;38+75;38+75;38+85;2470;;;;
53;S1TS-ZON-020;S1TS-ZON-020;S1TS-ZON-020;AVO;S1TS-ZON-020;Secc.01-10-03;38+85;38+85;38+95;2580;;;;
54;S1TS-ZON-021;S1TS-ZON-021;S1TS-ZON-021;AVO;S1TS-ZON-021;Secc.01-10-03;38+95;38+95;39+05;2690;;;;
55;S1TS-ZON-022;S1TS-ZON-022;S1TS-ZON-022;AVO;S1TS-ZON-022;Secc.01-10-03;39+05;39+05;39+15;2750;;;;
56;S1TS-ZON-023;S1TS-ZON-023;S1TS-ZON-023;AVO;S1TS-ZON-023;Secc.01-10-03;39+15;39+15;39+25;2850;;;;
57;S1TS-ZON-024;S1TS-ZON-024;S1TS-ZON-024;AVO;S1TS-ZON-024;Secc.01-10-03;39+25;39+25;39+35;2950;;;;
58;S1TS-ZON-025;S1TS-ZON-025;S1TS-ZON-025;AVO;S1TS-ZON-025;Secc.01-10-03;39+35;39+35;39+45;3050;;;;
59;S1TS-ZON-026;S1TS-ZON-026;S1TS-ZON-026;AVO;S1TS-ZON-026;Secc.01-10-03;39+45;39+45;39+55;3150;;;;
60;S1TS-ZON-027;S1TS-ZON-027;S1TS-ZON-027;AVO;S1TS-ZON-027;Secc.01-10-03;39+55;39+55;39+65;3250;;;;
61;S2TN-ZON-001;S2TN-ZON-001;S2TN-ZON-001;AVO;S2TN-ZON-001;Secc.03-11-08;40+65;40+65;40+75;8280;;;;
62;S2TN-ZON-002;S2TN-ZON-002;S2TN-ZON-002;AVO;S2TN-ZON-002;Secc.03-11-08;40+75;40+75;40+85;8180;;;;
63;S2TN-ZON-003;S2TN-ZON-003;S2TN-ZON-003;AVO;S2TN-ZON-003;Secc.03-11-08;40+85;40+85;40+95;8080;;;;
64;S2TN-ZON-004;S2TN-ZON-004;S2TN-ZON-004;AVO;S2TN-ZON-004;Secc.03-11-08;40+95;40+95;41+05;7980;;;;
65;S2TN-ZON-005;S2TN-ZON-005;S2TN-ZON-005;AVO;S2TN-ZON-005;Secc.03-11-08;41+05;41+05;41+15;7880;;;;
66;S2TN-ZON-006;S2TN-ZON-006;S2TN-ZON-006;AVO;S2TN-ZON-006;Secc.03-11-08;40+95;40+95;41+05;7780;;;;
67;S2TN-ZON-007;S2TN-ZON-007;S2TN-ZON-007;AVO;S2TN-ZON-007;Secc.03-11-08;41+05;41+05;41+15;7680;;;;
68;S2TN-ZON-008;S2TN-ZON-008;S2TN-ZON-008;AVO;S2TN-ZON-008;Secc.03-11-08;41+15;41+15;41+25;7580;;;;
69;S2TN-ZON-009;S2TN-ZON-009;S2TN-ZON-009;AVO;S2TN-ZON-009;Secc.03-11-08;41+25;41+25;41+35;7480;;;;
70;S2TN-ZON-010;S2TN-ZON-010;S2TN-ZON-010;AVO;S2TN-ZON-010;Secc.03-11-08;41+35;41+35;41+45;7380;;;;
71;S2TN-ZON-011;S2TN-ZON-011;S2TN-ZON-011;AVO;S2TN-ZON-011;Secc.03-11-08;41+45;41+45;41+55;7280;;;;
72;S2TN-ZON-012;S2TN-ZON-012;S2TN-ZON-012;AVO;S2TN-ZON-012;Secc.03-11-09;41+55;41+55;41+65;7180;;;;
73;S2TN-ZON-013;S2TN-ZON-013;S2TN-ZON-013;AVO;S2TN-ZON-013;Secc.03-11-09;41+65;41+65;41+75;7080;;;;
74;S2TN-ZON-014;S2TN-ZON-014;S2TN-ZON-014;AVO;S2TN-ZON-014;Secc.03-11-09;41+75;41+75;41+85;6980;;;;
75;S2TN-ZON-015;S2TN-ZON-015;S2TN-ZON-015;AVO;S2TN-ZON-015;Secc.03-11-09;41+85;41+85;41+95;6880;;;;
76;S2TN-ZON-016;S2TN-ZON-016;S2TN-ZON-016;AVO;S2TN-ZON-016;Secc.03-11-09;41+95;41+95;42+05;6780;;;;
77;S2TN-ZON-017;S2TN-ZON-017;S2TN-ZON-017;AVO;S2TN-ZON-017;Secc.03-11-09;41+95;41+95;42+05;6680;;;;
78;S2TN-ZON-018;S2TN-ZON-018;S2TN-ZON-018;AVO;S2TN-ZON-018;Secc.03-11-09;42+05;42+05;42+15;6580;;;;
79;S2TN-ZON-019;S2TN-ZON-019;S2TN-ZON-019;AVO;S2TN-ZON-019;Secc.03-11-09;42+05;42+05;42+15;6480;;;;
80;S2TN-ZON-020;S2TN-ZON-020;S2TN-ZON-020;AVO;S2TN-ZON-020;Secc.03-11-09;42+15;42+15;42+25;6380;;;;
81;S2TN-ZON-021;S2TN-ZON-021;S2TN-ZON-021;AVO;S2TN-ZON-021;Secc.03-11-10;42+15;42+15;42+25;6280;;;;
82;S2TN-ZON-022;S2TN-ZON-022;S2TN-ZON-022;AVO;S2TN-ZON-022;Secc.03-11-10;42+25;42+25;42+35;6180;;;;
83;S2TN-ZON-023;S2TN-ZON-023;S2TN-ZON-023;AVO;S2TN-ZON-023;Secc.03-11-10;42+25;42+25;42+35;6080;;;;
84;S2TN-ZON-024;S2TN-ZON-024;S2TN-ZON-024;AVO;S2TN-ZON-024;Secc.03-11-10;42+35;42+35;42+45;5980;;;;
85;S2TN-ZON-025;S2TN-ZON-025;S2TN-ZON-025;AVO;S2TN-ZON-025;Secc.03-11-10;42+35;42+35;42+45;5880;;;;
86;S2TN-ZON-026;S2TN-ZON-026;S2TN-ZON-026;AVO;S2TN-ZON-026;Secc.03-11-10;42+45;42+45;42+55;5780;;;;
87;S2TN-ZON-027;S2TN-ZON-027;S2TN-ZON-027;AVO;S2TN-ZON-027;Secc.03-11-10;42+45;42+45;42+55;5680;;;;
88;S2TN-ZON-028;S2TN-ZON-028;S2TN-ZON-028;AVO;S2TN-ZON-028;Secc.03-11-10;42+55;42+55;42+65;5580;;;;
89;S2TN-ZON-029;S2TN-ZON-029;S2TN-ZON-029;AVO;S2TN-ZON-029;Secc.03-11-10;42+65;42+65;42+75;5480;;;;
90;S2TN-ZON-030;S2TN-ZON-030;S2TN-ZON-030;AVO;S2TN-ZON-030;Secc.03-11-10;42+65;42+65;42+75;5380;;;;
91;S2TN-ZON-031;S2TN-ZON-031;S2TN-ZON-031;AVO;S2TN-ZON-031;Secc.03-11-10;42+75;42+75;42+85;5280;;;;
92;S2TN-ZON-032;S2TN-ZON-032;S2TN-ZON-032;AVO;S2TN-ZON-032;Secc.03-11-11;42+75;42+75;42+85;5180;;;;
93;S2TN-ZON-033;S2TN-ZON-033;S2TN-ZON-033;AVO;S2TN-ZON-033;Secc.03-11-11;42+85;42+85;42+95;5080;;;;
94;S2TN-ZON-034;S2TN-ZON-034;S2TN-ZON-034;AVO;S2TN-ZON-034;Secc.03-11-11;42+85;42+85;42+95;4980;;;;
95;S2TN-ZON-035;S2TN-ZON-035;S2TN-ZON-035;AVO;S2TN-ZON-035;Secc.03-11-11;42+95;42+95;43+05;4880;;;;
96;S2TN-ZON-036;S2TN-ZON-036;S2TN-ZON-036;AVO;S2TN-ZON-036;Secc.03-11-11;43+05;43+05;43+15;4780;;;;
97;S2TN-ZON-037;S2TN-ZON-037;S2TN-ZON-037;AVO;S2TN-ZON-037;Secc.03-11-11;43+15;43+15;43+25;4680;;;;
98;S2TN-ZON-038;S2TN-ZON-038;S2TN-ZON-038;AVO;S2TN-ZON-038;Secc.03-11-11;43+25;43+25;43+35;4580;;;;
99;S2TN-ZON-039;S2TN-ZON-039;S2TN-ZON-039;AVO;S2TN-ZON-039;Secc.03-11-11;43+35;43+35;43+45;4480;;;;
100;S2TN-ZON-040;S2TN-ZON-040;S2TN-ZON-040;AVO;S2TN-ZON-040;Secc.03-11-11;43+45;43+45;43+55;4380;;;;
101;S2TN-ZON-041;S2TN-ZON-041;S2TN-ZON-041;AVO;S2TN-ZON-041;Secc.03-11-11;43+55;43+55;43+65;4280;;;;
102;S2TN-ZON-042;S2TN-ZON-042;S2TN-ZON-042;AVO;S2TN-ZON-042;Secc.03-11-11;43+65;43+65;43+75;4180;;;;
103;S2TN-ZON-043;S2TN-ZON-043;S2TN-ZON-043;AVO;S2TN-ZON-043;Secc.03-11-11;43+55;43+55;43+65;4080;;;;
104;S2TN-ZON-044;S2TN-ZON-044;S2TN-ZON-044;AVO;S2TN-ZON-044;Secc.03-11-11;43+65;43+65;43+75;3980;;;;
105;S2TN-ZON-045;S2TN-ZON-045;S2TN-ZON-045;AVO;S2TN-ZON-045;Secc.03-11-11;43+75;43+75;43+85;3880;;;;
106;S2TN-ZON-046;S2TN-ZON-046;S2TN-ZON-046;AVO;S2TN-ZON-046;Secc.03-11-11;43+85;43+85;43+95;3780;;;;
107;S2TN-ZON-047;S2TN-ZON-047;S2TN-ZON-047;AVO;S2TN-ZON-047;Secc.03-11-11;43+95;43+95;44+05;3680;;;;
108;S2TN-ZON-048;S2TN-ZON-048;S2TN-ZON-048;AVO;S2TN-ZON-048;Secc.03-11-11;44+05;44+05;44+15;3580;;;;
109;S2TN-ZON-049;S2TN-ZON-049;S2TN-ZON-049;AVO;S2TN-ZON-049;Secc.03-11-11;39+68;39+68;39+78;3480;;;;
110;S2TS-ZON-001;S2TS-ZON-001;S2TS-ZON-001;AVO;S2TS-ZON-001;Secc.01-10-03;39+67;39+67;39+77;3370;;;;
111;S2TS-ZON-002;S2TS-ZON-002;S2TS-ZON-002;AVO;S2TS-ZON-002;Secc.01-10-03;39+77;39+77;39+87;3470;;;;
112;S2TS-ZON-003;S2TS-ZON-003;S2TS-ZON-003;AVO;S2TS-ZON-003;Secc.01-10-03;39+87;39+87;39+97;3570;;;;
113;S2TS-ZON-004;S2TS-ZON-004;S2TS-ZON-004;AVO;S2TS-ZON-004;Secc.01-10-03;39+97;39+97;40+07;3670;;;;
114;S2TS-ZON-005;S2TS-ZON-005;S2TS-ZON-005;AVO;S2TS-ZON-005;Secc.01-10-03;40+07;40+07;40+17;3770;;;;
115;S2TS-ZON-006;S2TS-ZON-006;S2TS-ZON-006;AVO;S2TS-ZON-006;Secc.01-10-03;40+17;40+17;40+27;3870;;;;
116;S2TS-ZON-007;S2TS-ZON-007;S2TS-ZON-007;AVO;S2TS-ZON-007;Secc.01-10-03;40+27;40+27;40+37;3970;;;;
117;S2TS-ZON-008;S2TS-ZON-008;S2TS-ZON-008;AVO;S2TS-ZON-008;Secc.02-10-04;40+37;40+37;40+47;4070;;;;
118;S2TS-ZON-009;S2TS-ZON-009;S2TS-ZON-009;AVO;S2TS-ZON-009;Secc.02-10-04;40+47;40+47;40+57;4170;;;;
119;S2TS-ZON-010;S2TS-ZON-010;S2TS-ZON-010;AVO;S2TS-ZON-010;Secc.02-10-04;40+57;40+57;40+67;4270;;;;
120;S2TS-ZON-011;S2TS-ZON-011;S2TS-ZON-011;AVO;S2TS-ZON-011;Secc.02-10-04;40+67;40+67;40+77;4370;;;;
121;S2TS-ZON-012;S2TS-ZON-012;S2TS-ZON-012;AVO;S2TS-ZON-012;Secc.02-10-04;40+77;40+77;40+87;4470;;;;
122;S2TS-ZON-013;S2TS-ZON-013;S2TS-ZON-013;AVO;S2TS-ZON-013;Secc.02-10-04;40+87;40+87;40+97;4570;;;;
123;IVIP_EXT;IVIP_EXT;IVIP_EXT;AVO;IVIP_EXT;Secc.02-16-04;;;;;;;;
124;S2TS-ZON-014;S2TS-ZON-014;S2TS-ZON-014;AVO;S2TS-ZON-014;Secc.02-10-04;40+97;40+97;41+07;4670;;;;'(123,2,''IVIP_EXT'',''Ingreo Vitacura Poniente'',0,0,0,1,true,true,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP),'
125;S2TS-ZON-015;S2TS-ZON-015;S2TS-ZON-015;AVO;S2TS-ZON-015;Secc.02-10-04;41+07;41+07;41+17;4770;;;;
126;S2TS-ZON-016;S2TS-ZON-016;S2TS-ZON-016;AVO;S2TS-ZON-016;Secc.02-10-04;41+17;41+17;41+27;4870;;;;
127;S2TS-ZON-017;S2TS-ZON-017;S2TS-ZON-017;AVO;S2TS-ZON-017;Secc.02-10-04;41+27;41+27;41+37;4970;;;;
128;S2TS-ZON-018;S2TS-ZON-018;S2TS-ZON-018;AVO;S2TS-ZON-018;Secc.02-10-04;41+37;41+37;41+47;5070;;;;
129;S2TS-ZON-019;S2TS-ZON-019;S2TS-ZON-019;AVO;S2TS-ZON-019;Secc.02-10-05;41+47;41+47;41+57;5170;;;;
130;S2TS-ZON-020;S2TS-ZON-020;S2TS-ZON-020;AVO;S2TS-ZON-020;Secc.02-10-05;41+57;41+57;41+67;5270;;;;
131;S2TS-ZON-021;S2TS-ZON-021;S2TS-ZON-021;AVO;S2TS-ZON-021;Secc.02-10-05;41+67;41+67;41+77;5370;;;;
132;S2TS-ZON-022;S2TS-ZON-022;S2TS-ZON-022;AVO;S2TS-ZON-022;Secc.02-10-05;41+77;41+77;41+87;5470;;;;
133;S2TS-ZON-023;S2TS-ZON-023;S2TS-ZON-023;AVO;S2TS-ZON-023;Secc.02-10-05;41+87;41+87;41+97;5570;;;;
134;S2TS-ZON-024;S2TS-ZON-024;S2TS-ZON-024;AVO;S2TS-ZON-024;Secc.02-10-05;41+97;41+97;42+07;5670;;;;
135;S2TS-ZON-025;S2TS-ZON-025;S2TS-ZON-025;AVO;S2TS-ZON-025;Secc.02-10-05;42+07;42+07;42+17;5770;;;;
136;S2TS-ZON-026;S2TS-ZON-026;S2TS-ZON-026;AVO;S2TS-ZON-026;Secc.02-10-05;42+17;42+17;42+27;5870;;;;
137;S2TS-ZON-027;S2TS-ZON-027;S2TS-ZON-027;AVO;S2TS-ZON-027;Secc.02-10-05;42+27;42+27;42+37;5970;;;;
138;S2TS-ZON-028;S2TS-ZON-028;S2TS-ZON-028;AVO;S2TS-ZON-028;Secc.02-10-05;42+37;42+37;42+47;6070;;;;
139;S2TS-ZON-029;S2TS-ZON-029;S2TS-ZON-029;AVO;S2TS-ZON-029;Secc.02-10-05;42+47;42+47;42+57;6170;;;;
140;S2TS-ZON-030;S2TS-ZON-030;S2TS-ZON-030;AVO;S2TS-ZON-030;Secc.02-10-06;42+57;42+57;42+67;6270;;;;
141;S2TS-ZON-031;S2TS-ZON-031;S2TS-ZON-031;AVO;S2TS-ZON-031;Secc.02-10-06;42+67;42+67;42+77;6370;;;;
142;S2TS-ZON-032;S2TS-ZON-032;S2TS-ZON-032;AVO;S2TS-ZON-032;Secc.02-10-06;42+77;42+77;42+87;6470;;;;
143;S2TS-ZON-033;S2TS-ZON-033;S2TS-ZON-033;AVO;S2TS-ZON-033;Secc.02-10-06;42+87;42+87;42+97;6570;;;;
144;S2TS-ZON-034;S2TS-ZON-034;S2TS-ZON-034;AVO;S2TS-ZON-034;Secc.02-10-06;42+97;42+97;43+07;6670;;;;
145;S2TS-ZON-035;S2TS-ZON-035;S2TS-ZON-035;AVO;S2TS-ZON-035;Secc.02-10-06;43+07;43+07;43+17;6770;;;;
146;S2TS-ZON-036;S2TS-ZON-036;S2TS-ZON-036;AVO;S2TS-ZON-036;Secc.02-10-06;43+17;43+17;43+27;6870;;;;
147;S2TS-ZON-037;S2TS-ZON-037;S2TS-ZON-037;AVO;S2TS-ZON-037;Secc.02-10-06;43+27;43+27;43+37;6970;;;;
148;S2TS-ZON-038;S2TS-ZON-038;S2TS-ZON-038;AVO;S2TS-ZON-038;Secc.02-10-06;43+37;43+37;43+47;7070;;;;
149;S2TS-ZON-039;S2TS-ZON-039;S2TS-ZON-039;AVO;S2TS-ZON-039;Secc.02-10-06;43+47;43+47;43+57;7170;;;;
150;S2TS-ZON-040;S2TS-ZON-040;S2TS-ZON-040;AVO;S2TS-ZON-040;Secc.02-10-07;43+57;43+57;43+67;7270;;;;
151;S2TS-ZON-041;S2TS-ZON-041;S2TS-ZON-041;AVO;S2TS-ZON-041;Secc.02-10-07;43+67;43+67;43+77;7370;;;;
152;S2TS-ZON-042;S2TS-ZON-042;S2TS-ZON-042;AVO;S2TS-ZON-042;Secc.02-10-07;43+77;43+77;43+87;7470;;;;
153;S2TS-ZON-043;S2TS-ZON-043;S2TS-ZON-043;AVO;S2TS-ZON-043;Secc.02-10-07;43+87;43+87;43+97;7570;;;;
154;S2TS-ZON-044;S2TS-ZON-044;S2TS-ZON-044;AVO;S2TS-ZON-044;Secc.02-10-07;43+97;43+97;44+07;7670;;;;
155;S2TS-ZON-045;S2TS-ZON-045;S2TS-ZON-045;AVO;S2TS-ZON-045;Secc.02-10-07;44+07;44+07;44+17;7770;;;;
156;S2TS-ZON-046;S2TS-ZON-046;S2TS-ZON-046;AVO;S2TS-ZON-046;Secc.02-10-07;44+17;44+17;44+27;7870;;;;
157;S2TS-ZON-047;S2TS-ZON-047;S2TS-ZON-047;AVO;S2TS-ZON-047;Secc.02-10-07;44+27;44+27;44+37;7970;;;;
158;S2TS-ZON-048;S2TS-ZON-048;S2TS-ZON-048;AVO;S2TS-ZON-048;Secc.02-10-07;44+37;44+37;44+47;8070;;;;
159;S2TS-ZON-049;S2TS-ZON-049;S2TS-ZON-049;AVO;S2TS-ZON-049;Secc.02-10-07;44+47;44+47;44+57;8170;;;;
160;SAEB-ZON-001;SAEB-ZON-001;SAEB-ZON-001;AVO;SAEB-ZON-001;Secc.01-86-02;0+16;0+16;0+26;160;;;;
161;SAEB-ZON-002;SAEB-ZON-002;SAEB-ZON-002;AVO;SAEB-ZON-002;Secc.01-86-02;0+26;0+26;0+36;260;;;;
162;SAEB-ZON-003;SAEB-ZON-003;SAEB-ZON-003;AVO;SAEB-ZON-003;Secc.01-86-02;0+36;0+36;0+46;360;;;;
163;SAEB-ZON-004;SAEB-ZON-004;SAEB-ZON-004;AVO;SAEB-ZON-004;Secc.01-86-02;0+46;0+46;0+533;460;;;;
164;SAPR-ZON-001;SAPR-ZON-001;SAPR-ZON-001;AVO;SAPR-ZON-001;Secc.03-253-10;0+28;0+28;0+38;280;;;;
165;SBTP-ZON-001;SBTP-ZON-001;SBTP-ZON-001;AVO;SBTP-ZON-001;Secc.02-257-07;8+1;8+1;8+2;8100;;;;
166;SBTP-ZON-002;SBTP-ZON-002;SBTP-ZON-002;AVO;SBTP-ZON-002;Secc.02-257-07;8+2;8+2;8+3;8200;;;;
167;SCNO-ZON-001;SCNO-ZON-001;SCNO-ZON-001;AVO;SCNO-ZON-001;Secc.01-25-01;0+05;0+05;0+15;50;;;;
168;SCNO-ZON-002;SCNO-ZON-002;SCNO-ZON-002;AVO;SCNO-ZON-002;Secc.01-25-01;0+15;0+15;0+25;160;;;;
169;SCNO-ZON-003;SCNO-ZON-003;SCNO-ZON-003;AVO;SCNO-ZON-003;Secc.01-25-01;0+25;0+25;0+35;270;;;;
170;SCNO-ZON-004;SCNO-ZON-004;SCNO-ZON-004;AVO;SCNO-ZON-004;Secc.01-25-01;0+35;0+35;0+45;370;;;;
171;SCNO-ZON-005;SCNO-ZON-005;SCNO-ZON-005;AVO;SCNO-ZON-005;Secc.01-25-01;0+45;0+45;0+55;480;;;;
172;SCNO-ZON-006;SCNO-ZON-006;SCNO-ZON-006;AVO;SCNO-ZON-006;Secc.01-25-01;0+55;0+55;0+65;590;;;;
173;SICO-ZON-001;SICO-ZON-001;SICO-ZON-001;AVO;SICO-ZON-001;Secc.02-260-06;0+13;0+13;0+23;130;;;;
174;SICO-ZON-002;SICO-ZON-002;SICO-ZON-002;AVO;SICO-ZON-002;Secc.02-260-06;0+23;0+23;0+33;230;;;;
175;SICO-ZON-003;SICO-ZON-003;SICO-ZON-003;AVO;SICO-ZON-003;Secc.02-260-06;0+33;0+33;0+43;330;;;;
176;SIGO-ZON-001;SIGO-ZON-001;SIGO-ZON-001;AVO;SIGO-ZON-001;Secc.01-14-03;1+03;1+03;1+13;1210;;;;
