item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;param1_brand;param2_model
46;RNJS.2D;RNJS.2D;RNJS.2D;D4;D4_2:Rusovce-Ketelec;;5+144;P;SIEMENS;LOGO! 12/24 RCEo
47;RNJS.7D;RNJS.7D;RNJS.7D;D4;D4_2:Rusovce-Ketelec;;6+319;P;SIEMENS;LOGO! 12/24 RCEo
48;RNJS.1E;RNJS.1E;RNJS.1E;D4;D4_2:Rusovce-Ketelec;;7+884;P;SIEMENS;LOGO! 12/24 RCEo
49;RNJS.2E;RNJS.2E;RNJS.2E;D4;D4_7:Ivanka sever-Cierna voda;;8+232;P;SIEMENS;LOGO! 12/24 RCEo
50;RNSR.2B;RNSR.2B;RNSR.2B;D4;D4_7:Ivanka sever-Cierna voda;;25+544;P;SIEMENS;LOGO! 12/24 RCEo
51;RNSR.3B;RNSR.3B;RNSR.3B;D4;D4_7:Ivanka sever-Cierna voda;;25+728;P;SIEMENS;LOGO! 12/24 RCEo
52;RNSR.1C;RNSR.1C;RNSR.1C;D4;D4_8:Cierna voda-Raca;;26+151;-;SIEMENS;LOGO! 12/24 RCEo
53;RNSR.2D;RNSR.2D;RNSR.2D;D4;D4_8:Cierna voda-Raca;;27+210;P;SIEMENS;LOGO! 12/24 RCEo
54;RNSR.1E;RNSR.1E;RNSR.1E;D4;D4_8:Cierna voda-Raca;;28+013;P;SIEMENS;LOGO! 12/24 RCEo
55;RNSR.3E;RNSR.3E;RNSR.3E;D4;D4_8:Cierna voda-Raca;;28+48;-;SIEMENS;LOGO! 12/24 RCEo
56;RNSR.4F;RNSR.4F;RNSR.4F;D4;R7_1:Prievoz-Ketelec;;0+262 V3;L;SIEMENS;LOGO! 12/24 RCEo
57;RNPK.1A;RNPK.1A;RNPK.1A;R7;R7_1:Prievoz-Ketelec;;0+016;-;SIEMENS;LOGO! 12/24 RCEo
58;RNPK.4A;RNPK.4A;RNPK.4A;R7;R7_1:Prievoz-Ketelec;;0+492;L;SIEMENS;LOGO! 12/24 RCEo
59;RNPK.2B;RNPK.2B;RNPK.2B;R7;R7_1:Prievoz-Ketelec;;1+410;L;SIEMENS;LOGO! 12/24 RCEo
60;RNPK.3B;RNPK.3B;RNPK.3B;R7;R7_1:Prievoz-Ketelec;;1+931;-;SIEMENS;LOGO! 12/24 RCEo
61;RNPK.2C;RNPK.2C;RNPK.2C;R7;R7_1:Prievoz-Ketelec;;2+855;L;SIEMENS;LOGO! 12/24 RCEo
62;RNPK.3C;RNPK.3C;RNPK.3C;R7;R7_1:Prievoz-Ketelec;;3+477;L;SIEMENS;LOGO! 12/24 RCEo
63;RNPK.4C;RNPK.4C;RNPK.4C;R7;R7_1:Prievoz-Ketelec;;3+717;-;SIEMENS;LOGO! 12/24 RCEo
64;RNPK.2D;RNPK.2D;RNPK.2D;R7;R7_1:Prievoz-Ketelec;;4+609;L;SIEMENS;LOGO! 12/24 RCEo
65;RNPK.3D;RNPK.3D;RNPK.3D;R7;R7_1:Prievoz-Ketelec;;5+034;-;SIEMENS;LOGO! 12/24 RCEo
66;RNPK.2E;RNPK.2E;RNPK.2E;R7;D2_2:Jarovce-Brno;;5+996;-;SIEMENS;LOGO! 12/24 RCEo
79;RNPK.3E;RNPK.3E;RNPK.3E;R7;R7_2:Ketelec-Dunajská Lužná;;6+473;L;SIEMENS;LOGO! 12/24 RCEo
80;RNKD.2C;RNKD.2C;RNKD.2C;R7;R7_2:Ketelec-Dunajská Lužná;;8+217;L;SIEMENS;LOGO! 12/24 RCEo
81;RNKD.4C;RNKD.4C;RNKD.4C;R7;R7_2:Ketelec-Dunajská Lužná;;8+957;L;SIEMENS;LOGO! 12/24 RCEo
82;RNKD.1D;RNKD.1D;RNKD.1D;R7;R7_2:Ketelec-Dunajská Lužná;;9+717;L;SIEMENS;LOGO! 12/24 RCEo
83;RNKD.2D;RNKD.2D;RNKD.2D;R7;R7_2:Ketelec-Dunajská Lužná;;11+217;L;SIEMENS;LOGO! 12/24 RCEo
84;RNKD.1E;RNKD.1E;RNKD.1E;R7;R7_2:Ketelec-Dunajská Lužná;;11+967;L;SIEMENS;LOGO! 12/24 RCEo
85;RNKD.3E;RNKD.3E;RNKD.3E;R7;R7_2:Ketelec-Dunajská Lužná;;12+717;L;SIEMENS;LOGO! 12/24 RCEo
86;RNKD.2E;RNKD.2E;RNKD.2E;R7;R7_2:Ketelec-Dunajská Lužná;;12+717;L;SIEMENS;LOGO! 12/24 RCEo
87;RNKD.2F;RNKD.2F;RNKD.2F;R7;R7_2:Ketelec-Dunajská Lužná;;13+467;L;SIEMENS;LOGO! 12/24 RCEo
88;RNKD.1G;RNKD.1G;RNKD.1G;R7;R7_2:Ketelec-Dunajská Lužná;;14+367;L;SIEMENS;LOGO! 12/24 RCEo
89;RNDH.1A;RNDH.1A;RNDH.1A;R7;R7_3:Dunajská Lužná-Šamorín;;14+942;L;SIEMENS;LOGO! 12/24 RCEo
90;RNDH.3A;RNDH.3A;RNDH.3A;R7;R7_3:Dunajská Lužná-Šamorín;;16+440;L;SIEMENS;LOGO! 12/24 RCEo
91;RNDH.1B;RNDH.1B;RNDH.1B;R7;R7_3:Dunajská Lužná-Šamorín;;17+192;L;SIEMENS;LOGO! 12/24 RCEo
92;RNDH.3B;RNDH.3B;RNDH.3B;R7;R7_3:Dunajská Lužná-Šamorín;;17+947;L;SIEMENS;LOGO! 12/24 RCEo
93;RNDH.1C;RNDH.1C;RNDH.1C;R7;R7_3:Dunajská Lužná-Šamorín;;18+692;L;SIEMENS;LOGO! 12/24 RCEo
94;RNDH.2C;RNDH.2C;RNDH.2C;R7;R7_3:Dunajská Lužná-Šamorín;;19+322;P;SIEMENS;LOGO! 12/24 RCEo
95;RNDH.3C;RNDH.3C;RNDH.3C;R7;R7_4:Šamorín-Holice;;19+782;L;SIEMENS;LOGO! 12/24 RCEo
96;RNDH.4C;RNDH.4C;RNDH.4C;R7;R7_4:Šamorín-Holice;;20+192;L;SIEMENS;LOGO! 12/24 RCEo
97;RNDH.3D;RNDH.3D;RNDH.3D;R7;R7_4:Šamorín-Holice;;21+662;L;SIEMENS;LOGO! 12/24 RCEo
98;RNDH.1E;RNDH.1E;RNDH.1E;R7;R7_4:Šamorín-Holice;;22+442;L;SIEMENS;LOGO! 12/24 RCEo
99;RNDH.2E;RNDH.2E;RNDH.2E;R7;R7_4:Šamorín-Holice;;23+192;L;SIEMENS;LOGO! 12/24 RCEo
100;RNDH.3E;RNDH.3E;RNDH.3E;R7;R7_4:Šamorín-Holice;;23+942;L;SIEMENS;LOGO! 12/24 RCEo
101;RNDH.4E;RNDH.4E;RNDH.4E;R7;R7_4:Šamorín-Holice;;24+692;L;SIEMENS;LOGO! 12/24 RCEo
102;RNDH.5E;RNDH.5E;RNDH.5E;R7;R7_4:Šamorín-Holice;;25+407;L;SIEMENS;LOGO! 12/24 RCEo
103;RNDH.6E;RNDH.6E;RNDH.6E;R7;R7_4:Šamorín-Holice;;26+192;L;SIEMENS;LOGO! 12/24 RCEo
104;RNDH.2F;RNDH.2F;RNDH.2F;R7;R7_4:Šamorín-Holice;;26+937;L;SIEMENS;LOGO! 12/24 RCEo
105;RNDH.4F;RNDH.4F;RNDH.4F;R7;R7_4:Šamorín-Holice;;28+266;L;SIEMENS;LOGO! 12/24 RCEo
106;RNDH.2K;RNDH.2K;RNDH.2K;R7;R7_4:Šamorín-Holice;;29+837;L;SIEMENS;LOGO! 12/24 RCEo
107;RNDH.5K;RNDH.5K;RNDH.5K;R7;R7_4:Šamorín-Holice;;30+592;L;SIEMENS;LOGO! 12/24 RCEo
108;RNDH.6K;RNDH.6K;RNDH.6K;R7;R7_4:Šamorín-Holice;;31+139;P;SIEMENS;LOGO! 12/24 RCEo
109;RNDH.7K;RNDH.7K;RNDH.7K;R7;R7_4:Šamorín-Holice;;31+332;L;SIEMENS;LOGO! 12/24 RCEo
110;RNJS.3F;RNJS.3F;RNJS.3F;D4;D4_3:Ketelec-Rovinca;;9+903;P;SIEMENS;LOGO! 12/24 RCEo
111;RNJS.2H;RNJS.2H;RNJS.2H;D4;D4_3:Ketelec-Rovinca;;11+403;L;SIEMENS;LOGO! 12/24 RCEo
112;RNJS.4H;RNJS.4H;RNJS.4H;D4;D4_3:Ketelec-Rovinca;;12+153;P;SIEMENS;LOGO! 12/24 RCEo
113;RNJS.3J;RNJS.3J;RNJS.3J;D4;D4_3:Ketelec-Rovinca;;12+903;P;SIEMENS;LOGO! 12/24 RCEo
114;RNJS.5K;RNJS.5K;RNJS.5K;D4;D4_4:Rovinka-Pod.Biskupice;;14+698;P;SIEMENS;LOGO! 12/24 RCEo
115;RNJS.2L;RNJS.2L;RNJS.2L;D4;D4_4:Rovinka-Pod.Biskupice;;16+418;P;SIEMENS;LOGO! 12/24 RCEo
116;RNJS.5M;RNJS.5M;RNJS.5M;D4;D4_5:Pod.Biskupice-Ivanka západ;;19+088;P;SIEMENS;LOGO! 12/24 RCEo
117;RNJS.7M;RNJS.7M;RNJS.7M;D4;D4_5:Pod.Biskupice-Ivanka západ;;19+838;P;SIEMENS;LOGO! 12/24 RCEo
118;RNJS.2N;RNJS.2N;RNJS.2N;D4;D4_5:Pod.Biskupice-Ivanka západ;;21+338;P;SIEMENS;LOGO! 12/24 RCEo
119;RNJS.4N;RNJS.4N;RNJS.4N;D4;D4_5:Pod.Biskupice-Ivanka západ;;22+088;P;SIEMENS;LOGO! 12/24 RCEo
120;RNJS.5N;RNJS.5N;RNJS.5N;D4;D4_5:Pod.Biskupice-Ivanka západ;;22+552;P;SIEMENS;LOGO! 12/24 RCEo
121;RNJS.3.1P;RNJS.3.1P;RNJS.3.1P;D4;D4_6:Ivanka západ-Ivanka sever;;24+518;P;SIEMENS;LOGO! 12/24 RCEo
122;RNJS.4P;RNJS.4P;RNJS.4P;D4;D4_6:Ivanka západ-Ivanka sever;;24+518;P;SIEMENS;LOGO! 12/24 RCEo
126;RNJS.3A;RNJS.3A;RNJS.3A;D4;D4_1:Jarovce-Rusovce;;2+008;P;SIEMENS;LOGO! 12/24 RCEo
127;RNJS.1A;RNJS.1A;RNJS.1A;D4;D4_1:Jarovce-Rusovce;;1+969;L;SIEMENS;LOGO! 12/24 RCEo
128;RNJS.2A;RNJS.2A;RNJS.2A;D4;D4_1:Jarovce-Rusovce;;2+192;P;SIEMENS;LOGO! 12/24 RCEo
129;RNJS.2B;RNJS.2B;RNJS.2B;D4;D4_1:Jarovce-Rusovce;;2+435;P;SIEMENS;LOGO! 12/24 RCEo
130;RNJS.4B;RNJS.4B;RNJS.4B;D4;D4_1:Jarovce-Rusovce;;3+268;L;SIEMENS;LOGO! 12/24 RCEo
131;RNJS.4C;RNJS.4C;RNJS.4C;D4;D4_1:Jarovce-Rusovce;;0+393;L;SIEMENS;LOGO! 12/24 RCEo
132;RNJS.1D;RNJS.1D;RNJS.1D;D4;D4_2:Rusovce-Ketelec;;5+056;-;SIEMENS;LOGO! 12/24 RCEo
133;RNJS.3D;RNJS.3D;RNJS.3D;D4;D4_2:Rusovce-Ketelec;;5+414;-;SIEMENS;LOGO! 12/24 RCEo
134;RNJS.4D;RNJS.4D;RNJS.4D;D4;D4_2:Rusovce-Ketelec;;5+657;-;SIEMENS;LOGO! 12/24 RCEo
135;RNJS.5D;RNJS.5D;RNJS.5D;D4;D4_2:Rusovce-Ketelec;;5+889;-;SIEMENS;LOGO! 12/24 RCEo
136;RNJS.6D;RNJS.6D;RNJS.6D;D4;D4_2:Rusovce-Ketelec;;6+111;-;SIEMENS;LOGO! 12/24 RCEo
137;RNJS.8D;RNJS.8D;RNJS.8D;D4;D4_2:Rusovce-Ketelec;;6+648;-;SIEMENS;LOGO! 12/24 RCEo
138;RNJS.9D;RNJS.9D;RNJS.9D;D4;D4_2:Rusovce-Ketelec;;6+928;-;SIEMENS;LOGO! 12/24 RCEo
139;RNJS.10D;RNJS.10D;RNJS.10D;D4;D4_2:Rusovce-Ketelec;;7+278;-;SIEMENS;LOGO! 12/24 RCEo
140;RNJS.11D;RNJS.11D;RNJS.11D;D4;D4_2:Rusovce-Ketelec;;7+558;-;SIEMENS;LOGO! 12/24 RCEo
141;RNJS.3E;RNJS.3E;RNJS.3E;D4;D4_2:Rusovce-Ketelec;;8+648;L;SIEMENS;LOGO! 12/24 RCEo
142;RNSR.2C;RNSR.2C;RNSR.2C;D4;D4_8:Cierna voda-Raca;;26+361;P;SIEMENS;LOGO! 12/24 RCEo
143;RNSR.1D;RNSR.1D;RNSR.1D;D4;D4_8:Cierna voda-Raca;;26+773;P;SIEMENS;LOGO! 12/24 RCEo
144;RNSR.3D;RNSR.3D;RNSR.3D;D4;D4_8:Cierna voda-Raca;;27+493;P;SIEMENS;LOGO! 12/24 RCEo
145;RNSR.2E;RNSR.2E;RNSR.2E;D4;D4_8:Cierna voda-Raca;;28+243;P;SIEMENS;LOGO! 12/24 RCEo
146;RNSR.2F;RNSR.2F;RNSR.2F;D4;D4_8:Cierna voda-Raca;;0+028V4;L;SIEMENS;LOGO! 12/24 RCEo
147;RNSR.3F;RNSR.3F;RNSR.3F;D4;D4_8:Cierna voda-Raca;;0+212V1;L;SIEMENS;LOGO! 12/24 RCEo
148;RNSR.5F;RNSR.5F;RNSR.5F;D4;D4_8:Cierna voda-Raca;;1+470 V1;L;SIEMENS;LOGO! 12/24 RCEo
149;RNMP.1A;RNMP.1A;RNMP.1A;R7;R7_1:Prievoz-Ketelec;;0+385;-;SIEMENS;LOGO! 12/24 RCEo
150;RNMP.2A;RNMP.2A;RNMP.2A;R7;R7_1:Prievoz-Ketelec;;0+082;-;SIEMENS;LOGO! 12/24 RCEo
151;RNPK.2A;RNPK.2A;RNPK.2A;R7;R7_1:Prievoz-Ketelec;;0+45;L;SIEMENS;LOGO! 12/24 RCEo
152;RNPK.3A;RNPK.3A;RNPK.3A;R7;R7_1:Prievoz-Ketelec;;0+83;L;SIEMENS;LOGO! 12/24 RCEo
153;RNPK.1C;RNPK.1C;RNPK.1C;R7;R7_1:Prievoz-Ketelec;;2+594;L;SIEMENS;LOGO! 12/24 RCEo
154;RNPK.1E;RNPK.1E;RNPK.1E;R7;R7_1:Prievoz-Ketelec;;5+584;L;SIEMENS;LOGO! 12/24 RCEo
156;RISRKD.1;RISRKD.1;RISRKD.1;R7;R7_2:Ketelec-Dunajská Lužná;;6+668;L;SIEMENS;LOGO! 12/24 RCEo
157;RISRKD.2;RISRKD.2;RISRKD.2;R7;R7_2:Ketelec-Dunajská Lužná;;9+807;L;SIEMENS;LOGO! 12/24 RCEo
158;RISRKD.3;RISRKD.3;RISRKD.3;R7;R7_2:Ketelec-Dunajská Lužná;;13+018;L;SIEMENS;LOGO! 12/24 RCEo
159;RISRDH.0;RISRDH.0;RISRDH.0;R7;R7_3:Dunajská Lužná-Šamorín;;14+747;L;SIEMENS;LOGO! 12/24 RCEo
160;RISRDH.1;RISRDH.1;RISRDH.1;R7;R7_3:Dunajská Lužná-Šamorín;;18+243;L;SIEMENS;LOGO! 12/24 RCEo
161;RISRDH.2;RISRDH.2;RISRDH.2;R7;R7_4:Šamorín-Holice;;22+188;L;SIEMENS;LOGO! 12/24 RCEo
162;RISRDH.3;RISRDH.3;RISRDH.3;R7;R7_4:Šamorín-Holice;;28+888;P;SIEMENS;LOGO! 12/24 RCEo
163;RISRDH.4;RISRDH.4;RISRDH.4;R7;R7_4:Šamorín-Holice;;29+074;L;SIEMENS;LOGO! 12/24 RCEo
164;RISDJS.3;RISDJS.3;RISDJS.3;D4;D4_3:Ketelec-Rovinca;;9+118;P;SIEMENS;LOGO! 12/24 RCEo
165;RISDJS.4;RISDJS.4;RISDJS.4;D4;D4_3:Ketelec-Rovinca;;11+099;P;SIEMENS;LOGO! 12/24 RCEo
166;RISDJS.5;RISDJS.5;RISDJS.5;D4;D4_3:Ketelec-Rovinca;;13+188;P;SIEMENS;LOGO! 12/24 RCEo
167;RISDJS.6;RISDJS.6;RISDJS.6;D4;D4_5:Pod.Biskupice-Ivanka západ;;17+588;P;SIEMENS;LOGO! 12/24 RCEo
168;RISDJS.7;RISDJS.7;RISDJS.7;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+664;P;SIEMENS;LOGO! 12/24 RCEo
169;RISDJS.1;RISDJS.1;RISDJS.1;D4;D4_1:Jarovce-Rusovce;;2+340;P;SIEMENS;LOGO! 12/24 RCEo
170;RISDJS.2;RISDJS.2;RISDJS.2;D4;D4_2:Rusovce-Ketelec;;4+611;-;SIEMENS;LOGO! 12/24 RCEo
171;RISDSR.1;RISDSR.1;RISDSR.1;D4;D4_7:Ivanka sever-Cierna voda;;25+127;P;SIEMENS;LOGO! 12/24 RCEo
172;RISDSR.2;RISDSR.2;RISDSR.2;D4;D4_8:Cierna voda-Raca;;26+580;P;SIEMENS;LOGO! 12/24 RCEo
173;RISDSR.3;RISDSR.3;RISDSR.3;D4;D4_8:Cierna voda-Raca;;29+009;P;SIEMENS;LOGO! 12/24 RCEo
174;RISRMP.1;RISRMP.1;RISRMP.1;R7;R7_1:Prievoz-Ketelec;;11+000;-;SIEMENS;LOGO! 12/24 RCEo
175;RISRPK.1;RISRPK.1;RISRPK.1;R7;R7_1:Prievoz-Ketelec;;1+055;L;SIEMENS;LOGO! 12/24 RCEo
176;RISRPK.2;RISRPK.2;RISRPK.2;R7;R7_1:Prievoz-Ketelec;;4+085;L;SIEMENS;LOGO! 12/24 RCEo
177;RAIDJSKD01;RAIDJSKD01;RAIDJSKD01;D4;D4_2:Rusovce-Ketelec;;4+760;-;SIEMENS;LOGO! 12/24 RCEo
178;RAIDJSKD02;RAIDJSKD02;RAIDJSKD02;D4;D4_2:Rusovce-Ketelec;;4+853;-;SIEMENS;LOGO! 12/24 RCEo
179;RAIDJSKD03;RAIDJSKD03;RAIDJSKD03;D4;D4_2:Rusovce-Ketelec;;4+944;-;SIEMENS;LOGO! 12/24 RCEo
180;RAIDJSKD04;RAIDJSKD04;RAIDJSKD04;D4;D4_2:Rusovce-Ketelec;;5+043;-;SIEMENS;LOGO! 12/24 RCEo
181;RAIDJSKD05;RAIDJSKD05;RAIDJSKD05;D4;D4_2:Rusovce-Ketelec;;5+146;-;SIEMENS;LOGO! 12/24 RCEo
182;RAIDJSKD06;RAIDJSKD06;RAIDJSKD06;D4;D4_2:Rusovce-Ketelec;;5+230;-;SIEMENS;LOGO! 12/24 RCEo
183;RAIDJSKD07;RAIDJSKD07;RAIDJSKD07;D4;D4_2:Rusovce-Ketelec;;5+317;-;SIEMENS;LOGO! 12/24 RCEo
184;RAIDJSKD08;RAIDJSKD08;RAIDJSKD08;D4;D4_2:Rusovce-Ketelec;;5+397;-;SIEMENS;LOGO! 12/24 RCEo
185;RAIDJSKD09;RAIDJSKD09;RAIDJSKD09;D4;D4_2:Rusovce-Ketelec;;5+484;-;SIEMENS;LOGO! 12/24 RCEo
186;RAIDJSKD10;RAIDJSKD10;RAIDJSKD10;D4;D4_2:Rusovce-Ketelec;;5+589;-;SIEMENS;LOGO! 12/24 RCEo
187;RAIDJSKD11;RAIDJSKD11;RAIDJSKD11;D4;D4_2:Rusovce-Ketelec;;5+694;-;SIEMENS;LOGO! 12/24 RCEo
188;RAIDJSKD12;RAIDJSKD12;RAIDJSKD12;D4;D4_2:Rusovce-Ketelec;;5+801;-;SIEMENS;LOGO! 12/24 RCEo
189;RAIDJSKD13;RAIDJSKD13;RAIDJSKD13;D4;D4_2:Rusovce-Ketelec;;5+907;-;SIEMENS;LOGO! 12/24 RCEo
190;RAIDJSKD14;RAIDJSKD14;RAIDJSKD14;D4;D4_2:Rusovce-Ketelec;;6+013;-;SIEMENS;LOGO! 12/24 RCEo
191;RAIDJSKD15;RAIDJSKD15;RAIDJSKD15;D4;D4_2:Rusovce-Ketelec;;6+111;-;SIEMENS;LOGO! 12/24 RCEo
192;RAIDJSKD16;RAIDJSKD16;RAIDJSKD16;D4;D4_2:Rusovce-Ketelec;;6+236;-;SIEMENS;LOGO! 12/24 RCEo
193;RAIDJSKD17;RAIDJSKD17;RAIDJSKD17;D4;D4_2:Rusovce-Ketelec;;6+334;-;SIEMENS;LOGO! 12/24 RCEo
194;RAIDJSKD18;RAIDJSKD18;RAIDJSKD18;D4;D4_2:Rusovce-Ketelec;;6+441;-;SIEMENS;LOGO! 12/24 RCEo
195;RAIDJSKD19;RAIDJSKD19;RAIDJSKD19;D4;D4_2:Rusovce-Ketelec;;6+545;-;SIEMENS;LOGO! 12/24 RCEo
196;RAIDJSKD20;RAIDJSKD20;RAIDJSKD20;D4;D4_2:Rusovce-Ketelec;;6+648;-;SIEMENS;LOGO! 12/24 RCEo
197;RAIDJSKD21;RAIDJSKD21;RAIDJSKD21;D4;D4_2:Rusovce-Ketelec;;6+752;-;SIEMENS;LOGO! 12/24 RCEo
