item;alias;description;sessionuid;road;stretchs;secc;pk;dm;sentido
65;ICCO-VCH-605R;ICCO-VCH-605R;ICCO-VCH-605R;AVO;ICCO-ZON-002;Secc.03-258-09;5+25;5250;
66;S2TN-VCH-509B;S2TN-VCH-509B;S2TN-VCH-509B;AVO;S2TN-ZON-031;Secc.03-11-11;41+565;5265;
67;S2TN-VCH-509A;S2TN-VCH-509A;S2TN-VCH-509A;AVO;S2TN-ZON-031;Secc.03-11-11;41+565;5265;
68;S2TS-VCH-518B;S2TS-VCH-518B;S2TS-VCH-518B;AVO;S2TS-ZON-020;Secc.02-10-05;41+65;5350;
69;S2TS-VCH-518A;S2TS-VCH-518A;S2TS-VCH-518A;AVO;S2TS-ZON-020;Secc.02-10-05;41+65;5350;
70;S2TS-VCH-520;S2TS-VCH-520;S2TS-VCH-520;AVO;S2TS-ZON-023;Secc.02-10-05;41+935;5635;
71;S2TN-VCH-601;S2TN-VCH-601;S2TN-VCH-601;AVO;S2TN-ZON-024;Secc.03-11-10;42+2;5900;
72;S2TS-VCH-602A;S2TS-VCH-602A;S2TS-VCH-602A;AVO;S2TS-ZON-029;Secc.02-10-05;42+48;6180;
73;S2TS-VCH-602B;S2TS-VCH-602B;S2TS-VCH-602B;AVO;S2TS-ZON-029;Secc.02-10-05;42+48;6180;
74;S2TN-VCH-603A;S2TN-VCH-603A;S2TN-VCH-603A;AVO;S2TN-ZON-022;Secc.02-10-05;42+5;6200;
75;S2TN-VCH-603B;S2TN-VCH-603B;S2TN-VCH-603B;AVO;S2TN-ZON-022;Secc.02-10-05;42+5;6200;
76;S2TS-VCH-604A;S2TS-VCH-604A;S2TS-VCH-604A;AVO;S2TS-ZON-029;Secc.02-10-05;42+5;6200;
77;S2TS-VCH-604B;S2TS-VCH-604B;S2TS-VCH-604B;AVO;S2TS-ZON-029;Secc.02-10-05;42+5;6200;
78;ICCP-VCH-702R;ICCP-VCH-702R;ICCP-VCH-702R;AVO;ICCP-ZON-002;Secc.02-256-07;6+23;6230;
79;ICCP-VCH-704R;ICCP-VCH-704R;ICCP-VCH-704R;AVO;ICCP-ZON-002;Secc.02-256-07;6+28;6280;
