item;element_subtype;alias;sessionuid;road;stretchs;secc;pk;sentido;param1_brand;param2_model;param3_protocol;param4_config_json;param6_cabinet
15;1;NRJS418P;NRJS418P;D4;D4_4:Rovinka-Pod.Biskupice;;14+063;P;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS30P
16;1;NRJS481L;NRJS481L;D4;D4_4:Rovinka-Pod.Biskupice;;14+488;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS31P
17;1;NRJS419P;NRJS419P;D4;D4_4:Rovinka-Pod.Biskupice;;15+268;P;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS32P
18;1;NRJS480L;NRJS480L;D4;D4_4:Rovinka-Pod.Biskupice;;15+688;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS33P
19;1;NRJS420P;NRJS420P;D4;D4_4:Rovinka-Pod.Biskupice;;16+363;P;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS34P
20;1;NRJS478L;NRJS478L;D4;D4_5:Pod.Biskupice-Ivanka západ;;16+963;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS35P
21;1;NRJS422P;NRJS422P;D4;D4_5:Pod.Biskupice-Ivanka západ;;17+519;P;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS36P
22;1;NRJS477L;NRJS477L;D4;D4_5:Pod.Biskupice-Ivanka západ;;18+038;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS37P
23;1;NRJS423P;NRJS423P;D4;D4_5:Pod.Biskupice-Ivanka západ;;19+013;P;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS38P
24;1;NRJS476L;NRJS476L;D4;D4_5:Pod.Biskupice-Ivanka západ;;19+563;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS39P
25;1;NRJS424P;NRJS424P;D4;D4_5:Pod.Biskupice-Ivanka západ;;20+452;P;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS40P
26;1;NRJS475L;NRJS475L;D4;D4_5:Pod.Biskupice-Ivanka západ;;21+088;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS41P
27;1;NRJS425P;NRJS425P;D4;D4_5:Pod.Biskupice-Ivanka západ;;21+913;P;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS43P
28;1;NRJS474L;NRJS474L;D4;D4_5:Pod.Biskupice-Ivanka západ;;22+606;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS44P
29;1;NRJS426P_2;NRJS426P_2;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+406;P;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS46P
30;1;NRJS426P;NRJS426P;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+406;P;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS46P
31;3;NRJS473L;NRJS473L;D4;D4_5:Pod.Biskupice-Ivanka západ;;1+412 BV LK;L;Lacroix;AC_BD_2LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""}]";RNRJS47P
32;2;NRJS472L;NRJS472L;D4;D4_5:Pod.Biskupice-Ivanka západ;;1+227 BV LK;L;Lacroix;AC_BD_5LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2},{""zone"":7,""type"":""graphic"",""vms_group_id"":1},{""zone"":8,""type"":""text""},{""zone"":9,""type"":""graphic"",""vms_group_id"":1},{""zone"":10,""type"":""graphic"",""vms_group_id"":2}]";RNRJS47P
33;1;NRJS428P;NRJS428P;D4;D4_6:Ivanka západ-Ivanka sever;;24+263;P;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS48P
34;3;NRJS470L;NRJS470L;D4;D4_6:Ivanka západ-Ivanka sever;;0+5627 BV LK;L;Lacroix;AC_BD_2LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""}]";RNRJS48P
35;1;NRJS469L;NRJS469L;D4;D4_6:Ivanka západ-Ivanka sever;;24+613;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS49P
36;1;NRLJS497L;NRLJS497L;D4;D4_1:Jarovce-Rusovce;;1+965;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS02L
43;1;NRLJS403P;NRLJS403P;D4;D4_1:Jarovce-Rusovce;;2+314;P;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS03P
44;1;NRLJS495L;NRLJS495L;D4;D4_1:Jarovce-Rusovce;;2+94;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS04L
45;1;NRLJS404P;NRLJS404P;D4;D4_1:Jarovce-Rusovce;;3+188;P;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS05L
46;1;NRLJS494L;NRLJS494L;D4;D4_1:Jarovce-Rusovce;;3+793;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS07L
47;1;NRLJS405P;NRLJS405P;D4;D4_1:Jarovce-Rusovce;;4+165;P;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS08L
48;1;NRLJS406P;NRLJS406P;D4;D4_2:Rusovce-Ketelec;;5+148;P;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS10P
49;1;NRLJS492L;NRLJS492L;D4;D4_2:Rusovce-Ketelec;;5+148;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS10P
50;1;NRLJS407P;NRLJS407P;D4;D4_2:Rusovce-Ketelec;;6+438;P;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS11P
51;1;NRLJS491L;NRLJS491L;D4;D4_2:Rusovce-Ketelec;;6+438;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS11P
52;1;NRLJS408P;NRLJS408P;D4;D4_2:Rusovce-Ketelec;;7+558;P;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS13P
53;1;NRLJS490L;NRLJS490L;D4;D4_2:Rusovce-Ketelec;;7+894;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRJS14P
54;2;NRSR431P;NRSR431P;D4;D4_7:Ivanka sever-Cierna voda;;25+13;P;Lacroix;AC_BD_5LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2},{""zone"":7,""type"":""graphic"",""vms_group_id"":1},{""zone"":8,""type"":""text""},{""zone"":9,""type"":""graphic"",""vms_group_id"":1},{""zone"":10,""type"":""graphic"",""vms_group_id"":2}]";RNRSR01P
55;2;NRSR432P;NRSR432P;D4;D4_7:Ivanka sever-Cierna voda;;25+685;P;Lacroix;AC_BD_5LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2},{""zone"":7,""type"":""graphic"",""vms_group_id"":1},{""zone"":8,""type"":""text""},{""zone"":9,""type"":""graphic"",""vms_group_id"":1},{""zone"":10,""type"":""graphic"",""vms_group_id"":2}]";RNRSR03P
56;2;NRSR467L;NRSR467L;D4;D4_7:Ivanka sever-Cierna voda;;25+688;L;Lacroix;AC_BD_5LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2},{""zone"":7,""type"":""graphic"",""vms_group_id"":1},{""zone"":8,""type"":""text""},{""zone"":9,""type"":""graphic"",""vms_group_id"":1},{""zone"":10,""type"":""graphic"",""vms_group_id"":2}]";RNRSR467L
57;2;NRSR466L;NRSR466L;D4;D4_8:Cierna voda-Raca;;26+361;L;Lacroix;AC_BD_5LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2},{""zone"":7,""type"":""graphic"",""vms_group_id"":1},{""zone"":8,""type"":""text""},{""zone"":9,""type"":""graphic"",""vms_group_id"":1},{""zone"":10,""type"":""graphic"",""vms_group_id"":2}]";RNRSR05P
58;1;NRSR434P;NRSR434P;D4;D4_8:Cierna voda-Raca;;27+015;P;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRSR06P
59;1;NRSR464L;NRSR464L;D4;D4_8:Cierna voda-Raca;;27+113;L;Lacroix;AC_BD_3LCS;NTCIP_Lacroix;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1},{""zone"":2,""type"":""graphic"",""vms_group_id"":2},{""zone"":3,""type"":""graphic"",""vms_group_id"":1},{""zone"":4,""type"":""text""},{""zone"":5,""type"":""graphic"",""vms_group_id"":1},{""zone"":6,""type"":""graphic"",""vms_group_id"":2}]";RNRSR07L
