item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;dm
28;CT06-CCI-001.Z2SIR1;CT06-CCI-001.Z2SIR1;CT06-CCI-001.Z2SIR1;AVO;;Secc.02-10-05;42+58;;6280
29;CT06-CCI-001.Z1SIR1;CT06-CCI-001.Z1SIR1;CT06-CCI-001.Z1SIR1;AVO;;Secc.02-10-05;42+58;;6280
30;CT07-CCI-001.Z3SIR1;CT07-CCI-001.Z3SIR1;CT07-CCI-001.Z3SIR1;AVO;;Secc.02-10-06;43+52;;7220
31;CT07-CCI-001.Z2SIR2;CT07-CCI-001.Z2SIR2;CT07-CCI-001.Z2SIR2;AVO;;Secc.02-10-06;43+52;;7220
32;CT07-CCI-001.Z2SIR1;CT07-CCI-001.Z2SIR1;CT07-CCI-001.Z2SIR1;AVO;;Secc.02-10-06;43+52;;7220
33;CT07-CCI-001.Z1SIR1;CT07-CCI-001.Z1SIR1;CT07-CCI-001.Z1SIR1;AVO;;Secc.02-10-06;43+52;;7220
34;CT08-CCI-001.Z1SIR1;CT08-CCI-001.Z1SIR1;CT08-CCI-001.Z1SIR1;AVO;;Secc.03-11-08;44+52;;8220
35;CT08-CCI-001.Z2SIR1;CT08-CCI-001.Z2SIR1;CT08-CCI-001.Z2SIR1;AVO;;Secc.03-11-08;44+52;;8220
36;CT08-CCI-001.Z3SIR1;CT08-CCI-001.Z3SIR1;CT08-CCI-001.Z3SIR1;AVO;;Secc.03-11-08;44+52;;8220
37;CT08-CCI-001.Z4SIR1;CT08-CCI-001.Z4SIR1;CT08-CCI-001.Z4SIR1;AVO;;Secc.01-09-15;44+52;;8220
