device_name;session_uid;detector_order;url_receiver;endpoint;url_publisher;url_put_command
LQ-TV-8CA;LQ-TV-8CA;7;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
LQ-TV-9CA;LQ-TV-9CA;8;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
LQ-TV-10CA;LQ-TV-10CA;9;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
LQ-TV-11CA;LQ-TV-11CA;10;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
LQ-TV-1GA;LQ-TV-1GA;11;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
LQ-TV-2GA;LQ-TV-2GA;12;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
LQ-TV-1MA;LQ-TV-1MA;13;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
LQ-TV-2MA;LQ-TV-2MA;14;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
LQ-TV-3MA;LQ-TV-3MA;15;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
LQ-TV-4MA;LQ-TV-4MA;16;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.88.199:8250\/camera';http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;'http:\/\/192.168.88.165\/api\/v1\/incidents\/incidentscada\/'
