device_name;session_uid;url_publisher;PLC_name;host;port(i);offset_state(i);read_permission;write_permission
LQ-MAGDIF-BF22;LQ-MAGDIF-BF22;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;26;monitor;
LQ-MAGDIF-BF23;LQ-MAGDIF-BF23;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;27;monitor;
LQ-MAGDIF-BF25;LQ-MAGDIF-BF25;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;28;monitor;
LQ-MAGDIF-BF26;LQ-MAGDIF-BF26;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;29;monitor;
LQ-MAGDIF-BF27;LQ-MAGDIF-BF27;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;30;monitor;
LQ-MAGDIF-BF28;LQ-MAGDIF-BF28;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;31;monitor;
LQ-MAGDIF-BF29;LQ-MAGDIF-BF29;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;32;monitor;
LQ-MAGDIF-BF30;LQ-MAGDIF-BF30;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;33;monitor;
LQ-MAGDIF-BF34;LQ-MAGDIF-BF34;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;34;monitor;
LQ-MAGDIF-EXTR-CASETA;LQ-MAGDIF-EXTR-CASETA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;39;monitor;
RV-EKOR-RPG-UCT;RV-EKOR-RPG-UCT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-CTGBT;192.168.11.38;502;124;monitor;
CH-INT-CSA-RED;CH-INT-CSA-RED;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;0;monitor;
CH-MAGDIF-MAN-CSA-RED;CH-MAGDIF-MAN-CSA-RED;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;1;monitor;
CH-MAGDIF-A3-SC;CH-MAGDIF-A3-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;2;monitor;
CH-MAGDIF-A5-SC;CH-MAGDIF-A5-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;6;monitor;
CH-MAGDIF-A7-SC;CH-MAGDIF-A7-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;10;monitor;
CH-MAGDIF-A4-SC;CH-MAGDIF-A4-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;4;monitor;
CH-MAGDIF-A6-SC;CH-MAGDIF-A6-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;8;monitor;
CH-MAGDIF-A8-SC;CH-MAGDIF-A8-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;12;monitor;
CH-MAGDIF-A14-SM;CH-MAGDIF-A14-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;14;monitor;
CH-MAGDIF-A16-SM;CH-MAGDIF-A16-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLC-CGBT;192.168.9.11;502;16;monitor;
