device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_fan_vibration(i);offset_front_bearing(i);offset_back_bearing(i);offset_winding(i);offset_fan_state(i);offset_fan_cmd(i);offset_switch(i);offset_gear(i);offset_commstatus(i);offset_winding_sensor(i)
MM-VENT-VF6-MA;MM-VENT-VF6-MA;MM-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16714;16718;16720;15589;16513;25033;15574;15575;626;15603
LQ-VENT-VF1-CA;LQ-VENT-VF1-CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16728;16732;16734;15517;16500;25020;15545;15546;600;15519
LQ-VENT-VF2-CA;LQ-VENT-VF2-CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16730;16736;16738;15518;16501;25021;15547;15548;601;15520
LQ-VENT-VF3-CA;LQ-VENT-VF3-CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16748;16756;16758;15522;16502;25022;15549;15550;602;15526
LQ-VENT-VF4-CA;LQ-VENT-VF4-CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16750;16760;16762;15523;16503;25023;15551;15552;603;15527
LQ-VENT-VF5-CA;LQ-VENT-VF5-CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16752;16764;16766;15524;16504;25024;15553;15554;604;15528
LQ-VENT-VF6-CA;LQ-VENT-VF6-CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16754;16768;16770;15525;16505;25025;15555;15556;605;15529
LQ-VENT-VF7-CA;LQ-VENT-VF7-CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16780;16788;16790;15531;16506;25026;15557;15558;606;15535
LQ-VENT-VF8-CA;LQ-VENT-VF8-CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16782;16792;16794;15532;16507;25027;15559;15560;607;15536
LQ-VENT-VF9-CA;LQ-VENT-VF9-CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16784;16796;16798;15533;16508;25028;15561;15562;608;15537
LQ-VENT-VF10-CA;LQ-VENT-VF10-CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16786;16800;16802;15534;16509;25029;15563;15564;609;15538
LQ-VENT-VF11-CA;LQ-VENT-VF11-CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16630;16646;16648;15625;16510;25030;15565;15566;610;15633
LQ-VENT-VF12-CA;LQ-VENT-VF12-CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16632;16650;16652;15626;16511;25031;15567;15568;611;15634
LQ-VENT-VF13-CA;LQ-VENT-VF13-CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16634;16654;16656;15627;16512;25032;15569;15570;612;15635
LQ-VENT-VF14-CA;LQ-VENT-VF14-CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16636;16658;16660;15628;16513;25033;15571;15572;613;15636
LQ-VENT-VF15-CA;LQ-VENT-VF15-CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16820;16824;16826;15541;16514;25034;15573;15574;614;15543
LQ-VENT-VF16-CA;LQ-VENT-VF16-CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16822;16828;16830;15542;16515;25035;15575;15576;615;15544
LQ-VENT-VF1-MA;LQ-VENT-VF1-MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16612;16622;16624;15501;16516;25036;15577;15578;616;15505
LQ-VENT-VF2-MA;LQ-VENT-VF2-MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16614;16626;16628;15502;16517;25037;15579;15580;617;15506
LQ-VENT-VF3-MA;LQ-VENT-VF3-MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16616;16756;16758;15503;16518;25038;15581;15582;618;15507
LQ-VENT-VF4-MA;LQ-VENT-VF4-MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16618;16760;16762;15504;16519;25039;15583;15584;619;15508
LQ-VENT-VF5-MA;LQ-VENT-VF5-MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16638;16662;16664;15629;16520;25040;15585;15586;620;15637
LQ-VENT-VF6-MA;LQ-VENT-VF6-MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16640;16666;16668;15630;16521;25041;15587;15588;621;15638
LQ-VENT-VF7-MA;LQ-VENT-VF7-MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16642;16670;16672;15631;16522;25042;15589;15590;622;15639
LQ-VENT-VF8-MA;LQ-VENT-VF8-MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16644;16674;16676;15632;16523;25043;15591;15592;623;15640
LQ-VENT-VF9-MA;LQ-VENT-VF9-MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16694;16698;16700;15511;16524;25044;15593;15594;624;15513
LQ-VENT-VF10-MA;LQ-VENT-VF10-MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16696;16702;16704;15512;16525;25045;15595;15596;625;15514
CH-VENT-VF1-CA;CH-VENT-VF1-CA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16600;16616;16618;15532;16500;25020;15500;15501;600;15538
CH-VENT-VF2-CA;CH-VENT-VF2-CA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16602;16620;16622;15533;16501;25021;15502;15503;601;15539
CH-VENT-VF3-CA;CH-VENT-VF3-CA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16604;16624;16626;15534;16502;25022;15504;15505;602;15540
CH-VENT-VF4-CA;CH-VENT-VF4-CA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16606;16628;16630;15535;16503;25023;15506;15507;603;15541
CH-VENT-VF5-CA;CH-VENT-VF5-CA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16608;16632;16634;15536;16504;25024;15508;15509;604;15542
CH-VENT-VF6-CA;CH-VENT-VF6-CA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16610;16636;16638;15537;16505;25025;15510;15511;605;15543
CH-VENT-VF7-CA;CH-VENT-VF7-CA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16612;16640;16642;15544;16506;25026;15512;15513;606;15546
CH-VENT-VF8-CA;CH-VENT-VF8-CA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16614;16644;16646;15545;16507;25027;15514;15515;607;15547
CH-VENT-VF1-MA;CH-VENT-VF1-MA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16648;16664;16666;15548;16508;25028;15516;15517;616;15552
CH-VENT-VF2-MA;CH-VENT-VF2-MA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16650;16668;16670;15549;16509;25029;15518;15519;617;15553
CH-VENT-VF3-MA;CH-VENT-VF3-MA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16652;16672;16674;15550;16510;25030;15520;15521;618;15554
CH-VENT-VF4-MA;CH-VENT-VF4-MA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16654;16676;16678;15551;16511;25031;15522;15523;619;15555
CH-VENT-VF5-MA;CH-VENT-VF5-MA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16656;16680;16682;15556;16512;25032;15524;15525;620;15560
CH-VENT-VF6-MA;CH-VENT-VF6-MA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16658;16684;16686;15557;16513;25033;15526;15527;621;15561
CH-VENT-VF7-MA;CH-VENT-VF7-MA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16660;16688;16690;15558;16514;25034;15528;15529;622;15562
CH-VENT-VF8-MA;CH-VENT-VF8-MA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16662;16692;16694;15559;16515;25035;15530;15531;623;15563
CAS-VENT-VF7-CA;CAS-VENT-VF7-CA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16506;16716;16718;15542;16506;25026;15528;15529;606;15558
CAS-VENT-VF8-CA;CAS-VENT-VF8-CA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16507;16720;16722;15543;16507;25027;15530;15531;607;15559
