device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_measure(i);offset_alarm(i);offset_alarm_fa(i);offset_commstatus(i)
LQ-LUX-4CA;LQ-LUX-4CA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16746;773;15521;173
LQ-LUX-1MA;LQ-LUX-1MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16606;703;15500;103
LQ-LUX-2MA;LQ-LUX-2MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16608;704;15500;104
LQ-LUX-3MA;LQ-LUX-3MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16610;705;15500;105
LQ-LUX-4MA;LQ-LUX-4MA;LQ-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16684;742;15509;142
CH-LUX-1CA;CH-LUX-1CA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16732;766;15604;166
CH-LUX-2CA;CH-LUX-2CA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16734;767;15604;167
CH-LUX-3CA;CH-LUX-3CA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16736;768;15604;168
CH-LUX-4CA;CH-LUX-4CA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16738;769;15605;169
CH-LUX-1MA;CH-LUX-1MA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16740;770;15607;170
CH-LUX-2MA;CH-LUX-2MA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16742;771;15607;171
CH-LUX-3MA;CH-LUX-3MA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16744;772;15607;172
CH-LUX-4MA;CH-LUX-4MA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16746;773;15608;173
CAS-LUX-1MA;CAS-LUX-1MA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16604;702;15532;102
CAS-LUX-2MA;CAS-LUX-2MA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16606;703;15533;103
CAS-LUX-3MA;CAS-LUX-3MA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16608;704;15534;104
CAS-LUX-4MA;CAS-LUX-4MA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16616;708;15535;108
CAS-LUX-1CA;CAS-LUX-1CA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16640;720;15537;120
CAS-LUX-2CA;CAS-LUX-2CA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16642;721;15538;121
CAS-LUX-3CA;CAS-LUX-3CA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16644;722;15539;122
CAS-LUX-4CA;CAS-LUX-4CA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16650;725;15540;125
COR-LUX-1MA;COR-LUX-1MA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16608;704;15532;104
COR-LUX-2MA;COR-LUX-2MA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16610;705;15533;105
COR-LUX-3MA;COR-LUX-3MA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16612;706;15534;106
COR-LUX-4MA;COR-LUX-4MA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16620;710;15535;110
COR-LUX-1CA;COR-LUX-1CA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16646;723;15536;123
COR-LUX-2CA;COR-LUX-2CA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16648;724;15537;124
COR-LUX-3CA;COR-LUX-3CA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16650;725;15538;125
COR-LUX-4CA;COR-LUX-4CA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16658;729;15539;129
