device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_measure(i);offset_alarm(i);offset_alarm_fa(i);offset_commstatus(i)
CH-NO-2MA;CH-NO-2MA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16722;761;15608;161
CH-NO-3MA;CH-NO-3MA;CH-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16728;764;15609;164
CAS-NO-1MA;CAS-NO-1MA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16600;700;15532;148
CAS-NO-2MA;CAS-NO-2MA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16612;706;15533;154
CAS-NO-3MA;CAS-NO-3MA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16618;709;15534;157
CAS-NO-4MA;CAS-NO-4MA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16624;712;15535;160
CAS-NO-5MA;CAS-NO-5MA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16630;715;15536;163
CAS-NO-1CA;CAS-NO-1CA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16636;718;15537;166
CAS-NO-2CA;CAS-NO-2CA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16646;723;15538;171
CAS-NO-3CA;CAS-NO-3CA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16654;727;15539;175
CAS-NO-4CA;CAS-NO-4CA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16660;730;15540;178
CAS-NO-5CA;CAS-NO-5CA;CAS-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16664;732;15541;180
COR-NO-1MA;COR-NO-1MA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16602;701;15532;101
COR-NO-2MA;COR-NO-2MA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16616;708;15533;108
COR-NO-3MA;COR-NO-3MA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16624;712;15534;112
COR-NO-4MA;COR-NO-4MA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16632;716;15535;116
COR-NO-1CA;COR-NO-1CA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16640;720;15536;120
COR-NO-2CA;COR-NO-2CA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16654;727;15537;127
COR-NO-3CA;COR-NO-3CA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16664;732;15538;132
COR-NO-4CA;COR-NO-4CA;COR-ERU;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;monitor;;16670;735;15539;135
