device_name;session_uid;url_publisher;PLC_name;host;port(i);offset_state(i);offset_state_cmd(i);read_permission;write_permission
LQ-CONT-AE9-SC;LQ-CONT-AE9-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15606;18009;;
LQ-CONT-AE29-SC;LQ-CONT-AE29-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15607;18010;;
LQ-CONT-AE30-SM;LQ-CONT-AE30-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15608;18011;;
LQ-CONT-A29-SC;LQ-CONT-A29-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15609;18012;;
LQ-CONT-A30-SC;LQ-CONT-A30-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15610;18013;;
LQ-CONT-A31-SM;LQ-CONT-A31-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15611;18014;;
LQ-CONT-A32-SM;LQ-CONT-A32-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15612;18015;;
LQ-CONT-A3-SC;LQ-CONT-A3-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15613;18016;;
LQ-CONT-A5-SC;LQ-CONT-A5-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15614;18017;;
LQ-CONT-A4-SC;LQ-CONT-A4-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15615;18018;;
LQ-CONT-A6-SC;LQ-CONT-A6-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15616;18019;;
LQ-CONT-A13-SC;LQ-CONT-A13-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15617;18020;;
LQ-CONT-A23-SC;LQ-CONT-A23-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15618;18021;;
LQ-CONT-A12-SM;LQ-CONT-A12-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15619;18022;;
LQ-CONT-A22-SM;LQ-CONT-A22-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15620;18023;;
LQ-CONT-A33-SM;LQ-CONT-A33-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15621;18024;;
LQ-CONT-A34-SM;LQ-CONT-A34-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15622;18025;;
LQ-CONT-A35-SM;LQ-CONT-A35-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15623;18026;;
LQ-CONT-A36-SM;LQ-CONT-A36-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;LQ-ERU;192.168.88.119;28016;15624;18027;;
CH-CONT-A3-SC;CH-CONT-A3-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15580;18000;;
CH-CONT-A4-SC;CH-CONT-A4-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15581;18001;;
CH-CONT-A6-SC;CH-CONT-A6-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15582;18002;;
CH-CONT-A5-SC;CH-CONT-A5-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15583;18003;;
CH-CONT-A7-SC;CH-CONT-A7-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15584;18004;;
CH-CONT-A8-SC;CH-CONT-A8-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15585;18005;;
CH-CONT-A14-SM;CH-CONT-A14-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15586;18006;;
CH-CONT-A16-SM;CH-CONT-A16-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15587;18007;;
CH-CONT-A18-SM;CH-CONT-A18-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15588;18008;;
CH-CONT-A11-SM;CH-CONT-A11-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15589;18009;;
CH-CONT-A13-SM;CH-CONT-A13-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15590;18010;;
CH-CONT-A15-SM;CH-CONT-A15-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15591;18011;;
CH-CONT-AA1-SM;CH-CONT-AA1-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15592;18012;;
CH-CONT-AA2-SM;CH-CONT-AA2-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15593;18013;;
CH-CONT-AA12-SC;CH-CONT-AA12-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15594;18014;;
CH-CONT-AA9-SC;CH-CONT-AA9-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15595;18015;;
CH-CONT-AE17-SM;CH-CONT-AE17-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15597;18016;;
CH-CONT-AE10-SC;CH-CONT-AE10-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15596;18017;;
CH-CONT-AE20-SM;CH-CONT-AE20-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15599;18018;;
CH-CONT-AE19-SC;CH-CONT-AE19-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15598;18019;;
CH-CONT-A19-SC;CH-CONT-A19-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15600;18020;;
CH-CONT-A20-SC;CH-CONT-A20-SC;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15601;18021;;
CH-CONT-A21-SM;CH-CONT-A21-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15602;18022;;
CH-CONT-A22-SM;CH-CONT-A22-SM;http:\/\/192.168.88.118:3000\/api\/v2\/generic\/;CH-ERU;192.168.88.119;28017;15603;18023;;
