item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;lane;on_change_measure;param1_brand;param2_model;param3_protocol;param4_config_json;param8_panel_code;dm
94;12;S1TS-AFL-021;S1TS-AFL-021;S1TS-AFL-021;AVO;S1TS-ZON-025;Secc.01-10-03;39+36;3;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;3060
95;19;S1TN-PMV-003;S1TN-PMV-003;S1TN-PMV-003;AVO;S1TN_EXT;Secc.01-11-13;37+72;;;Fixalia;Exterior;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":2},{""zone"":2,""type"":""text"",""maxCharsPerLine"":16}]";;1415
96;19;INKP-PMV-001;INKP-PMV-001;INKP-PMV-001;AVO;INKP_EXT;Secc.02-29-04;0+31;;;Fixalia;Exterior;ntcip;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":2},{""zone"":2,""type"":""text"",""maxCharsPerLine"":16}]";;310
97;19;IVIP-PMV-001;IVIP-PMV-001;IVIP-PMV-001;AVO;IVIP_EXT;Secc.02-16-04;3+03;;;Fixalia;Exterior;ntcip;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":2},{""zone"":2,""type"":""text"",""maxCharsPerLine"":16}]";;3030
98;19;IPRO-PMV-001;IPRO-PMV-001;IPRO-PMV-001;AVO;IPRO_EXT;Secc.03-57-10;4+09;;;Fixalia;Exterior;ntcip;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":2},{""zone"":2,""type"":""text"",""maxCharsPerLine"":16}]";;4090
99;19;ICCO-PMV-001;ICCO-PMV-001;ICCO-PMV-001;AVO;ICCO_EXT;Secc.03-258-09;5+04;;;Fixalia;Exterior;ntcip;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":2},{""zone"":2,""type"":""text"",""maxCharsPerLine"":16}]";;5040
100;19;ICCP-PMV-001;ICCP-PMV-001;ICCP-PMV-001;AVO;ICCP_EXT;Secc.02-256-07;6+06;;;Fixalia;Exterior;ntcip;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":2},{""zone"":2,""type"":""text"",""maxCharsPerLine"":16}]";;6060
101;19;IBTO-PMV-001;IBTO-PMV-001;IBTO-PMV-001;AVO;IBTO_EXT;Secc.03-255-08;7+11;;;Fixalia;Exterior;ntcip;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":2},{""zone"":2,""type"":""text"",""maxCharsPerLine"":16}]";;7110
102;12;SAPR-AFL-001;SAPR-AFL-001;SAPR-AFL-001;AVO;SAPR-ZON-001;Secc.03-253-10;0+2;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;200
103;12;ICNP-AFL-001;ICNP-AFL-001;ICNP-AFL-001;AVO;ICNP-ZON-006;Secc.02-47-04;0+26;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;260
104;12;INKP-AFL-001;INKP-AFL-001;INKP-AFL-001;AVO;INKP_EXT;Secc.02-29-04;0+34;1001;;Fixalia;AF_4_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":3}]";;340
105;12;INKP-AFL-002;INKP-AFL-002;INKP-AFL-002;AVO;INKP_EXT;Secc.02-29-04;0+34;1001;;Fixalia;AF_4_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":3}]";;340
106;12;SMPS-AFL-001;SMPS-AFL-001;SMPS-AFL-001;AVO;SMPS-ZON-005;Secc.02-303-05;0+48;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;480
107;12;SMPS-AFL-002;SMPS-AFL-002;SMPS-AFL-002;AVO;SMPS-ZON-005;Secc.02-303-05;0+25;2;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;250
108;12;ICNP-AFL-002;ICNP-AFL-002;ICNP-AFL-002;AVO;ICNP-ZON-005;Secc.02-47-04;0+49;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;490
109;12;INKP-AFL-003;INKP-AFL-003;INKP-AFL-003;AVO;INKP-ZON-003;Secc.02-29-04;0+57;1002;;Fixalia;AF_4_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":3}]";;570
110;12;INKP-AFL-004;INKP-AFL-004;INKP-AFL-004;AVO;INKP-ZON-003;Secc.02-29-04;0+57;1001;;Fixalia;AF_4_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":3}]";;570
111;12;ICNP-AFL-003;ICNP-AFL-003;ICNP-AFL-003;AVO;ICNP-ZON-002;Secc.02-47-04;0+69;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;690
112;12;IVIP-AFL-001;IVIP-AFL-001;IVIP-AFL-001;AVO;IVIP-ZON-003;Secc.02-16-04;3+11;1;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;3110
113;12;S2TS-AFL-001;S2TS-AFL-001;S2TS-AFL-001;AVO;S2TS-ZON-001;Secc.01-10-03;39+668;1001;;Fixalia;AF_4_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":3}]";;3368
114;12;S2TS-AFL-002;S2TS-AFL-002;S2TS-AFL-002;AVO;S2TS-ZON-001;Secc.01-10-03;39+668;1002;;Fixalia;AF_4_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":3}]";;3368
115;12;S2TS-AFL-003;S2TS-AFL-003;S2TS-AFL-003;AVO;S2TS-ZON-001;Secc.01-10-03;39+668;1003;;Fixalia;AF_4_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":3}]";;3368
116;12;S2TN-AFL-041;S2TN-AFL-041;S2TN-AFL-041;AVO;S2TN-ZON-049;Secc.03-11-11;39+757;3;;Fixalia;AF_2_Aspectos;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":4}]";;3457
