item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido
66;1;CAS-SOSE-1MA;CAS-SOSE-1MA;CAS-SOSE-1MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
67;1;CAS-SOSE-2CA;CAS-SOSE-2CA;CAS-SOSE-2CA;AP7 - AUSOL II;CAS-TUNEL;151+355;CA
68;1;CAS-SOSE-2MA;CAS-SOSE-2MA;CAS-SOSE-2MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
69;1;CAS-SOSE-1CA;CAS-SOSE-1CA;CAS-SOSE-1CA;AP7 - AUSOL II;CAS-TUNEL;151+355;CA
70;1;CAS-SOS-1MA;CAS-SOS-1MA;CAS-SOS-1MA;AP7 - AUSOL II;CAS-TUNEL;146+626;MA
71;1;CAS-SOS-2MA;CAS-SOS-2MA;CAS-SOS-2MA;AP7 - AUSOL II;CAS-TUNEL;146+836;MA
72;1;CAS-SOS-3MA;CAS-SOS-3MA;CAS-SOS-3MA;AP7 - AUSOL II;CAS-TUNEL;147+036;MA
73;1;CAS-SOS-4MA;CAS-SOS-4MA;CAS-SOS-4MA;AP7 - AUSOL II;CAS-TUNEL;147+226;MA
74;1;CAS-SOS-5MA;CAS-SOS-5MA;CAS-SOS-5MA;AP7 - AUSOL II;CAS-TUNEL;147+436;MA
75;1;CAS-SOS-1CA;CAS-SOS-1CA;CAS-SOS-1CA;AP7 - AUSOL II;CAS-TUNEL;147+426;CA
76;1;CAS-SOS-2CA;CAS-SOS-2CA;CAS-SOS-2CA;AP7 - AUSOL II;CAS-TUNEL;147+226;CA
77;1;CAS-SOS-3CA;CAS-SOS-3CA;CAS-SOS-3CA;AP7 - AUSOL II;CAS-TUNEL;147+026;CA
78;1;CAS-SOS-4CA;CAS-SOS-4CA;CAS-SOS-4CA;AP7 - AUSOL II;CAS-TUNEL;146+826;CA
79;1;CAS-SOS-5CA;CAS-SOS-5CA;CAS-SOS-5CA;AP7 - AUSOL II;CAS-TUNEL;146+626;CA
80;1;COR-SOS-1CA;COR-SOS-1CA;COR-SOS-1CA;AP7 - AUSOL II;COR-TUNEL;199+793;CA
81;1;COR-SOS-2CA;COR-SOS-2CA;COR-SOS-2CA;AP7 - AUSOL II;COR-TUNEL;199+593;CA
82;1;COR-SOS-3CA;COR-SOS-3CA;COR-SOS-3CA;AP7 - AUSOL II;COR-TUNEL;199+593;CA
83;1;COR-SOS-4CA;COR-SOS-4CA;COR-SOS-4CA;AP7 - AUSOL II;COR-TUNEL;199+593;CA
84;1;COR-SOS-1MA;COR-SOS-1MA;COR-SOS-1MA;AP7 - AUSOL II;COR-TUNEL;199+223;MA
85;1;COR-SOS-2MA;COR-SOS-2MA;COR-SOS-2MA;AP7 - AUSOL II;COR-TUNEL;199+423;MA
86;1;COR-SOS-3MA;COR-SOS-3MA;COR-SOS-3MA;AP7 - AUSOL II;COR-TUNEL;199+423;MA
87;1;COR-SOS-4MA;COR-SOS-4MA;COR-SOS-4MA;AP7 - AUSOL II;COR-TUNEL;199+423;MA
88;1;COR-SOSE-1MA;COR-SOSE-1MA;COR-SOSE-1MA;AP7 - AUSOL II;COR-TUNEL;199+223;MA
89;1;COR-SOSE-2MA;COR-SOSE-2MA;COR-SOSE-2MA;AP7 - AUSOL II;COR-TUNEL;199+832;MA
90;1;COR-SOSE-1CA;COR-SOSE-1CA;COR-SOSE-1CA;AP7 - AUSOL II;COR-TUNEL;199+793;CA
91;1;COR-SOSE-2CA;COR-SOSE-2CA;COR-SOSE-2CA;AP7 - AUSOL II;COR-TUNEL;199+230;CA
92;1;EST-SOSE-1CA;EST-SOSE-1CA;EST-SOSE-1CA;AP7 - AUSOL II;EST-TUNEL;153+810;CA
93;1;EST-SOSE-2CA;EST-SOSE-2CA;EST-SOSE-2CA;AP7 - AUSOL II;EST-TUNEL;153+590;CA
94;1;EST-SOSE-1MA;EST-SOSE-1MA;EST-SOSE-1MA;AP7 - AUSOL II;EST-TUNEL;153+590;MA
95;1;EST-SOSE-2MA;EST-SOSE-2MA;EST-SOSE-2MA;AP7 - AUSOL II;EST-TUNEL;153+810;MA
96;1;EST-SOS-1CA;EST-SOS-1CA;EST-SOS-1CA;AP7 - AUSOL II;EST-TUNEL;153+685;CA
97;1;EST-SOS-1MA;EST-SOS-1MA;EST-SOS-1MA;AP7 - AUSOL II;EST-TUNEL;153+685;MA
98;1;STM2-SOS-1CA;STM2-SOS-1CA;STM2-SOS-1CA;AP7 - AUSOL II;STMII-TUNEL;150+668;CA
99;1;STM2-SOS-2CA;STM2-SOS-2CA;STM2-SOS-2CA;AP7 - AUSOL II;STMII-TUNEL;150+518;CA
100;1;STM2-SOS-3CA;STM2-SOS-3CA;STM2-SOS-3CA;AP7 - AUSOL II;STMII-TUNEL;150+358;CA
101;1;STM2-SOS-1MA;STM2-SOS-1MA;STM2-SOS-1MA;AP7 - AUSOL II;STMII-TUNEL;150+358;MA
102;1;STM2-SOS-2MA;STM2-SOS-2MA;STM2-SOS-2MA;AP7 - AUSOL II;STMII-TUNEL;150+518;MA
103;1;STM2-SOS-3MA;STM2-SOS-3MA;STM2-SOS-3MA;AP7 - AUSOL II;STMII-TUNEL;150+668;MA
104;1;STM2-SOSE-1MA;STM2-SOSE-1MA;STM2-SOSE-1MA;AP7 - AUSOL II;STMII-TUNEL;150+208;MA
105;1;STM2-SOSE-2MA;STM2-SOSE-2MA;STM2-SOSE-2MA;AP7 - AUSOL II;STMII-TUNEL;150+813;MA
106;1;STM2-SOSE-1CA;STM2-SOSE-1CA;STM2-SOSE-1CA;AP7 - AUSOL II;STMII-TUNEL;150+813;CA
107;1;STM2-SOSE-2CA;STM2-SOSE-2CA;STM2-SOSE-2CA;AP7 - AUSOL II;STMII-TUNEL;150+208;CA
