device_name;source_name;ip;measure_port(i);alarm_port(i);url_publisher;offset_state_cmd(i);offset_state(i)
CAS-CONT-A13-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8370;6310
CAS-CONT-A14-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8371;6311
CAS-CONT-A3-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8372;6312
CAS-CONT-A5-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8373;6313
CAS-CONT-A4-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8374;6314
CAS-CONT-A6-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8375;6315
COR-CONT-A3-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8376;6316
COR-CONT-A5-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8377;6317
COR-CONT-A4-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8378;6318
COR-CONT-A6-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8379;6319
COR-CONT-AA12-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8380;6320
COR-CONT-AA9-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8381;6321
COR-CONT-AA1-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8382;6322
COR-CONT-AA2-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8383;6323
COR-CONT-AE10-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8384;6324
COR-CONT-AE11-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8385;6325
COR-CONT-A12-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8386;6326
COR-CONT-A13-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8387;6327
COR-CONT-A3-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8388;6328
COR-CONT-A5-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8389;6329
COR-CONT-A4-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8390;6330
COR-CONT-A6-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8391;6331
COR-CONT-AA1-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8392;6332
COR-CONT-AA2-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8393;6333
COR-CONT-AA12-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8394;6334
COR-CONT-AA9-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8395;6335
COR-CONT-AE10-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8396;6336
COR-CONT-AE11-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8397;6337
COR-CONT-A14-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8398;6338
COR-CONT-A15-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8399;6339
EST-CONT-AA1-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8400;6340
EST-CONT-AA2-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8401;6341
EST-CONT-AA6-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8402;6342
EST-CONT-AA5-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8403;6343
EST-CONT-AE9-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8404;6344
EST-CONT-AE10-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8405;6345
EST-CONT-A11-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8406;6346
EST-CONT-A12-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8407;6347
EST-CONT-A13-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8408;6348
EST-CONT-A14-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8409;6349
EST-CONT-A3-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8410;6350
EST-CONT-A4-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8411;6351
