device_name;source_name;det_name;det_order;url_publisher
STMI-ETD-1MA;ETDS;STMI-SEC-2-DET-4CA-OUT;4;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-ETD-1CA;ETDS;MM-SEC-1-DET-1CA-IN;1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-ETD-1CA;ETDS;MM-SEC-1-DET-2CA-IN;2;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-ETD-1CA;ETDS;MM-SEC-2-DET-3MA-OUT;3;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-ETD-1CA;ETDS;MM-SEC-2-DET-4MA-OUT;4;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-ETD-1MA;ETDS;MM-SEC-1-DET-1MA-IN;1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-ETD-1MA;ETDS;MM-SEC-1-DET-2MA-IN;2;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-ETD-1MA;ETDS;MM-SEC-2-DET-3CA-OUT;3;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-ETD-1MA;ETDS;MM-SEC-2-DET-4CA-OUT;4;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-ETD-1CA;ETDS;LQ-SEC-1-DET-1CA-IN;1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-ETD-1CA;ETDS;LQ-SEC-1-DET-2CA-IN;2;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-ETD-1CA;ETDS;LQ-SEC-2-DET-3MA-OUT;3;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-ETD-1CA;ETDS;LQ-SEC-2-DET-4MA-OUT;4;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-ETD-1MA;ETDS;LQ-SEC-1-DET-1MA-IN;1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-ETD-1MA;ETDS;LQ-SEC-1-DET-2MA-IN;2;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-ETD-1MA;ETDS;LQ-SEC-2-DET-3CA-OUT;3;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-ETD-1MA;ETDS;LQ-SEC-2-DET-4CA-OUT;4;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-ETD-1CA;ETDS;CH-SEC-1-DET-1CA-IN;1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-ETD-1CA;ETDS;CH-SEC-1-DET-2CA-IN;2;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-ETD-1CA;ETDS;CH-SEC-2-DET-3MA-OUT;3;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-ETD-1CA;ETDS;CH-SEC-2-DET-4MA-OUT;4;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-ETD-1MA;ETDS;CH-SEC-1-DET-1MA-IN;1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-ETD-1MA;ETDS;CH-SEC-1-DET-2MA-IN;2;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-ETD-1MA;ETDS;CH-SEC-2-DET-3CA-OUT;3;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-ETD-1MA;ETDS;CH-SEC-2-DET-4CA-OUT;4;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-ETD-1CA;ETDS;EST-SEC-1-DET-1CA-IN;1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-ETD-1CA;ETDS;EST-SEC-1-DET-2CA-IN;2;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-ETD-1CA;ETDS;EST-SEC-2-DET-3MA-OUT;3;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-ETD-1CA;ETDS;EST-SEC-2-DET-4MA-OUT;4;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-ETD-1MA;ETDS;EST-SEC-1-DET-1MA-IN;1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-ETD-1MA;ETDS;EST-SEC-1-DET-2MA-IN;2;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-ETD-1MA;ETDS;EST-SEC-2-DET-3CA-OUT;3;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-ETD-1MA;ETDS;EST-SEC-2-DET-4CA-OUT;4;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
