device_name;source_name;ip;port(i);url_publisher
LQ-DALI-DER-2MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-DALI-IZQ-2MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-DALI-IZQ-3MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-DALI-IZQ-4CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-DALI-IZQ-3CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-DALI-DER-3MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-DALI-IZQ-2CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-DALI-DER-4MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-DALI-IZQ-4MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-DALI-IZQ-1CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-DALI-DER-1CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-DALI-DER-2CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-DALI-DER-3CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-DALI-DER-4CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-DALI-DER-1CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-DALI-IZQ-1CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-DALI-IZQ-4MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-DALI-DER-2CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-DALI-DER-3CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-DALI-IZQ-2CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-DALI-IZQ-2MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-DALI-IZQ-3MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-DALI-DER-1MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-DALI-IZQ-1MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-DALI-IZQ-3CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-DALI-DER-2MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-DALI-DER-3MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-DALI-DER-4MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-DALI-DER-1MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-DALI-IZQ-1MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-DALI-DER-2MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-DALI-IZQ-2MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-DALI-DER-3MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-DALI-IZQ-3MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-DALI-DER-4MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-DALI-IZQ-4MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-DALI-IZQ-1CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-DALI-DER-1CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-DALI-IZQ-2CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-DALI-DER-2CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-DALI-IZQ-3CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-DALI-DER-3CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-DALI-IZQ-4CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-DALI-DER-4CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-DALI-DER-1CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-DALI-IZQ-1CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-DALI-DER-2CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-DALI-IZQ-2CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-DALI-DER-3CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-DALI-IZQ-3CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-DALI-DER-1MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-DALI-IZQ-1MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-DALI-DER-2MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-DALI-IZQ-2MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-DALI-DER-3MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-DALI-IZQ-3MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-DALI-DER-1CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-DALI-IZQ-1CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-DALI-DER-2CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-DALI-IZQ-2CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-DALI-DER-1MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-DALI-IZQ-1MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-DALI-DER-2MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-DALI-IZQ-2MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-DALI-DER-3MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-DALI-IZQ-3MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-DALI-DER-4MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-DALI-IZQ-4MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-DALI-IZQ-1CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-DALI-IZQ-3MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-DALI-DER-1CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-DALI-DER-2CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-DALI-DER-3CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-DALI-IZQ-2CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-DALI-IZQ-2MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-DALI-IZQ-3CA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-DALI-IZQ-1MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-DALI-DER-1MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-DALI-DER-2MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-DALI-DER-3MA;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CONT-AE9-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CONT-AE12-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CONT-A15-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CONT-A16-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CONT-A3-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CONT-A5-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CONT-A4-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CONT-A6-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CONT-AA10-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CONT-AA11-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CONT-AA1-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CONT-AA2-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CONT-AE9-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CONT-AE12-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CONT-A13-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CONT-A14-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CONT-A3-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CONT-A5-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CONT-A4-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CONT-A6-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-A3-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-A5-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-A4-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-A6-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-AA12-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-AA9-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-AA1-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-AA2-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-AE10-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-AE11-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-A12-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-A13-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-A3-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-A5-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-A4-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-A6-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-AA1-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-AA2-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-AA12-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-AA9-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-AE10-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-AE11-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-A14-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-A15-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-CONT-AA1-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-CONT-AA2-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-CONT-AA6-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-CONT-AA5-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-CONT-AE9-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-CONT-AE10-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-CONT-A11-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-CONT-A12-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-CONT-A13-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-CONT-A14-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-CONT-A3-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-CONT-A4-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-CONT-A8-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-CONT-A7-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CONT-A9-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CONT-A11-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CONT-A10-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CONT-A12-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CONT-A4-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CONT-A6-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CONT-A3-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CONT-A5-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CONT-AA7-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CONT-AA8-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CONT-AA2-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CONT-AA1-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CONT-AE13-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CONT-AE14-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CONT-A15-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CONT-A16-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CONT-A17-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CONT-A18-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-CONT-A3-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-CONT-A5-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-CONT-A6-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-CONT-A8-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-CONT-A12-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-CONT-A14-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-CONT-A11-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-CONT-A13-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-CONT-A1-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-CONT-A2-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-CONT-AA1-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-CONT-AA2-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-CONT-AE4-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-CONT-AA10-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-CONT-AE7-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-CONT-AA9-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-CONT-A15-SC;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-CONT-A16-SM;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-CONT-BF15;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-CONT-BF30;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-CONT-BF8;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-CONT-BF9;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-CONT-BF15;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-CONT-BF16;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-CONT-BF15;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-CONT-BF29;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CONT-BF15-A;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CONT-BF15-B;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-BF15-A;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CONT-BF15-B;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-CONT-BF8;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-CONT-BF9;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-CONT-BF15;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-CONT-BF30;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-CONT-BF15;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-CONT-CF4;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CONT-BF15;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CONT-BF36;DALI;192.168.88.73;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
