device_name;url_publisher
NG-PLCSI-3CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-PLCSI-4CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-PLCSI-5CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-PLCSI-6CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-PLCSI-7CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-PLCSI-8CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-PLCG-CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-PLCL-BM;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-PLC-CGBT;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-PLCSI-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-PLCSI-2MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-PLCSI-3MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-PLCSI-4MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-PLCSI-5MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-PLCSI-6MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-PLCSI-7MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-PLCSI-8MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
