item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;dm
31;2E17-ELE-002.SEAbiertaN2;2E17-ELE-002.SEAbiertaN2;2E17-ELE-002.SEAbiertaN2;AVO;;Secc.02-10-06;42+58;;6280
32;2E18-ELE-002.SEAbiertaN2;2E18-ELE-002.SEAbiertaN2;2E18-ELE-002.SEAbiertaN2;AVO;;Secc.02-10-06;42+805;;6505
33;2E19-ELE-002.SEAbiertaN2;2E19-ELE-002.SEAbiertaN2;2E19-ELE-002.SEAbiertaN2;AVO;;Secc.02-10-06;43+03;;6730
34;2E20-ELE-002.SEAbiertaN2;2E20-ELE-002.SEAbiertaN2;2E20-ELE-002.SEAbiertaN2;AVO;;Secc.02-10-06;43+19;;6890
35;2E21-ELE-002.SEAbiertaN2;2E21-ELE-002.SEAbiertaN2;2E21-ELE-002.SEAbiertaN2;AVO;;Secc.02-10-06;43+415;;7115
36;2E22-ELE-002.SEAbiertaN1;2E22-ELE-002.SEAbiertaN1;2E22-ELE-002.SEAbiertaN1;AVO;;Secc.03-11-08;43+57;;7270
37;2E23-ELE-002.SEAbiertaN1;2E23-ELE-002.SEAbiertaN1;2E23-ELE-002.SEAbiertaN1;AVO;;Secc.03-11-08;43+64;;7340
38;2E24-ELE-002.SEAbiertaN2;2E24-ELE-002.SEAbiertaN2;2E24-ELE-002.SEAbiertaN2;AVO;;Secc.02-10-07;43+71;;7410
39;2E25-ELE-002.SEAbiertaN2;2E25-ELE-002.SEAbiertaN2;2E25-ELE-002.SEAbiertaN2;AVO;;Secc.02-10-07;43+935;;7635
42;2E28-ELE-002.SEAbiertaN2;2E28-ELE-002.SEAbiertaN2;2E28-ELE-002.SEAbiertaN2;AVO;;Secc.02-10-07;44+27;;7970
43;2E29-ELE-002.SEAbiertaN2;2E29-ELE-002.SEAbiertaN2;2E29-ELE-002.SEAbiertaN2;AVO;;Secc.02-10-07;44+495;;8195
44;1ES3-ELE-002.SEAbiertaN1;1ES3-ELE-002.SEAbiertaN1;1ES3-ELE-002.SEAbiertaN1;AVO;;Secc.01-11-12;39+35;;3050
45;1ES4-ELE-002.SEAbiertaN1;1ES4-ELE-002.SEAbiertaN1;1ES4-ELE-002.SEAbiertaN1;AVO;;Secc.01-11-12;39+59;;3290
46;2E03-ELE-002.SEAbiertaN1;2E03-ELE-002.SEAbiertaN1;2E03-ELE-002.SEAbiertaN1;AVO;;Secc.01-11-12;39+8;;3500
47;2E04-ELE-002.SEAbiertaN1;2E04-ELE-002.SEAbiertaN1;2E04-ELE-002.SEAbiertaN1;AVO;;Secc.01-11-12;39+967;;3667
48;2E05-ELE-002.SEAbiertaN1;2E05-ELE-002.SEAbiertaN1;2E05-ELE-002.SEAbiertaN1;AVO;;Secc.01-11-12;40+22;;3920
49;2E06-ELE-002.SEAbiertaN1;2E06-ELE-002.SEAbiertaN1;2E06-ELE-002.SEAbiertaN1;AVO;;Secc.03-11-11;40+45;;4150
50;2E07-ELE-002.SEAbiertaN1;2E07-ELE-002.SEAbiertaN1;2E07-ELE-002.SEAbiertaN1;AVO;;Secc.03-11-11;40+7;;4400
51;2E08-ELE-002.SEAbiertaN1;2E08-ELE-002.SEAbiertaN1;2E08-ELE-002.SEAbiertaN1;AVO;;Secc.03-11-11;40+95;;4650
52;2E09-ELE-002.SEAbiertaN1;2E09-ELE-002.SEAbiertaN1;2E09-ELE-002.SEAbiertaN1;AVO;;Secc.03-11-11;41+04;;4740
53;2E10-ELE-002.SEAbiertaN1;2E10-ELE-002.SEAbiertaN1;2E10-ELE-002.SEAbiertaN1;AVO;;Secc.03-11-11;41+28;;4980
54;2E11-ELE-002.SEAbiertaN1;2E11-ELE-002.SEAbiertaN1;2E11-ELE-002.SEAbiertaN1;AVO;;Secc.03-11-11;41+41;;5110
55;2E10-ELE-002.SEAbiertaE47;2E10-ELE-002.SEAbiertaE47;2E10-ELE-002.SEAbiertaE47;AVO;;Secc.03-11-11;41+28;;4980
56;2E11-ELE-002.SEAbiertaAux;2E11-ELE-002.SEAbiertaAux;2E11-ELE-002.SEAbiertaAux;AVO;;Secc.03-11-11;41+41;;5110
57;2E12-ELE-002.SEAbiertaN1;2E12-ELE-002.SEAbiertaN1;2E12-ELE-002.SEAbiertaN1;AVO;;Secc.03-11-10;41+695;;5395
58;2E13-ELE-002.SEAbiertaN1;2E13-ELE-002.SEAbiertaN1;2E13-ELE-002.SEAbiertaN1;AVO;;Secc.03-11-10;41+85;;5550
59;2E14-ELE-002.SEAbiertaN1;2E14-ELE-002.SEAbiertaN1;2E14-ELE-002.SEAbiertaN1;AVO;;Secc.03-11-10;42+075;;5775
60;2E15-ELE-002.SEAbiertaN1;2E15-ELE-002.SEAbiertaN1;2E15-ELE-002.SEAbiertaN1;AVO;;Secc.03-11-10;42+23;;5930
61;2E16-ELE-002.SEAbiertaN1;2E16-ELE-002.SEAbiertaN1;2E16-ELE-002.SEAbiertaN1;AVO;;Secc.03-11-10;42+455;;6155
62;2E17-ELE-002.SEAbiertaN1;2E17-ELE-002.SEAbiertaN1;2E17-ELE-002.SEAbiertaN1;AVO;;Secc.03-11-09;42+58;;6280
63;2E18-ELE-002.SEAbiertaN1;2E18-ELE-002.SEAbiertaN1;2E18-ELE-002.SEAbiertaN1;AVO;;Secc.03-11-09;42+805;;6505
64;2E19-ELE-002.SEAbiertaN1;2E19-ELE-002.SEAbiertaN1;2E19-ELE-002.SEAbiertaN1;AVO;;Secc.03-11-09;43+03;;6730
65;2E20-ELE-002.SEAbiertaN1;2E20-ELE-002.SEAbiertaN1;2E20-ELE-002.SEAbiertaN1;AVO;;Secc.03-11-09;43+19;;6890
66;2E21-ELE-002.SEAbiertaN1;2E21-ELE-002.SEAbiertaN1;2E21-ELE-002.SEAbiertaN1;AVO;;Secc.03-11-09;43+415;;7115
67;2E21-ELE-004.SEAbiertaN1;2E21-ELE-004.SEAbiertaN1;2E21-ELE-004.SEAbiertaN1;AVO;;Secc.03-11-09;43+415;;7115
68;2E21-ELE-004.SEAbiertaN2;2E21-ELE-004.SEAbiertaN2;2E21-ELE-004.SEAbiertaN2;AVO;;Secc.02-10-06;43+415;;7115
69;2E23-ELE-002.SEAbiertaAux;2E23-ELE-002.SEAbiertaAux;2E23-ELE-002.SEAbiertaAux;AVO;;Secc.02-10-07;43+64;;7340
70;2E24-ELE-002.SEAbiertaN1;2E24-ELE-002.SEAbiertaN1;2E24-ELE-002.SEAbiertaN1;AVO;;Secc.03-11-08;43+71;;7410
71;2E25-ELE-002.SEAbiertaN1;2E25-ELE-002.SEAbiertaN1;2E25-ELE-002.SEAbiertaN1;AVO;;Secc.03-11-08;43+935;;7635
72;2E28-ELE-002.SEAbiertaN1;2E28-ELE-002.SEAbiertaN1;2E28-ELE-002.SEAbiertaN1;AVO;;Secc.03-11-08;44+27;;7970
73;2E29-ELE-002.SEAbiertaN1;2E29-ELE-002.SEAbiertaN1;2E29-ELE-002.SEAbiertaN1;AVO;;Secc.03-11-08;44+495;;8195
