item;stretch_type;alias;description;pk_ini;pk_end;lanes;road
1073;IncidentReport;STMII-TSC+386;Sector TSM+386 del tubo sentido Cadíz en el tunel de  Santa María II;0.0;0.0;0;AP7 - AUSOL II
1074;IncidentReport;STMII-TSC+542;Sector TSM+542 del tubo sentido Cadíz en el tunel de  Santa María II;0.0;0.0;0;AP7 - AUSOL II
1075;IncidentReport;EST-TUNEL;Tunel de Estepona;0.0;0.0;0;AP7 - AUSOL II
1076;IncidentReport;EST-TSM;Boca sentido Málaga del tunel de Estepona;0.0;0.0;0;AP7 - AUSOL II
1077;IncidentReport;EST-TSC;Boca sentido Cádiz del tunel de Estepona;0.0;0.0;0;AP7 - AUSOL II
1078;IncidentReport;NG-TUNEL;Tunel de Nagüeles;0.0;0.0;0;AP7 - AUSOL I
1079;IncidentReport;NG-TSM;Boca sentido Málaga del tunel de Nagüeles;0.0;0.0;0;AP7 - AUSOL I
1080;IncidentReport;NG-TSC;Boca sentido Cádiz del tunel de Nagüeles;0.0;0.0;0;AP7 - AUSOL I
1081;IncidentReport;NG-TSM+162;Sector TSM+162 del tubo sentido Málaga en el tunel de  Nagüeles;0.0;0.0;0;AP7 - AUSOL I
1082;IncidentReport;NG-TSM+324;Sector TSM+324 del tubo sentido Málaga en el tunel de  Nagüeles;0.0;0.0;0;AP7 - AUSOL I
1083;IncidentReport;NG-TSM+486;Sector TSM+486 del tubo sentido Málaga en el tunel de  Nagüeles;0.0;0.0;0;AP7 - AUSOL I
1084;IncidentReport;NG-TSM+648;Sector TSM+648 del tubo sentido Málaga en el tunel de  Nagüeles;0.0;0.0;0;AP7 - AUSOL I
1085;IncidentReport;NG-TSC+173;Sector TSM+173 del tubo sentido Cadíz en el tunel de  Nagüeles;0.0;0.0;0;AP7 - AUSOL I
1086;IncidentReport;NG-TSC+346;Sector TSM+346 del tubo sentido Cadíz en el tunel de  Nagüeles;0.0;0.0;0;AP7 - AUSOL I
1087;IncidentReport;NG-TSC+519;Sector TSM+519 del tubo sentido Cadíz en el tunel de  Nagüeles;0.0;0.0;0;AP7 - AUSOL I
1088;IncidentReport;NG-TSC+694;Sector TSM+694 del tubo sentido Cadíz en el tunel de  Nagüeles;0.0;0.0;0;AP7 - AUSOL I
1089;IncidentReport;GDR-PEAJE;Peaje de Guadiaro;0.0;0.0;0;AP7 - AUSOL II
1090;IncidentReport;MNV-PEAJE;Peaje de Manilva;0.0;0.0;0;AP7 - AUSOL II
