id_synoptic;id_subsistema;id_element_type;name;description;label;base_layer
102;3;NULL;COMUNICACIONES;COMUNICACIONES;LBL_COMUNICACIONES;NULL
102;4;NULL;ERU;ERU;LBL_ERU;NULL
102;5;NULL;DAI;DAI;LBL_DAI;NULL
103;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
103;2;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
104;1;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
104;2;NULL;SOS;SOS;LBL_SOS;NULL
104;3;NULL;CCTV;CCTV;LBL_CCTV;NULL
104;4;NULL;METEO;METEO;LBL_METEO;NULL
104;5;NULL;DET_LIN_INC;DET_LIN_INC;LBL_DET_LIN_INC;NULL
104;6;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
104;7;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
104;8;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
105;1;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
105;2;NULL;SOS;SOS;LBL_SOS;NULL
105;3;NULL;CCTV;CCTV;LBL_CCTV;NULL
105;4;NULL;METEO;METEO;LBL_METEO;NULL
105;5;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
105;6;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
106;1;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
106;2;NULL;CCTV;CCTV;LBL_CCTV;NULL
106;3;NULL;METEO;METEO;LBL_METEO;NULL
106;4;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
107;1;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
107;2;NULL;CCTV;CCTV;LBL_CCTV;NULL
107;3;NULL;METEO;METEO;LBL_METEO;NULL
107;4;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
107;5;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
108;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
108;2;NULL;CT;CT;LBL_CT;NULL
108;3;NULL;SOS;SOS;LBL_SOS;NULL
108;4;NULL;BOMBEO;BOMBEO;LBL_BOMBEO;NULL
109;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
110;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
110;2;NULL;CT;CT;LBL_CT;NULL
110;3;NULL;SOS;SOS;LBL_SOS;NULL
110;4;NULL;BOMBEO;BOMBEO;LBL_BOMBEO;NULL
111;1;NULL;MEGAFONIA;MEGAFONIA;LBL_MEGAFONIA;NULL
111;2;NULL;SOS;SOS;LBL_SOS;NULL
111;3;NULL;COMUNICACIONES;COMUNICACIONES;LBL_COMUNICACIONES;NULL
111;4;NULL;ERU;ERU;LBL_ERU;NULL
111;5;NULL;DAI;DAI;LBL_DAI;NULL
112;1;NULL;MEGAFONIA;MEGAFONIA;LBL_MEGAFONIA;NULL
112;2;NULL;SOS;SOS;LBL_SOS;NULL
112;3;NULL;COMUNICACIONES;COMUNICACIONES;LBL_COMUNICACIONES;NULL
112;4;NULL;ERU;ERU;LBL_ERU;NULL
112;5;NULL;DAI;DAI;LBL_DAI;NULL
113;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
113;2;NULL;CT;CT;LBL_CT;NULL
113;3;NULL;SOS;SOS;LBL_SOS;NULL
113;4;NULL;BOMBEO;BOMBEO;LBL_BOMBEO;NULL
114;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
114;2;NULL;CT;CT;LBL_CT;NULL
114;3;NULL;SOS;SOS;LBL_SOS;NULL
114;4;NULL;BOMBEO;BOMBEO;LBL_BOMBEO;NULL
115;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
115;2;NULL;CT;CT;LBL_CT;NULL
115;3;NULL;SOS;SOS;LBL_SOS;NULL
115;4;NULL;BOMBEO;BOMBEO;LBL_BOMBEO;NULL
116;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
116;2;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
118;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
119;1;NULL;MEGAFONIA;MEGAFONIA;LBL_MEGAFONIA;NULL
119;2;NULL;SOS;SOS;LBL_SOS;NULL
119;3;NULL;COMUNICACIONES;COMUNICACIONES;LBL_COMUNICACIONES;NULL
119;4;NULL;ERU;ERU;LBL_ERU;NULL
119;5;NULL;DAI;DAI;LBL_DAI;NULL
