item;alias;description;sessionuid;road;stretchs;secc;dm;pk;sentido
1048;S2TN - Tramo 48;S2TN - Tramo 48 Sur-Norte;S2TN - Tramo 48;AVO;;;;;
1049;S2TN - Tramo 49;S2TN - Tramo 49 Sur-Norte;S2TN - Tramo 49;AVO;;;;;
1050;S2TN - Tramo 50;S2TN - Tramo 50 Sur-Norte;S2TN - Tramo 50;AVO;;;;;
1051;S2TN - Tramo 51;S2TN - Tramo 51 Sur-Norte;S2TN - Tramo 51;AVO;;;;;
1052;S2TN - Tramo 52;S2TN - Tramo 52 Sur-Norte;S2TN - Tramo 52;AVO;;;;;
1053;S2TN - Tramo 53;S2TN - Tramo 53 Sur-Norte;S2TN - Tramo 53;AVO;;;;;
1054;S2TN - Tramo 54;S2TN - Tramo 54 Sur-Norte;S2TN - Tramo 54;AVO;;;;;
1055;S2TN - Tramo 55;S2TN - Tramo 55 Sur-Norte;S2TN - Tramo 55;AVO;;;;;
1056;S2TN - Tramo 56;S2TN - Tramo 56 Sur-Norte;S2TN - Tramo 56;AVO;;;;;
1057;SVIP - Tramo 57;SVIP - Tramo 57 Sur-Norte;SVIP - Tramo 57;AVO;;;;;
1058;INKP - Tramo 58;INKP - Tramo 58 Sur-Norte;INKP - Tramo 58;AVO;;;;;
1059;INKP - Tramo 59;INKP - Tramo 59 Sur-Norte;INKP - Tramo 59;AVO;;;;;
1060;INKO - Tramo 60;INKO - Tramo 60 Sur-Norte;INKO - Tramo 60;AVO;;;;;
1061;SNKO - Tramo 61;SNKO - Tramo 61 Sur-Norte;SNKO - Tramo 61;AVO;;;;;
1062;SNKO - Tramo 62;SNKO - Tramo 62 Sur-Norte;SNKO - Tramo 62;AVO;;;;;
1063;SNKO - Tramo 63;SNKO - Tramo 63 Sur-Norte;SNKO - Tramo 63;AVO;;;;;
1064;SNKO - Tramo 64;SNKO - Tramo 64 Sur-Norte;SNKO - Tramo 64;AVO;;;;;
1065;SNKP - Tramo 65;SNKP - Tramo 65 Sur-Norte;SNKP - Tramo 65;AVO;;;;;
1066;IPRO - Tramo 66;IPRO - Tramo 66 Sur-Norte;IPRO - Tramo 66;AVO;;;;;
1067;SAPR - Tramo 67;SAPR - Tramo 67 Sur-Norte;SAPR - Tramo 67;AVO;;;;;
1068;SMPS - Tramo 68;SMPS - Tramo 68 Sur-Norte;SMPS - Tramo 68;AVO;;;;;
1069;SMPN - Tramo 69;SMPN - Tramo 69 Sur-Norte;SMPN - Tramo 69;AVO;;;;;
1070;SMPN - Tramo 70;SMPN - Tramo 70 Sur-Norte;SMPN - Tramo 70;AVO;;;;;
1071;ICCO - Tramo 71;ICCO - Tramo 71 Sur-Norte;ICCO - Tramo 71;AVO;;;;;
1072;ICCO - Tramo 72;ICCO - Tramo 72 Sur-Norte;ICCO - Tramo 72;AVO;;;;;
1073;IBTO - Tramo 73;IBTO - Tramo 73 Sur-Norte;IBTO - Tramo 73;AVO;;;;;
1074;IBTO - Tramo 74;IBTO - Tramo 74 Sur-Norte;IBTO - Tramo 74;AVO;;;;;
