item;element_subtype;alias;sessionuid;road;stretchs;secc;pk;sentido;param1_direction;param2_order;param3_mask_validation;param4_delay;param1004_rtms_zone_id
26;1;DET02-ASDJS11P;DET02-ASDJS11P;D4;D4_6:Ivanka západ-Ivanka sever;;24+304;P;true;2;0;3;
27;1;DET03-ASDJS12P;DET03-ASDJS12P;D4;D4_6:Ivanka západ-Ivanka sever;;24+304;P;true;3;0;3;
28;1;DET04-ASDJS12P;DET04-ASDJS12P;D4;D4_6:Ivanka západ-Ivanka sever;;24+304;P;true;4;0;3;
29;1;DET01-ASDJS13L;DET01-ASDJS13L;D4;D4_6:Ivanka západ-Ivanka sever;;24+304;L;true;1;0;3;
30;1;DET02-ASDJS13L;DET02-ASDJS13L;D4;D4_6:Ivanka západ-Ivanka sever;;24+304;L;true;2;0;3;
31;1;DET03-ASDJS13L;DET03-ASDJS13L;D4;D4_6:Ivanka západ-Ivanka sever;;24+304;L;true;3;0;3;
32;1;DET04-ASDJS14L;DET04-ASDJS14L;D4;D4_6:Ivanka západ-Ivanka sever;;24+304;L;true;4;0;3;
33;1;DET05-ASDJS14L;DET05-ASDJS14L;D4;D4_6:Ivanka západ-Ivanka sever;;24+304;L;true;5;0;3;
34;1;DET01-ASDJS01P;DET01-ASDJS01P;D4;D4_1:Jarovce-Rusovce;;3+534;P;true;1;0;3;
35;1;DET02-ASDJS01P;DET02-ASDJS01P;D4;D4_1:Jarovce-Rusovce;;3+534;P;true;2;0;3;
36;1;DET03-ASDJS02L;DET03-ASDJS02L;D4;D4_1:Jarovce-Rusovce;;3+534;L;true;3;0;3;
37;1;DET04-ASDJS02L;DET04-ASDJS02L;D4;D4_1:Jarovce-Rusovce;;3+534;L;true;4;0;3;
38;1;DET01-ASDJS03P;DET01-ASDJS03P;D4;D4_2:Rusovce-Ketelec;;7+788;P;true;1;0;3;
39;1;DET02-ASDJS03P;DET02-ASDJS03P;D4;D4_2:Rusovce-Ketelec;;7+788;P;true;2;0;3;
40;1;DET03-ASDJS04L;DET03-ASDJS04L;D4;D4_2:Rusovce-Ketelec;;7+788;L;true;3;0;3;
41;1;DET04-ASDJS04L;DET04-ASDJS04L;D4;D4_2:Rusovce-Ketelec;;7+788;L;true;4;0;3;
42;1;DET01-ASDSR01P;DET01-ASDSR01P;D4;D4_7:Ivanka sever-Cierna voda;;25+728;P;true;1;0;3;
43;1;DET02-ASDSR01P;DET02-ASDSR01P;D4;D4_7:Ivanka sever-Cierna voda;;25+728;P;true;2;0;3;
44;1;DET03-ASDSR01P;DET03-ASDSR01P;D4;D4_7:Ivanka sever-Cierna voda;;25+728;P;true;3;0;3;
45;1;DET04-ASDSR02L;DET04-ASDSR02L;D4;D4_7:Ivanka sever-Cierna voda;;25+728;L;true;4;0;3;
46;1;DET05-ASDSR02L;DET05-ASDSR02L;D4;D4_7:Ivanka sever-Cierna voda;;25+728;L;true;5;0;3;
47;1;DET06-ASDSR02L;DET06-ASDSR02L;D4;D4_7:Ivanka sever-Cierna voda;;25+728;L;true;6;0;3;
48;1;DET01-ASDSR03P;DET01-ASDSR03P;D4;D4_8:Cierna voda-Raca;;28+013;P;true;1;0;3;
49;1;DET02-ASDSR03P;DET02-ASDSR03P;D4;D4_8:Cierna voda-Raca;;28+013;P;true;2;0;3;
50;1;DET03-ASDSR04L;DET03-ASDSR04L;D4;D4_8:Cierna voda-Raca;;28+013;L;true;3;0;3;
51;1;DET04-ASDSR04L;DET04-ASDSR04L;D4;D4_8:Cierna voda-Raca;;28+013;L;true;4;0;3;
52;1;DET01-ASDPK01P;DET01-ASDPK01P;R7;R7_1:Prievoz-Ketelec;;1+000;P;true;1;0;3;
53;1;DET02-ASDPK01P;DET02-ASDPK01P;R7;R7_1:Prievoz-Ketelec;;1+000;P;true;2;0;3;
54;1;DET03-ASDPK01P;DET03-ASDPK01P;R7;R7_1:Prievoz-Ketelec;;1+000;P;true;3;0;3;
55;1;DET04-ASDPK01L;DET04-ASDPK01L;R7;R7_1:Prievoz-Ketelec;;1+000;L;true;4;0;3;
56;1;DET05-ASDPK01L;DET05-ASDPK01L;R7;R7_1:Prievoz-Ketelec;;1+000;L;true;5;0;3;
57;1;DET01-ASDPK02P;DET01-ASDPK02P;R7;R7_1:Prievoz-Ketelec;;3+715;P;true;1;0;3;
58;1;DET02-ASDPK02P;DET02-ASDPK02P;R7;R7_1:Prievoz-Ketelec;;3+715;P;true;2;0;3;
59;1;DET03-ASDPK02P;DET03-ASDPK02P;R7;R7_1:Prievoz-Ketelec;;3+715;P;true;3;0;3;
60;1;DET04-ASDPK02L;DET04-ASDPK02L;R7;R7_1:Prievoz-Ketelec;;3+715;L;true;4;0;3;
61;1;DET05-ASDPK02L;DET05-ASDPK02L;R7;R7_1:Prievoz-Ketelec;;3+715;L;true;5;0;3;
62;1;DET06-ASDPK02L;DET06-ASDPK02L;R7;R7_1:Prievoz-Ketelec;;3+715;L;true;6;0;3;
63;2;DET05-ADPJS23L;DET05-ADPJS23L;D4;D4_3:Ketelec-Rovinca;;9+272;L;true;5;0;0;
64;2;DET06-ADPJS23L;DET06-ADPJS23L;D4;D4_3:Ketelec-Rovinca;;9+272;L;true;6;0;0;
65;2;DET01-ADPJS22P;DET01-ADPJS22P;D4;D4_3:Ketelec-Rovinca;;9+272;P;true;1;0;0;
66;2;DET02-ADPJS22P;DET02-ADPJS22P;D4;D4_3:Ketelec-Rovinca;;9+272;P;true;2;0;0;
67;2;DET03-ADPJS22P;DET03-ADPJS22P;D4;D4_3:Ketelec-Rovinca;;9+272;P;true;3;0;0;
68;2;DET04-ADPJS22P;DET04-ADPJS22P;D4;D4_3:Ketelec-Rovinca;;9+272;P;true;4;0;0;
69;2;DET01-ADPJS24P;DET01-ADPJS24P;D4;D4_3:Ketelec-Rovinca;;9+982;P;true;1;0;0;
70;2;DET02-ADPJS24P;DET02-ADPJS24P;D4;D4_3:Ketelec-Rovinca;;9+982;P;true;2;0;0;
71;2;DET01-ADPJS25L;DET01-ADPJS25L;D4;D4_3:Ketelec-Rovinca;;10+328;L;true;1;0;0;
72;2;DET02-ADPJS25L;DET02-ADPJS25L;D4;D4_3:Ketelec-Rovinca;;10+328;L;true;2;0;0;
73;2;DET03-ADPJS25L;DET03-ADPJS25L;D4;D4_3:Ketelec-Rovinca;;10+328;L;true;3;0;0;
74;2;DET01-ADPJS26P;DET01-ADPJS26P;D4;D4_3:Ketelec-Rovinca;;10+901;P;true;1;0;0;
75;2;DET02-ADPJS26P;DET02-ADPJS26P;D4;D4_3:Ketelec-Rovinca;;10+901;P;true;2;0;0;
76;2;DET01-ADPJS27L;DET01-ADPJS27L;D4;D4_3:Ketelec-Rovinca;;11+101;L;true;1;0;0;
77;2;DET02-ADPJS27L;DET02-ADPJS27L;D4;D4_3:Ketelec-Rovinca;;11+101;L;true;2;0;0;
78;2;DET01-ADPJS28P;DET01-ADPJS28P;D4;D4_3:Ketelec-Rovinca;;11+892;P;true;1;0;0;
79;2;DET02-ADPJS28P;DET02-ADPJS28P;D4;D4_3:Ketelec-Rovinca;;11+892;P;true;2;0;0;
80;2;DET01-ADPJS29L;DET01-ADPJS29L;D4;D4_3:Ketelec-Rovinca;;12+095;L;true;1;0;0;
81;2;DET02-ADPJS29L;DET02-ADPJS29L;D4;D4_3:Ketelec-Rovinca;;12+095;L;true;2;0;0;
82;2;DET05-ADPJS31L;DET05-ADPJS31L;D4;D4_3:Ketelec-Rovinca;;12+736;L;true;5;0;0;
83;2;DET06-ADPJS31L;DET06-ADPJS31L;D4;D4_3:Ketelec-Rovinca;;12+736;L;true;6;0;0;
84;2;DET07-ADPJS31L;DET07-ADPJS31L;D4;D4_3:Ketelec-Rovinca;;12+736;L;true;7;0;0;
85;2;DET08-ADPJS31L;DET08-ADPJS31L;D4;D4_3:Ketelec-Rovinca;;12+736;L;true;8;0;0;
86;2;DET01-ADPJS30P;DET01-ADPJS30P;D4;D4_3:Ketelec-Rovinca;;12+736;P;true;1;0;0;
87;2;DET02-ADPJS30P;DET02-ADPJS30P;D4;D4_3:Ketelec-Rovinca;;12+736;P;true;2;0;0;
88;2;DET03-ADPJS30P;DET03-ADPJS30P;D4;D4_3:Ketelec-Rovinca;;12+736;P;true;3;0;0;
89;2;DET04-ADPJS30P;DET04-ADPJS30P;D4;D4_3:Ketelec-Rovinca;;12+736;P;true;4;0;0;
90;2;DET05-ADPJS32L;DET05-ADPJS32L;D4;D4_4:Rovinka-Pod.Biskupice;;13+316;L;true;5;0;0;
91;2;DET06-ADPJS32L;DET06-ADPJS32L;D4;D4_4:Rovinka-Pod.Biskupice;;13+316;L;true;6;0;0;
92;2;DET07-ADPJS34L;DET07-ADPJS34L;D4;D4_4:Rovinka-Pod.Biskupice;;13+316;L;true;7;0;0;
93;2;DET08-ADPJS34L;DET08-ADPJS34L;D4;D4_4:Rovinka-Pod.Biskupice;;13+316;L;true;8;0;0;
94;2;DET01-ADPJS33P;DET01-ADPJS33P;D4;D4_4:Rovinka-Pod.Biskupice;;13+316;P;true;1;0;0;
95;2;DET02-ADPJS33P;DET02-ADPJS33P;D4;D4_4:Rovinka-Pod.Biskupice;;13+316;P;true;2;0;0;
96;2;DET03-ADPJS33P;DET03-ADPJS33P;D4;D4_4:Rovinka-Pod.Biskupice;;13+316;P;true;3;0;0;
97;2;DET04-ADPJS33P;DET04-ADPJS33P;D4;D4_4:Rovinka-Pod.Biskupice;;13+316;P;true;4;0;0;
98;2;DET01-ADPJS35P;DET01-ADPJS35P;D4;D4_4:Rovinka-Pod.Biskupice;;14+062;P;true;1;0;0;
99;2;DET02-ADPJS35P;DET02-ADPJS35P;D4;D4_4:Rovinka-Pod.Biskupice;;14+062;P;true;2;0;0;
100;2;DET01-ADPJS36L;DET01-ADPJS36L;D4;D4_4:Rovinka-Pod.Biskupice;;14+498;L;true;1;0;0;
101;2;DET02-ADPJS36L;DET02-ADPJS36L;D4;D4_4:Rovinka-Pod.Biskupice;;14+498;L;true;2;0;0;
102;2;DET01-ADPJS37P;DET01-ADPJS37P;D4;D4_4:Rovinka-Pod.Biskupice;;15+274;P;true;1;0;0;
103;2;DET02-ADPJS37P;DET02-ADPJS37P;D4;D4_4:Rovinka-Pod.Biskupice;;15+274;P;true;2;0;0;
104;2;DET01-ADPJS38L;DET01-ADPJS38L;D4;D4_4:Rovinka-Pod.Biskupice;;15+698;L;true;1;0;0;
105;2;DET02-ADPJS38L;DET02-ADPJS38L;D4;D4_4:Rovinka-Pod.Biskupice;;15+698;L;true;2;0;0;
106;2;DET05-ADPJS39L;DET05-ADPJS39L;D4;D4_4:Rovinka-Pod.Biskupice;;16+363;L;true;5;0;0;
107;2;DET06-ADPJS39L;DET06-ADPJS39L;D4;D4_4:Rovinka-Pod.Biskupice;;16+363;L;true;6;0;0;
108;2;DET07-ADPJS39L;DET07-ADPJS39L;D4;D4_4:Rovinka-Pod.Biskupice;;16+363;L;true;7;0;0;
109;2;DET08-ADPJS39L;DET08-ADPJS39L;D4;D4_4:Rovinka-Pod.Biskupice;;16+363;L;true;8;0;0;
110;2;DET01-ADPJS40P;DET01-ADPJS40P;D4;D4_4:Rovinka-Pod.Biskupice;;16+363;P;true;1;0;0;
111;2;DET02-ADPJS40P;DET02-ADPJS40P;D4;D4_4:Rovinka-Pod.Biskupice;;16+363;P;true;2;0;0;
112;2;DET03-ADPJS40P;DET03-ADPJS40P;D4;D4_4:Rovinka-Pod.Biskupice;;16+363;P;true;3;0;0;
113;2;DET04-ADPJS40P;DET04-ADPJS40P;D4;D4_4:Rovinka-Pod.Biskupice;;16+363;P;true;4;0;0;
114;2;DET05-ADPJS42L;DET05-ADPJS42L;D4;D4_5:Pod.Biskupice-Ivanka západ;;16+960;L;true;5;0;0;
115;2;DET06-ADPJS42L;DET06-ADPJS42L;D4;D4_5:Pod.Biskupice-Ivanka západ;;16+960;L;true;6;0;0;
116;2;DET07-ADPJS42L;DET07-ADPJS42L;D4;D4_5:Pod.Biskupice-Ivanka západ;;16+960;L;true;7;0;0;
117;2;DET08-ADPJS42L;DET08-ADPJS42L;D4;D4_5:Pod.Biskupice-Ivanka západ;;16+960;L;true;8;0;0;
118;2;DET01-ADPJS41P;DET01-ADPJS41P;D4;D4_5:Pod.Biskupice-Ivanka západ;;16+960;P;true;1;0;0;
119;2;DET02-ADPJS41P;DET02-ADPJS41P;D4;D4_5:Pod.Biskupice-Ivanka západ;;16+960;P;true;2;0;0;
120;2;DET03-ADPJS41P;DET03-ADPJS41P;D4;D4_5:Pod.Biskupice-Ivanka západ;;16+960;P;true;3;0;0;
121;2;DET04-ADPJS41P;DET04-ADPJS41P;D4;D4_5:Pod.Biskupice-Ivanka západ;;16+960;P;true;4;0;0;
122;2;DET01-ADPJS43P;DET01-ADPJS43P;D4;D4_5:Pod.Biskupice-Ivanka západ;;17+520;P;true;1;0;0;
123;2;DET02-ADPJS43P;DET02-ADPJS43P;D4;D4_5:Pod.Biskupice-Ivanka západ;;17+520;P;true;2;0;0;
124;2;DET01-ADPJS44L;DET01-ADPJS44L;D4;D4_5:Pod.Biskupice-Ivanka západ;;18+040;L;true;1;0;0;
125;2;DET02-ADPJS44L;DET02-ADPJS44L;D4;D4_5:Pod.Biskupice-Ivanka západ;;18+040;L;true;2;0;0;
126;2;DET01-ADPJS45P;DET01-ADPJS45P;D4;D4_5:Pod.Biskupice-Ivanka západ;;19+015;P;true;1;0;0;
127;2;DET02-ADPJS45P;DET02-ADPJS45P;D4;D4_5:Pod.Biskupice-Ivanka západ;;19+015;P;true;2;0;0;
128;2;DET01-ADPJS46L;DET01-ADPJS46L;D4;D4_5:Pod.Biskupice-Ivanka západ;;19+565;L;true;1;0;0;
129;2;DET02-ADPJS46L;DET02-ADPJS46L;D4;D4_5:Pod.Biskupice-Ivanka západ;;19+565;L;true;2;0;0;
130;2;DET01-ADPJS47P;DET01-ADPJS47P;D4;D4_5:Pod.Biskupice-Ivanka západ;;20+451;P;true;1;0;0;
131;2;DET02-ADPJS47P;DET02-ADPJS47P;D4;D4_5:Pod.Biskupice-Ivanka západ;;20+451;P;true;2;0;0;
132;2;DET01-ADPJS48L;DET01-ADPJS48L;D4;D4_5:Pod.Biskupice-Ivanka západ;;21+090;L;true;1;0;0;
133;2;DET02-ADPJS48L;DET02-ADPJS48L;D4;D4_5:Pod.Biskupice-Ivanka západ;;21+090;L;true;2;0;0;
134;2;DET01-ADPJS49P;DET01-ADPJS49P;D4;D4_5:Pod.Biskupice-Ivanka západ;;21+608;P;true;1;0;0;
135;2;DET02-ADPJS49P;DET02-ADPJS49P;D4;D4_5:Pod.Biskupice-Ivanka západ;;21+608;P;true;2;0;0;
136;2;DET01-ADPJS50P;DET01-ADPJS50P;D4;D4_5:Pod.Biskupice-Ivanka západ;;21+914;P;true;1;0;0;
137;2;DET02-ADPJS50P;DET02-ADPJS50P;D4;D4_5:Pod.Biskupice-Ivanka západ;;21+914;P;true;2;0;0;
138;2;DET01-ADPJS51L;DET01-ADPJS51L;D4;D4_5:Pod.Biskupice-Ivanka západ;;22+607;L;true;1;0;0;
139;2;DET02-ADPJS51L;DET02-ADPJS51L;D4;D4_5:Pod.Biskupice-Ivanka západ;;22+607;L;true;2;0;0;
140;2;DET03-ADPJS51L;DET03-ADPJS51L;D4;D4_5:Pod.Biskupice-Ivanka západ;;22+607;L;true;3;0;0;
141;2;DET01-ADPJS52P;DET01-ADPJS52P;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+018;P;true;1;0;0;
142;2;DET02-ADPJS52P;DET02-ADPJS52P;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+018;P;true;2;0;0;
143;2;DET05-ADPJS54L;DET05-ADPJS54L;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+406;L;true;5;0;0;
144;2;DET06-ADPJS54L;DET06-ADPJS54L;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+406;L;true;6;0;0;
145;2;DET07-ADPJS54L;DET07-ADPJS54L;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+406;L;true;7;0;0;
146;2;DET08-ADPJS54L;DET08-ADPJS54L;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+406;L;true;8;0;0;
147;2;DET01-ADPJS53P;DET01-ADPJS53P;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+406;P;true;1;0;0;
148;2;DET02-ADPJS53P;DET02-ADPJS53P;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+406;P;true;2;0;0;
149;2;DET03-ADPJS53P;DET03-ADPJS53P;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+406;P;true;3;0;0;
150;2;DET04-ADPJS53P;DET04-ADPJS53P;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+406;P;true;4;0;0;
151;2;DET01-ADPJS55L;DET01-ADPJS55L;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+598;L;true;1;0;0;
152;2;DET02-ADPJS55L;DET02-ADPJS55L;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+598;L;true;2;0;0;
153;2;DET03-ADPJS55L;DET03-ADPJS55L;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+598;L;true;3;0;0;
154;2;DET04-ADPJS55L;DET04-ADPJS55L;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+598;L;true;4;0;0;
155;2;DET05-ADPJS55L;DET05-ADPJS55L;D4;D4_5:Pod.Biskupice-Ivanka západ;;23+598;L;true;5;0;0;
156;2;DET05-ADPJS58L;DET05-ADPJS58L;D4;D4_6:Ivanka západ-Ivanka sever;;24+270;L;true;5;0;0;
157;2;DET06-ADPJS58L;DET06-ADPJS58L;D4;D4_6:Ivanka západ-Ivanka sever;;24+270;L;true;6;0;0;
158;2;DET07-ADPJS58L;DET07-ADPJS58L;D4;D4_6:Ivanka západ-Ivanka sever;;24+270;L;true;7;0;0;
159;2;DET01-ADPJS57P;DET01-ADPJS57P;D4;D4_6:Ivanka západ-Ivanka sever;;24+270;P;true;1;0;0;
160;2;DET02-ADPJS57P;DET02-ADPJS57P;D4;D4_6:Ivanka západ-Ivanka sever;;24+270;P;true;2;0;0;
161;2;DET03-ADPJS57P;DET03-ADPJS57P;D4;D4_6:Ivanka západ-Ivanka sever;;24+270;P;true;3;0;0;
162;2;DET04-ADPJS57P;DET04-ADPJS57P;D4;D4_6:Ivanka západ-Ivanka sever;;24+270;P;true;4;0;0;
163;2;DET01-ADPJS59L;DET01-ADPJS59L;D4;D4_5:Pod.Biskupice-Ivanka západ;;24+614;L;true;1;0;0;
164;2;DET02-ADPJS59L;DET02-ADPJS59L;D4;D4_5:Pod.Biskupice-Ivanka západ;;24+614;L;true;2;0;0;
165;2;DET03-ADPJS59L;DET03-ADPJS59L;D4;D4_5:Pod.Biskupice-Ivanka západ;;24+614;L;true;3;0;0;
175;2;DET01-ADPKD01L;DET01-ADPKD01L;R7;R7_2:Ketelec-Dunajská Lužná;;6+347;L;true;1;0;0;
176;2;DET02-ADPKD01L;DET02-ADPKD01L;R7;R7_2:Ketelec-Dunajská Lužná;;6+347;L;true;2;0;0;
177;2;DET03-ADPKD01L;DET03-ADPKD01L;R7;R7_2:Ketelec-Dunajská Lužná;;6+347;L;true;3;0;0;
178;2;DET01-ADPKD02L;DET01-ADPKD02L;R7;R7_2:Ketelec-Dunajská Lužná;;7+217;L;true;1;0;0;
179;2;DET02-ADPKD02L;DET02-ADPKD02L;R7;R7_2:Ketelec-Dunajská Lužná;;7+217;L;true;2;0;0;
180;2;DET03-ADPKD02L;DET03-ADPKD02L;R7;R7_2:Ketelec-Dunajská Lužná;;7+217;L;true;3;0;0;
181;2;DET01-ADPKD03L;DET01-ADPKD03L;R7;R7_2:Ketelec-Dunajská Lužná;;8+767;L;true;1;0;0;
182;2;DET02-ADPKD03L;DET02-ADPKD03L;R7;R7_2:Ketelec-Dunajská Lužná;;8+767;L;true;2;0;0;
183;2;DET01-ADPKD04L;DET01-ADPKD04L;R7;R7_2:Ketelec-Dunajská Lužná;;10+557;L;true;1;0;0;
184;2;DET02-ADPKD04L;DET02-ADPKD04L;R7;R7_2:Ketelec-Dunajská Lužná;;10+557;L;true;2;0;0;
185;2;DET01-ADPKD05L;DET01-ADPKD05L;R7;R7_2:Ketelec-Dunajská Lužná;;12+359;L;true;1;0;0;
186;2;DET02-ADPKD05L;DET02-ADPKD05L;R7;R7_2:Ketelec-Dunajská Lužná;;12+359;L;true;2;0;0;
187;2;DET01-ADPKD06L;DET01-ADPKD06L;R7;R7_2:Ketelec-Dunajská Lužná;;14+157;L;true;1;0;0;
188;2;DET02-ADPKD06L;DET02-ADPKD06L;R7;R7_2:Ketelec-Dunajská Lužná;;14+157;L;true;2;0;0;
189;2;DET01-ADPJS56L;DET01-ADPJS56L;D4;D4_6:Ivanka západ-Ivanka sever;;23+849;P;true;1;0;0;
190;2;DET02-ADPJS56L;DET02-ADPJS56L;D4;D4_6:Ivanka západ-Ivanka sever;;23+849;P;true;2;0;0;
191;2;DET03-ADPJS56L;DET03-ADPJS56L;D4;D4_6:Ivanka západ-Ivanka sever;;23+849;P;true;3;0;0;
192;2;DET01-ADPJS03P;DET01-ADPJS03P;D4;D4_1:Jarovce-Rusovce;;1+896;P;true;1;0;0;
193;2;DET02-ADPJS03P;DET02-ADPJS03P;D4;D4_1:Jarovce-Rusovce;;1+896;P;true;2;0;0;
194;2;DET03-ADPJS03P;DET03-ADPJS03P;D4;D4_1:Jarovce-Rusovce;;1+896;P;true;3;0;0;
195;2;DET01-ADPJS04L;DET01-ADPJS04L;D4;D4_1:Jarovce-Rusovce;;1+965;L;true;1;0;0;
196;2;DET02-ADPJS04L;DET02-ADPJS04L;D4;D4_1:Jarovce-Rusovce;;1+965;L;true;2;0;0;
197;2;DET03-ADPJS04L;DET03-ADPJS04L;D4;D4_1:Jarovce-Rusovce;;1+965;L;true;3;0;0;
198;2;DET01-ADPJS05P;DET01-ADPJS05P;D4;D4_1:Jarovce-Rusovce;;2+314;P;true;1;0;0;
199;2;DET02-ADPJS05P;DET02-ADPJS05P;D4;D4_1:Jarovce-Rusovce;;2+314;P;true;2;0;0;
200;2;DET03-ADPJS05P;DET03-ADPJS05P;D4;D4_1:Jarovce-Rusovce;;2+314;P;true;3;0;0;
201;2;DET01-ADPJS06L;DET01-ADPJS06L;D4;D4_1:Jarovce-Rusovce;;2+441;L;true;1;0;0;
202;2;DET02-ADPJS06L;DET02-ADPJS06L;D4;D4_1:Jarovce-Rusovce;;2+441;L;true;2;0;0;
203;2;DET01-ADPJS07L;DET01-ADPJS07L;D4;D4_1:Jarovce-Rusovce;;0+756;L;true;1;0;0;
204;2;DET02-ADPJS07L;DET02-ADPJS07L;D4;D4_1:Jarovce-Rusovce;;0+756;L;true;2;0;0;
205;2;DET01-ADPJS08P;DET01-ADPJS08P;D4;D4_1:Jarovce-Rusovce;;2+946;P;true;1;0;0;
206;2;DET02-ADPJS08P;DET02-ADPJS08P;D4;D4_1:Jarovce-Rusovce;;2+946;P;true;2;0;0;
207;2;DET01-ADPJS09L;DET01-ADPJS09L;D4;D4_1:Jarovce-Rusovce;;1+615;L;true;1;0;0;
208;2;DET02-ADPJS09L;DET02-ADPJS09L;D4;D4_1:Jarovce-Rusovce;;1+615;L;true;2;0;0;
209;2;DET01-ADPJS10P;DET01-ADPJS10P;D4;D4_1:Jarovce-Rusovce;;3+803;P;true;1;0;0;
210;2;DET02-ADPJS10P;DET02-ADPJS10P;D4;D4_1:Jarovce-Rusovce;;3+803;P;true;2;0;0;
211;2;DET03-ADPJS10P;DET03-ADPJS10P;D4;D4_1:Jarovce-Rusovce;;3+803;P;true;3;0;0;
212;2;DET01-ADPJS11L;DET01-ADPJS11L;D4;D4_1:Jarovce-Rusovce;;4+289;L;true;1;0;0;
213;2;DET02-ADPJS11L;DET02-ADPJS11L;D4;D4_1:Jarovce-Rusovce;;4+289;L;true;2;0;0;
214;2;DET01-ADPJS17L;DET01-ADPJS17L;D4;D4_2:Rusovce-Ketelec;;7+894;L;true;1;0;0;
215;2;DET02-ADPJS17L;DET02-ADPJS17L;D4;D4_2:Rusovce-Ketelec;;7+894;L;true;2;0;0;
216;2;DET03-ADPJS17L;DET03-ADPJS17L;D4;D4_2:Rusovce-Ketelec;;7+894;L;true;3;0;0;
