device_name;session_uid;id_zone;controller_name;url_publisher
CH-MEG-3MA;CH-MEG-3MA;37;CH-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CH-MEG-4MA;CH-MEG-4MA;38;CH-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CH-MEG-1CA;CH-MEG-1CA;35;CH-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CH-MEG-2CA;CH-MEG-2CA;36;CH-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CH-MEG-3CA;CH-MEG-3CA;33;CH-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CH-MEG-4CA;CH-MEG-4CA;34;CH-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CH-RADIO;CH-RADIO;70;CH-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-MEG-1MA;STM2-MEG-1MA;41;STM2-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-MEG-2MA;STM2-MEG-2MA;42;STM2-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-MEG-3MA;STM2-MEG-3MA;43;STM2-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-MEG-1CA;STM2-MEG-1CA;44;STM2-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-MEG-2CA;STM2-MEG-2CA;45;STM2-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-MEG-3CA;STM2-MEG-3CA;46;STM2-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-RADIO;STM2-RADIO;47;STM2-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
EST-MEG-1MA;EST-MEG-1MA;59;EST-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
EST-MEG-2MA;EST-MEG-2MA;60;EST-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
EST-MEG-1CA;EST-MEG-1CA;61;EST-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
EST-MEG-2CA;EST-MEG-2CA;62;EST-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
EST-RADIO;EST-RADIO;75;EST-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-MEG-1MA;NG-MEG-1MA;21;NG-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-MEG-2MA;NG-MEG-2MA;22;NG-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-MEG-3MA;NG-MEG-3MA;23;NG-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-MEG-4MA;NG-MEG-4MA;24;NG-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-MEG-1CA;NG-MEG-1CA;25;NG-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-MEG-2CA;NG-MEG-2CA;26;NG-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-MEG-3CA;NG-MEG-3CA;27;NG-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-MEG-4CA;NG-MEG-4CA;28;NG-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-RADIO;NG-RADIO;77;NG-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-MEG-1MA ;CAS-MEG-1MA ;79;CAS-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-MEG-2MA;CAS-MEG-2MA;80;CAS-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-MEG-3MA;CAS-MEG-3MA;81;CAS-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-MEG-4MA;CAS-MEG-4MA;82;CAS-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-MEG-1CA;CAS-MEG-1CA;83;CAS-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-MEG-2CA;CAS-MEG-2CA;84;CAS-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-MEG-3CA;CAS-MEG-3CA;85;CAS-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-MEG-4CA;CAS-MEG-4CA;86;CAS-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-RADIO;CAS-RADIO;87;CAS-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
