device_name;session_uid;PLC_name;host;port(i);url_publisher;read_permission;write_permission;offset_bar_state(i);offset_bar_cmd(i);offset_alarm_fail(i);offset_bar_cmd_reset(i);PLC_name_reset;host_reset;port_reset(i)
LQ-BAR-2MA;LQ-BAR-2MA;LQ-PLC-1MA;192.168.14.42;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;259;12289;261;12289;LQ-PLC-1MA;192.168.14.42;502
CH-BAR-1CA;CH-BAR-1CA;CH-PLCE-1MA ;192.168.9.23;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;258;12288;260;12288;CH-PLCE-1MA ;192.168.9.23;502
CH-BAR-2CA;CH-BAR-2CA;CH-PLCE-1MA ;192.168.9.23;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;259;12289;261;12289;CH-PLCE-1MA ;192.168.9.23;502
CH-BAR-1MA;CH-BAR-1MA;CH-PLCE-1CA;192.168.9.39;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;258;12288;260;12288;CH-PLCE-1CA;192.168.9.39;502
CH-BAR-2MA;CH-BAR-2MA;CH-PLCE-1CA;192.168.9.39;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;259;12289;261;12289;CH-PLCE-1CA;192.168.9.39;502
CAS-BAR-1CA;CAS-BAR-1CA;CAS-PLCL-BM;192.168.5.186;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;258;12288;260;12288;CAS-PLCL-BM;192.168.5.186;502
CAS-BAR-2CA;CAS-BAR-2CA;CAS-PLCL-BM;192.168.5.186;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;259;12289;261;12289;CAS-PLCL-BM;192.168.5.186;502
CAS-BAR-1MA;CAS-BAR-1MA;CAS-PLCL-BC;192.168.5.130;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;258;12288;260;12288;CAS-PLCL-BC;192.168.5.130;502
CAS-BAR-2MA;CAS-BAR-2MA;CAS-PLCL-BC;192.168.5.130;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;259;12289;261;12289;CAS-PLCL-BC;192.168.5.130;502
COR-BAR-1CA;COR-BAR-1CA;COR-PLCL-BM;192.168.15.56;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;258;12288;260;12288;COR-PLCL-BM;192.168.15.56;502
COR-BAR-2CA;COR-BAR-2CA;COR-PLCL-BM;192.168.15.56;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;259;12289;261;12289;COR-PLCL-BM;192.168.15.56;502
COR-BAR-1MA;COR-BAR-1MA;COR-PLCL-BC;192.168.15.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;258;12288;260;12288;COR-PLCL-BC;192.168.15.10;502
COR-BAR-2MA;COR-BAR-2MA;COR-PLCL-BC;192.168.15.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;259;12289;261;12289;COR-PLCL-BC;192.168.15.10;502
EST-BAR-1CA;EST-BAR-1CA;EST-PLC-1;192.168.16.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;258;12288;260;12288;EST-PLC-1;192.168.16.10;502
EST-BAR-2CA;EST-BAR-2CA;EST-PLC-1;192.168.16.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;259;12289;261;12289;EST-PLC-1;192.168.16.10;502
EST-BAR-1MA;EST-BAR-1MA;EST-PLCE-BC;192.168.16.30;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;258;12288;260;12290;EST-PLC-1;192.168.16.10;502
EST-BAR-2MA;EST-BAR-2MA;EST-PLCE-BC;192.168.16.30;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;259;12289;261;12290;EST-PLC-1;192.168.16.10;502
STM2-BAR-1CA;STM2-BAR-1CA;STM2-PLCL-BM;192.168.10.46;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;258;12288;260;12288;STM2-PLCL-BM;192.168.10.46;502
STM2-BAR-2CA;STM2-BAR-2CA;STM2-PLCL-BM;192.168.10.46;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;259;12289;261;12289;STM2-PLCL-BM;192.168.10.46;502
STM2-BAR-1MA;STM2-BAR-1MA;STM2-PLCL-BC;192.168.10.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;258;12288;260;12288;STM2-PLCL-BC;192.168.10.10;502
STM2-BAR-2MA;STM2-BAR-2MA;STM2-PLCL-BC;192.168.10.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;259;12289;261;12289;STM2-PLCL-BC;192.168.10.10;502
NG-BAR-1CA;NG-BAR-1CA;NG-PLCL-BM;192.168.17.48;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;258;12288;260;12288;NG-PLCL-BM;192.168.17.48;502
NG-BAR-2CA;NG-BAR-2CA;NG-PLCL-BM;192.168.17.48;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;259;12289;261;12289;NG-PLCL-BM;192.168.17.48;502
NG-BAR-1MA;NG-BAR-1MA;NG-PLCL-BC;192.168.17.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;258;12288;260;12288;NG-PLCL-BC;192.168.17.10;502
NG-BAR-2MA;NG-BAR-2MA;NG-PLCL-BC;192.168.17.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;259;12289;261;12289;NG-PLCL-BC;192.168.17.10;502
