device_name;session_uid;url_publisher;read_permission;write_permission;endpoint
LQ-PLCG-CA;LQ-PLCG-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.14.40'
LQ-PLC-1CA;LQ-PLC-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.14.23'
LQ-PLC-1MA;LQ-PLC-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.14.42'
LQ-PLCSI-1MA;LQ-PLCSI-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.14.29'
LQ-PLCSI-2MA;LQ-PLCSI-2MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.14.32'
LQ-PLCSI-3MA;LQ-PLCSI-3MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.14.35'
LQ-PLCSI-4MA;LQ-PLCSI-4MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.14.38'
CAS-PLCL-BM;CAS-PLCL-BM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.5.186'
CAS-PLCL-BC;CAS-PLCL-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.5.130'
CAS-PLC-CGBT-BM;CAS-PLC-CGBT-BM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.5.187'
CAS-PLC-CGBT-BC;CAS-PLC-CGBT-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.5.131'
CAS-PLCSI-1CA;CAS-PLCSI-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.5.159'
CAS-PLCSI-2CA;CAS-PLCSI-2CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.5.164'
CAS-PLCSI-3CA;CAS-PLCSI-3CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.5.169'
CAS-PLCSI-4CA;CAS-PLCSI-4CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.5.174'
CAS-PLCSI-5CA;CAS-PLCSI-5CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.5.180'
CAS-PLCG1-CA;CAS-PLCG1-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.5.182'
