device_name;session_uid;detector_order;url_receiver;endpoint;url_publisher;url_put_command;receiver_name;ip_whitelist
LQ-TV-9CA;LQ-TV-9CA;8;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.75';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.14.18\/api\/v1\/incidents\/incidentscada\/';LQ-DAI;192.168.14.18
LQ-TV-10CA;LQ-TV-10CA;9;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.76';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.14.18\/api\/v1\/incidents\/incidentscada\/';LQ-DAI;192.168.14.18
LQ-TV-11CA;LQ-TV-11CA;10;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.77';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.14.18\/api\/v1\/incidents\/incidentscada\/';LQ-DAI;192.168.14.18
LQ-TV-1MA;LQ-TV-1MA;11;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.81';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.14.18\/api\/v1\/incidents\/incidentscada\/';LQ-DAI;192.168.14.18
LQ-TV-2MA;LQ-TV-2MA;12;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.82';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.14.18\/api\/v1\/incidents\/incidentscada\/';LQ-DAI;192.168.14.18
LQ-TV-3MA;LQ-TV-3MA;13;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.83';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.14.18\/api\/v1\/incidents\/incidentscada\/';LQ-DAI;192.168.14.18
LQ-TV-4MA;LQ-TV-4MA;14;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.84';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.14.18\/api\/v1\/incidents\/incidentscada\/';LQ-DAI;192.168.14.18
LQ-TV-5MA;LQ-TV-5MA;15;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.85';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.14.18\/api\/v1\/incidents\/incidentscada\/';LQ-DAI;192.168.14.18
LQ-TV-6MA;LQ-TV-6MA;16;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.86';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.14.18\/api\/v1\/incidents\/incidentscada\/';LQ-DAI;192.168.14.18
LQ-TV-7MA;LQ-TV-7MA;17;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.87';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.14.18\/api\/v1\/incidents\/incidentscada\/';LQ-DAI;192.168.14.18
LQ-TV-8MA;LQ-TV-8MA;18;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.88';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.14.18\/api\/v1\/incidents\/incidentscada\/';LQ-DAI;192.168.14.18
LQ-TV-9MA;LQ-TV-9MA;19;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.89';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.14.18\/api\/v1\/incidents\/incidentscada\/';LQ-DAI;192.168.14.18
