device_name;session_uid;url_publisher;read_permission;write_permission;host
CH-SWS-3CA;CH-SWS-3CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.9.54
CH-SWG-CA;CH-SWG-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.9.38
CH-SWE-BC;CH-SWE-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.9.40
CH-SWS-1MA;CH-SWS-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.9.30
CH-SWS-2MA;CH-SWS-2MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.9.33
CH-SWS-3MA;CH-SWS-3MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.9.36
CH-SWE-BM;CH-SWE-BM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.9.56
LQ-SWL;LQ-SWL;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.14.13
LQ-SWS-1CA;LQ-SWS-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.14.50
LQ-SWS-2CA;LQ-SWS-2CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.14.54
LQ-SWS-3CA;LQ-SWS-3CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.14.57
LQ-SWS-4CA;LQ-SWS-4CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.14.60
LQ-SWS-5CA;LQ-SWS-5CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.14.63
LQ-SWG-CA;LQ-SWG-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.14.41
LQ-SWE-CA;LQ-SWE-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.14.43
LQ-SWE-MA;LQ-SWE-MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.14.64
LQ-SWS-1MA;LQ-SWS-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.14.30
LQ-SWS-2MA;LQ-SWS-2MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.14.33
LQ-SWS-3MA;LQ-SWS-3MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.14.36
LQ-SWS-4MA;LQ-SWS-4MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.14.39
CAS-SWL-BM;CAS-SWL-BM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.5.189
CAS-SWL-BC;CAS-SWL-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.5.133
CAS-SWS-1CA;CAS-SWS-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.5.160
CAS-SWS-2CA;CAS-SWS-2CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.5.165
CAS-SWS-3CA;CAS-SWS-3CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.5.170
CAS-SWS-4CA;CAS-SWS-4CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.5.175
CAS-SWS-5CA;CAS-SWS-5CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.5.181
CAS-SWG1-CA;CAS-SWG1-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.5.183
CAS-SWG2-MA;CAS-SWG2-MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.5.185
CAS-SWS-1MA;CAS-SWS-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.5.203
CAS-SWS-2MA;CAS-SWS-2MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.5.208
CAS-SWS-3MA;CAS-SWS-3MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.5.214
CAS-SWS-4MA;CAS-SWS-4MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.5.218
CAS-SWS-5MA;CAS-SWS-5MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.5.224
STM2-SWL-BC;STM2-SWL-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.10.13
STM2-SWS-1CA;STM2-SWS-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.10.33
STM2-SWS-2CA;STM2-SWS-2CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.10.38
STM2-SWS-3CA;STM2-SWS-3CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.10.43
STM2-SWG-CA;STM2-SWG-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.10.45
STM2-SWL-BM;STM2-SWL-BM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.10.47
STM2-SWS-1MA;STM2-SWS-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.10.58
STM2-SWS-2MA;STM2-SWS-2MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.10.63
STM2-SWS-3MA;STM2-SWS-3MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.10.68
EST-SWL;EST-SWL;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.16.13
EST-SWS-1CA;EST-SWS-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.16.38
EST-SWS-1MA;EST-SWS-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.16.29
EST-SWE-BC;EST-SWE-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.16.31
NG-SWL-BC;NG-SWL-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.17.12
NG-SWS-1CA;NG-SWS-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.17.24
NG-SWS-2CA;NG-SWS-2CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.17.27
NG-SWS-3CA;NG-SWS-3CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.17.30
NG-SWS-4CA;NG-SWS-4CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.17.33
NG-SWS-5CA;NG-SWS-5CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.17.36
NG-SWS-6CA;NG-SWS-6CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.17.39
NG-SWS-7CA;NG-SWS-7CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.17.42
NG-SWS-8CA;NG-SWS-8CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.17.45
NG-SWG-CA;NG-SWG-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.17.47
NG-SWL-BM;NG-SWL-BM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.17.51
NG-SWS-1MA;NG-SWS-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.17.65
NG-SWS-2MA;NG-SWS-2MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.17.68
NG-SWS-3MA;NG-SWS-3MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.17.71
NG-SWS-4MA;NG-SWS-4MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.17.74
NG-SWS-5MA;NG-SWS-5MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.17.77
NG-SWS-6MA;NG-SWS-6MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.17.80
NG-SWS-7MA;NG-SWS-7MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.17.83
NG-SWS-8MA;NG-SWS-8MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;192.168.17.86
