device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_measure(i);offset_alarm(i);offset_alarm_fa(i);offset_commstatus(i)
CAS-CO-3CA;CAS-CO-3CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16698;749;15539;149
CAS-CO-4CA;CAS-CO-4CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16700;750;15540;150
CAS-CO-5CA;CAS-CO-5CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16702;751;15540;151
CAS-CO-6CA;CAS-CO-6CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16704;752;15540;152
CAS-CO-7CA;CAS-CO-7CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16706;753;15541;153
CAS-CO-8CA;CAS-CO-8CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16708;754;15541;154
CAS-CO-9CA;CAS-CO-9CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16710;755;15542;155
CAS-CO-10CA;CAS-CO-10CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16712;756;15542;156
CAS-CO-11CA;CAS-CO-11CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16714;757;15542;157
COR-CO-1MA;COR-CO-1MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16600;700;15532;100
COR-CO-2MA;COR-CO-2MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16614;707;15533;107
COR-CO-3MA;COR-CO-3MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16622;711;15534;111
COR-CO-4MA;COR-CO-4MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16630;715;15535;115
COR-CO-1CA;COR-CO-1CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16638;719;15536;119
COR-CO-2CA;COR-CO-2CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16652;726;15537;126
COR-CO-3CA;COR-CO-3CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16662;731;15538;131
COR-CO-4CA;COR-CO-4CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16668;734;15539;134
STM2-CO-1MA;STM2-CO-1MA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16604;702;15500;150
STM2-CO-2MA;STM2-CO-2MA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16646;723;15511;171
STM2-CO-3MA;STM2-CO-3MA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16660;730;15514;178
STM2-CO-1CA;STM2-CO-1CA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16666;733;15515;181
STM2-CO-2CA;STM2-CO-2CA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16690;745;15520;193
STM2-CO-3CA;STM2-CO-3CA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16704;752;15523;200
NG-CO-1MA;NG-CO-1MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16602;701;15500;101
NG-CO-2MA;NG-CO-2MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16620;710;15505;110
NG-CO-3MA;NG-CO-3MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16630;715;15506;115
NG-CO-4MA;NG-CO-4MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16632;716;15507;116
NG-CO-5MA;NG-CO-5MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16640;720;15508;120
NG-CO-6MA;NG-CO-6MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16642;721;15509;121
NG-CO-7MA;NG-CO-7MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16648;724;15512;124
NG-CO-1CA;NG-CO-1CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16684;742;15520;142
NG-CO-2CA;NG-CO-2CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16722;761;15534;161
NG-CO-3CA;NG-CO-3CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16732;766;15537;166
NG-CO-4CA;NG-CO-4CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16740;770;15538;170
NG-CO-5CA;NG-CO-5CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16750;775;15541;175
NG-CO-6CA;NG-CO-6CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16752;776;15542;176
