device_name;session_uid;PLC_name;host;port(i);url_publisher;read_permission;write_permission;offset_state(i)
NG-VC-2MA;NG-VC-2MA;NG-PLC-CT-ITS-BM;192.168.17.48;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;47
NG-VM-1MA;NG-VM-1MA;NG-PLC-CT-ITS-BC;192.168.17.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;32
NG-VM-2MA;NG-VM-2MA;NG-PLCG1-CA;192.168.17.46;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;33
NG-VM-3MA;NG-VM-3MA;NG-PLCG1-CA;192.168.17.46;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;34
NG-VM-4MA;NG-VM-4MA;NG-PLC-CT-ITS-BM;192.168.17.48;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;48
NG-VC-1CA;NG-VC-1CA;NG-PLC-CT-ITS-BM;192.168.17.48;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;49
NG-VC-2CA;NG-VC-2CA;NG-PLC-CT-ITS-BC;192.168.17.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;31
NG-VM-1CA;NG-VM-1CA;NG-PLC-CT-ITS-BM;192.168.17.48;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;50
NG-VM-2CA;NG-VM-2CA;NG-PLCG1-CA;192.168.17.46;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;31
NG-VM-3CA;NG-VM-3CA;NG-PLCG1-CA;192.168.17.46;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;32
NG-VM-4CA;NG-VM-4CA;NG-PLC-CT-ITS-BC;192.168.17.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;30
COR-VC-1MA;COR-VC-1MA;COR-PLCL-BC;192.168.15.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;10
COR-VC-2MA;COR-VC-2MA;COR-PLCL-BM;192.168.15.56;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;10
COR-VC-1CA;COR-VC-1CA;COR-PLCL-BM;192.168.15.56;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8
COR-VC-2CA;COR-VC-2CA;COR-PLCL-BC;192.168.15.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;8
COR-VM-1MA;COR-VM-1MA;COR-PLCSI-1MA;192.168.15.73;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
COR-VM-2MA;COR-VM-2MA;COR-PLCSI-1MA;192.168.15.73;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
COR-VM-3MA;COR-VM-3MA;COR-PLCSI-1MA;192.168.15.73;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;7
COR-VM-4MA;COR-VM-4MA;COR-PLCSI-3MA;192.168.15.82;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
COR-VM-5MA;COR-VM-5MA;COR-PLCSI-3MA;192.168.15.82;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
COR-VM-6MA;COR-VM-6MA;COR-PLCSI-4MA;192.168.15.87;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
COR-VM-7MA;COR-VM-7MA;COR-PLCSI-4MA;192.168.15.87;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
COR-VM-8MA;COR-VM-8MA;COR-PLCSI-4MA;192.168.15.87;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;7
COR-VM-1CA;COR-VM-1CA;COR-PLCSI-1CA;192.168.15.32;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
COR-VM-2CA;COR-VM-2CA;COR-PLCSI-1CA;192.168.15.32;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
COR-VM-3CA;COR-VM-3CA;COR-PLCSI-1CA;192.168.15.32;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;7
COR-VM-4CA;COR-VM-4CA;COR-PLCSI-2CA;192.168.15.36;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
COR-VM-5CA;COR-VM-5CA;COR-PLCSI-2CA;192.168.15.36;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
COR-VM-6CA;COR-VM-6CA;COR-PLCSI-4CA;192.168.15.46;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;5
COR-VM-7CA;COR-VM-7CA;COR-PLCSI-4CA;192.168.15.46;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;6
COR-VM-8CA;COR-VM-8CA;COR-PLCSI-4CA;192.168.15.46;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;7
