device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_alarm_zone(i);offset_fiber_fault(i);offset_avg_temperature(i);offset_max_temperature(i);offset_min_temperature(i);offset_commstatus(i)
MM-ZI-5MA;MM-ZI-5MA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1036;1044;1056;1056;1056;1212
MM-ZI-6MA;MM-ZI-6MA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1037;1045;1058;1058;1058;1213
MM-ZI-7MA;MM-ZI-7MA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1038;1046;1060;1060;1060;1214
MM-ZI-8MA;MM-ZI-8MA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1039;1047;1062;1062;1062;1215
STMI-ZI-3CA;STMI-ZI-3CA;STMI-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1000;1003;1006;1006;1006;1200
STMI-ZI-2CA;STMI-ZI-2CA;STMI-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1001;1004;1008;1008;1008;1201
STMI-ZI-1CA;STMI-ZI-1CA;STMI-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1002;1005;1010;1010;1010;1202
STMI-ZI-3MA;STMI-ZI-3MA;STMI-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1012;1015;1018;1018;1018;1203
STMI-ZI-2MA;STMI-ZI-2MA;STMI-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1013;1016;1020;1020;1020;1204
STMI-ZI-1MA;STMI-ZI-1MA;STMI-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1014;1017;1022;1022;1022;1205
CH-ZI-1CA;CH-ZI-1CA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1000;1008;1016;1016;1016;1200
CH-ZI-2CA;CH-ZI-2CA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1001;1009;1018;1018;1018;1201
CH-ZI-3CA;CH-ZI-3CA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1002;1010;1020;1020;1020;1202
CH-ZI-4CA;CH-ZI-4CA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1003;1011;1022;1022;1022;1203
CH-ZI-5CA;CH-ZI-5CA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1004;1012;1024;1024;1024;1204
CH-ZI-6CA;CH-ZI-6CA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1005;1013;1026;1026;1026;1205
CH-ZI-7CA;CH-ZI-7CA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1006;1014;1028;1028;1028;1206
CH-ZI-8CA;CH-ZI-8CA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1007;1015;1030;1030;1030;1207
CH-ZI-8MA;CH-ZI-8MA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1032;1040;1048;1048;1048;1224
CH-ZI-7MA;CH-ZI-7MA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1033;1041;1050;1050;1050;1225
CH-ZI-6MA;CH-ZI-6MA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1034;1042;1052;1052;1052;1226
CH-ZI-5MA;CH-ZI-5MA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1035;1043;1054;1054;1054;1227
CH-ZI-4MA;CH-ZI-4MA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1036;1044;1056;1056;1056;1228
CH-ZI-3MA;CH-ZI-3MA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1037;1045;1058;1058;1058;1229
CH-ZI-2MA;CH-ZI-2MA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1038;1046;1060;1060;1060;1230
CH-ZI-1MA;CH-ZI-1MA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1039;1047;1062;1062;1062;1231
STM2-ZI-7CA;STM2-ZI-7CA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1000;1007;1014;1014;1014;1200
STM2-ZI-6CA;STM2-ZI-6CA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1001;1008;1016;1016;1016;1201
STM2-ZI-5CA;STM2-ZI-5CA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1002;1009;1018;1018;1018;1202
STM2-ZI-4CA;STM2-ZI-4CA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1003;1010;1020;1020;1020;1203
STM2-ZI-3CA;STM2-ZI-3CA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1004;1011;1022;1022;1022;1204
STM2-ZI-2CA;STM2-ZI-2CA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1005;1012;1024;1024;1024;1205
STM2-ZI-1CA;STM2-ZI-1CA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1006;1013;1026;1026;1026;1206
STM2-ZI-1MA;STM2-ZI-1MA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1028;1035;1042;1042;1042;1221
STM2-ZI-2MA;STM2-ZI-2MA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1029;1036;1044;1044;1044;1222
STM2-ZI-3MA;STM2-ZI-3MA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1030;1037;1046;1046;1046;1223
STM2-ZI-4MA;STM2-ZI-4MA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1031;1038;1048;1048;1048;1224
STM2-ZI-5MA;STM2-ZI-5MA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1032;1039;1050;1050;1050;1225
STM2-ZI-6MA;STM2-ZI-6MA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1033;1040;1052;1052;1052;1226
STM2-ZI-7MA;STM2-ZI-7MA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1034;1041;1054;1054;1054;1227
EST-ZI-2MA;EST-ZI-2MA;EST-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1000;1004;1008;1008;1008;1200
EST-ZI-1MA;EST-ZI-1MA;EST-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1001;1005;1010;1010;1010;1201
EST-ZI-2CA;EST-ZI-2CA;EST-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1002;1006;1012;1012;1012;1202
EST-ZI-1CA;EST-ZI-1CA;EST-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1003;1007;1014;1014;1014;1203
LQ-ZI-1CA;LQ-ZI-1CA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1000;1011;1022;1022;1022;1200
LQ-ZI-2CA;LQ-ZI-2CA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1001;1012;1024;1024;1024;1201
LQ-ZI-3CA;LQ-ZI-3CA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1002;1013;1026;1026;1026;1202
LQ-ZI-4CA;LQ-ZI-4CA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1003;1014;1028;1028;1028;1203
LQ-ZI-5CA;LQ-ZI-5CA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1004;1015;1030;1030;1030;1204
LQ-ZI-6CA;LQ-ZI-6CA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1005;1016;1032;1032;1032;1205
LQ-ZI-7CA;LQ-ZI-7CA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1006;1017;1034;1034;1034;1206
LQ-ZI-8CA;LQ-ZI-8CA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1007;1018;1036;1036;1036;1207
LQ-ZI-9CA;LQ-ZI-9CA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1008;1019;1038;1038;1038;1208
LQ-ZI-10CA;LQ-ZI-10CA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1009;1020;1040;1040;1040;1209
LQ-ZI-11CA;LQ-ZI-11CA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1010;1021;1042;1042;1042;1210
LQ-ZI-9MA;LQ-ZI-9MA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1044;1053;1062;1062;1062;1233
LQ-ZI-8MA;LQ-ZI-8MA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1045;1054;1064;1064;1064;1234
LQ-ZI-7MA;LQ-ZI-7MA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1046;1055;1066;1066;1066;1235
LQ-ZI-6MA;LQ-ZI-6MA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1047;1056;1068;1068;1068;1236
LQ-ZI-5MA;LQ-ZI-5MA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1048;1057;1070;1070;1070;1237
LQ-ZI-4MA;LQ-ZI-4MA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1049;1058;1072;1072;1072;1238
LQ-ZI-3MA;LQ-ZI-3MA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1050;1059;1074;1074;1074;1239
LQ-ZI-2MA;LQ-ZI-2MA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1051;1060;1076;1076;1076;1240
LQ-ZI-1MA;LQ-ZI-1MA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1052;1061;1078;1078;1078;1241
NG-ZI-1CA;NG-ZI-1CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1000;1009;1018;1018;1018;1200
NG-ZI-2CA;NG-ZI-2CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1001;1010;1020;1020;1020;1201
NG-ZI-3CA;NG-ZI-3CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1002;1011;1022;1022;1022;1202
NG-ZI-4CA;NG-ZI-4CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1003;1012;1024;1024;1024;1203
NG-ZI-5CA;NG-ZI-5CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1004;1013;1026;1026;1026;1204
NG-ZI-6CA;NG-ZI-6CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1005;1014;1028;1028;1028;1205
NG-ZI-7CA;NG-ZI-7CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1006;1015;1030;1030;1030;1206
NG-ZI-8CA;NG-ZI-8CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1007;1016;1032;1032;1032;1207
NG-ZI-9CA;NG-ZI-9CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1008;1017;1034;1034;1034;1208
NG-ZI-8MA;NG-ZI-8MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1036;1044;1052;1052;1052;1227
NG-ZI-7MA;NG-ZI-7MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1037;1045;1054;1054;1054;1228
NG-ZI-6MA;NG-ZI-6MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1038;1046;1056;1056;1056;1229
NG-ZI-5MA;NG-ZI-5MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1039;1047;1058;1058;1058;1230
NG-ZI-4MA;NG-ZI-4MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1040;1048;1060;1060;1060;1231
NG-ZI-3MA;NG-ZI-3MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1041;1049;1062;1062;1062;1232
NG-ZI-2MA;NG-ZI-2MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1042;1050;1064;1064;1064;1233
NG-ZI-1MA;NG-ZI-1MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1043;1051;1066;1066;1066;1234
COR-ZI-12CA;COR-ZI-12CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1000;1012;1024;1024;1024;1200
COR-ZI-11CA;COR-ZI-11CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1001;1013;1026;1026;1026;1201
COR-ZI-10CA;COR-ZI-10CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1002;1014;1028;1028;1028;1202
COR-ZI-9CA;COR-ZI-9CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1003;1015;1030;1030;1030;1203
COR-ZI-8CA;COR-ZI-8CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1004;1016;1032;1032;1032;1204
COR-ZI-7CA;COR-ZI-7CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1005;1017;1034;1034;1034;1205
COR-ZI-6CA;COR-ZI-6CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1006;1018;1036;1036;1036;1206
COR-ZI-5CA;COR-ZI-5CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1007;1019;1038;1038;1038;1207
COR-ZI-4CA;COR-ZI-4CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1008;1020;1040;1040;1040;1208
COR-ZI-3CA;COR-ZI-3CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1009;1021;1042;1042;1042;1209
COR-ZI-2CA;COR-ZI-2CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1010;1022;1044;1044;1044;1210
COR-ZI-1CA;COR-ZI-1CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1011;1023;1046;1046;1046;1211
COR-ZI-1MA;COR-ZI-1MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1048;1060;1072;1072;1072;1236
COR-ZI-2MA;COR-ZI-2MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1049;1061;1074;1074;1074;1237
COR-ZI-3MA;COR-ZI-3MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1050;1062;1076;1076;1076;1238
COR-ZI-4MA;COR-ZI-4MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1051;1063;1078;1078;1078;1239
COR-ZI-5MA;COR-ZI-5MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1052;1064;1080;1080;1080;1240
COR-ZI-6MA;COR-ZI-6MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1053;1065;1082;1082;1082;1241
COR-ZI-7MA;COR-ZI-7MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1054;1066;1084;1084;1084;1242
COR-ZI-8MA;COR-ZI-8MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1055;1067;1086;1086;1086;1243
COR-ZI-9MA;COR-ZI-9MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1056;1068;1088;1088;1088;1244
COR-ZI-10MA;COR-ZI-10MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1057;1069;1090;1090;1090;1245
COR-ZI-11MA;COR-ZI-11MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1058;1070;1092;1092;1092;1246
COR-ZI-12MA;COR-ZI-12MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1059;1071;1094;1094;1094;1247
