device_name;session_uid;url_publisher;PLC_name;host;port(i);offset_state(i);read_permission;write_permission
CAS-MAGDIF-OP-ORANGE-A;CAS-MAGDIF-OP-ORANGE-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;38;monitor;
CAS-MAGDIF-BF30-A;CAS-MAGDIF-BF30-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;39;monitor;
CAS-MAGDIF-BF31-A;CAS-MAGDIF-BF31-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;40;monitor;
CAS-MAGDIF-OP-MOVISTAR-A;CAS-MAGDIF-OP-MOVISTAR-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;41;monitor;
CAS-MAGDIF-BF33-A;CAS-MAGDIF-BF33-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;42;monitor;
CAS-MAGDIF-BF34-A;CAS-MAGDIF-BF34-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;43;monitor;
CAS-MAGDIF-BF35-A;CAS-MAGDIF-BF35-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;44;monitor;
CAS-MAGDIF-DET-LAZO-A;CAS-MAGDIF-DET-LAZO-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;50;monitor;
CAS-MAGDIF-CGBT-ITS-1-A;CAS-MAGDIF-CGBT-ITS-1-A;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;52;monitor;
CAS-MAG-ITS-1-B;CAS-MAG-ITS-1-B;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-M;192.168.5.186;502;16;monitor;
CAS-MAGDIF-BF10-B;CAS-MAGDIF-BF10-B;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-M;192.168.5.186;502;18;monitor;
CAS-MAGDIF-BF11-B;CAS-MAGDIF-BF11-B;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-M;192.168.5.186;502;19;monitor;
CAS-MAGDIF-BF13.1-B;CAS-MAGDIF-BF13.1-B;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-M;192.168.5.186;502;21;monitor;
CAS-MAGDIF-BF13.2-B;CAS-MAGDIF-BF13.2-B;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-M;192.168.5.186;502;22;monitor;
