id;alias;type
1287;R2055m4O;1
1288;R2055m5O;1
1301;R300O;1
1302;R30010O;1
1303;R30020O;1
1304;R30030O;1
1305;R30040O;1
1306;R30050O;1
1307;R30060O;1
1308;R30070O;1
1309;R30080O;1
1310;R30090O;1
1311;R300100O;1
1312;R30110O;1
1313;R30120O;1
1314;R30130O;1
1315;R30140O;1
1316;R30150O;1
1317;R30160O;1
1318;R30170O;1
1319;R30180O;1
1320;R30190O;1
1321;R301100O;1
1322;R301110O;1
1323;R301120O;1
1324;R301130O;1
1325;R302O;1
1326;R303O;1
1327;R304O;1
1328;R305O;1
1329;R306O;1
1335;R310O;1
1501;R500O;1
1502;R50110O;1
1503;R50120O;1
1504;R50130O;1
1505;R50140O;1
1506;R50150O;1
1507;R50160O;1
1508;R50170O;1
1509;R50180O;1
1510;R50190O;1
1511;R501100O;1
1512;R501110O;1
1513;R501120O;1
1514;R501130O;1
1515;R502O;1
1516;R503O;1
1652;S52O;1
1653;S52aO;1
1654;S52bO;1
1655;S53O;1
1656;S53bO;1
1657;S60O;1
1658;S60aO;1
1659;S60bO;1
1660;S61O;1
1661;S61aO;1
1662;S61bO;1
1663;S62O;1
1664;S62aO;1
1665;S62bO;1
1666;S63O;1
1667;S21O;1
1720;E21O;1
1721;E22O;1
1722;E23O;1
1723;E24O;1
1724;E25O;1
1725;E26O;1
1726;E27O;1
1727;E28O;1
1728;E29O;1
1729;E30O;1
1730;E31O;1
1731;E32O;1
1732;E33O;1
1733;E34O;1
1734;E35O;1
1735;E36O;1
1736;E37O;1
1737;E38O;1
1738;E39O;1
1739;E40O;1
1740;E41O;1
1741;E42O;1
2000;CH0014;2
2001;CH0015;2
2002;CH001E;2
2003;CH001F;2
2004;CH0020;2
2005;CH0021;2
2006;CH0022;2
2007;CH0023;2
2008;CH0024;2
2009;CH0025;2
2010;CH0026;2
2011;CH0027;2
2012;CH0028;2
2013;CH0029;2
2014;CH002A;2
2015;CH002B;2
2016;CH002C;2
2017;CH002D;2
2018;CH002E;2
2019;CH002F;2
2020;CH0030;2
2021;CH0031;2
2022;CH0032;2
2023;CH0033;2
2024;CH0034;2
2025;CH0035;2
2026;CH0036;2
2027;CH0037;2
2028;CH0038;2
2029;CH0039;2
2030;CH003A;2
2031;CH003B;2
2032;CH003C;2
2033;CH003D;2
2034;CH003E;2
2035;CH003F;2
2036;CH0040;2
2037;CH0041;2
2038;CH0042;2
2039;CH0043;2
2040;CH0044;2
2041;CH0045;2
2042;CH0046;2
2043;CH0047;2
2044;CH0048;2
2045;CH0049;2
2046;CH004A;2
2047;CH004B;2
2048;CH004C;2
2049;CH004D;2
2050;CH004E;2
2051;CH004F;2
2052;CH0050;2
2053;CH0051;2
2054;CH0052;2
2055;CH0053;2
2056;CH0054;2
2057;CH0055;2
2058;CH0056;2
2059;CH0057;2
2060;CH0058;2
2061;CH0059;2
2062;CH005A;2
2063;CH005B;2
2064;CH005C;2
2065;CH005D;2
2066;CH005E;2
2067;CH005F;2
2068;CH0060;2
2069;CH0061;2
2070;CH0062;2
2071;CH0063;2
2072;CH0064;2
2073;CH0065;2
2074;CH0066;2
2075;CH0067;2
2076;CH0068;2
2077;CH0069;2
2078;CH006A;2
2079;CH006B;2
2080;CH006C;2
2081;CH006D;2
2082;CH006E;2
2083;CH006F;2
2084;CH0070;2
2085;CH0071;2
2086;CH0072;2
2087;CH0073;2
2088;CH0074;2
2089;CH0075;2
2090;CH0076;2
2091;CH0077;2
2092;CH0078;2
2093;CH0079;2
2094;CH007A;2
2095;CH007B;2
2096;CH007C;2
2097;CH007D;2
2098;CH007E;2
2099;CH0080;2
2100;CH0082;2
2101;CH0083;2
2102;CH0084;2
2103;CH0085;2
2104;CH0086;2
2105;CH0087;2
2106;CH0088;2
2107;CH0089;2
2108;CH008A;2
2109;CH008B;2
2110;CH008C;2
2111;CH008E;2
2112;CH0091;2
2113;CH0092;2
2114;CH0093;2
2115;CH0094;2
2116;CH0095;2
2117;CH0096;2
2118;CH0097;2
2119;CH0098;2
2120;CH0099;2
2121;CH009A;2
2122;CH009B;2
2123;CH009C;2
2124;CH009E;2
2125;CH009F;2
2126;CH00A1;2
2127;CH00A2;2
2128;CH00A3;2
2129;CH00A4;2
2130;CH00A5;2
2131;CH00A6;2
2132;CH00A7;2
2133;CH00A8;2
2134;CH00A9;2
2135;CH00AA;2
2136;CH00AB;2
2137;CH00AC;2
2138;CH00AD;2
2139;CH00AE;2
2140;CH00AF;2
2141;CH00B0;2
2142;CH00B1;2
2143;CH00B2;2
2144;CH00B3;2
2145;CH00B4;2
2146;CH00B5;2
2147;CH00B6;2
2148;CH00B7;2
2149;CH00B8;2
2150;CH00B9;2
2151;CH00BA;2
2152;CH00BB;2
2153;CH00BC;2
2154;CH00BD;2
2155;CH00BE;2
2156;CH00BF;2
2157;CH00C0;2
2158;CH00C1;2
2159;CH00C2;2
2160;CH00C3;2
2161;CH00C4;2
2162;CH00C5;2
2163;CH00C6;2
2164;CH00C7;2
2165;CH00C8;2
2166;CH00C9;2
2167;CH00CA;2
2168;CH00CB;2
