"id";"value";"type";"param";"param_type";"protocol_type";"protocol_param_id"
2058;"CH0056";2;1002;2;2;2
2059;"CH0057";2;1002;2;2;2
2060;"CH0058";2;1002;2;2;2
2061;"CH0059";2;1002;2;2;2
2062;"CH005A";2;1002;2;2;2
2063;"CH005B";2;1002;2;2;2
2064;"CH005C";2;1002;2;2;2
2065;"CH005D";2;1002;2;2;2
2066;"CH005E";2;1002;2;2;2
2067;"CH005F";2;1002;2;2;2
2068;"CH0060";2;1002;2;2;2
2069;"CH0061";2;1002;2;2;2
2070;"CH0062";2;1002;2;2;2
2071;"CH0063";2;1002;2;2;2
2072;"CH0064";2;1002;2;2;2
2073;"CH0065";2;1002;2;2;2
2074;"CH0066";2;1002;2;2;2
2075;"CH0067";2;1002;2;2;2
2076;"CH0068";2;1002;2;2;2
2077;"CH0069";2;1002;2;2;2
2078;"CH006A";2;1002;2;2;2
2079;"CH006B";2;1002;2;2;2
2080;"CH006C";2;1002;2;2;2
2081;"CH006D";2;1002;2;2;2
2082;"CH006E";2;1002;2;2;2
2083;"CH006F";2;1002;2;2;2
2084;"CH0070";2;1002;2;2;2
2085;"CH0071";2;1002;2;2;2
2086;"CH0072";2;1002;2;2;2
2087;"CH0073";2;1002;2;2;2
2088;"CH0074";2;1002;2;2;2
2089;"CH0075";2;1002;2;2;2
2090;"CH0076";2;1002;2;2;2
2091;"CH0077";2;1002;2;2;2
2092;"CH0078";2;1002;2;2;2
2093;"CH0079";2;1002;2;2;2
2094;"CH007A";2;1002;2;2;2
2095;"CH007B";2;1002;2;2;2
2096;"CH007C";2;1002;2;2;2
2097;"CH007D";2;1002;2;2;2
2098;"CH007E";2;1002;2;2;2
2099;"CH0080";2;1002;2;2;2
2100;"CH0082";2;1002;2;2;2
2101;"CH0083";2;1002;2;2;2
2102;"CH0084";2;1002;2;2;2
2103;"CH0085";2;1002;2;2;2
2104;"CH0086";2;1002;2;2;2
2105;"CH0087";2;1002;2;2;2
2106;"CH0088";2;1002;2;2;2
