item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure;param1_brand;param2_model;param3_protocolo;param4_config_json
32;11;SV-2-01-DP-C;SV-2-01-DP-C;SV-2-01-DP-C;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
33;11;SV-2-01-DP-I;SV-2-01-DP-I;SV-2-01-DP-I;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
34;11;SV-2-02-DP-D;SV-2-02-DP-D;SV-2-02-DP-D;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
35;11;SV-2-02-DP-C;SV-2-02-DP-C;SV-2-02-DP-C;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
36;11;SV-2-02-DP-I;SV-2-02-DP-I;SV-2-02-DP-I;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
37;11;SV-2-03-DP-D;SV-2-03-DP-D;SV-2-03-DP-D;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
38;11;SV-2-03-DP-C;SV-2-03-DP-C;SV-2-03-DP-C;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
39;11;SV-2-03-DP-I;SV-2-03-DP-I;SV-2-03-DP-I;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
40;11;SV-2-04-DP-D;SV-2-04-DP-D;SV-2-04-DP-D;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
41;11;SV-2-04-DP-C;SV-2-04-DP-C;SV-2-04-DP-C;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
42;11;SV-2-04-DP-I;SV-2-04-DP-I;SV-2-04-DP-I;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
43;11;SV-2-05-DP-D;SV-2-05-DP-D;SV-2-05-DP-D;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
44;11;SV-2-05-DP-C;SV-2-05-DP-C;SV-2-05-DP-C;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
45;11;SV-2-05-DP-I;SV-2-05-DP-I;SV-2-05-DP-I;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
46;11;SV-1-01-DP-D;SV-1-01-DP-D;SV-1-01-DP-D;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
47;11;SV-1-01-DP-C;SV-1-01-DP-C;SV-1-01-DP-C;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
48;11;SV-1-01-DP-I;SV-1-01-DP-I;SV-1-01-DP-I;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
49;11;SV-1-02-DP-D;SV-1-02-DP-D;SV-1-02-DP-D;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
50;11;SV-1-02-DP-C;SV-1-02-DP-C;SV-1-02-DP-C;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
51;11;SV-1-02-DP-I;SV-1-02-DP-I;SV-1-02-DP-I;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
52;11;SV-1-03-DP-D;SV-1-03-DP-D;SV-1-03-DP-D;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
53;11;SV-1-03-DP-C;SV-1-03-DP-C;SV-1-03-DP-C;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
54;11;SV-1-03-DP-I;SV-1-03-DP-I;SV-1-03-DP-I;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
55;11;SV-1-04-DP-D;SV-1-04-DP-D;SV-1-04-DP-D;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
56;11;SV-1-04-DP-C;SV-1-04-DP-C;SV-1-04-DP-C;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
57;11;SV-1-04-DP-I;SV-1-04-DP-I;SV-1-04-DP-I;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
58;11;SV-1-05-DP-D;SV-1-05-DP-D;SV-1-05-DP-D;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
59;11;SV-1-05-DP-C;SV-1-05-DP-C;SV-1-05-DP-C;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
60;11;SV-1-05-DP-I;SV-1-05-DP-I;SV-1-05-DP-I;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
61;18;PMV-2-01-DP;PMV-2-01-DP;PMV-2-01-DP;Autovía A-4;Despeñaperros;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;DGT;[{"zone":1,"type":"graphic","vms_group_id":18},{"zone":2,"type":"text","maxCharsPerLine":12}]
62;18;PMV-1-01-DP;PMV-1-01-DP;PMV-1-01-DP;Autovía A-4;Despeñaperros;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;DGT;[{"zone":1,"type":"graphic","vms_group_id":18},{"zone":2,"type":"text","maxCharsPerLine":12}]
63;12;AF-1-01-CA-D;AF-1-01-CA-D;AF-1-01-CA-D;Autovía A-4;La Cantera;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
64;12;AF-1-01-CA-C;AF-1-01-CA-C;AF-1-01-CA-C;Autovía A-4;La Cantera;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
65;12;AF-1-01-CA-I;AF-1-01-CA-I;AF-1-01-CA-I;Autovía A-4;La Cantera;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
66;12;AF-2-01-CA-D;AF-2-01-CA-D;AF-2-01-CA-D;Autovía A-4;La Cantera;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
67;12;AF-2-01-CA-C;AF-2-01-CA-C;AF-2-01-CA-C;Autovía A-4;La Cantera;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
68;12;AF-2-01-CA-I;AF-2-01-CA-I;AF-2-01-CA-I;Autovía A-4;La Cantera;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
69;11;SV-1-01-CA-D;SV-1-01-CA-D;SV-1-01-CA-D;Autovía A-4;La Cantera;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
70;11;SV-1-01-CA-C;SV-1-01-CA-C;SV-1-01-CA-C;Autovía A-4;La Cantera;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
71;11;SV-1-01-CA-I;SV-1-01-CA-I;SV-1-01-CA-I;Autovía A-4;La Cantera;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
72;11;SV-2-01-CA-D;SV-2-01-CA-D;SV-2-01-CA-D;Autovía A-4;La Cantera;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
73;11;SV-2-01-CA-C;SV-2-01-CA-C;SV-2-01-CA-C;Autovía A-4;La Cantera;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
74;11;SV-2-01-CA-I;SV-2-01-CA-I;SV-2-01-CA-I;Autovía A-4;La Cantera;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
75;26;STP-1-01-CA-D;STP-1-01-CA-D;STP-1-01-CA-D;Autovía A-4;La Cantera;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":26}]
76;26;STP-1-01-CA-C;STP-1-01-CA-C;STP-1-01-CA-C;Autovía A-4;La Cantera;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":26}]
77;26;STP-1-01-CA-I;STP-1-01-CA-I;STP-1-01-CA-I;Autovía A-4;La Cantera;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":26}]
78;27;PG-1-01-CA;PG-1-01-CA;PG-1-01-CA;Autovía A-4;La Cantera;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":27}]
79;22;PMV-1-01-CA;PMV-1-01-CA;PMV-1-01-CA;Autovía A-4;La Cantera;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":22},{"zone":2,"type":"text","maxCharsPerLine":12},{"zone":3,"type":"graphic","vms_group_id":22}]
80;12;AF-1-01-CZ-D;AF-1-01-CZ-D;AF-1-01-CZ-D;Autovía A-4;El Corzo;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
81;12;AF-1-01-CZ-C;AF-1-01-CZ-C;AF-1-01-CZ-C;Autovía A-4;El Corzo;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
82;12;AF-1-01-CZ-I;AF-1-01-CZ-I;AF-1-01-CZ-I;Autovía A-4;El Corzo;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
83;12;AF-2-01-CZ-D;AF-2-01-CZ-D;AF-2-01-CZ-D;Autovía A-4;El Corzo;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
84;12;AF-2-01-CZ-I;AF-2-01-CZ-I;AF-2-01-CZ-I;Autovía A-4;El Corzo;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":12}]
85;11;SV-1-01-CZ-D;SV-1-01-CZ-D;SV-1-01-CZ-D;Autovía A-4;El Corzo;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
86;11;SV-1-01-CZ-C;SV-1-01-CZ-C;SV-1-01-CZ-C;Autovía A-4;El Corzo;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
87;11;SV-1-01-CZ-I;SV-1-01-CZ-I;SV-1-01-CZ-I;Autovía A-4;El Corzo;;Madrid;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
88;11;SV-2-01-CZ-D;SV-2-01-CZ-D;SV-2-01-CZ-D;Autovía A-4;El Corzo;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
89;11;SV-2-01-CZ-I;SV-2-01-CZ-I;SV-2-01-CZ-I;Autovía A-4;El Corzo;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":11}]
90;22;PMV-2-01-CZ;PMV-2-01-CZ;PMV-2-01-CZ;Autovía A-4;El Corzo;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":22},{"zone":2,"type":"text","maxCharsPerLine":12},{"zone":3,"type":"graphic","vms_group_id":22}]
91;26;STP-2-01-CZ-D;STP-2-01-CZ-D;STP-2-01-CZ-D;Autovía A-4;El Corzo;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":26}]
92;26;STP-2-01-CZ-I;STP-2-01-CZ-I;STP-2-01-CZ-I;Autovía A-4;El Corzo;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":26}]
93;27;PG-2-01-CZ;PG-2-01-CZ;PG-2-01-CZ;Autovía A-4;El Corzo;;Córdoba;ChangeMeasureHistorical.groovy;Alba Electrónica;;Modbus;[{"zone":1,"type":"graphic","vms_group_id":27}]
