item;alias;description;sessionuid;road;stretchs;secc;pk;dm
262;UF-S2TS-CAB-030;UF-S2TS-CAB-030;UF-S2TS-CAB-030;AVO;;Secc.02-10-05;42+58;6280
263;2E04-ELE-002.PEVPres;2E04-ELE-002.PEVPres;2E04-ELE-002.PEVPres;AVO;;Secc.02-10-04;40+37;4070
264;UF-2E04-CAB-001;UF-2E04-CAB-001;UF-2E04-CAB-001;AVO;;Secc.02-10-05;42+58;6280
265;UF-2E04-CAB-002;UF-2E04-CAB-002;UF-2E04-CAB-002;AVO;;Secc.02-10-05;42+58;6280
266;UF-S2TN-CAB-045;UF-S2TN-CAB-045;UF-S2TN-CAB-045;AVO;;Secc.02-10-05;42+58;6280
267;UF-S2TN-CAB-046;UF-S2TN-CAB-046;UF-S2TN-CAB-046;AVO;;Secc.02-10-05;42+58;6280
268;UF-S2TS-CAB-003;UF-S2TS-CAB-003;UF-S2TS-CAB-003;AVO;;Secc.02-10-05;42+58;6280
269;UF-S2TS-CAB-004;UF-S2TS-CAB-004;UF-S2TS-CAB-004;AVO;;Secc.02-10-05;42+58;6280
270;2E05-ELE-002.PEVPres;2E05-ELE-002.PEVPres;2E05-ELE-002.PEVPres;AVO;;Secc.02-10-04;40+37;4070
271;UF-2E05-CAB-001;UF-2E05-CAB-001;UF-2E05-CAB-001;AVO;;Secc.02-10-05;42+58;6280
272;UF-2E05-CAB-002;UF-2E05-CAB-002;UF-2E05-CAB-002;AVO;;Secc.02-10-05;42+58;6280
273;UF-S2TN-CAB-044;UF-S2TN-CAB-044;UF-S2TN-CAB-044;AVO;;Secc.02-10-05;42+58;6280
274;UF-S2TS-CAB-005;UF-S2TS-CAB-005;UF-S2TS-CAB-005;AVO;;Secc.02-10-05;42+58;6280
275;UF-S2TS-CAB-006;UF-S2TS-CAB-006;UF-S2TS-CAB-006;AVO;;Secc.02-10-05;42+58;6280
276;UF-SVIP-CAB-001;UF-SVIP-CAB-001;UF-SVIP-CAB-001;AVO;;Secc.02-10-05;42+58;6280
277;UF-SVIP-CAB-002;UF-SVIP-CAB-002;UF-SVIP-CAB-002;AVO;;Secc.02-10-05;42+58;6280
278;2E06-ELE-002.PEVPres;2E06-ELE-002.PEVPres;2E06-ELE-002.PEVPres;AVO;;Secc.02-10-04;40+37;4070
