device_name;session_uid;PLC_name;PLC_ip;PLC_port(i);url_publisher;read_permission;write_permission;offset_avg_temperature(i);offset_alarm_zone(i);offset_fiber_fault(i);offset_fiber_failure_position(i);bit_zone(i);bit_fiber_fault(i)
SBTP-ZON-001;SBTP-ZON-001;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13540;13704;13712;13718;7;7
SBTP-ZON-002;SBTP-ZON-002;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13542;13704;13712;13718;8;8
SBTP-ZON-003;SBTP-ZON-003;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13544;13704;13712;13718;9;9
S2TS-ZON-046;S2TS-ZON-046;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13568;13705;13713;13718;5;5
S2TS-ZON-047;S2TS-ZON-047;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13570;13705;13713;13718;6;6
S2TS-ZON-048;S2TS-ZON-048;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13572;13705;13713;13718;7;7
S2TS-ZON-049;S2TS-ZON-049;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13574;13705;13713;13718;8;8
S2TN-ZON-020;S2TN-ZON-020;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13204;13442;13450;13458;1;1
ICCO-ZON-001;ICCO-ZON-001;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13208;13442;13450;13458;3;3
ICCO-ZON-002;ICCO-ZON-002;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13210;13442;13450;13458;4;4
S2TN-ZON-019;S2TN-ZON-019;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13222;13442;13450;13458;10;10
S2TN-ZON-018;S2TN-ZON-018;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13224;13442;13450;13458;11;11
S2TN-ZON-017;S2TN-ZON-017;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13226;13442;13450;13458;12;12
S2TN-ZON-016;S2TN-ZON-016;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13228;13442;13450;13458;13;13
S2TN-ZON-015;S2TN-ZON-015;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13230;13442;13450;13458;14;14
S2TN-ZON-014;S2TN-ZON-014;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13232;13442;13450;13458;15;15
S2TN-ZON-013;S2TN-ZON-013;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13234;13443;13451;13458;0;0
S2TN-ZON-012;S2TN-ZON-012;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13236;13443;13451;13458;1;1
S2TN-ZON-011;S2TN-ZON-011;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13238;13443;13451;13458;2;2
S2TN-ZON-010;S2TN-ZON-010;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13240;13443;13451;13458;3;3
S2TN-ZON-009;S2TN-ZON-009;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13242;13443;13451;13458;4;4
S2TN-ZON-008;S2TN-ZON-008;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13244;13443;13451;13458;5;5
IBTO-ZON-001;IBTO-ZON-001;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13250;13443;13451;13458;8;8
IBTO-ZON-002;IBTO-ZON-002;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13252;13443;13451;13458;9;9
IBTO-ZON-003;IBTO-ZON-003;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13254;13443;13451;13458;10;10
S2TN-ZON-007;S2TN-ZON-007;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13270;13444;13452;13458;2;2
S2TN-ZON-006;S2TN-ZON-006;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13272;13444;13452;13458;3;3
S2TN-ZON-005;S2TN-ZON-005;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13274;13444;13452;13458;4;4
S2TN-ZON-004;S2TN-ZON-004;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13276;13444;13452;13458;5;5
S2TN-ZON-003;S2TN-ZON-003;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13278;13444;13452;13458;6;6
S2TN-ZON-002;S2TN-ZON-002;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13280;13444;13452;13458;7;7
S2TN-ZON-001;S2TN-ZON-001;CT06_PLC_F;10.133.50.37;28041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;13282;13444;13452;13458;8;8
