device_name;session_uid;url_publisher
Eje_E2_Tramo_24;Eje_E2_Tramo_24;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SAEB_Tramo_25;SAEB_Tramo_25;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SIGO_Tramo_26;SIGO_Tramo_26;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SICO_Tramo_35;SICO_Tramo_35;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SICO_Tramo_36;SICO_Tramo_36;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SBTP_Tramo_39;SBTP_Tramo_39;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SBTP_Tramo_40;SBTP_Tramo_40;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S1TN_Tramo_41;S1TN_Tramo_41;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S1TN_Tramo_42;S1TN_Tramo_42;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SVIP_Tramo_57;SVIP_Tramo_57;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
Eje_E20_Tramo_67;Eje_E20_Tramo_67;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SMPN_Tramo_69;SMPN_Tramo_69;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
Eje_E22_Tramo_70;Eje_E22_Tramo_70;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TS_Tramo_8;S2TS_Tramo_8;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TS_Tramo_9;S2TS_Tramo_9;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TS_Tramo_10;S2TS_Tramo_10;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TS_Tramo_11;S2TS_Tramo_11;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TS_Tramo_12;S2TS_Tramo_12;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TS_Tramo_13;S2TS_Tramo_13;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TS_Tramo_14;S2TS_Tramo_14;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TS_Tramo_15;S2TS_Tramo_15;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TS_Tramo_16;S2TS_Tramo_16;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TS_Tramo_17;S2TS_Tramo_17;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TS_Tramo_18;S2TS_Tramo_18;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
Eje_E1_Tramo_19;Eje_E1_Tramo_19;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
Eje_E1_Tramo_20;Eje_E1_Tramo_20;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TS_Tramo_21;S2TS_Tramo_21;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TS_Tramo_22;S2TS_Tramo_22;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
Eje_E6_Tramo_29;Eje_E6_Tramo_29;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
Eje_E7_Tramo_30;Eje_E7_Tramo_30;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SMPN_Tramo_34;SMPN_Tramo_34;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
Eje_E12_Tramo_43;Eje_E12_Tramo_43;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TN_Tramo_44;S2TN_Tramo_44;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TN_Tramo_45;S2TN_Tramo_45;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TN_Tramo_46;S2TN_Tramo_46;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TN_Tramo_47;S2TN_Tramo_47;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TN_Tramo_48;S2TN_Tramo_48;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TN_Tramo_49;S2TN_Tramo_49;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TN_Tramo_50;S2TN_Tramo_50;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TN_Tramo_51;S2TN_Tramo_51;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TN_Tramo_52;S2TN_Tramo_52;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TN_Tramo_53;S2TN_Tramo_53;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TN_Tramo_54;S2TN_Tramo_54;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TN_Tramo_55;S2TN_Tramo_55;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
S2TN_Tramo_56;S2TN_Tramo_56;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
INKO_Tramo_60;INKO_Tramo_60;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SNKO_Tramo_61;SNKO_Tramo_61;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SNKO_Tramo_62;SNKO_Tramo_62;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SNKO_Tramo_63;SNKO_Tramo_63;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SNKO_Tramo_64;SNKO_Tramo_64;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
SNKP_Tramo_65;SNKP_Tramo_65;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
Eje_E21_Tramo_68;Eje_E21_Tramo_68;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/
