PLC_name;device_name;url_publisher;PLC_ip;port(i);offset_type(i);offset_grid_failure(i);offset_battery_failure(i);offset_charger_failure(i);offset_emergency_lamp_failure(i);offset_duration_failure(i);offset_system_failure(i);offset_comm_failure(i);offset_general_failure(i);offset_rest_mode(i);offset_normal_mode(i);offset_emergency_mode(i);offset_function_test(i);offset_duration_test(i);offset_dimming_level(i)
IDNG-MG-DP;LUMI-EMER-E0-CB-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11524;11525;11525;11525;11525;11525;11525;11526;11527;11528;11528;11528;11528;11528;11529
IDNG-MG-DP;LUMI-EMER-E1-48-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11556;11557;11557;11557;11557;11557;11557;11558;11559;11560;11560;11560;11560;11560;11561
IDNG-MG-DP;LUMI-EMER-E1-1A-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11588;11589;11589;11589;11589;11589;11589;11590;11591;11592;11592;11592;11592;11592;11593
IDNG-MG-DP;LUMI-EMER-E1-38-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11620;11621;11621;11621;11621;11621;11621;11622;11623;11624;11624;11624;11624;11624;11625
IDNG-MG-DP;LUMI-EMER-E1-29-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11652;11653;11653;11653;11653;11653;11653;11654;11655;11656;11656;11656;11656;11656;11657
IDNG-MG-DP;LUMI-EMER-E1-4B-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11684;11685;11685;11685;11685;11685;11685;11686;11687;11688;11688;11688;11688;11688;11689
IDNG-MG-DP;LUMI-EMER-E1-36-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11716;11717;11717;11717;11717;11717;11717;11718;11719;11720;11720;11720;11720;11720;11721
IDNG-MG-DP;LUMI-EMER-E1-40-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11748;11749;11749;11749;11749;11749;11749;11750;11751;11752;11752;11752;11752;11752;11753
IDNG-MG-DP;LUMI-EMER-E1-17-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11780;11781;11781;11781;11781;11781;11781;11782;11783;11784;11784;11784;11784;11784;11785
IDNG-MG-DP;LUMI-EMER-E1-11-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11812;11813;11813;11813;11813;11813;11813;11814;11815;11816;11816;11816;11816;11816;11817
IDNG-MG-DP;LUMI-EMER-E1-10-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11844;11845;11845;11845;11845;11845;11845;11846;11847;11848;11848;11848;11848;11848;11849
IDNG-MG-DP;LUMI-EMER-E1-0D-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11876;11877;11877;11877;11877;11877;11877;11878;11879;11880;11880;11880;11880;11880;11881
IDNG-MG-DP;LUMI-EMER-E1-12-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11908;11909;11909;11909;11909;11909;11909;11910;11911;11912;11912;11912;11912;11912;11913
IDNG-MG-DP;LUMI-EMER-E1-18-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11940;11941;11941;11941;11941;11941;11941;11942;11943;11944;11944;11944;11944;11944;11945
IDNG-MG-DP;LUMI-EMER-E1-0B-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11972;11973;11973;11973;11973;11973;11973;11974;11975;11976;11976;11976;11976;11976;11977
IDNG-MG-DP;LUMI-EMER-E0-CE-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12004;12005;12005;12005;12005;12005;12005;12006;12007;12008;12008;12008;12008;12008;12009
IDNG-MG-DP;LUMI-EMER-E1-14-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12036;12037;12037;12037;12037;12037;12037;12038;12039;12040;12040;12040;12040;12040;12041
IDNG-MG-DP;LUMI-EMER-E1-2B-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12068;12069;12069;12069;12069;12069;12069;12070;12071;12072;12072;12072;12072;12072;12073
IDNG-MG-DP;LUMI-EMER-E1-45-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12100;12101;12101;12101;12101;12101;12101;12102;12103;12104;12104;12104;12104;12104;12105
IDNG-MG-DP;LUMI-EMER-E2-2C-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12132;12133;12133;12133;12133;12133;12133;12134;12135;12136;12136;12136;12136;12136;12137
IDNG-MG-DP;LUMI-EMER-E2-41-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12164;12165;12165;12165;12165;12165;12165;12166;12167;12168;12168;12168;12168;12168;12169
IDNG-MG-DP;LUMI-EMER-E2-70-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12196;12197;12197;12197;12197;12197;12197;12198;12199;12200;12200;12200;12200;12200;12201
IDNG-MG-DP;LUMI-EMER-E0-B6-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12228;12229;12229;12229;12229;12229;12229;12230;12231;12232;12232;12232;12232;12232;12233
IDNG-MG-DP;LUMI-EMER-E1-0F-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12260;12261;12261;12261;12261;12261;12261;12262;12263;12264;12264;12264;12264;12264;12265
IDNG-MG-DP;LUMI-EMER-E1-06-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12292;12293;12293;12293;12293;12293;12293;12294;12295;12296;12296;12296;12296;12296;12297
IDNG-MG-DP;LUMI-EMER-E1-37-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12324;12325;12325;12325;12325;12325;12325;12326;12327;12328;12328;12328;12328;12328;12329
IDNG-MG-DP;LUMI-EMER-E1-19-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12356;12357;12357;12357;12357;12357;12357;12358;12359;12360;12360;12360;12360;12360;12361
IDNG-MG-DP;LUMI-EMER-E1-21-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12388;12389;12389;12389;12389;12389;12389;12390;12391;12392;12392;12392;12392;12392;12393
IDNG-MG-DP;LUMI-EMER-E0-B1-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12420;12421;12421;12421;12421;12421;12421;12422;12423;12424;12424;12424;12424;12424;12425
IDNG-MG-DP;LUMI-EMER-E1-04-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12452;12453;12453;12453;12453;12453;12453;12454;12455;12456;12456;12456;12456;12456;12457
IDNG-MG-DP;LUMI-EMER-E1-0C-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12484;12485;12485;12485;12485;12485;12485;12486;12487;12488;12488;12488;12488;12488;12489
IDNG-MG-DP;LUMI-EMER-E1-35-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12516;12517;12517;12517;12517;12517;12517;12518;12519;12520;12520;12520;12520;12520;12521
IDNG-MG-DP;LUMI-EMER-E0-DF-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12548;12549;12549;12549;12549;12549;12549;12550;12551;12552;12552;12552;12552;12552;12553
IDNG-MG-DP;LUMI-EMER-E1-49-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12580;12581;12581;12581;12581;12581;12581;12582;12583;12584;12584;12584;12584;12584;12585
IDNG-MG-DP;LUMI-EMER-E1-03-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;12612;12613;12613;12613;12613;12613;12613;12614;12615;12616;12616;12616;12616;12616;12617
