item;stretch_type;alias;pk_ini;pk_end;lanes;road
111;Element;S2TS-ZON-002;0;0;0;AVO
112;Element;S2TS-ZON-003;0;0;0;AVO
113;Element;S2TS-ZON-004;0;0;0;AVO
114;Element;S2TS-ZON-005;0;0;0;AVO
115;Element;S2TS-ZON-006;0;0;0;AVO
116;Element;S2TS-ZON-007;0;0;0;AVO
117;Element;S2TS-ZON-008;0;0;0;AVO
118;Element;S2TS-ZON-009;0;0;0;AVO
119;Element;S2TS-ZON-010;0;0;0;AVO
120;Element;S2TS-ZON-011;0;0;0;AVO
121;Element;S2TS-ZON-012;0;0;0;AVO
122;Element;S2TS-ZON-013;0;0;0;AVO
123;Element;IVIP_EXT;0;0;0;AVO
124;Element;S2TS-ZON-014;0;0;0;AVO
125;Element;S2TS-ZON-015;0;0;0;AVO
126;Element;S2TS-ZON-016;0;0;0;AVO
127;Element;S2TS-ZON-017;0;0;0;AVO
128;Element;S2TS-ZON-018;0;0;0;AVO
129;Element;S2TS-ZON-019;0;0;0;AVO
130;Element;S2TS-ZON-020;0;0;0;AVO
131;Element;S2TS-ZON-021;0;0;0;AVO
132;Element;S2TS-ZON-022;0;0;0;AVO
133;Element;S2TS-ZON-023;0;0;0;AVO
134;Element;S2TS-ZON-024;0;0;0;AVO
135;Element;S2TS-ZON-025;0;0;0;AVO
136;Element;S2TS-ZON-026;0;0;0;AVO
137;Element;S2TS-ZON-027;0;0;0;AVO
138;Element;S2TS-ZON-028;0;0;0;AVO
139;Element;S2TS-ZON-029;0;0;0;AVO
140;Element;S2TS-ZON-030;0;0;0;AVO
141;Element;S2TS-ZON-031;0;0;0;AVO
142;Element;S2TS-ZON-032;0;0;0;AVO
143;Element;S2TS-ZON-033;0;0;0;AVO
144;Element;S2TS-ZON-034;0;0;0;AVO
145;Element;S2TS-ZON-035;0;0;0;AVO
146;Element;S2TS-ZON-036;0;0;0;AVO
147;Element;S2TS-ZON-037;0;0;0;AVO
148;Element;S2TS-ZON-038;0;0;0;AVO
149;Element;S2TS-ZON-039;0;0;0;AVO
150;Element;S2TS-ZON-040;0;0;0;AVO
151;Element;S2TS-ZON-041;0;0;0;AVO
152;Element;S2TS-ZON-042;0;0;0;AVO
153;Element;S2TS-ZON-043;0;0;0;AVO
154;Element;S2TS-ZON-044;0;0;0;AVO
155;Element;S2TS-ZON-045;0;0;0;AVO
156;Element;S2TS-ZON-046;0;0;0;AVO
157;Element;S2TS-ZON-047;0;0;0;AVO
158;Element;S2TS-ZON-048;0;0;0;AVO
159;Element;S2TS-ZON-049;0;0;0;AVO
160;Element;SAEB-ZON-001;0;0;0;AVO
161;Element;SAEB-ZON-002;0;0;0;AVO
162;Element;SAEB-ZON-003;0;0;0;AVO
163;Element;SAEB-ZON-004;0;0;0;AVO
164;Element;SAPR-ZON-001;0;0;0;AVO
165;Element;SBTP-ZON-001;0;0;0;AVO
166;Element;SBTP-ZON-002;0;0;0;AVO
167;Element;SCNO-ZON-001;0;0;0;AVO
168;Element;SCNO-ZON-002;0;0;0;AVO
169;Element;SCNO-ZON-003;0;0;0;AVO
170;Element;SCNO-ZON-004;0;0;0;AVO
171;Element;SCNO-ZON-005;0;0;0;AVO
172;Element;SCNO-ZON-006;0;0;0;AVO
173;Element;SICO-ZON-001;0;0;0;AVO
174;Element;SICO-ZON-002;0;0;0;AVO
175;Element;SICO-ZON-003;0;0;0;AVO
176;Element;SIGO-ZON-001;0;0;0;AVO
177;Element;SIGO-ZON-002;0;0;0;AVO
178;Element;SCNO-ZON-007;0;0;0;AVO
179;Element;SIVP-ZON-001;0;0;0;AVO
180;Element;SIVP-ZON-002;0;0;0;AVO
181;Element;SMPN-ZON-001;0;0;0;AVO
182;Element;SMPN-ZON-002;0;0;0;AVO
183;Element;SMPN-ZON-003;0;0;0;AVO
184;Element;SMPS-ZON-001;0;0;0;AVO
185;Element;SMPS-ZON-002;0;0;0;AVO
186;Element;SMPS-ZON-003;0;0;0;AVO
187;Element;SMPS-ZON-004;0;0;0;AVO
188;Element;SMPS-ZON-005;0;0;0;AVO
189;Element;SMPS-ZON-006;0;0;0;AVO
190;Element;SNUK-ZON-001;0;0;0;AVO
191;Element;SNUK-ZON-002;0;0;0;AVO
192;Element;SNUK-ZON-003;0;0;0;AVO
193;Element;SNKO-ZON-004;0;0;0;AVO
194;Element;SNKO-ZON-005;0;0;0;AVO
195;Element;SNKP-ZON-001;0;0;0;AVO
196;Element;SNKP-ZON-002;0;0;0;AVO
197;Element;SVIP-ZON-001;0;0;0;AVO
198;Element;SVIP-ZON-002;0;0;0;AVO
199;Element;ICEP_EXT;0;0;0;AVO
200;Element;INKP_EXT;0;0;0;AVO
201;Element;;0;0;0;AVO
202;Element;IPRO_EXT;0;0;0;AVO
203;Element;ICCO_EXT;0;0;0;AVO
204;Element;ICCP_EXT;0;0;0;AVO
205;Element;IBTO_EXT;0;0;0;AVO
206;Element;SIGO_EXT;0;0;0;AVO
207;Element;SBTP_EXT;0;0;0;AVO
208;Element;SCNO_EXT;0;0;0;AVO
209;Element;S1TN_EXT;0;0;0;AVO
210;Element;SAPR_EXT;0;0;0;AVO
211;Element;IVEN_EXT;0;0;0;AVO
212;Element;ICEO_EXT;0;0;0;AVO
1001;Element;Secc.01-09-15;0;0;0;AVO
1002;Element;Secc.01-19-15;0;0;0;AVO
1003;Element;Secc.01-21-15;0;0;0;AVO
1004;Element;Secc.01-84-15;0;0;0;AVO
1005;Element;Secc.01-23-15;0;0;0;AVO
1006;Element;Secc.01-14-03;0;0;0;AVO
1007;Element;Secc.01-25-01;0;0;0;AVO
1008;Element;Secc.01-86-02;0;0;0;AVO
1009;Element;Secc.01-10-14;0;0;0;AVO
1010;Element;Secc.01-10-01;0;0;0;AVO
1011;Element;Secc.01-10-02;0;0;0;AVO
1012;Element;Secc.01-10-03;0;0;0;AVO
1013;Element;Secc.01-11-13;0;0;0;AVO
1014;Element;Secc.01-11-12;0;0;0;AVO
1015;Element;Secc.02-16-04;0;0;0;AVO
1016;Element;Secc.02-29-04;0;0;0;AVO
1017;Element;Secc.02-47-04;0;0;0;AVO
1018;Element;Secc.02-303-05;0;0;0;AVO
1019;Element;Secc.02-260-06;0;0;0;AVO
1020;Element;Secc.02-256-07;0;0;0;AVO
1021;Element;Secc.02-257-07;0;0;0;AVO
1022;Element;Secc.02-10-04;0;0;0;AVO
1023;Element;Secc.02-10-05;0;0;0;AVO
1024;Element;Secc.02-10-06;0;0;0;AVO
1025;Element;Secc.02-10-07;0;0;0;AVO
1026;Element;Secc.03-15-12;0;0;0;AVO
1027;Element;Secc.03-42-11;0;0;0;AVO
1028;Element;Secc.03-43-11;0;0;0;AVO
1029;Element;Secc.03-30-11;0;0;0;AVO
1030;Element;Secc.03-45-11;0;0;0;AVO
1031;Element;Secc.03-57-10;0;0;0;AVO
1032;Element;Secc.03-253-10;0;0;0;AVO
1033;Element;Secc.03-252-10;0;0;0;AVO
1034;Element;Secc.03-258-09;0;0;0;AVO
1035;Element;Secc.03-255-08;0;0;0;AVO
1036;Element;Secc.03-11-11;0;0;0;AVO
1037;Element;Secc.03-11-10;0;0;0;AVO
1038;Element;Secc.03-11-09;0;0;0;AVO
1039;Element;Secc.03-11-08;0;0;0;AVO
1040;Element;Secc.03-11-13;0;0;0;AVO
1041;Element;Exterior tunel;0;0;0;AVO
1042;Element;Secc.03-303-05;0;0;0;AVO
2001;Element;Local_Técnico_1;0;0;0;AVO
2002;Element;Local_Técnico_2;0;0;0;AVO
2003;Element;Local_Técnico_3;0;0;0;AVO
2004;Element;Local_Técnico_4;0;0;0;AVO
2005;Element;Local_Técnico_5;0;0;0;AVO
2006;Element;Local_Técnico_6;0;0;0;AVO
2007;Element;Local_Técnico_7;0;0;0;AVO
2008;Element;Local_Técnico_8;0;0;0;AVO
2009;Element;Centro_Control;0;0;0;AVO
