device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_state(i)
TUN-MAG-F1-EDIF-ITS;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4056
TUN-MAG-F2-EDIF-ITS;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4057
TUN-INT-GEN-EDIF-PCI;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4058
TUN-MAG-ITS1;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4059
TUN-INT-ITS1;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4060
TUN-MAGDIF-BF10;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4061
TUN-MAGDIF-BF11;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4062
TUN-MAGDIF-BF13-2;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4063
TUN-MAGDIF-BF13-3;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4064
TUN-MAGDIF-BF13-4;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4065
TUN-MAGDIF-BF13-5;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4066
TUN-MAGDIF-BF13-6;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4067
TUN-MAGDIF-BF13-7;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4068
TUN-MAGDIF-BF13-1;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4069
TUN-MAGDIF-BF14-2;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4070
