item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_state;param5_circuit_type
82;RV-CONT-AA8-SC;Cont. 16 A,IV;RV-CONT-AA8-SC;AP7 - AUSOL I;RV-TUNEL;177+317;CA;SendStateToIllumination.groovy;Permanente
83;RV-CONT-AA2-SM;Cont. 16 A,IV;RV-CONT-AA2-SM;AP7 - AUSOL I;RV-TUNEL;177+317;CA;SendStateToIllumination.groovy;Permanente
84;RV-CONT-AA1-SM;Cont. 16 A,IV;RV-CONT-AA1-SM;AP7 - AUSOL I;RV-TUNEL;177+317;CA;SendStateToIllumination.groovy;Permanente
85;RV-CONT-AE7-SM;Cont. 16 A,IV;RV-CONT-AE7-SM;AP7 - AUSOL I;RV-TUNEL;177+317;CA;SendStateToIllumination.groovy;Guiado
86;RV-CONT-AE14-SC;Cont. 16 A,IV;RV-CONT-AE14-SC;AP7 - AUSOL I;RV-TUNEL;177+317;CA;SendStateToIllumination.groovy;Guiado
87;RV-CONT-AE15-SC;Cont. 16 A,IV;RV-CONT-AE15-SC;AP7 - AUSOL I;RV-TUNEL;177+317;CA;SendStateToIllumination.groovy;Guiado
88;RV-CONT-AE16-SM;Cont. 16 A,IV;RV-CONT-AE16-SM;AP7 - AUSOL I;RV-TUNEL;177+317;CA;SendStateToIllumination.groovy;Guiado
89;MM-CONT-A9-SC;Cont. 16 A,IV;MM-CONT-A9-SC;AP7 - AUSOL I;MM-TUNEL;166+317;CA;SendStateToIllumination.groovy;Refuerzo
90;MM-CONT-A11-SC;Cont. 16 A,IV;MM-CONT-A11-SC;AP7 - AUSOL I;MM-TUNEL;166+317;CA;SendStateToIllumination.groovy;Refuerzo
91;MM-CONT-A12-SC;Cont. 16 A,IV;MM-CONT-A12-SC;AP7 - AUSOL I;MM-TUNEL;166+317;CA;SendStateToIllumination.groovy;Refuerzo
92;MM-CONT-A14-SC;Cont. 16 A,IV;MM-CONT-A14-SC;AP7 - AUSOL I;MM-TUNEL;166+317;CA;SendStateToIllumination.groovy;Refuerzo
93;MM-CONT-A4-SM;Cont. 16 A,IV;MM-CONT-A4-SM;AP7 - AUSOL I;MM-TUNEL;166+317;CA;SendStateToIllumination.groovy;Refuerzo
94;MM-CONT-A6-SM;Cont. 16 A,IV;MM-CONT-A6-SM;AP7 - AUSOL I;MM-TUNEL;166+317;CA;SendStateToIllumination.groovy;Refuerzo
95;MM-CONT-A3-SM;Cont. 16 A,IV;MM-CONT-A3-SM;AP7 - AUSOL I;MM-TUNEL;166+317;CA;SendStateToIllumination.groovy;Refuerzo
96;MM-CONT-A5-SM;Cont. 16 A,IV;MM-CONT-A5-SM;AP7 - AUSOL I;MM-TUNEL;166+317;CA;SendStateToIllumination.groovy;Refuerzo
97;MM-CONT-AA7-SC;Cont. 16 A,IV;MM-CONT-AA7-SC;AP7 - AUSOL I;MM-TUNEL;166+317;CA;SendStateToIllumination.groovy;Permanente
98;MM-CONT-AA10-SC;Cont. 16 A,IV;MM-CONT-AA10-SC;AP7 - AUSOL I;MM-TUNEL;166+317;CA;SendStateToIllumination.groovy;Permanente
99;MM-CONT-AA2-SM;Cont. 16 A,IV;MM-CONT-AA2-SM;AP7 - AUSOL I;MM-TUNEL;166+317;CA;SendStateToIllumination.groovy;Permanente
100;MM-CONT-AA1-SM;Cont. 16 A,IV;MM-CONT-AA1-SM;AP7 - AUSOL I;MM-TUNEL;166+317;CA;SendStateToIllumination.groovy;Permanente
101;MM-CONT-AE13-SM;Cont. 16 A,IV;MM-CONT-AE13-SM;AP7 - AUSOL I;MM-TUNEL;166+317;CA;SendStateToIllumination.groovy;Guiado
102;MM-CONT-AE16-SC;Cont. 16 A,IV;MM-CONT-AE16-SC;AP7 - AUSOL I;MM-TUNEL;166+317;CA;SendStateToIllumination.groovy;Guiado
103;MM-CONT-AE17-SC;Cont. 16 A,IV;MM-CONT-AE17-SC;AP7 - AUSOL I;MM-TUNEL;166+317;CA;SendStateToIllumination.groovy;Guiado
104;MM-CONT-AE18-SM;Cont. 16 A,IV;MM-CONT-AE18-SM;AP7 - AUSOL I;MM-TUNEL;166+317;CA;SendStateToIllumination.groovy;Guiado
105;MM-CONT-A17-SC;Cont. 16 A,IV;MM-CONT-A17-SC;AP7 - AUSOL I;MM-TUNEL;166+317;CA;SendStateToIllumination.groovy;Aproximación
106;MM-CONT-A18-SC;Cont. 16 A,IV;MM-CONT-A18-SC;AP7 - AUSOL I;MM-TUNEL;166+317;CA;SendStateToIllumination.groovy;Aproximación
107;MM-CONT-A19-SM;Cont. 16 A,IV;MM-CONT-A19-SM;AP7 - AUSOL I;MM-TUNEL;166+317;CA;SendStateToIllumination.groovy;Aproximación
108;MM-CONT-A20-SM;Cont. 16 A,IV;MM-CONT-A20-SM;AP7 - AUSOL I;MM-TUNEL;166+317;CA;SendStateToIllumination.groovy;Aproximación
109;STMI-CONT-AA1-SC;I.Autom.IV 40A Curvas B;STMI-CONT-AA1-SC;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;SendStateToIllumination.groovy;Permanente
110;STMI-CONT-AA2-SC;I.Autom.IV 40A Curvas B;STMI-CONT-AA2-SC;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;SendStateToIllumination.groovy;Permanente
111;STMI-CONT-AA6-SM;I.Autom.IV 40A Curvas B;STMI-CONT-AA6-SM;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;SendStateToIllumination.groovy;Permanente
112;STMI-CONT-AA7-SM;I.Autom.IV 40A Curvas B;STMI-CONT-AA7-SM;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;SendStateToIllumination.groovy;Permanente
113;STMI-CONT-AE5-SC;I.Autom.IV 40A Curvas B;STMI-CONT-AE5-SC;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;SendStateToIllumination.groovy;Guiado
114;STMI-CONT-AE10-SM;I.Autom.IV 40A Curvas B;STMI-CONT-AE10-SM;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;SendStateToIllumination.groovy;Guiado
117;STMI-CONT-A11;I.Autom.IV 40A Curvas B;STMI-CONT-A11;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;SendStateToIllumination.groovy;Aproximación
118;STMI-CONT-A12;I.Autom.IV 40A Curvas B;STMI-CONT-A12;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;SendStateToIllumination.groovy;Aproximación
119;STMI-CONT-A13;I.Autom.IV 40A Curvas B;STMI-CONT-A13;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;SendStateToIllumination.groovy;Aproximación
120;STMI-CONT-A14;I.Autom.IV 40A Curvas B;STMI-CONT-A14;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;SendStateToIllumination.groovy;Aproximación
121;STMI-CONT-A3-SC;Cont. 16 A,IV;STMI-CONT-A3-SC;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;SendStateToIllumination.groovy;Refuerzo
122;STMI-CONT-A4-SC;Cont. 16 A,IV;STMI-CONT-A4-SC;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;SendStateToIllumination.groovy;Refuerzo
123;STMI-CONT-A8-SM;Cont. 16 A,IV;STMI-CONT-A8-SM;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;SendStateToIllumination.groovy;Refuerzo
124;STMI-CONT-A9-SM;Cont. 16 A,IV;STMI-CONT-A9-SM;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;SendStateToIllumination.groovy;Refuerzo
125;LQ-CONT-AA1-SC;Cont. 16 A,IV;LQ-CONT-AA1-SC;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Permanente
126;LQ-CONT-AA15-SC;Cont. 16 A,IV;LQ-CONT-AA15-SC;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Permanente
127;LQ-CONT-AA2-SC;Cont. 16 A,IV;LQ-CONT-AA2-SC;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Permanente
128;LQ-CONT-AA16-SC;Cont. 16 A,IV;LQ-CONT-AA16-SC;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Permanente
129;LQ-CONT-AA11-SM;Cont. 16 A,IV;LQ-CONT-AA11-SM;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Permanente
130;LQ-CONT-AA21-SM;Cont. 16 A,IV;LQ-CONT-AA21-SM;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Permanente
131;LQ-CONT-AA10-SM;Cont. 16 A,IV;LQ-CONT-AA10-SM;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Permanente
132;LQ-CONT-AA20-SM;Cont. 16 A,IV;LQ-CONT-AA20-SM;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Permanente
133;LQ-CONT-AE14-SM;Cont. 16 A,IV;LQ-CONT-AE14-SM;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Guiado
134;LQ-CONT-AE9-SC;Cont. 16 A,IV;LQ-CONT-AE9-SC;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Guiado
137;LQ-CONT-A29-SC;Cont. 16 A,IV;LQ-CONT-A29-SC;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Aproximación
138;LQ-CONT-A30-SC;Cont. 16 A,IV;LQ-CONT-A30-SC;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Aproximación
139;LQ-CONT-A31-SM;Cont. 16 A,IV;LQ-CONT-A31-SM;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Aproximación
140;LQ-CONT-A32-SM;Cont. 16 A,IV;LQ-CONT-A32-SM;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Aproximación
141;LQ-CONT-A3-SC;Cont. 16 A,IV;LQ-CONT-A3-SC;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Refuerzo
142;LQ-CONT-A5-SC;Cont. 16 A,IV;LQ-CONT-A5-SC;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Refuerzo
143;LQ-CONT-A4-SC;Cont. 16 A,IV;LQ-CONT-A4-SC;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Refuerzo
144;LQ-CONT-A6-SC;Cont. 16 A,IV;LQ-CONT-A6-SC;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Refuerzo
145;LQ-CONT-A13-SM;Cont. 16 A,IV;LQ-CONT-A13-SM;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Refuerzo
146;LQ-CONT-A23-SM;Cont. 16 A,IV;LQ-CONT-A23-SM;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Refuerzo
147;LQ-CONT-A12-SM;Cont. 16 A,IV;LQ-CONT-A12-SM;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Refuerzo
148;LQ-CONT-A22-SM;Cont. 16 A,IV;LQ-CONT-A22-SM;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Refuerzo
149;LQ-CONT-A33-SM;Cont. 16 A,IV;LQ-CONT-A33-SM;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Refuerzo
150;LQ-CONT-A34-SM;Cont. 16 A,IV;LQ-CONT-A34-SM;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Refuerzo
151;LQ-CONT-A35-SM;Cont. 16 A,IV;LQ-CONT-A35-SM;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Refuerzo
152;LQ-CONT-A36-SM;Cont. 16 A,IV;LQ-CONT-A36-SM;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendStateToIllumination.groovy;Refuerzo
153;CH-CONT-A3-SC;CH-CONT-A3-SC;CH-CONT-A3-SC;AP7 - AUSOL I;CH-TUNEL;13+825;CA;SendStateToIllumination.groovy;Refuerzo
154;CH-CONT-A5-SC;CH-CONT-A5-SC;CH-CONT-A5-SC;AP7 - AUSOL I;CH-TUNEL;13+825;CA;SendStateToIllumination.groovy;Refuerzo
155;CH-CONT-A7-SC;CH-CONT-A7-SC;CH-CONT-A7-SC;AP7 - AUSOL I;CH-TUNEL;13+825;CA;SendStateToIllumination.groovy;Refuerzo
156;CH-CONT-A4-SC;CH-CONT-A4-SC;CH-CONT-A4-SC;AP7 - AUSOL I;CH-TUNEL;13+825;CA;SendStateToIllumination.groovy;Refuerzo
157;CH-CONT-A6-SC;CH-CONT-A6-SC;CH-CONT-A6-SC;AP7 - AUSOL I;CH-TUNEL;13+825;CA;SendStateToIllumination.groovy;Refuerzo
158;CH-CONT-A8-SC;CH-CONT-A8-SC;CH-CONT-A8-SC;AP7 - AUSOL I;CH-TUNEL;13+825;CA;SendStateToIllumination.groovy;Refuerzo
159;CH-CONT-A14-SM;CH-CONT-A14-SM;CH-CONT-A14-SM;AP7 - AUSOL I;CH-TUNEL;13+825;CA;SendStateToIllumination.groovy;Refuerzo
160;CH-CONT-A16-SM;CH-CONT-A16-SM;CH-CONT-A16-SM;AP7 - AUSOL I;CH-TUNEL;13+825;CA;SendStateToIllumination.groovy;Refuerzo
161;CH-CONT-A18-SM;CH-CONT-A18-SM;CH-CONT-A18-SM;AP7 - AUSOL I;CH-TUNEL;13+825;CA;SendStateToIllumination.groovy;Refuerzo
162;CH-CONT-A11-SM;CH-CONT-A11-SM;CH-CONT-A11-SM;AP7 - AUSOL I;CH-TUNEL;13+825;CA;SendStateToIllumination.groovy;Refuerzo
163;CH-CONT-A13-SM;CH-CONT-A13-SM;CH-CONT-A13-SM;AP7 - AUSOL I;CH-TUNEL;13+825;CA;SendStateToIllumination.groovy;Refuerzo
164;CH-CONT-A15-SM;CH-CONT-A15-SM;CH-CONT-A15-SM;AP7 - AUSOL I;CH-TUNEL;13+825;CA;SendStateToIllumination.groovy;Refuerzo
165;CH-CONT-AA1-SM;CH-CONT-AA1-SM;CH-CONT-AA1-SM;AP7 - AUSOL I;CH-TUNEL;13+825;CA;SendStateToIllumination.groovy;Permanente
166;CH-CONT-AA2-SM;CH-CONT-AA2-SM;CH-CONT-AA2-SM;AP7 - AUSOL I;CH-TUNEL;13+825;CA;SendStateToIllumination.groovy;Permanente
167;CH-CONT-AA12-SC;CH-CONT-AA12-SC;CH-CONT-AA12-SC;AP7 - AUSOL I;CH-TUNEL;13+825;CA;SendStateToIllumination.groovy;Permanente
168;CH-CONT-AA9-SC;CH-CONT-AA9-SC;CH-CONT-AA9-SC;AP7 - AUSOL I;CH-TUNEL;13+825;CA;SendStateToIllumination.groovy;Permanente
169;CH-CONT-AE10-SC;CH-CONT-AE10-SC;CH-CONT-AE10-SC;AP7 - AUSOL I;CH-TUNEL;13+825;CA;SendStateToIllumination.groovy;Guiado
170;CH-CONT-AE17-SM;CH-CONT-AE17-SM;CH-CONT-AE17-SM;AP7 - AUSOL I;CH-TUNEL;13+825;CA;SendStateToIllumination.groovy;Guiado
173;CH-CONT-A19-SC;CH-CONT-A19-SC;CH-CONT-A19-SC;AP7 - AUSOL I;CH-TUNEL;13+825;CA;SendStateToIllumination.groovy;Aproximación
174;CH-CONT-A20-SC;CH-CONT-A20-SC;CH-CONT-A20-SC;AP7 - AUSOL I;CH-TUNEL;13+825;CA;SendStateToIllumination.groovy;Aproximación
175;CH-CONT-A21-SM;CH-CONT-A21-SM;CH-CONT-A21-SM;AP7 - AUSOL I;CH-TUNEL;13+825;CA;SendStateToIllumination.groovy;Aproximación
176;CH-CONT-A22-SM;CH-CONT-A22-SM;CH-CONT-A22-SM;AP7 - AUSOL I;CH-TUNEL;13+825;CA;SendStateToIllumination.groovy;Aproximación
181;CAS-CONT-AA1-SC;CAS-CONT-AA1-SC;CAS-CONT-AA1-SC;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Permanente
182;CAS-CONT-AA2-SC;CAS-CONT-AA2-SC;CAS-CONT-AA2-SC;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Permanente
183;CAS-CONT-AA10-SM;CAS-CONT-AA10-SM;CAS-CONT-AA10-SM;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Permanente
184;CAS-CONT-AA11-SM;CAS-CONT-AA11-SM;CAS-CONT-AA11-SM;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Permanente
185;CAS-CONT-AE9-SM;CAS-CONT-AE9-SM;CAS-CONT-AE9-SM;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Guiado
186;CAS-CONT-AE12-SC;CAS-CONT-AE12-SC;CAS-CONT-AE12-SC;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Guiado
189;CAS-CONT-A15-SC;CAS-CONT-A15-SC;CAS-CONT-A15-SC;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Aproximacion
190;CAS-CONT-A16-SM;CAS-CONT-A16-SM;CAS-CONT-A16-SM;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Aproximacion
191;CAS-CONT-A3-SC;CAS-CONT-A3-SC;CAS-CONT-A3-SC;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Refuerzo
192;CAS-CONT-A5-SC;CAS-CONT-A5-SC;CAS-CONT-A5-SC;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Refuerzo
193;CAS-CONT-A4-SC;CAS-CONT-A4-SC;CAS-CONT-A4-SC;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Refuerzo
194;CAS-CONT-A6-SC;CAS-CONT-A6-SC;CAS-CONT-A6-SC;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Refuerzo
195;CAS-CONT-AA10-SC;CAS-CONT-AA10-SC;CAS-CONT-AA10-SC;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Permanente
196;CAS-CONT-AA11-SC;CAS-CONT-AA11-SC;CAS-CONT-AA11-SC;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Permanente
197;CAS-CONT-AA1-SM;CAS-CONT-AA1-SM;CAS-CONT-AA1-SM;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Permanente
198;CAS-CONT-AA2-SM;CAS-CONT-AA2-SM;CAS-CONT-AA2-SM;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Permanente
199;CAS-CONT-AE9-SC;CAS-CONT-AE9-SC;CAS-CONT-AE9-SC;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Guiado
200;CAS-CONT-AE12-SM;CAS-CONT-AE12-SM;CAS-CONT-AE12-SM;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Guiado
203;CAS-CONT-A13-SC;CAS-CONT-A13-SC;CAS-CONT-A13-SC;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Aproximacion
204;CAS-CONT-A14-SM;CAS-CONT-A14-SM;CAS-CONT-A14-SM;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Aproximacion
205;CAS-CONT-A3-SM;CAS-CONT-A3-SM;CAS-CONT-A3-SM;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Refuerzo
206;CAS-CONT-A5-SM;CAS-CONT-A5-SM;CAS-CONT-A5-SM;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Refuerzo
207;CAS-CONT-A4-SM;CAS-CONT-A4-SM;CAS-CONT-A4-SM;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Refuerzo
208;CAS-CONT-A6-SM;CAS-CONT-A6-SM;CAS-CONT-A6-SM;AP7 - AUSOL II;CAS-TUNEL;147+505;CA;SendStateToIllumination.groovy;Refuerzo
216;COR-CONT-A3-SM;COR-CONT-A3-SM;COR-CONT-A3-SM;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Refuerzo
217;COR-CONT-A5-SM;COR-CONT-A5-SM;COR-CONT-A5-SM;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Refuerzo
218;COR-CONT-A4-SM;COR-CONT-A4-SM;COR-CONT-A4-SM;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Refuerzo
219;COR-CONT-A6-SM;COR-CONT-A6-SM;COR-CONT-A6-SM;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Refuerzo
220;COR-CONT-AA12-SC;COR-CONT-AA12-SC;COR-CONT-AA12-SC;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Permanente
221;COR-CONT-AA9-SC;COR-CONT-AA9-SC;COR-CONT-AA9-SC;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Permanente
222;COR-CONT-AA1-SM;COR-CONT-AA1-SM;COR-CONT-AA1-SM;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Permanente
223;COR-CONT-AA2-SM;COR-CONT-AA2-SM;COR-CONT-AA2-SM;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Permanente
224;COR-CONT-AE10-SM;COR-CONT-AE10-SM;COR-CONT-AE10-SM;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Guiado
225;COR-CONT-AE11-SC;COR-CONT-AE11-SC;COR-CONT-AE11-SC;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Guiado
228;COR-CONT-A12-SC;COR-CONT-A12-SC;COR-CONT-A12-SC;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Aproximación
229;COR-CONT-A13-SM;COR-CONT-A13-SM;COR-CONT-A13-SM;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Aproximación
230;COR-CONT-A3-SC;COR-CONT-A3-SC;COR-CONT-A3-SC;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Refuerzo
231;COR-CONT-A5-SC;COR-CONT-A5-SC;COR-CONT-A5-SC;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Refuerzo
232;COR-CONT-A4-SC;COR-CONT-A4-SC;COR-CONT-A4-SC;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Refuerzo
233;COR-CONT-A6-SC;COR-CONT-A6-SC;COR-CONT-A6-SC;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Refuerzo
234;COR-CONT-AA1-SC;COR-CONT-AA1-SC;COR-CONT-AA1-SC;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Permanente
235;COR-CONT-AA2-SC;COR-CONT-AA2-SC;COR-CONT-AA2-SC;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Permanente
236;COR-CONT-AA12-SM;COR-CONT-AA12-SM;COR-CONT-AA12-SM;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Permanente
237;COR-CONT-AA9-SM;COR-CONT-AA9-SM;COR-CONT-AA9-SM;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Permanente
238;COR-CONT-AE10-SC;COR-CONT-AE10-SC;COR-CONT-AE10-SC;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Guiado
239;COR-CONT-AE11-SM;COR-CONT-AE11-SM;COR-CONT-AE11-SM;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Guiado
242;COR-CONT-A14-SC;COR-CONT-A14-SC;COR-CONT-A14-SC;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Aproximación
243;COR-CONT-A15-SM;COR-CONT-A15-SM;COR-CONT-A15-SM;AP7 - AUSOL II;COR-TUNEL;151+823;CA;SendStateToIllumination.groovy;Aproximación
244;EST-CONT-AA1-SC;EST-CONT-AA1-SC;EST-CONT-AA1-SC;AP7 - AUSOL II;EST-TUNEL;177+229;CA;SendStateToIllumination.groovy;Permanente
245;EST-CONT-AA2-SC;EST-CONT-AA2-SC;EST-CONT-AA2-SC;AP7 - AUSOL II;EST-TUNEL;177+229;CA;SendStateToIllumination.groovy;Permanente
246;EST-CONT-AA6-SM;EST-CONT-AA6-SM;EST-CONT-AA6-SM;AP7 - AUSOL II;EST-TUNEL;177+229;CA;SendStateToIllumination.groovy;Permanente
