item;alias;description;sessionuid;road;stretchs;secc;pk;dm
20;CT06-EMR-001;CT06-EMR-001;CT06-EMR-001;AVO;;Secc.02-10-05;42+58;6280
21;CT06-EMR-002;CT06-EMR-002;CT06-EMR-002;AVO;;Secc.02-10-05;42+58;6280
22;AL.SE7.1-S1;AL.SE7.1-S1;AL.SE7.1-S1;AVO;;Secc.02-10-06;43+52;7220
23;AL.SE7.1-P1;AL.SE7.1-P1;AL.SE7.1-P1;AVO;;Secc.02-10-06;43+52;7220
24;CT07-EMR-001;CT07-EMR-001;CT07-EMR-001;AVO;;Secc.02-10-05;42+58;7220
25;CT07-EMR-002;CT07-EMR-002;CT07-EMR-002;AVO;;Secc.02-10-05;42+58;7220
26;AL.SE8.2.S1;AL.SE8.2.S1;AL.SE8.2.S1;AVO;;Secc.02-10-05;42+58;6280
27;AL.SE8.1.P1;AL.SE8.1.P1;AL.SE8.1.P1;AVO;;Secc.02-10-05;42+58;6280
28;CT08-EMR-001;CT08-EMR-001;CT08-EMR-001;AVO;;Secc.03-11-08;44+52;8220
29;CT08-EMR-002;CT08-EMR-002;CT08-EMR-002;AVO;;Secc.03-11-08;44+52;8220
30;AL.SE1-S2;AL.SE1-S2;AL.SE1-S2;AVO;;Secc.01-10-01;37+50;620
31;AL.SE1-S3;AL.SE1-S3;AL.SE1-S3;AVO;;Secc.01-10-01;37+50;620
32;AL.SE1-S4;AL.SE1-S4;AL.SE1-S4;AVO;;Secc.01-10-01;37+50;620
33;AL.SE1-P2;AL.SE1-P2;AL.SE1-P2;AVO;;Secc.01-10-01;37+50;620
34;AL.SE1-P3;AL.SE1-P3;AL.SE1-P3;AVO;;Secc.01-10-01;37+50;620
35;AL.SE2-S2;AL.SE2-S2;AL.SE2-S2;AVO;;Secc.01-10-01;38+048;1748
36;AL.SE2-P2;AL.SE2-P2;AL.SE2-P2;AVO;;Secc.01-10-01;38+048;1748
37;AL.SE2-P3;AL.SE2-P3;AL.SE2-P3;AVO;;Secc.01-10-01;38+048;1748
38;AL.SE2-P4;AL.SE2-P4;AL.SE2-P4;AVO;;Secc.01-10-01;38+048;1748
39;AL.SE2-P5;AL.SE2-P5;AL.SE2-P5;AVO;;Secc.01-10-01;38+048;1748
40;AL.SE2-P6;AL.SE2-P6;AL.SE2-P6;AVO;;Secc.01-10-01;38+048;1748
41;AL.SE2-P7;AL.SE2-P7;AL.SE2-P7;AVO;;Secc.01-10-01;38+048;1748
42;AL.SE2-P8;AL.SE2-P8;AL.SE2-P8;AVO;;Secc.01-10-01;38+048;1748
43;AL.SE2-P9;AL.SE2-P9;AL.SE2-P9;AVO;;Secc.01-10-01;38+048;1748
44;AL.SE3-P2;AL.SE3-P2;AL.SE3-P2;AVO;;Secc.01-11-12;39+015;2715
45;AL.SE3-P3;AL.SE3-P3;AL.SE3-P3;AVO;;Secc.01-11-12;39+015;2715
46;AL.SE3-P4;AL.SE3-P4;AL.SE3-P4;AVO;;Secc.01-11-12;39+015;2715
47;AL.SE3-P5;AL.SE3-P5;AL.SE3-P5;AVO;;Secc.01-11-12;39+015;2715
48;AL.SE3-P6;AL.SE3-P6;AL.SE3-P6;AVO;;Secc.01-11-12;39+015;2715
49;AL.SE3-P7;AL.SE3-P7;AL.SE3-P7;AVO;;Secc.01-11-12;39+015;2715
50;AL.SE3-P8;AL.SE3-P8;AL.SE3-P8;AVO;;Secc.01-11-12;39+015;2715
51;AL.SE3-P9;AL.SE3-P9;AL.SE3-P9;AVO;;Secc.01-11-12;39+015;2715
52;AL.SE3-P10;AL.SE3-P10;AL.SE3-P10;AVO;;Secc.01-11-12;39+015;2715
53;AL.SE3-P11;AL.SE3-P11;AL.SE3-P11;AVO;;Secc.01-11-12;39+015;2715
54;AL.SE3-P12;AL.SE3-P12;AL.SE3-P12;AVO;;Secc.01-11-12;39+015;2715
55;AL.SE3-P13;AL.SE3-P13;AL.SE3-P13;AVO;;Secc.01-11-12;39+015;2715
56;AL.SE3-P14;AL.SE3-P14;AL.SE3-P14;AVO;;Secc.01-11-12;39+015;2715
57;AL.SE3-P15;AL.SE3-P15;AL.SE3-P15;AVO;;Secc.01-11-12;39+015;2715
58;AL.SE3-P16;AL.SE3-P16;AL.SE3-P16;AVO;;Secc.01-11-12;39+015;2715
59;AL.SE3-S2;AL.SE3-S2;AL.SE3-S2;AVO;;Secc.01-11-12;39+015;2715
60;AL.SE3-S3;AL.SE3-S3;AL.SE3-S3;AVO;;Secc.01-11-12;39+015;2715
61;AL.SE3-S4;AL.SE3-S4;AL.SE3-S4;AVO;;Secc.01-11-12;39+015;2715
62;AL.SE3-S5;AL.SE3-S5;AL.SE3-S5;AVO;;Secc.01-11-12;39+015;2715
63;AL.SE3-S6;AL.SE3-S6;AL.SE3-S6;AVO;;Secc.01-11-12;39+015;2715
64;AL.SE3-S7;AL.SE3-S7;AL.SE3-S7;AVO;;Secc.01-11-12;39+015;2715
65;AL.SE3-S8;AL.SE3-S8;AL.SE3-S8;AVO;;Secc.01-11-12;39+015;2715
66;AL.SE3-S9;AL.SE3-S9;AL.SE3-S9;AVO;;Secc.01-11-12;39+015;2715
67;AL.SE3-S10;AL.SE3-S10;AL.SE3-S10;AVO;;Secc.01-11-12;39+015;2715
68;AL.SE3-S11;AL.SE3-S11;AL.SE3-S11;AVO;;Secc.01-11-12;39+015;2715
69;AL.SE4-P2;AL.SE4-P2;AL.SE4-P2;AVO;;Secc.02-10-04;40+37;4070
70;AL.SE4-P3;AL.SE4-P3;AL.SE4-P3;AVO;;Secc.02-10-04;40+37;4070
71;AL.SE4-P4;AL.SE4-P4;AL.SE4-P4;AVO;;Secc.02-10-04;40+37;4070
72;AL.SE4-P5;AL.SE4-P5;AL.SE4-P5;AVO;;Secc.02-10-04;40+37;4070
73;AL.SE4-P6;AL.SE4-P6;AL.SE4-P6;AVO;;Secc.02-10-04;40+37;4070
74;AL.SE4-P7;AL.SE4-P7;AL.SE4-P7;AVO;;Secc.02-10-04;40+37;4070
75;AL.SE4-P8;AL.SE4-P8;AL.SE4-P8;AVO;;Secc.02-10-04;40+37;4070
76;AL.SE4-P9;AL.SE4-P9;AL.SE4-P9;AVO;;Secc.02-10-04;40+37;4070
77;AL.SE4-P10;AL.SE4-P10;AL.SE4-P10;AVO;;Secc.02-10-04;40+37;4070
78;AL.SE4-P11;AL.SE4-P11;AL.SE4-P11;AVO;;Secc.02-10-04;40+37;4070
79;AL.SE4-S2;AL.SE4-S2;AL.SE4-S2;AVO;;Secc.02-10-04;40+37;4070
80;AL.SE4-S3;AL.SE4-S3;AL.SE4-S3;AVO;;Secc.02-10-04;40+37;4070
81;AL.SE4.2-P1;AL.SE4.2-P1;AL.SE4.2-P1;AVO;;Secc.02-10-04;40+37;4070
82;AL.SE4.2-P2;AL.SE4.2-P2;AL.SE4.2-P2;AVO;;Secc.02-10-04;40+37;4070
83;AL.SE4.2-P3;AL.SE4.2-P3;AL.SE4.2-P3;AVO;;Secc.02-10-04;40+37;4070
84;AL.SE4.2-P4;AL.SE4.2-P4;AL.SE4.2-P4;AVO;;Secc.02-10-04;40+37;4070
85;AL.SE4.2-P5;AL.SE4.2-P5;AL.SE4.2-P5;AVO;;Secc.02-10-04;40+37;4070
86;AL.SE4.2-P6;AL.SE4.2-P6;AL.SE4.2-P6;AVO;;Secc.02-10-04;40+37;4070
87;AL.SE4.2-P7;AL.SE4.2-P7;AL.SE4.2-P7;AVO;;Secc.02-10-04;40+37;4070
88;AL.SE4.2-S1;AL.SE4.2-S1;AL.SE4.2-S1;AVO;;Secc.02-10-04;40+37;4070
89;AL.SE4.2-S2;AL.SE4.2-S2;AL.SE4.2-S2;AVO;;Secc.02-10-04;40+37;4070
90;AL.SE5.1-P2;AL.SE5.1-P2;AL.SE5.1-P2;AVO;;Secc.03-11-11;41+415;5115
91;AL.SE5.1-P3;AL.SE5.1-P3;AL.SE5.1-P3;AVO;;Secc.03-11-11;41+415;5115
92;AL.SE5.1-P4;AL.SE5.1-P4;AL.SE5.1-P4;AVO;;Secc.03-11-11;41+415;5115
93;AL.SE5.1-P5;AL.SE5.1-P5;AL.SE5.1-P5;AVO;;Secc.03-11-11;41+415;5115
94;AL.SE5.1-P6;AL.SE5.1-P6;AL.SE5.1-P6;AVO;;Secc.03-11-11;41+415;5115
95;AL.SE5.1-P7;AL.SE5.1-P7;AL.SE5.1-P7;AVO;;Secc.03-11-11;41+415;5115
96;AL.SE5.1-P8;AL.SE5.1-P8;AL.SE5.1-P8;AVO;;Secc.03-11-11;41+415;5115
97;AL.SE5.1-P9;AL.SE5.1-P9;AL.SE5.1-P9;AVO;;Secc.03-11-11;41+415;5115
98;AL.SE5.1-P10;AL.SE5.1-P10;AL.SE5.1-P10;AVO;;Secc.03-11-11;41+415;5115
99;AL.SE5.1-P11;AL.SE5.1-P11;AL.SE5.1-P11;AVO;;Secc.03-11-11;41+415;5115
100;AL.SE5.1-P12;AL.SE5.1-P12;AL.SE5.1-P12;AVO;;Secc.03-11-11;41+415;5115
101;AL.SE5.1-P13;AL.SE5.1-P13;AL.SE5.1-P13;AVO;;Secc.03-11-11;41+415;5115
102;AL.SE5.1-S2;AL.SE5.1-S2;AL.SE5.1-S2;AVO;;Secc.03-11-11;41+415;5115
103;AL.SE5.1-S3;AL.SE5.1-S3;AL.SE5.1-S3;AVO;;Secc.03-11-11;41+415;5115
104;AL.SE5.1-S4;AL.SE5.1-S4;AL.SE5.1-S4;AVO;;Secc.03-11-11;41+415;5115
105;AL.SE5.2-P1;AL.SE5.2-P1;AL.SE5.2-P1;AVO;;Secc.03-11-11;41+415;5115
106;AL.SE5.2-P2;AL.SE5.2-P2;AL.SE5.2-P2;AVO;;Secc.03-11-11;41+415;5115
107;AL.SE5.2-P3;AL.SE5.2-P3;AL.SE5.2-P3;AVO;;Secc.03-11-11;41+415;5115
108;AL.SE5.2-P4;AL.SE5.2-P4;AL.SE5.2-P4;AVO;;Secc.03-11-11;41+415;5115
109;AL.SE5.2-P5;AL.SE5.2-P5;AL.SE5.2-P5;AVO;;Secc.03-11-11;41+415;5115
110;AL.SE5.2-P6;AL.SE5.2-P6;AL.SE5.2-P6;AVO;;Secc.03-11-11;41+415;5115
111;AL.SE5.2-P7;AL.SE5.2-P7;AL.SE5.2-P7;AVO;;Secc.03-11-11;41+415;5115
112;AL.SE6.1-P2;AL.SE6.1-P2;AL.SE6.1-P2;AVO;;Secc.02-10-05;42+58;6280
113;AL.SE6.1-P3;AL.SE6.1-P3;AL.SE6.1-P3;AVO;;Secc.02-10-05;42+58;6280
114;AL.SE6.1-P4;AL.SE6.1-P4;AL.SE6.1-P4;AVO;;Secc.02-10-05;42+58;6280
115;AL.SE6.1-P5;AL.SE6.1-P5;AL.SE6.1-P5;AVO;;Secc.02-10-05;42+58;6280
116;AL.SE6.1-P6;AL.SE6.1-P6;AL.SE6.1-P6;AVO;;Secc.02-10-05;42+58;6280
117;AL.SE6.1-P7;AL.SE6.1-P7;AL.SE6.1-P7;AVO;;Secc.02-10-05;42+58;6280
118;AL.SE6.1-S2;AL.SE6.1-S2;AL.SE6.1-S2;AVO;;Secc.02-10-05;42+58;6280
119;AL.SE6.2-P1;AL.SE6.2-P1;AL.SE6.2-P1;AVO;;Secc.02-10-05;42+58;6280
120;AL.SE6.2-P2;AL.SE6.2-P2;AL.SE6.2-P2;AVO;;Secc.02-10-05;42+58;6280
121;AL.SE6.2-P3;AL.SE6.2-P3;AL.SE6.2-P3;AVO;;Secc.02-10-05;42+58;6280
122;AL.SE6.2-P4;AL.SE6.2-P4;AL.SE6.2-P4;AVO;;Secc.02-10-05;42+58;6280
123;AL.SE6.2-P5;AL.SE6.2-P5;AL.SE6.2-P5;AVO;;Secc.02-10-05;42+58;6280
124;AL.SE6.2-P6;AL.SE6.2-P6;AL.SE6.2-P6;AVO;;Secc.02-10-05;42+58;6280
125;AL.SE7.1-P2;AL.SE7.1-P2;AL.SE7.1-P2;AVO;;Secc.02-10-06;43+52;7220
126;AL.SE7.1-P3;AL.SE7.1-P3;AL.SE7.1-P3;AVO;;Secc.02-10-06;43+52;7220
127;AL.SE7.1-P4;AL.SE7.1-P4;AL.SE7.1-P4;AVO;;Secc.02-10-06;43+52;7220
128;AL.SE7.1-P5;AL.SE7.1-P5;AL.SE7.1-P5;AVO;;Secc.02-10-06;43+52;7220
129;AL.SE7.1-P6;AL.SE7.1-P6;AL.SE7.1-P6;AVO;;Secc.02-10-06;43+52;7220
130;AL.SE7.1-P7;AL.SE7.1-P7;AL.SE7.1-P7;AVO;;Secc.02-10-06;43+52;7220
131;AL.SE7.2-P1;AL.SE7.2-P1;AL.SE7.2-P1;AVO;;Secc.02-10-06;43+52;7220
132;AL.SE7.2-P2;AL.SE7.2-P2;AL.SE7.2-P2;AVO;;Secc.02-10-06;43+52;7220
133;AL.SE7.2-P3;AL.SE7.2-P3;AL.SE7.2-P3;AVO;;Secc.02-10-06;43+52;7220
134;AL.SE7.2-P4;AL.SE7.2-P4;AL.SE7.2-P4;AVO;;Secc.02-10-06;43+52;7220
135;AL.SE7.2-P5;AL.SE7.2-P5;AL.SE7.2-P5;AVO;;Secc.02-10-06;43+52;7220
136;AL.SE7.2-P6;AL.SE7.2-P6;AL.SE7.2-P6;AVO;;Secc.02-10-06;43+52;7220
137;AL.SE7.2-P7;AL.SE7.2-P7;AL.SE7.2-P7;AVO;;Secc.02-10-06;43+52;7220
138;AL.SE7.2-P8;AL.SE7.2-P8;AL.SE7.2-P8;AVO;;Secc.02-10-06;43+52;7220
139;AL.SE8.1.P2;AL.SE8.1.P2;AL.SE8.1.P2;AVO;;Secc.02-10-05;42+58;6280
140;AL.SE8.1.P3;AL.SE8.1.P3;AL.SE8.1.P3;AVO;;Secc.02-10-05;42+58;6280
141;AL.SE8.2.P1;AL.SE8.2.P1;AL.SE8.2.P1;AVO;;Secc.02-10-05;42+58;6280
142;AL.SE8.2.P2;AL.SE8.2.P2;AL.SE8.2.P2;AVO;;Secc.02-10-05;42+58;6280
143;AL.SE8.2.P3;AL.SE8.2.P3;AL.SE8.2.P3;AVO;;Secc.02-10-05;42+58;6280
144;AL.SE8.2.P4;AL.SE8.2.P4;AL.SE8.2.P4;AVO;;Secc.02-10-05;42+58;6280
145;BALIZADO_CT01;BALIZADO_CT01;BALIZADO_CT01;AVO;;Secc.01-10-01;37+50;620
146;BALIZADO_CT02;BALIZADO_CT02;BALIZADO_CT02;AVO;;Secc.01-10-01;38+048;1748
147;BALIZADO_CT03_1;BALIZADO_CT03_1;BALIZADO_CT03_1;AVO;;Secc.01-11-12;39+015;2715
148;BALIZADO_CT04_1;BALIZADO_CT04_1;BALIZADO_CT04_1;AVO;;Secc.02-10-04;40+37;4070
149;BALIZADO_CT05_1;BALIZADO_CT05_1;BALIZADO_CT05_1;AVO;;Secc.03-11-11;41+415;5115
150;BALIZADO_CT06_1;BALIZADO_CT06_1;BALIZADO_CT06_1;AVO;;Secc.02-10-05;42+58;6280
151;BALIZADO_CT07_1;BALIZADO_CT07_1;BALIZADO_CT07_1;AVO;;Secc.02-10-06;43+52;7220
152;BALIZADO_CT08_1;BALIZADO_CT08_1;BALIZADO_CT08_1;AVO;;Secc.02-10-05;42+58;6280
153;BALIZADO_CT03_2;BALIZADO_CT03_2;BALIZADO_CT03_2;AVO;;Secc.01-11-12;39+015;2715
154;BALIZADO_CT04_2;BALIZADO_CT04_2;BALIZADO_CT04_2;AVO;;Secc.02-10-04;40+37;4070
155;BALIZADO_CT05_2;BALIZADO_CT05_2;BALIZADO_CT05_2;AVO;;Secc.03-11-11;41+415;5115
156;BALIZADO_CT06_2;BALIZADO_CT06_2;BALIZADO_CT06_2;AVO;;Secc.02-10-05;42+58;6280
157;BALIZADO_CT07_2;BALIZADO_CT07_2;BALIZADO_CT07_2;AVO;;Secc.02-10-06;43+52;7220
158;BALIZADO_CT08_2;BALIZADO_CT08_2;BALIZADO_CT08_2;AVO;;Secc.02-10-05;42+58;6280
