name;device;channel;description;controller;xAddress;xStatusAddress;inverseLogic
LQ-VENT-VF8-CA;CGBT;M8DI3;Estado interruptor ventilador LQ-VENT-VF8-CA;WAGO;15559;859;false
LQ-VENT-VF8-CA;CGBT;M8DI6;Estado circuito fallo arrancador ventilador LQ-VENT-VF8-CA;WAGO;15560;860;false
LQ-VENT-VF9-CA;CGBT;M8DI7;Estado interruptor ventilador LQ-VENT-VF9-CA;WAGO;15561;861;false
LQ-VENT-VF9-CA;CGBT;M8DI10;Estado circuito fallo arrancador ventilador LQ-VENT-VF9-CA;WAGO;15562;862;false
LQ-VENT-VF10-CA;CGBT;M8DI11;Estado interruptor ventilador LQ-VENT-VF10-CA;WAGO;15563;863;false
LQ-VENT-VF10-CA;CGBT;M8DI14;Estado circuito fallo arrancador ventilador LQ-VENT-VF10-CA;WAGO;15564;864;false
LQ-VENT-VF11-CA;CGBT;M8DI15;Estado interruptor ventilador LQ-VENT-VF11-CA;WAGO;15565;865;false
LQ-VENT-VF11-CA;CGBT;M9DI2;Estado circuito fallo arrancador ventilador LQ-VENT-VF11-CA;WAGO;15566;866;false
LQ-VENT-VF12-CA;CGBT;M9DI3;Estado interruptor ventilador LQ-VENT-VF12-CA;WAGO;15567;867;false
LQ-VENT-VF12-CA;CGBT;M9DI6;Estado circuito fallo arrancador ventilador LQ-VENT-VF12-CA;WAGO;15568;868;false
LQ-VENT-VF13-CA;CGBT;M9DI7;Estado interruptor ventilador LQ-VENT-VF13-CA;WAGO;15569;869;false
LQ-VENT-VF13-CA;CGBT;M9DI10;Estado circuito fallo arrancador ventilador LQ-VENT-VF13-CA;WAGO;15570;870;false
LQ-VENT-VF14-CA;CGBT;M9DI11;Estado interruptor ventilador LQ-VENT-VF14-CA;WAGO;15571;871;false
LQ-VENT-VF14-CA;CGBT;M9DI14;Estado circuito fallo arrancador ventilador LQ-VENT-VF14-CA;WAGO;15572;872;false
LQ-VENT-VF15-CA;CGBT;M9DI15;Estado interruptor ventilador LQ-VENT-VF15-CA;WAGO;15573;873;false
LQ-VENT-VF15-CA;CGBT;M10DI2;Estado circuito fallo arrancador ventilador LQ-VENT-VF15-CA;WAGO;15574;874;false
LQ-VENT-VF16-CA;CGBT;M10DI3;Estado interruptor ventilador LQ-VENT-VF16-CA;WAGO;15575;875;false
LQ-VENT-VF16-CA;CGBT;M10DI6;Estado circuito fallo arrancador ventilador LQ-VENT-VF16-CA;WAGO;15576;876;false
LQ-VENT-VF1-MA;CGBT;M10DI10;Estado interruptor ventilador LQ-VENT-VF1-MA;WAGO;15577;877;false
LQ-VENT-VF1-MA;CGBT;M10DI13;Estado circuito fallo arrancador ventilador LQ-VENT-VF1-MA;WAGO;15578;878;false
LQ-VENT-VF2-MA;CGBT;M13DI13;Estado interruptor ventilador LQ-VENT-VF2-MA;WAGO;15579;879;false
LQ-VENT-VF2-MA;CGBT;M11DI0;Estado circuito fallo arrancador ventilador LQ-VENT-VF2-MA;WAGO;15580;880;false
LQ-VENT-VF3-MA;CGBT;M11DI1;Estado interruptor ventilador LQ-VENT-VF3-MA;WAGO;15581;881;false
LQ-VENT-VF3-MA;CGBT;M11DI4;Estado circuito fallo arrancador ventilador LQ-VENT-VF3-MA;WAGO;15582;882;false
LQ-VENT-VF4-MA;CGBT;M11DI5;Estado interruptor ventilador LQ-VENT-VF4-MA;WAGO;15583;883;false
LQ-VENT-VF4-MA;CGBT;M11DI8;Estado circuito fallo arrancador ventilador LQ-VENT-VF4-MA;WAGO;15584;884;false
LQ-VENT-VF5-MA;CGBT;M11DI9;Estado interruptor ventilador LQ-VENT-VF5-MA;WAGO;15585;885;false
LQ-VENT-VF5-MA;CGBT;M11DI12;Estado circuito fallo arrancador ventilador LQ-VENT-VF5-MA;WAGO;15586;886;false
LQ-VENT-VF6-MA;CGBT;M11DI13;Estado interruptor ventilador LQ-VENT-VF6-MA;WAGO;15587;887;false
LQ-VENT-VF6-MA;CGBT;M12DI0;Estado circuito fallo arrancador ventilador LQ-VENT-VF6-MA;WAGO;15588;888;false
LQ-VENT-VF7MA;CGBT;M12DI1;Estado interruptor ventilador LQ-VENT-VF7-MA;WAGO;15589;889;false
LQ-VENT-VF7-MA;CGBT;M12DI4;Estado circuito fallo arrancador ventilador LQ-VENT-VF7-MA;WAGO;15590;890;false
LQ-VENT-VF8-MA;CGBT;M12DI5;Estado interruptor ventilador LQ-VENT-VF8-MA;WAGO;15591;891;false
LQ-VENT-VF8-MA;CGBT;M12DI8;Estado circuito fallo arrancador ventilador LQ-VENT-VF8-MA;WAGO;15592;892;false
LQ-VENT-VF9-MA;CGBT;M12DI9;Estado interruptor ventilador LQ-VENT-VF9-MA;WAGO;15593;893;false
LQ-VENT-VF9-MA;CGBT;M12DI12;Estado circuito fallo arrancador ventilador LQ-VENT-VF9-MA;WAGO;15594;894;false
LQ-VENT-VF10-MA;CGBT;M12DI13;Estado interruptor ventilador LQ-VENT-VF10-MA;WAGO;15595;895;false
LQ-VENT-VF10-MA;CGBT;M13DI0;Estado circuito fallo arrancador ventilador LQ-VENT-VF10-MA;WAGO;15596;896;false
LQ-CONT-AA1-SC;CGBT;M1DI5;Estado Contactor K1 - CSA SAI K1;WAGO;15597;897;true
LQ-CONT-AA15-SC;CGBT;M1DI7;Estado Contactor K2 - CSA SAI K2;WAGO;15598;898;true
LQ-CONT-AA2-SC;CGBT;M1DI9;Estado Contactor K3 - CSA SAI K3;WAGO;15599;899;true
LQ-CONT-AA16-SC;CGBT;M1DI11;Estado Contactor K4 - CSA SAI K4;WAGO;15600;900;true
LQ-CONT-AA11-SM;CGBT;M1DI13;Estado Contactor K5 - CSA SAI K5;WAGO;15601;901;true
LQ-CONT-AA21-SM;CGBT;M1DI15;Estado Contactor K6 - CSA SAI K6;WAGO;15602;902;true
LQ-CONT-AA19-SM;CGBT;M2DI1;Estado Contactor K7 - CSA SAI K7;WAGO;15603;903;true
