device_name;url_publisher;ip;endpoint
SWP-2-03-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.63.80;'http://172.21.63.80'
SWP-1-01-CZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.23.10;'http://172.21.23.10'
SWP-1-02-CZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.23.20;'http://172.21.23.20'
SWP-1-03-CZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.23.30;'http://172.21.23.30'
SWP-1-04-CZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.23.90;'http://172.21.23.90'
SWP-1-05-CZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.23.100;'http://172.21.23.100'
SWP-2-01-CZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.23.40;'http://172.21.23.40'
SWP-2-02-CZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.23.50;'http://172.21.23.50'
SWP-2-03-CZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.23.60;'http://172.21.23.60'
SWP-2-04-CZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.23.70;'http://172.21.23.70'
SWP-2-05-CZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.23.80;'http://172.21.23.80'
